
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	359.2335683805445	4	40	10	right	right	1	47	15.265	3079
1	2	503.46734974368223	4	40	10	left	left	1	24	15.625	1536
1	3	380.2589315500393	4	40	10	right	right	1	12	15.831	758
1	4	687.359875281229	4	40	10	left	left	1	11	15.603	705
1	5	688.1761792567979	4	40	10	left	left	1	19	15.612	1217
1	6	1345.905984142155	4	40	10	right	right	1	11	16.566	664
1	7	1854.177110917294	4	40	10	left	left	1	9	16.949	531
1	8	532.3496671164196	4	40	10	left	left	1	17	15.992	1063
1	9	963.1867251321319	4	40	10	left	left	1	11	15.537	708
1	10	1238.4966430917111	4	40	10	left	left	1	13	15.421	843
1	11	1879.9250666087914	4	40	10	right	right	1	12	15.248	787
1	12	941.1234388262329	4	40	10	left	left	1	9	15.544	579
1	13	425.26965292915554	4	40	10	left	left	1	13	15.777	824
1	14	302.47446298212174	4	40	10	right	right	1	13	16.189	803
1	15	2175.9718785458385	4	40	10	left	left	1	21	15.789	1330
1	16	200.48354994532215	4	40	10	left	left	1	11	15.449	712
1	17	1210.776643527737	4	40	10	left	left	1	20	15.736	1271
1	18	1346.3084481046883	4	40	10	right	right	1	13	15.931	816
1	19	496.11274889913216	4	40	10	right	right	1	12	15.625	768
1	20	2053.816390001841	4	40	10	right	right	1	13	15.719	827
1	21	817.480564675844	4	40	10	left	left	1	29	15.36	1888
1	22	275.5742198708085	4	40	10	left	right	0	15	16.199	926
1	23	236.4552694951444	4	40	10	right	right	1	12	16.021	749
1	24	602.9814244692843	4	40	10	right	right	1	41	15.259	2687
1	25	825.1122823172161	4	40	10	right	right	1	34	15.24	2231
1	26	767.9318283661604	4	40	10	left	left	1	119	15.2	7829
1	27	240.71171410337956	4	40	10	right	right	1	17	15.625	1088
1	28	483.34075667388333	4	40	10	right	right	1	30	15.52	1933
1	29	382.57105602896377	4	40	10	right	right	1	12	15.248	787
1	30	972.1293666596737	4	40	10	left	left	1	12	16.173	742
1	31	2091.2044618551495	4	40	10	left	left	1	23	15.743	1461
1	32	828.2817850314311	4	40	10	left	left	1	18	15.557	1157
1	33	227.47175089144338	4	40	10	left	left	1	28	15.634	1791
1	34	251.7028012147855	4	40	10	right	right	1	11	15.363	716
1	35	273.8400817782144	4	40	10	right	right	1	12	15.625	768
1	36	588.4371433587698	4	40	10	right	right	1	15	15.416	973
1	37	345.87350038090176	4	40	10	left	left	1	11	15.449	712
1	38	311.140268525453	4	40	10	right	right	1	15	15.337	978
1	39	351.59557025495667	4	40	10	right	right	1	13	16.23	801
1	40	203.86298253514707	4	40	10	right	left	0	11	16.224	678
2	1	281.53328118403	4	40	10	right	right	1	12	15.686	765
2	2	315.44249772470465	4	40	10	right	right	1	9	15.254	590
2	3	1449.8798124518528	4	40	10	right	right	1	11	15.278	720
2	4	370.1092274148476	4	40	10	right	right	1	10	15.267	655
2	5	840.981602897758	4	40	10	left	right	0	17	15.625	1088
2	6	694.2836617604953	4	40	10	left	right	0	13	15.719	827
2	7	568.5570420969466	4	40	10	right	right	1	13	15.758	825
2	8	526.5561895909791	4	40	10	right	right	1	14	15.73	890
2	9	218.16554534960108	4	40	10	left	left	1	11	16.369	672
2	10	302.26052753415127	4	40	10	left	left	1	14	16.148	867
2	11	2827.984438656772	4	40	10	right	right	1	13	15.682	829
2	12	1250.460998077944	4	40	10	right	right	1	11	15.449	712
2	13	2138.984019591996	4	40	10	left	right	0	35	15.358	2279
2	14	324.4821795051081	4	40	10	left	right	0	27	15.376	1756
2	15	217.8005696234719	4	40	10	left	right	0	7	16.548	423
2	16	388.5823905056658	4	40	10	right	right	1	28	15.436	1814
2	17	1199.4631497943085	4	40	10	right	right	1	9	15.358	586
2	18	564.3931554148944	4	40	10	right	right	1	22	15.225	1445
2	19	275.75206328422416	4	40	10	left	left	1	42	15.234	2757
2	20	592.2417519327909	4	40	10	left	right	0	27	15.323	1762
2	21	1490.2574931643678	4	40	10	left	left	1	142	15.163	9365
2	22	618.1099970183363	4	40	10	right	right	1	21	15.173	1384
2	23	2364.2074635179433	4	40	10	right	left	0	12	15.686	765
2	24	412.9726652290643	4	40	10	right	left	0	9	15.734	572
2	25	1111.187060080948	4	40	10	left	left	1	31	15.547	1994
2	26	1712.7455071290917	4	40	10	left	left	1	9	16.514	545
2	27	211.13072567853305	4	40	10	right	left	0	40	15.203	2631
2	28	266.1191194626445	4	40	10	left	left	1	6	15.707	382
2	29	740.958020681855	4	40	10	left	left	1	19	15.873	1197
2	30	2069.426850084893	4	40	10	right	right	1	7	15.487	452
2	31	1471.4105236114367	4	40	10	right	right	1	7	15.59	449
2	32	290.294644074524	4	40	10	left	left	1	22	15.816	1391
2	33	454.3141046591597	4	40	10	left	left	1	26	15.16	1715
2	34	1540.5450298072763	4	40	10	right	left	0	232	15.077	15388
2	35	2778.4899752937695	4	40	10	right	left	0	900	15.166	59345
2	36	2520.2420859040667	4	40	10	left	left	1	10	16.611	602
2	37	1130.797477746244	4	40	10	left	left	1	65	4.343	14966
2	38	1412.8397239427952	4	40	10	left	left	1	9	16.886	533
2	39	514.9011751378075	4	40	10	right	left	0	8	15.656	511
2	40	671.2117954671692	4	40	10	left	left	1	86	15.202	5657
3	1	641.3873517026525	4	40	10	right	left	0	11	16.442	669
3	2	262.1443705212448	4	40	10	left	left	1	7	16.092	435
3	3	514.0281935810156	4	40	10	left	left	1	7	15.695	446
3	4	1048.1164804455007	4	40	10	right	left	0	8	16.878	474
3	5	389.4688385502183	4	40	10	right	left	0	10	15.152	660
3	6	1255.6543076256696	4	40	10	right	left	0	7	15.837	442
3	7	229.9085115980787	4	40	10	left	left	1	12	16.371	733
3	8	1580.9444340859197	4	40	10	right	left	0	17	15.152	1122
3	9	811.6417451728682	4	40	10	right	left	0	10	15.48	646
3	10	767.2857139926803	4	40	10	left	left	1	12	15.424	778
3	11	475.8893279677656	4	40	10	left	left	1	11	15.873	693
3	12	1037.8158596573726	4	40	10	right	left	0	11	16.272	676
3	13	783.9067600370184	4	40	10	right	left	0	9	15.789	570
3	14	2378.01946527313	4	40	10	left	left	1	10	16.26	615
3	15	289.15395413101953	4	40	10	right	left	0	15	15.625	960
3	16	569.3733777429732	4	40	10	right	left	0	10	16.234	616
3	17	597.551493101993	4	40	10	left	left	1	8	16.529	484
3	18	473.35175159614573	4	40	10	left	left	1	10	16.207	617
3	19	431.423000793391	4	40	10	left	left	1	8	15.842	505
3	20	518.4513294419013	4	40	10	left	left	1	7	16.706	419
3	21	476.53305356688577	4	40	10	right	left	0	7	15.184	461
3	22	352.6790952763696	4	40	10	left	left	1	9	15.817	569
3	23	328.60518807806204	4	40	10	left	left	1	7	16.827	416
3	24	204.43913173390507	4	40	10	right	left	0	7	16.018	437
3	25	2669.9356624589154	4	40	10	right	left	0	7	15.487	452
3	26	1015.2113664398502	4	40	10	left	left	1	7	16.432	426
3	27	1458.7901821656426	4	40	10	right	left	0	7	16.548	423
3	28	844.3242414412732	4	40	10	left	right	0	7	16.055	436
3	29	1401.7202851580935	4	40	10	left	right	0	21	15.637	1343
3	30	782.2730747161594	4	40	10	right	right	1	8	16	500
3	31	571.7184157005372	4	40	10	left	right	0	10	15.291	654
3	32	2768.032292522014	4	40	10	right	right	1	9	16.514	545
3	33	304.0259450137436	4	40	10	left	right	0	8	16.667	480
3	34	1647.7959329049158	4	40	10	right	right	1	10	15.361	651
3	35	1038.045730063533	4	40	10	left	left	1	11	16.296	675
3	36	593.360407284112	4	40	10	right	left	0	8	15.18	527
3	37	820.2095217328069	4	40	10	right	right	1	11	16.272	676
3	38	566.0510593794638	4	40	10	left	left	1	13	15.7	828
3	39	674.1038628517749	4	40	10	right	right	1	10	15.674	638
3	40	800.9974635530782	4	40	10	left	left	1	11	15.965	689
4	1	820.4459321676915	4	40	10	left	left	1	11	15.406	714
4	2	2428.128099020409	4	40	10	right	left	0	6	15.464	388
4	3	1217.798654537392	4	40	10	left	left	1	10	15.432	648
4	4	1071.9165069179398	4	40	10	right	left	0	13	15.738	826
4	5	534.4735059225411	4	40	10	left	left	1	6	18.127	331
4	6	1901.182770774142	4	40	10	left	left	1	9	16.667	540
4	7	1415.6349862203976	4	40	10	left	left	1	10	16.584	603
