
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	1235.8980112540196	4	40	10	left	right	0	37	15.302	2418
1	2	289.1902032133994	4	40	10	right	left	0	34	15.35	2215
1	3	445.51871891264335	4	40	10	left	left	1	19	15.472	1228
1	4	890.1509018519788	4	40	10	left	right	0	44	15.241	2887
1	5	1503.7902525700692	4	40	10	left	left	1	9	15.332	587
1	6	309.3038667977478	4	40	10	right	left	0	11	16.467	668
1	7	630.9451082597639	4	40	10	left	right	0	34	15.267	2227
1	8	521.8183826071395	4	40	10	right	right	1	28	15.209	1841
1	9	1151.075211138465	4	40	10	right	right	1	35	15.178	2306
1	10	1377.5508611469438	4	40	10	right	right	1	17	15.165	1121
1	11	268.39720333011763	4	40	10	right	right	1	35	15.371	2277
1	12	1345.0021436651027	4	40	10	right	right	1	19	15.638	1215
1	13	949.2499431660117	4	40	10	right	right	1	15	15.69	956
1	14	395.07136637412486	4	40	10	left	left	1	26	15.267	1703
1	15	1567.657969710191	4	40	10	right	right	1	14	15.59	898
1	16	426.36085600770923	4	40	10	left	left	1	17	15.755	1079
1	17	1502.9006894041972	4	40	10	right	right	1	12	15.894	755
1	18	661.2243291602217	4	40	10	left	left	1	17	15.903	1069
1	19	1318.5844124438347	4	40	10	right	right	1	11	15.759	698
1	20	218.6886026093302	4	40	10	right	right	1	11	15.449	712
1	21	1303.90924270751	4	40	10	right	right	1	12	16.461	729
1	22	595.2966509744967	4	40	10	right	right	1	11	15.67	702
1	23	381.24085090727357	4	40	10	left	right	0	12	16.216	740
1	24	337.0294920026263	4	40	10	right	right	1	10	15.823	632
1	25	2070.0952063688037	4	40	10	left	right	0	11	16.467	668
1	26	279.54165592034065	4	40	10	left	left	1	28	15.334	1826
1	27	527.9557500864814	4	40	10	left	left	1	16	16.08	995
1	28	203.65732484386328	4	40	10	left	left	1	20	15.936	1255
1	29	1303.1683697849173	4	40	10	right	right	1	16	15.474	1034
1	30	286.93987750825556	4	40	10	left	left	1	12	15.564	771
1	31	1028.0571263997927	4	40	10	left	left	1	15	15.94	941
1	32	3080.789173999783	4	40	10	left	left	1	39	15.276	2553
1	33	663.8126733255235	4	40	10	left	left	1	16	15.459	1035
1	34	252.36018891558177	4	40	10	left	left	1	14	15.819	885
1	35	247.19753242687668	4	40	10	right	right	1	13	15.152	858
1	36	1084.6916303850935	4	40	10	left	left	1	10	15.528	644
1	37	534.4959947252173	4	40	10	left	left	1	10	16.181	618
1	38	1006.5772557522924	4	40	10	right	right	1	12	15.564	771
1	39	329.4707104709572	4	40	10	right	right	1	12	16.129	744
1	40	1091.943672026449	4	40	10	right	right	1	24	15.326	1566
2	1	395.0080622154371	4	40	10	right	right	1	16	15.444	1036
2	2	451.42086621686224	4	40	10	left	left	1	13	15.366	846
2	3	3401.9576734022753	4	40	10	right	right	1	13	15.476	840
2	4	716.574233537511	4	40	10	left	left	1	11	15.85	694
2	5	848.3822851688899	4	40	10	right	right	1	11	16.32	674
2	6	258.0915671633312	4	40	10	right	right	1	14	16.222	863
2	7	700.4074672151493	4	40	10	left	left	1	16	15.549	1029
2	8	353.44243134087037	4	40	10	right	right	1	41	15.247	2689
2	9	274.3398955884902	4	40	10	left	left	1	14	15.642	895
2	10	1905.4243519298082	4	40	10	left	left	1	21	15.262	1376
2	11	950.8761516144835	4	40	10	right	right	1	15	15.723	954
2	12	296.3412042559599	4	40	10	left	left	1	12	15.444	777
2	13	1438.0884700360302	4	40	10	left	left	1	27	15.323	1762
2	14	461.13115628387266	4	40	10	right	right	1	12	16.194	741
2	15	228.74317060676452	4	40	10	left	left	1	15	15.432	972
2	16	1470.720590776375	4	40	10	right	right	1	14	15.873	882
2	17	4154.090867962519	4	40	10	left	left	1	21	15.742	1334
2	18	717.4162515920862	4	40	10	left	left	1	26	15.729	1653
2	19	749.0342620834682	4	40	10	right	right	1	12	15.894	755
2	20	699.9567548670695	4	40	10	right	right	1	19	15.742	1207
2	21	621.7019164416881	4	40	10	right	right	1	45	15.187	2963
2	22	1520.8513478770642	4	40	10	left	left	1	15	16.164	928
2	23	524.2656641174733	4	40	10	right	right	1	15	15.789	950
2	24	458.6688269761608	4	40	10	left	left	1	14	16.092	870
2	25	531.6725828369539	4	40	10	right	right	1	17	15.654	1086
2	26	288.5756763546784	4	40	10	left	left	1	13	15.912	817
