
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	255.14659383203815	4	40	10	right	right	1	352	15.181	23187
1	2	668.0435809986961	4	40	10	left	left	1	68	15.216	4469
1	3	226.26262888780641	4	40	10	left	left	1	25	15.461	1617
1	4	224.47119315861164	4	40	10	left	left	1	75	15.353	4885
1	5	1458.958431015386	4	40	10	left	left	1	76	15.295	4969
1	6	1067.3397963477921	4	40	10	left	left	1	49	15.322	3198
1	7	2409.338576274148	4	40	10	left	left	1	38	15.267	2489
1	8	200.6183007805896	4	40	10	left	left	1	27	15.315	1763
1	9	706.4346494858225	4	40	10	right	left	0	35	15.171	2307
1	10	1056.3356411491786	4	40	10	right	right	1	22	15.737	1398
1	11	738.6575398576502	4	40	10	left	left	1	30	15.416	1946
1	12	380.50056284250877	4	40	10	right	right	1	37	15.52	2384
1	13	798.1446965245727	4	40	10	right	right	1	37	15.378	2406
1	14	821.333128424231	4	40	10	left	right	0	27	15.517	1740
1	15	1033.5850499354372	4	40	10	left	right	0	27	15.473	1745
1	16	666.9497035210842	4	40	10	left	left	1	20	15.723	1272
1	17	1268.6102533367052	4	40	10	left	left	1	28	15.599	1795
1	18	1919.1435711158156	4	40	10	left	left	1	17	15.357	1107
1	19	327.9797479546545	4	40	10	right	right	1	33	15.421	2140
1	20	708.0880786050404	4	40	10	right	right	1	26	15.421	1686
1	21	762.0130395063735	4	40	10	left	left	1	34	15.274	2226
1	22	504.4748068125455	4	40	10	right	right	1	27	15.263	1769
1	23	3763.174482541183	4	40	10	left	right	0	20	15.835	1263
1	24	816.8222958574644	4	40	10	left	left	1	17	15.413	1103
1	25	2388.512106370206	4	40	10	right	left	0	22	15.636	1407
1	26	2289.664938724635	4	40	10	right	left	0	24	15.707	1528
1	27	331.73104008244906	4	40	10	right	right	1	24	15.544	1544
1	28	1867.9011452818845	4	40	10	right	right	1	42	15.212	2761
1	29	1299.5440976521215	4	40	10	right	right	1	29	15.525	1868
1	30	222.25944612505174	4	40	10	right	left	0	20	15.267	1310
1	31	292.61841164560417	4	40	10	right	right	1	28	15.704	1783
1	32	999.4737702742918	4	40	10	right	right	1	17	15.357	1107
1	33	2440.3280539982484	4	40	10	right	left	0	78	15.225	5123
1	34	926.2764500306267	4	40	10	left	left	1	17	15.977	1064
1	35	533.6098045370852	4	40	10	left	left	1	14	15.909	880
1	36	916.9261739926208	4	40	10	right	left	0	18	15.424	1167
1	37	236.59056143412167	4	40	10	left	left	1	15	15.658	958
1	38	1136.966850169903	4	40	10	left	left	1	21	15.51	1354
1	39	1528.476520538566	4	40	10	right	left	0	15	16.216	925
1	40	1143.361178847426	4	40	10	right	right	1	23	15.405	1493
2	1	944.8131588819491	4	40	10	right	right	1	41	15.253	2688
2	2	506.02865757847206	4	40	10	left	left	1	20	15.81	1265
2	3	758.4282229008322	4	40	10	left	left	1	15	15.306	980
2	4	820.9092199782269	4	40	10	left	left	1	31	15.385	2015
2	5	1651.5905931599686	4	40	10	right	right	1	34	15.611	2178
2	6	217.61720818308572	4	40	10	right	right	1	21	15.273	1375
2	7	437.2178227497567	4	40	10	left	left	1	16	15.826	1011
2	8	764.3427854084161	4	40	10	right	right	1	14	16.092	870
2	9	377.42177430731215	4	40	10	left	left	1	21	15.672	1340
2	10	382.55999379335435	4	40	10	right	right	1	13	15.385	845
2	11	1590.5799154982446	4	40	10	right	left	0	17	15.554	1093
2	12	807.6571722546205	4	40	10	right	left	0	15	15.576	963
2	13	539.8075986295007	4	40	10	right	right	1	13	15.719	827
2	14	961.675587127981	4	40	10	left	right	0	12	15.605	769
2	15	435.38192242397344	4	40	10	left	left	1	14	15.873	882
2	16	280.64302152274445	4	40	10	left	left	1	12	16.26	738
2	17	249.73140494082742	4	40	10	left	left	1	16	15.702	1019
