
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	411.44581436353724	4	40	10	left	left	1	45	15.239	2953
1	2	437.95586153990735	4	40	10	left	right	0	51	15.348	3323
1	3	963.7732479266003	4	40	10	right	right	1	77	15.26	5046
1	4	1321.6398240655776	4	40	10	left	left	1	68	15.257	4457
1	5	2997.906484484302	4	40	10	left	left	1	84	15.162	5540
1	6	505.5722874166234	4	40	10	right	right	1	74	15.239	4856
1	7	208.8138558074724	4	40	10	right	left	0	78	15.258	5112
1	8	573.5761876316114	4	40	10	left	right	0	52	15.072	3450
1	9	4467.735217979656	4	40	10	left	right	0	76	15.227	4991
1	10	742.1248179860783	4	40	10	right	left	0	96	15.202	6315
1	11	1977.9271227766578	4	40	10	right	right	1	58	15.291	3793
1	12	1164.986271447718	4	40	10	right	left	0	126	15.186	8297
1	13	1426.5145508593823	4	40	10	left	right	0	54	15.337	3521
1	14	1663.3977367506782	4	40	10	right	left	0	38	15.243	2493
1	15	2521.58013753662	4	40	10	left	right	0	121	15.191	7965
1	16	1073.868520831665	4	40	10	right	right	1	73	15.272	4780
1	17	273.0734645642016	4	40	10	left	left	1	104	15.187	6848
1	18	1137.087835849008	4	40	10	left	left	1	103	15.259	6750
1	19	381.6229739137856	4	40	10	right	right	1	61	15.223	4007
1	20	954.2444932069287	4	40	10	left	right	0	40	15.391	2599
1	21	1133.4425222018194	4	40	10	right	left	0	73	15.333	4761
1	22	349.53564924002205	4	40	10	right	right	1	48	15.248	3148
1	23	608.0745035156536	4	40	10	left	left	1	74	15.33	4827
1	24	2983.41413318661	4	40	10	right	left	0	134	15.201	8815
1	25	685.3665071815435	4	40	10	right	right	1	47	15.359	3060
1	26	254.7212319386082	4	40	10	right	right	1	70	15.211	4602
1	27	2817.872067350152	4	40	10	left	left	1	98	15.175	6458
1	28	925.87597583099	4	40	10	left	left	1	115	15.192	7570
1	29	208.64039617675064	4	40	10	right	left	0	94	15.134	6211
1	30	1286.489371674862	4	40	10	right	left	0	84	15.141	5548
1	31	2751.8102529988464	4	40	10	left	right	0	70	15.274	4583
1	32	703.5725454068269	4	40	10	right	right	1	39	15.324	2545
1	33	292.48472582428036	4	40	10	right	left	0	80	15.152	5280
1	34	220.99564686366347	4	40	10	left	right	0	60	15.205	3946
1	35	1903.5931606518654	4	40	10	left	left	1	61	15.273	3994
1	36	217.4559302171472	4	40	10	right	left	0	81	15.135	5352
1	37	2814.888838452626	4	40	10	left	left	1	36	15.404	2337
1	38	792.2051193023567	4	40	10	left	right	0	51	15.325	3328
1	39	414.3197636847907	4	40	10	left	right	0	45	15.146	2971
1	40	721.999858568115	4	40	10	right	left	0	38	15.182	2503
2	1	326.3789696704803	4	40	10	left	left	1	69	15.255	4523
2	2	638.1942046933848	4	40	10	left	right	0	67	15.241	4396
2	3	323.52912556887924	4	40	10	right	left	0	36	15.378	2341
2	4	555.1551324960001	4	40	10	right	left	0	38	15.158	2507
2	5	236.2778348323792	4	40	10	right	right	1	53	15.23	3480
2	6	680.6569148657031	4	40	10	right	right	1	74	15.158	4882
2	7	2167.5481933865876	4	40	10	left	right	0	40	15.111	2647
2	8	312.6986369271552	4	40	10	left	left	1	51	15.389	3314
2	9	633.3554195379608	4	40	10	right	left	0	80	15.146	5282
2	10	324.83134607264606	4	40	10	left	left	1	83	15.255	5441
2	11	579.3762268412166	4	40	10	left	right	0	69	15.215	4535
2	12	209.32492707390372	4	40	10	right	left	0	33	15.335	2152
2	13	847.7536696851062	4	40	10	right	left	0	51	15.315	3330
2	14	1085.3492428250188	4	40	10	left	right	0	19	15.2	1250
2	15	3855.220039866562	4	40	10	left	left	1	42	15.356	2735
2	16	358.38175517582647	4	40	10	left	left	1	61	15.216	4009
2	17	2105.2984807083913	4	40	10	right	right	1	35	15.358	2279
2	18	1041.3325046733476	4	40	10	right	left	0	57	15.168	3758
2	19	1329.5743926219357	4	40	10	right	right	1	65	15.237	4266
2	20	234.70254429527287	4	40	10	right	right	1	25	15.17	1648
2	21	480.00949460458185	4	40	10	right	left	0	68	15.315	4440
2	22	224.9686548696254	4	40	10	right	right	1	66	15.342	4302
2	23	270.33321940059034	4	40	10	right	right	1	51	15.233	3348
2	24	1047.1314883157602	4	40	10	left	right	0	31	15.129	2049
2	25	249.13656535651634	4	40	10	left	right	0	64	15.234	4201
2	26	275.4695482959602	4	40	10	right	left	0	52	15.33	3392
2	27	1005.0431248552545	4	40	10	left	right	0	31	15.309	2025
2	28	656.0701754634979	4	40	10	left	right	0	48	15.35	3127
2	29	402.1551197639492	4	40	10	left	right	0	29	15.215	1906
2	30	1219.7891446247504	4	40	10	left	right	0	43	15.379	2796
2	31	363.9524069207238	4	40	10	right	right	1	32	15.61	2050
2	32	948.8619796230472	4	40	10	left	right	0	40	15.373	2602
