
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	493.67996929284425	4	40	10	left	left	1	27	15.025	1797
1	2	1256.3427708999618	4	40	10	right	right	1	50	15.065	3319
1	3	1316.168974405018	4	40	10	right	right	1	29	15.352	1889
1	4	800.9230421617275	4	40	10	left	left	1	27	15.289	1766
1	5	339.02532576504933	4	40	10	right	right	1	14	15.005	933
1	6	1951.058807145406	4	40	10	right	right	1	38	15.304	2483
1	7	236.33302398662283	4	40	10	right	left	0	20	15.42	1297
1	8	1785.5094017619829	4	40	10	left	right	0	99	15.085	6563
1	9	952.8445917390221	4	40	10	right	right	1	29	15.255	1901
1	10	338.3451218613731	4	40	10	left	left	1	35	15.204	2302
1	11	746.7256915406442	4	40	10	left	left	1	60	14.925	4020
1	12	353.6678703678127	4	40	10	right	right	1	16	15.842	1010
1	13	813.7919633204235	4	40	10	right	right	1	39	15.087	2585
1	14	1672.1986557900223	4	40	10	right	right	1	23	14.974	1536
1	15	341.9008715722723	4	40	10	left	right	0	13	16.049	810
1	16	769.5438837572208	4	40	10	right	right	1	14	14.941	937
1	17	648.4823623440833	4	40	10	left	left	1	19	14.984	1268
1	18	1154.5924723923968	4	40	10	left	left	1	24	15.534	1545
1	19	664.1497931468367	4	40	10	right	right	1	44	15.326	2871
1	20	299.3071462801371	4	40	10	right	right	1	34	15.315	2220
1	21	750.2139470878868	4	40	10	right	right	1	19	15.249	1246
1	22	2442.0507708109726	4	40	10	right	right	1	11	15.581	706
1	23	444.60730763532666	4	40	10	left	right	0	10	16	625
1	24	1380.4890399845478	4	40	10	right	left	0	45	14.97	3006
1	25	1423.087870089093	4	40	10	right	right	1	17	15.525	1095
1	26	1529.7551905895593	4	40	10	left	right	0	45	14.99	3002
1	27	478.23672799335526	4	40	10	left	left	1	83	14.995	5535
1	28	568.0701268917176	4	40	10	left	left	1	54	15.13	3569
1	29	211.22967325257065	4	40	10	left	right	0	30	14.985	2002
1	30	691.613963136086	4	40	10	left	left	1	144	14.967	9621
1	31	753.4858328408282	4	40	10	left	left	1	18	15.293	1177
1	32	1513.6870843818722	4	40	10	left	left	1	77	15.083	5105
1	33	534.5539229719395	4	40	10	left	left	1	42	15.102	2781
1	34	864.5513081653598	4	40	10	right	left	0	36	15.056	2391
1	35	1035.1135402564803	4	40	10	left	right	0	68	14.985	4538
1	36	1318.0590064093792	4	40	10	left	left	1	29	15.231	1904
1	37	907.182792872855	4	40	10	right	left	0	54	15.109	3574
1	38	737.3535686817037	4	40	10	right	right	1	236	14.924	15813
1	39	3054.169933772344	4	40	10	left	right	0	46	15.043	3058
1	40	1295.652198439269	4	40	10	right	left	0	72	15.085	4773
2	1	215.2086780965689	4	40	10	right	left	0	57	15.192	3752
2	2	1281.6302370215906	4	40	10	right	right	1	56	15.176	3690
2	3	1440.9360982562011	4	40	10	left	left	1	31	15.438	2008
2	4	256.44760263057145	4	40	10	right	right	1	20	15.049	1329
2	5	842.6702615043743	4	40	10	right	left	0	55	14.982	3671
2	6	621.1254849466505	4	40	10	left	left	1	43	15.2	2829
2	7	2080.71427751416	4	40	10	right	right	1	32	15.13	2115
2	8	1551.5198724829675	4	40	10	left	left	1	27	15.306	1764
2	9	405.5077823780688	4	40	10	left	right	0	36	15.339	2347
2	10	339.1044493820535	4	40	10	left	left	1	44	15.131	2908
2	11	510.8950158261182	4	40	10	right	left	0	295	14.959	19721
2	12	364.8769149696742	4	40	10	left	left	1	146	14.999	9734
2	13	216.5400437133444	4	40	10	right	right	1	79	15.016	5261
2	14	1087.039064297267	4	40	10	right	right	1	159	15.001	10599
2	15	228.3504709303993	4	40	10	right	right	1	18	15.088	1193
