
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	681.543497686225	4	40	10	right	left	0	35	14.983	2336
1	2	400.43756145751416	4	40	10	left	right	0	31	15.415	2011
1	3	907.1960663104264	4	40	10	left	left	1	28	15.368	1822
1	4	2572.7926517619157	4	40	10	left	right	0	27	15.332	1761
1	5	655.7562445951444	4	40	10	left	right	0	24	15.524	1546
1	6	387.4037934612618	4	40	10	left	left	1	23	15.426	1491
1	7	4266.0232256287	4	40	10	left	left	1	32	15.625	2048
1	8	1003.8992216840296	4	40	10	right	left	0	21	15.778	1331
1	9	314.6486507206336	4	40	10	left	left	1	25	15.356	1628
1	10	2477.56828087984	4	40	10	left	right	0	56	15.376	3642
1	11	930.6294829142853	4	40	10	left	left	1	18	15.345	1173
1	12	266.248152908322	4	40	10	right	left	0	30	15.275	1964
1	13	304.73085702865296	4	40	10	right	left	0	24	15.161	1583
1	14	1478.9760066622837	4	40	10	left	right	0	44	15.488	2841
1	15	1278.0230768527329	4	40	10	right	left	0	56	15.402	3636
1	16	1384.4400440766997	4	40	10	right	right	1	5	15.773	317
1	17	421.17043653774664	4	40	10	right	left	0	6	15.584	385
1	18	279.8666812304516	4	40	10	right	right	1	2	20.833	96
1	19	299.05030888599924	4	40	10	right	right	1	10	16.779	596
1	20	489.82815962781996	4	40	10	right	left	0	6	16.393	366
1	21	389.7328036167796	4	40	10	right	right	1	6	17.291	347
1	22	1332.5665951503333	4	40	10	left	right	0	6	16.129	372
1	23	921.310081639552	4	40	10	left	right	0	3	16.575	181
1	24	392.9275701088386	4	40	10	right	right	1	14	15.267	917
1	25	578.5549459332142	4	40	10	right	right	1	6	18.018	333
1	26	1055.6283696264795	4	40	10	right	right	1	4	17.778	225
1	27	497.0247172069906	4	40	10	left	left	1	7	16.279	430
1	28	949.3077241851078	4	40	10	left	left	1	6	17.341	346
1	29	598.3831784454576	4	40	10	left	right	0	6	16.575	362
1	30	1561.4005069205239	4	40	10	right	right	1	7	15.909	440
1	31	910.9407839525555	4	40	10	right	right	1	7	16.055	436
1	32	758.3802583954317	4	40	10	left	left	1	6	16.76	358
1	33	2297.1836454019062	4	40	10	left	left	1	6	15.385	390
1	34	214.40287598099255	4	40	10	right	left	0	8	15.842	505
1	35	1645.163907062217	4	40	10	left	right	0	6	17.857	336
1	36	303.57106112842706	4	40	10	left	right	0	1	19.608	51
1	37	413.69416125572695	4	40	10	right	left	0	6	16.26	369
1	38	390.6447263894994	4	40	10	left	right	0	5	16.722	299
1	39	2911.4749071280307	4	40	10	right	right	1	7	15.873	441
1	40	426.446996128523	4	40	10	right	right	1	8	15.717	509
2	1	914.2601188959809	4	40	10	right	right	1	9	16.981	530
2	2	1462.7103914754787	4	40	10	left	right	0	7	15.59	449
2	3	254.0975102453409	4	40	10	left	right	0	8	15.296	523
2	4	722.1072113842155	4	40	10	right	right	1	5	16.181	309
2	5	1257.3629396919016	4	40	10	left	right	0	7	16.867	415
2	6	560.3867895543669	4	40	10	right	left	0	6	16.713	359
2	7	356.05386025189284	4	40	10	left	right	0	3	15.306	196
2	8	3162.5755848661574	4	40	10	right	left	0	10	15.361	651
2	9	1117.724375287199	4	40	10	left	left	1	120	15.161	7915
2	10	963.8307116211661	4	40	10	right	right	1	47	15.44	3044
2	11	618.4677049118895	4	40	10	left	right	0	10	16.077	622
2	12	1311.6132253492528	4	40	10	left	left	1	7	17.115	409
2	13	578.5259397307452	4	40	10	left	left	1	9	15.177	593
2	14	730.2973520377258	4	40	10	right	left	0	6	15.748	381
2	15	682.7163951908519	4	40	10	right	left	0	25	15.635	1599
2	16	992.0796910774304	4	40	10	right	left	0	8	15.656	511
2	17	1183.1431675748413	4	40	10	right	left	0	18	15.972	1127
2	18	258.4039167901112	4	40	10	right	left	0	9	16.917	532
2	19	2231.855262115641	4	40	10	left	left	1	10	16.667	600
2	20	2015.9060631117898	4	40	10	left	left	1	6	16.713	359
2	21	470.8697666914929	4	40	10	right	left	0	44	15.406	2856
2	22	776.5791921039547	4	40	10	right	left	0	50	15.175	3295
2	23	1672.9196405964808	4	40	10	right	left	0	26	15.339	1695
2	24	292.7147858263156	4	40	10	left	left	1	8	15.534	515
2	25	306.00736511349174	4	40	10	right	left	0	25	15.567	1606
2	26	1815.540816982743	4	40	10	right	left	0	9	15.817	569
2	27	526.2120479437665	4	40	10	left	left	1	70	15.274	4583
2	28	752.6915442730979	4	40	10	right	left	0	14	16.204	864
2	29	767.9431734304652	4	40	10	left	left	1	4	19.802	202
2	30	1442.21222163899	4	40	10	left	left	1	6	16.438	365
2	31	640.0765188845489	4	40	10	left	left	1	37	15.22	2431
2	32	2846.866156407194	4	40	10	right	left	0	9	11.921	755
2	33	259.3851134423547	4	40	10	left	left	1	4	3.448	1160
2	34	843.4922722135866	4	40	10	left	left	1	101	13.927	7252
2	35	414.8371894452971	4	40	10	right	left	0	8	16.949	472
2	36	911.7545179718313	4	40	10	right	left	0	19	15.612	1217
2	37	741.3158297242866	4	40	10	right	left	0	24	15.209	1578
2	38	546.2086077206077	4	40	10	left	left	1	21	15.766	1332
2	39	581.544759437708	4	40	10	left	left	1	44	15.267	2882
2	40	800.5196889078833	4	40	10	left	left	1	12	16.506	727
3	1	504.23867534368867	4	40	10	left	left	1	6	15.228	394
3	2	620.0847553147357	4	40	10	right	left	0	11	15.342	717
3	3	545.552840214465	4	40	10	right	left	0	52	15.178	3426
3	4	1222.8256346673056	4	40	10	right	left	0	122	15.172	8041
3	5	1714.7990237926215	4	40	10	right	left	0	89	14.856	5991
3	6	1127.688675839815	4	40	10	right	left	0	4	16.736	239
3	7	556.377612224997	4	40	10	left	left	1	7	17.284	405
3	8	201.8756865455082	4	40	10	left	left	1	27	15.562	1735
3	9	279.8632236601362	4	40	10	left	left	1	106	15.252	6950
3	10	468.1553616371653	4	40	10	right	left	0	22	15.636	1407
3	11	399.28995803332646	4	40	10	left	left	1	53	15.402	3441
3	12	301.4099137748146	4	40	10	right	left	0	66	15.292	4316
3	13	1327.7126874592605	4	40	10	right	left	0	14	15.556	900
3	14	3453.7698340999227	4	40	10	right	left	0	66	15.352	4299
3	15	432.56351970790837	4	40	10	left	left	1	21	15.362	1367
3	16	335.5269304921231	4	40	10	right	left	0	55	15.214	3615
3	17	1131.431856663371	4	40	10	right	left	0	10	16.584	603
3	18	428.60919051993164	4	40	10	left	left	1	170	15.189	11192
3	19	1286.5143741655684	4	40	10	left	left	1	7	17.544	399
3	20	1056.1734982847331	4	40	10	right	left	0	5	17.986	278
3	21	1535.6976320486474	4	40	10	right	left	0	6	17.647	340
3	22	1251.3542710694135	4	40	10	left	left	1	4	18.349	218
3	23	556.9179728589512	4	40	10	left	left	1	9	16.698	539
3	24	201.46775760126692	4	40	10	left	left	1	11	16.467	668
3	25	742.208395801907	4	40	10	right	left	0	6	16.529	363
3	26	1535.652057330639	4	40	10	right	left	0	10	16.026	624
3	27	261.2131291270922	4	40	10	left	left	1	10	15.601	641
3	28	934.9603774872047	4	40	10	left	left	1	15	15.856	946
3	29	495.24199998753164	4	40	10	right	left	0	8	15.905	503
3	30	874.6227780383779	4	40	10	left	left	1	10	15.898	629
3	31	462.4673933534647	4	40	10	right	left	0	8	15.842	505
3	32	586.4355295891849	4	40	10	left	left	1	10	15.528	644
3	33	1010.682134366831	4	40	10	right	left	0	8	16.529	484
3	34	1900.1250253388334	4	40	10	left	left	1	5	16.129	310
3	35	220.4833442580435	4	40	10	left	left	1	6	16.173	371
3	36	202.3409233079545	4	40	10	left	left	1	3	17.241	174
3	37	370.5844827443635	4	40	10	left	left	1	6	16.949	354
3	38	337.4127203539357	4	40	10	left	left	1	3	18.072	166
3	39	235.99775914053367	4	40	10	right	left	0	3	21.277	141
3	40	517.5238008914159	4	40	10	right	left	0	1	25.641	39
4	1	554.2303676537456	4	40	10	left	right	0	5	15.198	329
4	2	436.36669139606926	4	40	10	right	right	1	4	16.807	238
4	3	515.3187762115201	4	40	10	left	right	0	5	17.606	284
4	4	736.4085521704562	4	40	10	left	right	0	5	17.857	280
4	5	612.9212247705113	4	40	10	left	right	0	6	15.228	394
4	6	4162.549251219094	4	40	10	left	right	0	9	16.575	543
4	7	456.9150423517218	4	40	10	right	right	1	11	15.805	696
4	8	433.68470763690374	4	40	10	left	right	0	31	15.578	1990
4	9	384.58335155991654	4	40	10	right	right	1	37	15.214	2432
4	10	423.49671101807223	4	40	10	left	right	0	41	15.35	2671
4	11	439.87304912303716	4	40	10	right	right	1	69	15.182	4545
4	12	1354.5590902936417	4	40	10	left	right	0	45	15.459	2911
4	13	805.2762348699711	4	40	10	right	right	1	9	15.817	569
4	14	770.2651875609215	4	40	10	left	right	0	8	16.393	488
4	15	586.6013996103553	4	40	10	left	right	0	17	15.933	1067
4	16	2409.52380167652	4	40	10	right	right	1	24	15.171	1582
4	17	2609.5465839640046	4	40	10	left	right	0	101	15.211	6640
4	18	235.55242280439148	4	40	10	left	right	0	66	15.317	4309
4	19	399.3421565405305	4	40	10	right	left	0	12	15.267	786
4	20	1109.1271824088428	4	40	10	right	left	0	42	15.245	2755
4	21	260.6784673276819	4	40	10	right	left	0	10	15.723	636
4	22	531.4232939014994	4	40	10	right	left	0	11	16.2	679
4	23	2848.764730881276	4	40	10	left	left	1	154	15.231	10111
4	24	1388.677831315596	4	40	10	right	left	0	33	15.435	2138
4	25	465.6490385557281	4	40	10	left	left	1	51	15.422	3307
4	26	307.40778868588245	4	40	10	right	left	0	70	15.301	4575
4	27	2466.8365055419104	4	40	10	right	left	0	66	15.253	4327
4	28	647.8130017527569	4	40	10	right	left	0	68	15.336	4434
4	29	205.88073774906843	4	40	10	left	left	1	102	15.238	6694
4	30	1420.9170890297437	4	40	10	right	left	0	46	15.287	3009
