
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	1590.5713882674484	4	40	10	right	right	1	51	15.143	3368
1	2	2023.1202606277334	4	40	10	left	right	0	41	15.259	2687
1	3	572.0428446071254	4	40	10	left	left	1	33	15.096	2186
1	4	656.9575910963366	4	40	10	right	right	1	53	15.065	3518
1	5	823.5212304448193	4	40	10	right	right	1	21	15.625	1344
1	6	1566.8199582801908	4	40	10	left	left	1	19	15.044	1263
1	7	1427.8691991353041	4	40	10	right	right	1	29	15.239	1903
1	8	844.6725622807143	4	40	10	right	right	1	46	15.162	3034
1	9	427.63084525486823	4	40	10	left	left	1	27	15.143	1783
1	10	861.665560593949	4	40	10	right	left	0	17	15.799	1076
1	11	471.84845859679115	4	40	10	left	left	1	37	15.114	2448
1	12	903.2915054012492	4	40	10	right	left	0	32	14.918	2145
1	13	981.1496568795765	4	40	10	left	left	1	28	15.326	1827
1	14	228.99905356938646	4	40	10	right	right	1	18	15.228	1182
1	15	1989.4205476950192	4	40	10	right	left	0	11	15.406	714
1	16	1140.201836359161	4	40	10	left	right	0	21	15.556	1350
1	17	770.3042828755163	4	40	10	left	right	0	20	15.613	1281
1	18	1065.2902897240547	4	40	10	left	left	1	25	15.528	1610
1	19	314.09436797494453	4	40	10	left	left	1	38	14.984	2536
1	20	1896.4472546121156	4	40	10	left	left	1	16	15.579	1027
1	21	1287.2524493962178	4	40	10	right	right	1	16	15.094	1060
1	22	4207.834377681558	4	40	10	right	right	1	14	15.642	895
1	23	377.53314771150514	4	40	10	left	left	1	18	15.544	1158
1	24	223.60925495669514	4	40	10	right	left	0	11	15.257	721
1	25	299.5834354597774	4	40	10	right	right	1	17	15.785	1077
1	26	856.7914954309747	4	40	10	left	left	1	13	16.069	809
1	27	378.10790747012334	4	40	10	right	right	1	14	14.973	935
1	28	804.2538716210233	4	40	10	right	right	1	39	2.845	13710
1	29	202.40053427398274	4	40	10	right	right	1	11	15.131	727
1	30	734.6678297257929	4	40	10	right	left	0	26	15.214	1709
1	31	454.3822851852368	4	40	10	right	left	0	12	14.963	802
1	32	333.9146924421936	4	40	10	right	right	1	9	15.957	564
1	33	368.17677766873436	4	40	10	left	left	1	13	15.873	819
1	34	923.4931429618313	4	40	10	right	left	0	15	15.789	950
1	35	2575.2879673279494	4	40	10	left	right	0	12	15.113	794
1	36	1227.924377035071	4	40	10	left	left	1	13	15.815	822
1	37	614.5238298820959	4	40	10	left	right	0	30	15.113	1985
1	38	534.7738176796055	4	40	10	left	left	1	12	15.979	751
1	39	816.6816622514885	4	40	10	left	left	1	9	15.598	577
1	40	270.1737125820818	4	40	10	left	left	1	10	15.873	630
2	1	290.6054511954249	4	40	10	left	left	1	17	15.357	1107
2	2	302.4333819294608	4	40	10	left	left	1	11	15.257	721
2	3	1050.0196125660455	4	40	10	left	left	1	13	15.366	846
2	4	253.96620328770783	4	40	10	left	left	1	11	15.257	721
2	5	2093.8242693787374	4	40	10	right	left	0	10	16.393	610
2	6	1087.3248199105624	4	40	10	left	left	1	9	15.254	590
2	7	1539.6607182779803	4	40	10	left	left	1	10	15.337	652
2	8	653.0371923002757	4	40	10	left	left	1	10	15.873	630
2	9	814.317512465567	4	40	10	left	left	1	10	16.393	610
2	10	1005.3311600035461	4	40	10	right	left	0	9	16.304	552
2	11	687.6276353446553	4	40	10	left	right	0	35	14.976	2337
2	12	947.6851245374995	4	40	10	right	left	0	9	14.925	603
2	13	312.45467058533967	4	40	10	left	right	0	36	14.919	2413
2	14	1514.543692159665	4	40	10	left	right	0	21	15.556	1350
2	15	302.0993897876921	4	40	10	right	right	1	24	15.375	1561
2	16	1485.8572151374572	4	40	10	right	right	1	12	15.038	798
2	17	547.9071804263681	4	40	10	left	left	1	20	15.576	1284
2	18	649.781127769857	4	40	10	right	right	1	12	15.345	782
2	19	846.84608026584	4	40	10	right	right	1	10	16	625
2	20	622.2722794420231	4	40	10	left	right	0	17	15.206	1118
2	21	285.9958289159198	4	40	10	right	left	0	11	16.153	681
2	22	1227.1584186500509	4	40	10	left	right	0	17	15.125	1124
2	23	356.92860513042	4	40	10	right	left	0	11	15.827	695
2	24	372.0142294272886	4	40	10	right	right	1	10	16.026	624
2	25	1255.31226842008	4	40	10	right	right	1	11	15.257	721
2	26	1098.4863673628242	4	40	10	right	right	1	14	15.625	896
2	27	223.2301845483489	4	40	10	left	left	1	21	15.262	1376
2	28	936.5644003446536	4	40	10	right	left	0	10	15.291	654
2	29	1755.896067313535	4	40	10	left	right	0	13	15.854	820
2	30	578.1418836882333	4	40	10	right	left	0	18	15.152	1188
2	31	2612.624630543237	4	40	10	left	right	0	13	16.03	811
2	32	298.0610693790754	4	40	10	left	left	1	19	14.949	1271
2	33	2603.4639655960345	4	40	10	right	right	1	11	15.172	725
2	34	342.3093586072878	4	40	10	left	left	1	13	15.758	825
2	35	1980.1546292817882	4	40	10	right	right	1	16	15.474	1034
2	36	366.1637788735702	4	40	10	right	left	0	11	16.176	680
2	37	1494.8007332372827	4	40	10	right	right	1	11	16.129	682
2	38	1169.210561548914	4	40	10	left	left	1	14	15.368	911
2	39	698.3047697681488	4	40	10	right	right	1	10	15.337	652
2	40	569.6938110502231	4	40	10	right	right	1	12	16.021	749
3	1	324.7127058450627	4	40	10	right	right	1	14	15.748	889
3	2	602.1023770143559	4	40	10	right	right	1	9	16.275	553
3	3	774.4268552104203	4	40	10	left	right	0	11	15.235	722
3	4	340.0608013163079	4	40	10	right	right	1	14	15.504	903
3	5	429.4084054661506	4	40	10	left	left	1	14	15.927	879
3	6	819.2649778206478	4	40	10	right	right	1	12	15.504	774
3	7	316.7642682670164	4	40	10	left	right	0	13	15.719	827
3	8	639.8214925837794	4	40	10	right	right	1	16	15.534	1030
3	9	735.5511655764192	4	40	10	right	right	1	11	15.027	732
3	10	273.18044943148374	4	40	10	left	left	1	16	15.595	1026
3	11	396.8964884984998	4	40	10	right	right	1	10	16.287	614
3	12	634.893638849738	4	40	10	right	right	1	12	16.216	740
3	13	445.389056413371	4	40	10	left	right	0	10	15.552	643
3	14	1307.9404309383963	4	40	10	left	left	1	20	15.385	1300
3	15	768.5312349879445	4	40	10	right	right	1	15	15.275	982
3	16	224.31803209717506	4	40	10	left	left	1	12	15.306	784
3	17	1578.4323576552306	4	40	10	left	right	0	47	15.122	3108
3	18	551.020210121474	4	40	10	left	left	1	9	15	600
3	19	1338.2928171358246	4	40	10	left	right	0	10	15.337	652
3	20	245.0738737123293	4	40	10	right	right	1	15	15.957	940
3	21	415.9739567950295	4	40	10	left	right	0	12	16.129	744
3	22	211.50669494648903	4	40	10	left	left	1	39	15.193	2567
3	23	475.3112834847199	4	40	10	left	right	0	11	15.278	720
