
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	498.38417100105175	4	40	10	right	right	1	24	15.306	1568
1	2	815.9905792215598	4	40	10	right	left	0	23	15.282	1505
1	3	363.0932731104401	4	40	10	right	left	0	16	16.129	992
1	4	275.08907472823137	4	40	10	left	left	1	19	15.472	1228
1	5	1069.0072582122152	4	40	10	left	left	1	22	15.417	1427
1	6	682.6438260834611	4	40	10	right	right	1	14	15.73	890
1	7	448.2107282167276	4	40	10	right	right	1	19	15.422	1232
1	8	590.8816406119208	4	40	10	right	left	0	20	15.48	1292
1	9	1508.0446350383204	4	40	10	left	left	1	15	15.806	949
1	10	265.5938027011505	4	40	10	left	left	1	16	15.267	1048
1	11	1619.2418314096503	4	40	10	left	left	1	23	15.732	1462
1	12	1013.155209790943	4	40	10	right	right	1	15	15.924	942
1	13	1995.3212858247	4	40	10	left	left	1	16	15.779	1014
1	14	364.81882704571944	4	40	10	left	left	1	19	15.651	1214
1	15	1357.727344155354	4	40	10	left	left	1	14	16.279	860
1	16	677.1039682550552	4	40	10	left	right	0	16	15.984	1001
1	17	342.38209937976353	4	40	10	right	right	1	22	15.839	1389
1	18	661.8463802736666	4	40	10	right	left	0	19	15.966	1190
1	19	595.5055248608203	4	40	10	left	left	1	21	15.373	1366
1	20	305.0928712595296	4	40	10	left	right	0	23	15.71	1464
1	21	2517.807003482312	4	40	10	right	right	1	18	15.873	1134
1	22	3129.101582909283	4	40	10	right	right	1	26	15.348	1694
1	23	1726.0124021437198	4	40	10	right	right	1	18	15.571	1156
1	24	1383.0145629087642	4	40	10	right	right	1	19	15.702	1210
1	25	514.7610220412998	4	40	10	left	left	1	24	15.248	1574
1	26	842.9172255276121	4	40	10	left	left	1	19	15.807	1202
1	27	326.85627541165707	4	40	10	left	left	1	17	15.152	1122
1	28	252.2120927423935	4	40	10	right	right	1	14	15.267	917
1	29	1746.2616608385326	4	40	10	left	left	1	12	16	750
1	30	1758.079487554531	4	40	10	left	left	1	13	15.421	843
1	31	256.25054786725264	4	40	10	left	left	1	13	15.169	857
1	32	500.31073414571983	4	40	10	right	right	1	13	15.24	853
1	33	1995.447286668988	4	40	10	right	right	1	12	15.484	775
1	34	436.3401578515193	4	40	10	right	right	1	17	15.683	1084
1	35	4824.932951596863	4	40	10	left	left	1	14	15.909	880
1	36	894.4971857319441	4	40	10	right	right	1	14	15.538	901
1	37	1430.019366279788	4	40	10	right	right	1	13	15.152	858
1	38	909.2569098567197	4	40	10	left	left	1	17	16.038	1060
1	39	678.0350296272167	4	40	10	right	right	1	12	15.915	754
1	40	1364.6112687092848	4	40	10	left	right	0	17	15.469	1099
