
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	824.4004082461034	4	40	10	right	right	1	67	15.002	4466
1	2	1176.8472575028	4	40	10	right	left	0	35	15.125	2314
1	3	2702.796553068249	4	40	10	left	left	1	39	15.046	2592
1	4	462.1791809467179	4	40	10	right	right	1	48	15.219	3154
1	5	592.2378806856304	4	40	10	left	left	1	25	15.244	1640
1	6	628.0189014593789	4	40	10	right	right	1	40	15.163	2638
1	7	342.56411176189806	4	40	10	right	right	1	45	15.192	2962
1	8	560.0497889360454	4	40	10	right	right	1	58	15.073	3848
1	9	412.54851571176823	4	40	10	right	right	1	41	14.909	2750
1	10	645.4287199449328	4	40	10	right	left	0	73	14.971	4876
1	11	810.1581548648292	4	40	10	left	left	1	21	15.021	1398
1	12	1084.7739438667936	4	40	10	right	right	1	38	14.961	2540
1	13	1625.2839495423425	4	40	10	left	left	1	22	15.068	1460
1	14	1805.515434861995	4	40	10	right	right	1	19	15.249	1246
1	15	419.1896145434987	4	40	10	left	left	1	16	15.549	1029
1	16	381.77914557095926	4	40	10	left	left	1	16	15.224	1051
1	17	458.6390549314382	4	40	10	right	right	1	17	15.741	1080
1	18	332.8742934833051	4	40	10	left	left	1	12	15.424	778
1	19	238.33650162808493	4	40	10	right	right	1	32	15.066	2124
1	20	316.20618763383754	4	40	10	left	left	1	12	15.228	788
1	21	598.9648007935243	4	40	10	left	left	1	29	15.096	1921
1	22	1696.181031787283	4	40	10	left	left	1	11	15.805	696
1	23	942.3026287369177	4	40	10	left	left	1	14	15.251	918
1	24	488.44299318815706	4	40	10	left	left	1	9	15	600
1	25	952.5545751571219	4	40	10	left	left	1	14	15.556	900
1	26	208.29557451722306	4	40	10	right	right	1	14	15.873	882
1	27	1765.2068700707875	4	40	10	left	left	1	11	14.946	736
1	28	243.3503295244521	4	40	10	right	right	1	12	15.707	764
1	29	3054.52765307979	4	40	10	left	left	1	13	14.977	868
1	30	516.7744110797398	4	40	10	right	right	1	11	15.214	723
1	31	258.3099635538138	4	40	10	left	left	1	12	16.129	744
1	32	1029.3181513623015	4	40	10	left	left	1	11	15.988	688
1	33	1275.1924389966775	4	40	10	right	right	1	11	15.603	705
1	34	958.6350125153086	4	40	10	right	right	1	11	15.406	714
1	35	964.2109864897934	4	40	10	left	left	1	9	15.957	564
1	36	571.8867959598193	4	40	10	left	right	0	7	16.018	437
1	37	1907.328011709015	4	40	10	right	right	1	14	14.989	934
