
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	580.4339949196812	4	40	10	left	right	0	293	15.179	19303
1	2	623.3914493007102	4	40	10	right	left	0	40	15.192	2633
1	3	936.8681999620485	4	40	10	left	right	0	215	15.173	14170
1	4	1127.6116715639373	4	40	10	left	right	0	40	15.396	2598
1	5	356.89924080511735	4	40	10	left	left	1	589	15.166	38837
1	6	291.70296337785294	4	40	10	right	left	0	85	15.222	5584
1	7	729.1405150571592	4	40	10	right	right	1	74	15.28	4843
1	8	1107.0048246113083	4	40	10	right	left	0	45	15.27	2947
1	9	849.9293530186496	4	40	10	right	right	1	28	15.334	1826
1	10	580.9075352203674	4	40	10	right	right	1	52	15.125	3438
1	11	501.51350125206886	4	40	10	left	left	1	51	15.274	3339
1	12	306.38040572966076	4	40	10	right	right	1	88	15.235	5776
1	13	1447.5052635639108	4	40	10	right	right	1	71	15.249	4656
1	14	224.40240620113298	4	40	10	right	left	0	47	15.235	3085
1	15	239.88120916680006	4	40	10	left	right	0	156	15.205	10260
1	16	627.5753923110535	4	40	10	right	left	0	24	15.152	1584
1	17	359.9354406653115	4	40	10	left	left	1	37	15.289	2420
1	18	362.1599701149446	4	40	10	right	left	0	79	15.239	5184
1	19	1298.1368807963308	4	40	10	left	right	0	65	15.247	4263
1	20	1758.5530354472264	4	40	10	left	left	1	44	15.326	2871
1	21	310.2621631875393	4	40	10	right	right	1	32	15.481	2067
1	22	831.2025373554836	4	40	10	left	right	0	58	15.291	3793
1	23	638.422584914943	4	40	10	right	right	1	38	15.194	2501
1	24	1291.0466795983097	4	40	10	right	left	0	56	15.131	3701
1	25	1128.6183425205845	4	40	10	right	right	1	36	15.531	2318
1	26	228.32556988347918	4	40	10	left	right	0	22	15.515	1418
1	27	1085.4550717552042	4	40	10	left	right	0	35	15.562	2249
1	28	1170.121625000179	4	40	10	right	left	0	27	15.118	1786
1	29	643.9321166809216	4	40	10	left	right	0	79	15.195	5199
1	30	335.50223222323006	4	40	10	left	left	1	66	15.169	4351
1	31	1359.9071426482271	4	40	10	left	left	1	27	15.152	1782
1	32	333.4255648191224	4	40	10	right	left	0	37	15.404	2402
1	33	1632.0059939588568	4	40	10	right	left	0	21	15.328	1370
1	34	229.05661156968964	4	40	10	left	left	1	72	15.212	4733
1	35	496.8865590082289	4	40	10	right	right	1	21	15.625	1344
1	36	355.3432568804593	4	40	10	left	right	0	22	15.504	1419
1	37	417.5912340666299	4	40	10	left	right	0	19	15.385	1235
1	38	427.20874388416075	4	40	10	left	right	0	29	15.088	1922
1	39	929.6238076502428	4	40	10	right	left	0	28	15.078	1857
1	40	1443.1884765637355	4	40	10	left	right	0	76	15.279	4974
2	1	1112.1997764281413	4	40	10	left	left	1	52	15.33	3392
2	2	356.81786778658636	4	40	10	right	left	0	13	15.33	848
2	3	1129.2087811652604	4	40	10	right	right	1	29	15.112	1919
2	4	1392.845945958028	4	40	10	left	left	1	41	15.18	2701
2	5	1018.3200372024722	4	40	10	left	left	1	52	15.196	3422
2	6	530.9889461256851	4	40	10	right	right	1	46	15.395	2988
2	7	773.1494911590554	4	40	10	left	left	1	39	15.169	2571
2	8	658.3795680200302	4	40	10	left	right	0	27	15.385	1755
2	9	1244.0602346567302	4	40	10	right	right	1	22	15.278	1440
2	10	1683.1275910494016	4	40	10	right	right	1	22	15.193	1448
2	11	576.6914925331616	4	40	10	right	right	1	28	15.453	1812
2	12	2089.167314432113	4	40	10	left	left	1	65	15.183	4281
2	13	575.9437397389724	4	40	10	left	right	0	108	15.259	7078
2	14	2684.8598294167623	4	40	10	right	right	1	26	15.366	1692
2	15	252.53309919634876	4	40	10	right	right	1	12	14.963	802
2	16	424.15177604216575	4	40	10	right	right	1	39	15.482	2519
2	17	563.656090928825	4	40	10	left	left	1	38	15.335	2478
2	18	845.3120792802346	4	40	10	left	left	1	22	15.11	1456
2	19	1143.3029100251851	4	40	10	right	right	1	33	15.377	2146
2	20	716.0015016242032	4	40	10	left	left	1	22	15.017	1465
2	21	558.4854606469273	4	40	10	right	right	1	20	15.564	1285
2	22	1773.855757778403	4	40	10	right	right	1	12	15.852	757
2	23	254.80590478394288	4	40	10	left	left	1	31	15.354	2019
2	24	319.6905035079202	4	40	10	right	right	1	15	15.306	980
2	25	261.55598296882073	4	40	10	left	left	1	17	15.084	1127
2	26	1495.09356782163	4	40	10	right	left	0	22	15.493	1420
2	27	1894.5262246064055	4	40	10	left	left	1	30	15.252	1967
2	28	279.7182207558821	4	40	10	right	right	1	17	15.918	1068
2	29	216.73174012194858	4	40	10	left	left	1	48	15.399	3117
2	30	962.6903759372446	4	40	10	left	left	1	37	15.41	2401
2	31	2009.7179137131336	4	40	10	right	right	1	10	16.129	620
2	32	1089.8176281672715	4	40	10	left	left	1	26	15.321	1697
2	33	989.2391714298425	4	40	10	left	left	1	41	15.483	2648
2	34	1970.885288302419	4	40	10	right	right	1	19	15.224	1248
2	35	729.1275213472497	4	40	10	right	right	1	28	15.301	1830
2	36	221.88982981675357	4	40	10	right	left	0	89	15.255	5834
2	37	420.97756532971425	4	40	10	right	left	0	30	15.228	1970
2	38	608.9835964871695	4	40	10	left	left	1	35	15.542	2252
2	39	1035.1421970974825	4	40	10	left	left	1	26	15.578	1669
2	40	2193.7404372378687	4	40	10	left	left	1	32	15.437	2073
3	1	322.4899727449791	4	40	10	right	right	1	14	15.982	876
3	2	331.87903144353595	4	40	10	right	right	1	15	15.593	962
3	3	656.4946157710402	4	40	10	right	right	1	11	15.299	719
3	4	1129.027331710801	4	40	10	left	left	1	15	15.244	984
3	5	406.5898192719869	4	40	10	left	left	1	11	16.224	678
3	6	1103.2407282302008	4	40	10	right	right	1	17	15.933	1067
3	7	2519.767798164891	4	40	10	left	left	1	17	15.138	1123
3	8	1281.3516090880482	4	40	10	right	right	1	11	15.988	688
3	9	383.57765743791975	4	40	10	left	left	1	13	15.834	821
3	10	502.6060164491073	4	40	10	right	right	1	14	15.819	885
3	11	2140.9411055409537	4	40	10	left	right	0	10	15.798	633
3	12	1427.814813491504	4	40	10	right	right	1	16	15.873	1008
3	13	1010.5435559912313	4	40	10	right	right	1	14	15.504	903
3	14	270.5714946584972	4	40	10	left	left	1	14	15.251	918
3	15	262.7904009521349	4	40	10	left	left	1	30	15.377	1951
3	16	1083.3551509482331	4	40	10	left	left	1	47	15.265	3079
3	17	2013.2140207249162	4	40	10	left	left	1	20	15.552	1286
3	18	210.25729286188323	4	40	10	left	left	1	33	15.421	2140
3	19	520.1173817770314	4	40	10	right	right	1	11	14.885	739
3	20	341.9130394628101	4	40	10	right	right	1	13	15.931	816
3	21	731.9565928999108	4	40	10	right	right	1	12	15.544	772
3	22	285.1379191060318	4	40	10	right	right	1	19	15.212	1249
3	23	644.5789118953772	4	40	10	right	left	0	12	16.216	740
3	24	2197.120769833139	4	40	10	left	left	1	17	15.413	1103
3	25	277.91586769666605	4	40	10	left	left	1	27	15.58	1733
3	26	378.70406849813616	4	40	10	right	right	1	12	15.789	760
3	27	555.8341180136499	4	40	10	right	right	1	10	15.974	626
3	28	273.1724386189828	4	40	10	left	right	0	9	14.975	601
3	29	851.3729144844027	4	40	10	right	right	1	24	15.152	1584
3	30	1482.5369411531528	4	40	10	left	left	1	20	15.504	1290
3	31	632.2776317147062	4	40	10	right	right	1	11	15.172	725
3	32	329.91932852806866	4	40	10	left	left	1	32	15.519	2062
3	33	419.1430330612053	4	40	10	right	right	1	11	15.278	720
3	34	435.14739306482954	4	40	10	left	left	1	13	15.169	857
3	35	1494.6633776728065	4	40	10	right	right	1	7	15.385	455
3	36	387.2961740386153	4	40	10	right	left	0	28	15.402	1818
3	37	3506.3816754276326	4	40	10	left	left	1	18	15.063	1195
3	38	295.1855282225215	4	40	10	left	left	1	47	15.142	3104
3	39	813.9810307283053	4	40	10	left	left	1	26	15.134	1718
3	40	473.5205931242514	4	40	10	left	left	1	38	15.292	2485
4	1	506.58575055543554	4	40	10	right	right	1	31	15.093	2054
4	2	1153.9846402304128	4	40	10	right	left	0	14	15.184	922
4	3	1998.6916787456007	4	40	10	right	right	1	9	15.385	585
4	4	1502.6705196974735	4	40	10	right	right	1	13	15.719	827
4	5	255.2812183763458	4	40	10	left	left	1	20	15.373	1301
4	6	299.10084320617773	4	40	10	left	left	1	29	15.385	1885
4	7	505.06179116256174	4	40	10	left	left	1	20	15.773	1268
4	8	638.4762108944512	4	40	10	right	right	1	33	15.335	2152
4	9	333.8015902947621	4	40	10	left	left	1	16	15.489	1033
4	10	248.50375014409	4	40	10	right	right	1	19	15.51	1225
4	11	493.61041964608506	4	40	10	left	right	0	17	15.385	1105
4	12	854.4072649114768	4	40	10	left	right	0	17	15.219	1117
4	13	511.37606053586574	4	40	10	right	right	1	11	16.345	673
4	14	1239.4187319700802	4	40	10	left	right	0	10	15.699	637
4	15	688.5565323552516	4	40	10	left	left	1	22	15.172	1450
4	16	784.4367011557645	4	40	10	right	right	1	13	16.27	799
4	17	4487.8509366751705	4	40	10	right	right	1	17	15.233	1116
4	18	833.6628655849219	4	40	10	left	left	1	28	15.368	1822
4	19	366.2364784567643	4	40	10	left	left	1	29	15.55	1865
4	20	760.4730655742526	4	40	10	left	left	1	35	15.569	2248
4	21	312.50303757078506	4	40	10	right	left	0	23	15.162	1517
4	22	1043.5738393831052	4	40	10	right	right	1	12	15.957	752
4	23	1090.7594857169006	4	40	10	right	right	1	13	15.815	822
4	24	1163.399170468359	4	40	10	right	right	1	22	15.352	1433
4	25	265.7292160091367	4	40	10	left	right	0	21	15.544	1351
4	26	1119.409867308876	4	40	10	right	left	0	26	15.43	1685
4	27	458.92679301320066	4	40	10	right	left	0	27	15.254	1770
4	28	905.494269484302	4	40	10	left	right	0	27	15.186	1778
4	29	571.5347542377447	4	40	10	left	left	1	37	15.239	2428
4	30	681.6622813633387	4	40	10	right	left	0	72	15.345	4692
4	31	647.6555900855425	4	40	10	right	left	0	24	15.514	1547
4	32	1586.7242900964508	4	40	10	left	left	1	18	15.345	1173
4	33	3591.4102812401515	4	40	10	left	right	0	56	15.351	3648
4	34	516.6744441973956	4	40	10	left	left	1	30	15.275	1964
4	35	248.0358252084277	4	40	10	left	right	0	51	15.274	3339
4	36	807.7942462218384	4	40	10	left	left	1	22	15.471	1422
4	37	219.836811458075	4	40	10	right	right	1	29	15.128	1917
4	38	607.823903602283	4	40	10	left	right	0	21	15.328	1370
4	39	278.584452638725	4	40	10	right	right	1	14	15.402	909
4	40	2160.5490872556775	4	40	10	right	right	1	19	15.625	1216
