
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	1634.7822089160322	4	40	10	right	left	0	110	15.271	7203
1	2	579.4158330386434	4	40	10	left	right	0	41	15.253	2688
1	3	1227.0406521787825	4	40	10	right	left	0	46	15.405	2986
1	4	771.237175500192	4	40	10	left	left	1	64	15.213	4207
1	5	689.5144949214248	4	40	10	right	right	1	60	15.377	3902
1	6	746.6338079624173	4	40	10	right	left	0	75	15.207	4932
1	7	420.2803795300755	4	40	10	left	left	1	88	15.262	5766
1	8	419.0426918567421	4	40	10	left	left	1	99	15.226	6502
1	9	934.1989257269125	4	40	10	right	right	1	60	15.171	3955
1	10	1002.2466296271976	4	40	10	left	left	1	54	15.28	3534
1	11	299.67816171700633	4	40	10	left	left	1	62	15.196	4080
1	12	870.7953278995021	4	40	10	right	left	0	70	15.207	4603
1	13	365.0236787055012	4	40	10	left	left	1	71	15.302	4640
1	14	739.3846954487093	4	40	10	right	right	1	27	15.306	1764
1	15	930.6783413070705	4	40	10	right	left	0	35	15.453	2265
1	16	2956.633603749808	4	40	10	left	right	0	47	15.26	3080
1	17	200.6820008354373	4	40	10	left	left	1	59	15.155	3893
1	18	206.32631279738862	4	40	10	right	right	1	76	15.335	4956
1	19	409.3320246658499	4	40	10	right	right	1	29	15.328	1892
1	20	479.05268523763	4	40	10	right	left	0	15	15.723	954
1	21	299.7485626951857	4	40	10	right	left	0	42	15.234	2757
1	22	336.6716775082147	4	40	10	left	left	1	27	15.411	1752
1	23	1769.8981662989747	4	40	10	right	right	1	102	15.281	6675
1	24	208.79382734656002	4	40	10	right	right	1	40	15.373	2602
1	25	1492.523237771197	4	40	10	right	right	1	70	15.287	4579
1	26	374.7222451101827	4	40	10	left	left	1	76	15.304	4966
1	27	1189.764193957659	4	40	10	right	right	1	49	15.428	3176
1	28	748.4582155025807	4	40	10	right	left	0	46	15.333	3000
1	29	356.8135443598894	4	40	10	left	left	1	40	15.492	2582
1	30	2094.683155758445	4	40	10	right	right	1	114	15.21	7495
1	31	209.13976137278817	4	40	10	left	right	0	75	15.219	4928
1	32	347.9337048363217	4	40	10	right	right	1	45	15.395	2923
1	33	1044.9566612574472	4	40	10	left	left	1	30	15.593	1924
1	34	543.8077885557886	4	40	10	left	left	1	82	15.296	5361
1	35	838.6881101637828	4	40	10	left	left	1	20	15.86	1261
1	36	416.98427435649353	4	40	10	left	left	1	60	15.267	3930
1	37	356.4851165247007	4	40	10	left	left	1	32	15.274	2095
1	38	231.35771831240152	4	40	10	left	left	1	38	15.17	2505
1	39	337.51389459201846	4	40	10	left	left	1	42	15.19	2765
1	40	878.3477170178938	4	40	10	right	right	1	141	15.176	9291
2	1	389.48348855372507	4	40	10	left	right	0	65	15.359	4232
2	2	1064.5698037655793	4	40	10	right	left	0	50	15.418	3243
2	3	449.5409232605688	4	40	10	right	right	1	32	15.496	2065
2	4	232.32224326567567	4	40	10	left	left	1	38	15.164	2506
2	5	1999.6951529834155	4	40	10	left	left	1	29	15.223	1905
2	6	206.3080829162758	4	40	10	right	right	1	46	15.441	2979
2	7	237.2140867339049	4	40	10	left	left	1	53	15.247	3476
2	8	1586.5536887061726	4	40	10	right	left	0	29	15.255	1901
2	9	406.98755194356704	4	40	10	left	left	1	236	15.192	15535
2	10	2678.428358510638	4	40	10	left	left	1	28	15.478	1809
2	11	204.3932728173932	4	40	10	right	right	1	17	15.611	1089
2	12	340.29553900121255	4	40	10	left	left	1	16	15.733	1017
2	13	672.5447603346688	4	40	10	right	right	1	31	15.316	2024
2	14	1286.0462313239461	4	40	10	left	left	1	17	15.888	1070
2	15	745.6909397784077	4	40	10	right	right	1	31	15.431	2009
2	16	1676.5253334130539	4	40	10	left	left	1	15	15.385	975
2	17	2549.8881593290703	4	40	10	right	right	1	24	15.645	1534
2	18	418.8925489910551	4	40	10	left	left	1	15	15.873	945
2	19	378.2640971985792	4	40	10	left	left	1	13	15.682	829
2	20	1117.2327925286	4	40	10	left	left	1	11	15.257	721
