
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	1396.8988481576005	4	40	10	right	left	0	193	15.193	12703
1	2	296.78141842867456	4	40	10	right	right	1	159	15.189	10468
1	3	540.0488478562314	4	40	10	left	left	1	22	15.703	1401
1	4	791.4765285110393	4	40	10	right	right	1	25	15.253	1639
1	5	1687.7355515011288	4	40	10	right	right	1	22	15.449	1424
1	6	2140.514649775716	4	40	10	left	left	1	66	15.2	4342
1	7	354.4825662818298	4	40	10	left	right	0	20	15.314	1306
1	8	654.9234749789291	4	40	10	left	left	1	86	15.262	5635
1	9	294.16236095451524	4	40	10	right	right	1	109	15.266	7140
1	10	854.8395127526356	4	40	10	right	left	0	158	15.17	10415
1	11	796.7635100887715	4	40	10	right	right	1	119	15.21	7824
1	12	1221.2302964164846	4	40	10	left	left	1	65	15.251	4262
1	13	1523.8973566318982	4	40	10	left	left	1	57	15.351	3713
1	14	439.9369231386206	4	40	10	right	right	1	84	15.314	5485
1	15	447.6906203960331	4	40	10	right	right	1	32	15.253	2098
1	16	1809.6496177500844	4	40	10	right	right	1	23	15.447	1489
1	17	1716.776535601869	4	40	10	left	left	1	39	15.482	2519
1	18	894.7421897718193	4	40	10	left	left	1	23	15.272	1506
1	19	1205.568438607661	4	40	10	left	left	1	75	15.164	4946
1	20	749.3037508822637	4	40	10	left	left	1	26	15.178	1713
1	21	1810.274239321543	4	40	10	right	right	1	22	15.417	1427
1	22	235.6675333031126	4	40	10	left	left	1	68	15.23	4465
1	23	739.4809963385215	4	40	10	left	left	1	18	15.228	1182
1	24	257.95117308221324	4	40	10	left	left	1	58	15.271	3798
1	25	300.9983779192246	4	40	10	right	right	1	29	15.5	1871
1	26	208.43417696389582	4	40	10	right	right	1	22	15.214	1446
1	27	1078.952302502193	4	40	10	left	left	1	23	15.604	1474
1	28	631.73039514259	4	40	10	left	left	1	19	15.347	1238
1	29	302.47474482497563	4	40	10	right	right	1	28	15.284	1832
1	30	1028.6481930176042	4	40	10	right	right	1	18	15.557	1157
1	31	250.85293248009182	4	40	10	right	right	1	22	15.658	1405
1	32	413.31554328995253	4	40	10	right	right	1	20	15.711	1273
1	33	788.3179043127657	4	40	10	left	left	1	50	15.152	3300
1	34	1009.1965550806906	4	40	10	right	right	1	19	15.638	1215
1	35	391.66577363437364	4	40	10	left	left	1	19	15.548	1222
1	36	201.2219433026233	4	40	10	right	right	1	18	15.734	1144
1	37	4015.3031966024896	4	40	10	left	left	1	30	15.552	1929
1	38	931.663472132994	4	40	10	left	left	1	22	15.493	1420
1	39	1949.088353942358	4	40	10	right	left	0	87	15.228	5713
1	40	2294.953671070474	4	40	10	left	left	1	27	15.358	1758
2	1	239.80894643313312	4	40	10	right	right	1	21	15.885	1322
2	2	1642.2553179141394	4	40	10	right	right	1	19	15.536	1223
2	3	1058.1398069058332	4	40	10	left	left	1	31	15.625	1984
2	4	363.3453331474401	4	40	10	right	right	1	22	15.428	1426
2	5	712.632798474425	4	40	10	left	left	1	23	15.212	1512
2	6	1489.3965946607811	4	40	10	right	left	0	18	15.267	1179
2	7	769.6948092930278	4	40	10	left	left	1	24	15.326	1566
2	8	507.54743457574756	4	40	10	left	right	0	19	15.422	1232
2	9	388.70508657085475	4	40	10	right	right	1	109	15.255	7145
2	10	1334.4275544295663	4	40	10	right	right	1	159	15.199	10461
2	11	589.2800935407301	4	40	10	right	right	1	19	15.249	1246
2	12	366.8689876149779	4	40	10	left	left	1	31	15.362	2018
2	13	232.0200382781926	4	40	10	right	right	1	25	15.451	1618
2	14	1270.1360392695426	4	40	10	left	left	1	28	15.276	1833
2	15	482.82900406050516	4	40	10	right	left	0	76	15.295	4969
2	16	1317.9529360974	4	40	10	left	left	1	38	15.329	2479
2	17	288.231706835246	4	40	10	right	right	1	75	15.201	4934
2	18	402.673726984756	4	40	10	left	left	1	22	15.57	1413
2	19	346.1500478764773	4	40	10	left	left	1	74	15.267	4847
2	20	236.01257262364015	4	40	10	left	left	1	39	15.439	2526
2	21	698.4690401342841	4	40	10	left	left	1	57	15.237	3741
2	22	2319.211965380167	4	40	10	left	left	1	53	15.3	3464
2	23	370.8641366044293	4	40	10	left	left	1	77	15.308	5030
2	24	503.87217095172446	4	40	10	right	left	0	206	15.202	13551
2	25	848.591783618707	4	40	10	left	left	1	31	15.431	2009
2	26	601.3347345321928	4	40	10	left	left	1	28	15.242	1837
2	27	520.148736262538	4	40	10	left	left	1	22	15.193	1448
2	28	309.2534178393799	4	40	10	right	right	1	20	15.198	1316
2	29	652.1596702494212	4	40	10	left	left	1	30	15.464	1940
2	30	618.017042081344	4	40	10	left	left	1	30	15.52	1933
2	31	279.1284412149875	4	40	10	right	right	1	20	15.625	1280
2	32	948.4534953552882	4	40	10	right	right	1	20	15.314	1306
2	33	1043.8043659838381	4	40	10	right	right	1	17	15.568	1092
2	34	267.6232723321741	4	40	10	right	right	1	54	15.173	3559
2	35	1256.38802240203	4	40	10	right	right	1	44	15.288	2878
2	36	402.67735598823725	4	40	10	right	right	1	39	15.439	2526
2	37	543.968229204515	4	40	10	left	left	1	27	15.402	1753
2	38	1352.7366317316819	4	40	10	right	left	0	26	15.476	1680
2	39	402.0552741280587	4	40	10	left	left	1	21	15.625	1344
2	40	1616.0255472123742	4	40	10	right	right	1	13	16.049	810
3	1	1092.303508100566	4	40	10	left	left	1	27	15.526	1739
3	2	591.5297052598883	4	40	10	left	left	1	31	15.347	2020
3	3	306.28889818597384	4	40	10	left	left	1	20	15.385	1300
3	4	436.0847843442406	4	40	10	left	right	0	20	15.221	1314
3	5	740.1041360381666	4	40	10	right	right	1	29	15.426	1880
3	6	722.7827978626427	4	40	10	right	left	0	107	15.205	7037
3	7	310.01887945908834	4	40	10	right	right	1	31	15.408	2012
3	8	750.0879132957673	4	40	10	right	right	1	19	15.422	1232
3	9	332.60846490519896	4	40	10	right	right	1	38	15.273	2488
3	10	1301.8855438244916	4	40	10	left	left	1	22	15.703	1401
3	11	317.0090533264944	4	40	10	right	right	1	24	15.335	1565
3	12	208.52641591625942	4	40	10	left	left	1	49	15.251	3213
3	13	607.0677714792821	4	40	10	left	left	1	14	15.201	921
3	14	412.38724895786754	4	40	10	right	left	0	167	15.172	11007
3	15	215.427660144083	4	40	10	left	left	1	99	15.168	6527
3	16	848.3237674946228	4	40	10	right	right	1	19	15.347	1238
3	17	408.78820747470877	4	40	10	left	left	1	9	15.986	563
3	18	1427.074874668986	4	40	10	left	left	1	9	16.014	562
3	19	1240.0231630948922	4	40	10	left	left	1	23	15.786	1457
3	20	633.8901919213629	4	40	10	right	left	0	29	15.533	1867
3	21	428.83582990400134	4	40	10	left	left	1	10	15.576	642
3	22	643.3095528863622	4	40	10	right	left	0	9	16.334	551
3	23	401.3833032854292	4	40	10	right	right	1	76	15.224	4992
3	24	650.2324667975531	4	40	10	right	right	1	11	16.224	678
3	25	1050.0997404532736	4	40	10	left	left	1	19	15.755	1206
3	26	331.24129581051704	4	40	10	right	right	1	88	15.286	5757
3	27	1230.172024763435	4	40	10	left	left	1	20	15.396	1299
3	28	1271.338434360244	4	40	10	left	left	1	28	15.487	1808
3	29	240.90986368980185	4	40	10	right	right	1	20	15.232	1313
3	30	250.91670680179786	4	40	10	left	left	1	21	15.217	1380
3	31	2218.0519703191903	4	40	10	right	left	0	36	15.222	2365
3	32	281.0284556839659	4	40	10	right	right	1	67	15.238	4397
3	33	1042.2762038620785	4	40	10	left	left	1	30	15.298	1961
3	34	433.9923780672143	4	40	10	left	left	1	11	15.805	696
3	35	879.1021073406027	4	40	10	right	right	1	23	15.282	1505
3	36	275.3757576022809	4	40	10	right	right	1	15	16.043	935
3	37	443.54193992588324	4	40	10	left	left	1	19	15.176	1252
3	38	643.5369979807311	4	40	10	right	right	1	44	15.209	2893
3	39	3738.5650347722726	4	40	10	right	right	1	23	15.242	1509
3	40	694.4058546610268	4	40	10	left	left	1	26	15.748	1651
4	1	545.1353564897079	4	40	10	right	left	0	54	15.169	3560
4	2	695.058185355876	4	40	10	right	right	1	23	15.374	1496
4	3	1412.6809160070131	4	40	10	right	right	1	35	15.528	2254
4	4	790.1242732362157	4	40	10	right	right	1	14	15.801	886
4	5	336.9269162133594	4	40	10	right	right	1	9	15.385	585
4	6	2339.4254348780664	4	40	10	left	left	1	19	15.31	1241
4	7	952.6094617207096	4	40	10	left	left	1	17	15.539	1094
4	8	304.7781772750688	4	40	10	left	right	0	18	15.241	1181
4	9	1074.7265312387428	4	40	10	left	left	1	43	15.418	2789
4	10	546.8998954428798	4	40	10	left	left	1	23	15.182	1515
4	11	1727.4958033305065	4	40	10	left	left	1	17	15.469	1099
4	12	631.5174477995861	4	40	10	left	left	1	47	15.471	3038
4	13	834.207107123725	4	40	10	left	left	1	17	15.399	1104
4	14	756.9089507412532	4	40	10	left	left	1	23	15.192	1514
