
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	593.0113310929473	4	40	10	left	right	0	36	15.152	2376
1	2	809.3180260321767	4	40	10	right	right	1	14	15.642	895
1	3	923.9578596114919	4	40	10	left	left	1	16	16	1000
1	4	835.7506457910977	4	40	10	right	right	1	9	16.1	559
1	5	1179.73626427919	4	40	10	right	right	1	14	15.784	887
1	6	773.6203911301926	4	40	10	right	right	1	10	15.723	636
1	7	322.63297131659715	4	40	10	left	left	1	10	15.314	653
1	8	644.4205478369963	4	40	10	right	right	1	8	15.267	524
1	9	1422.3762770096919	4	40	10	left	left	1	12	16.173	742
1	10	910.9635769126273	4	40	10	left	left	1	11	15.603	705
1	11	1687.8988010066312	4	40	10	left	left	1	9	16.636	541
1	12	907.2952608550697	4	40	10	right	right	1	6	15.345	391
1	13	1630.3253759289998	4	40	10	left	left	1	12	15.957	752
1	14	440.103713634254	4	40	10	right	right	1	9	15.817	569
1	15	225.2240224235191	4	40	10	right	left	0	8	15.717	509
1	16	798.5349180469398	4	40	10	left	left	1	12	15.287	785
1	17	454.27235090522197	4	40	10	right	left	0	9	15.652	575
1	18	267.0567526536489	4	40	10	left	left	1	11	15.625	704
1	19	2267.7893938308002	4	40	10	left	left	1	10	15.361	651
1	20	286.79184946201076	4	40	10	right	right	1	9	16.216	555
1	21	556.4309354294753	4	40	10	right	right	1	11	15.988	688
1	22	655.2349030685588	4	40	10	left	left	1	8	16.293	491
1	23	1840.5348143843235	4	40	10	right	right	1	12	15.769	761
1	24	588.6373430176451	4	40	10	right	right	1	10	15.291	654
1	25	1545.3748014607067	4	40	10	right	right	1	13	15.682	829
1	26	2815.9484629274775	4	40	10	right	right	1	14	16.073	871
1	27	653.1968750382277	4	40	10	left	left	1	22	15.395	1429
1	28	434.89229722940064	4	40	10	left	right	0	18	15.901	1132
1	29	887.3681292514128	4	40	10	left	left	1	12	15.326	783
1	30	385.01950526811527	4	40	10	right	right	1	11	15.559	707
1	31	813.0314073354316	4	40	10	left	left	1	16	15.857	1009
1	32	713.914527377334	4	40	10	left	left	1	27	15.042	1795
1	33	243.06850182195043	4	40	10	right	right	1	11	15.896	692
1	34	485.175592748986	4	40	10	left	left	1	29	15.376	1886
1	35	1959.0052182417962	4	40	10	left	left	1	10	15.649	639
1	36	2296.5285490093665	4	40	10	right	right	1	16	15.857	1009
1	37	1156.2371102635911	4	40	10	left	right	0	13	15.366	846
1	38	421.04912515162516	4	40	10	left	left	1	10	15.723	636
1	39	889.0712162016599	4	40	10	right	right	1	10	15.198	658
1	40	386.5616601857969	4	40	10	right	right	1	13	15.312	849
2	1	1300.9273250317055	4	40	10	right	right	1	10	15.674	638
2	2	1135.8654702995	4	40	10	right	right	1	11	15.559	707
2	3	1388.8883567325815	4	40	10	right	right	1	10	15.291	654
2	4	770.1161706176939	4	40	10	left	left	1	15	16.164	928
2	5	1383.9981026749847	4	40	10	right	right	1	8	15.238	525
2	6	2091.8347442444706	4	40	10	left	left	1	9	15.901	566
2	7	380.5181082928781	4	40	10	left	left	1	11	15.406	714
2	8	228.98172670131757	4	40	10	right	right	1	10	16.611	602
2	9	2193.4249185366534	4	40	10	left	left	1	10	15.949	627
2	10	894.5712395033418	4	40	10	left	left	1	9	15.177	593
2	11	2785.832032599746	4	40	10	right	right	1	10	16.474	607
2	12	204.78827865279047	4	40	10	left	left	1	16	15.857	1009
2	13	703.4024152452714	4	40	10	left	left	1	9	16.129	558
2	14	723.4721147618677	4	40	10	right	right	1	9	15.845	568
2	15	224.95720694962893	4	40	10	right	right	1	11	15.428	713
2	16	348.12159926740037	4	40	10	left	left	1	11	15.278	720
2	17	908.5879427295844	4	40	10	left	right	0	18	15.203	1184
2	18	400.7821768631291	4	40	10	right	right	1	9	16.364	550
2	19	311.3131638590108	4	40	10	left	left	1	13	15.951	815
2	20	392.34543797559786	4	40	10	right	right	1	12	15.248	787
2	21	1396.8304670767047	4	40	10	left	left	1	13	15.99	813
2	22	283.70607664505627	4	40	10	left	left	1	31	15.226	2036
2	23	266.31588666661725	4	40	10	left	right	0	12	15.345	782
2	24	222.58306643744663	4	40	10	right	right	1	12	15.444	777
2	25	834.669631067087	4	40	10	left	left	1	11	15.278	720
2	26	217.4740742476381	4	40	10	right	right	1	10	16.447	608
2	27	700.8160493831278	4	40	10	right	left	0	11	16.035	686
2	28	588.7568604249678	4	40	10	right	right	1	7	15.385	455
2	29	302.6435290692976	4	40	10	left	left	1	9	15.385	585
2	30	807.3835001841164	4	40	10	right	right	1	8	16.461	486
2	31	209.8755580339184	4	40	10	right	right	1	9	15.126	595
2	32	2402.6014952248465	4	40	10	right	right	1	10	15.314	653
2	33	1200.132863542436	4	40	10	right	right	1	11	15.471	711
2	34	584.0400016090448	4	40	10	left	right	0	9	15.762	571
2	35	381.0220907574636	4	40	10	left	left	1	9	15.652	575
2	36	725.498027279346	4	40	10	left	left	1	11	15.827	695
2	37	1516.145901386369	4	40	10	right	right	1	17	15.525	1095
2	38	303.43090549944895	4	40	10	left	left	1	9	15.625	576
2	39	635.6957256546534	4	40	10	left	left	1	20	15.552	1286
2	40	1380.1168551268252	4	40	10	right	right	1	14	16.279	860
3	1	743.385650635044	4	40	10	left	left	1	11	15.299	719
3	2	885.0574119985921	4	40	10	right	right	1	8	15.534	515
3	3	399.4268530383321	4	40	10	right	right	1	10	15.291	654
3	4	282.8248921367451	4	40	10	left	left	1	8	16.097	497
3	5	610.9435977305977	4	40	10	right	right	1	7	16.092	435
3	6	388.77019010887466	4	40	10	right	left	0	7	15.351	456
3	7	478.1841728154789	4	40	10	left	right	0	10	16.722	598
3	8	661.0797972705332	4	40	10	left	right	0	10	15.848	631
3	9	1185.3653343010928	4	40	10	right	right	1	10	15.504	645
3	10	669.7971672269578	4	40	10	right	right	1	10	16.051	623
3	11	611.3018772183586	4	40	10	left	left	1	31	15.539	1995
3	12	1149.1644156380707	4	40	10	left	left	1	14	15.402	909
3	13	728.0473349659019	4	40	10	left	right	0	10	16.42	609
3	14	229.49866777826958	4	40	10	right	right	1	11	15.406	714
3	15	264.25215977347136	4	40	10	right	right	1	11	16.32	674
3	16	846.8460026502846	4	40	10	right	right	1	13	15.187	856
3	17	1357.5458883129304	4	40	10	left	left	1	12	16	750
3	18	407.92628986778766	4	40	10	left	left	1	9	15.385	585
3	19	3660.3149575220896	4	40	10	right	right	1	9	16.245	554
3	20	596.1144700885534	4	40	10	right	right	1	12	16.043	748
3	21	246.59071014642396	4	40	10	left	left	1	8	15.414	519
