
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	639.4291819270999	4	40	10	left	left	1	21	15.373	1366
1	2	847.5898614975691	4	40	10	left	left	1	15	15.015	999
1	3	349.86304261565385	4	40	10	left	right	0	31	15.271	2030
1	4	606.7695942207159	4	40	10	right	left	0	16	15.137	1057
1	5	1083.7536924479639	4	40	10	right	right	1	15	15.658	958
1	6	651.6981504860357	4	40	10	right	right	1	10	15.221	657
1	7	1066.9024163570625	4	40	10	left	left	1	12	15.019	799
1	8	556.8865004901838	4	40	10	left	right	0	20	15.004	1333
1	9	274.0280825243251	4	40	10	left	left	1	11	15.342	717
1	10	2743.1088944146527	4	40	10	right	right	1	14	14.941	937
1	11	1059.4919359303487	4	40	10	left	left	1	10	16.367	611
1	12	256.0889356522719	4	40	10	right	right	1	10	16.181	618
1	13	443.27274920968415	4	40	10	left	left	1	12	16.021	749
1	14	639.9872304740445	4	40	10	right	right	1	9	15.126	595
1	15	1273.9756864334704	4	40	10	right	right	1	10	15.873	630
1	16	308.74308461058587	4	40	10	right	left	0	12	15.873	756
1	17	1680.8485895045026	4	40	10	left	left	1	54	15.025	3594
1	18	763.4981597838616	4	40	10	right	right	1	15	15.03	998
1	19	285.61017392510774	4	40	10	left	left	1	15	15.773	951
1	20	750.0026282636206	4	40	10	right	right	1	11	15.385	715
1	21	410.9983606841962	4	40	10	right	right	1	18	15.517	1160
1	22	417.83776488304966	4	40	10	left	left	1	9	15.228	591
1	23	1721.9259243506685	4	40	10	right	left	0	10	15.576	642
1	24	598.6381172998384	4	40	10	right	right	1	10	15.552	643
1	25	529.7792422247337	4	40	10	left	right	0	8	15.81	506
1	26	454.4602341022185	4	40	10	right	right	1	13	15.738	826
1	27	418.27137394837007	4	40	10	right	right	1	9	16.245	554
1	28	1012.4559358306174	4	40	10	right	right	1	8	15.038	532
1	29	350.29947390636164	4	40	10	left	left	1	8	16.427	487
1	30	478.7999902983902	4	40	10	right	right	1	10	16.181	618
