
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	2618.9191127943545	4	40	10	right	left	0	79	15.184	5203
1	2	203.13893670196288	4	40	10	left	right	0	133	15.2	8750
1	3	223.76781788779272	4	40	10	left	left	1	21	15.487	1356
1	4	562.0292753198325	4	40	10	left	left	1	104	15.211	6837
1	5	1437.6068499230153	4	40	10	left	left	1	23	15.457	1488
1	6	325.85267590085596	4	40	10	right	right	1	41	15.472	2650
1	7	226.18798772884628	4	40	10	left	right	0	145	15.242	9513
1	8	216.8522913906343	4	40	10	left	right	0	33	15.442	2137
1	9	2376.8274281069807	4	40	10	right	left	0	22	15.614	1409
1	10	1232.5517745546529	4	40	10	left	right	0	15	16.146	929
1	11	286.57086749641485	4	40	10	left	left	1	64	15.206	4209
1	12	1795.6491033901063	4	40	10	right	left	0	71	15.351	4625
1	13	735.6940443468101	4	40	10	left	left	1	116	15.271	7596
1	14	398.38600842300326	4	40	10	right	right	1	53	15.398	3442
1	15	610.0600591836842	4	40	10	right	right	1	63	15.262	4128
1	16	213.154758540035	4	40	10	right	right	1	50	15.305	3267
1	17	2227.694983151634	4	40	10	left	right	0	30	15.456	1941
1	18	519.574932339696	4	40	10	right	right	1	72	15.29	4709
1	19	1224.7610283110807	4	40	10	right	right	1	54	15.371	3513
1	20	367.8390040993234	4	40	10	left	right	0	48	15.454	3106
1	21	938.626540394942	4	40	10	right	right	1	128	15.262	8387
1	22	1032.4165516568094	4	40	10	right	right	1	87	15.199	5724
1	23	1099.0445817859388	4	40	10	left	right	0	51	15.394	3313
1	24	2427.7674129833767	4	40	10	right	right	1	41	15.379	2666
1	25	361.27589193741255	4	40	10	left	right	0	70	15.155	4619
1	26	1965.7480165693344	4	40	10	left	right	0	232	15.153	15311
1	27	993.7817726121359	4	40	10	right	right	1	37	15.214	2432
1	28	408.83905199182936	4	40	10	right	right	1	118	15.259	7733
1	29	767.1565137896874	4	40	10	right	right	1	45	15.337	2934
1	30	369.1674425810198	4	40	10	right	right	1	55	15.329	3588
1	31	509.2847667980962	4	40	10	left	right	0	55	15.41	3569
1	32	428.95429953303403	4	40	10	left	left	1	49	15.284	3206
1	33	261.4530236136448	4	40	10	left	right	0	47	15.235	3085
1	34	357.9387103410252	4	40	10	left	left	1	30	15.252	1967
1	35	544.9377480973801	4	40	10	right	right	1	77	15.266	5044
1	36	577.5103674689451	4	40	10	right	right	1	49	15.322	3198
1	37	380.80832192436947	4	40	10	right	right	1	50	15.277	3273
1	38	302.00859852699176	4	40	10	right	right	1	61	15.33	3979
1	39	2061.687240796072	4	40	10	left	left	1	52	15.385	3380
1	40	631.3095789921587	4	40	10	left	left	1	28	15.251	1836
2	1	974.1477871949894	4	40	10	right	right	1	57	15.269	3733
2	2	1049.7037617218143	4	40	10	right	left	0	41	15.27	2685
2	3	636.2970244249336	4	40	10	right	right	1	52	15.444	3367
2	4	431.6937173351556	4	40	10	left	right	0	161	15.182	10605
2	5	1354.2937477820642	4	40	10	right	left	0	42	15.168	2769
2	6	1227.5318876123101	4	40	10	left	right	0	122	15.187	8033
2	7	485.0161396507937	4	40	10	right	left	0	60	15.256	3933
2	8	655.1883265581523	4	40	10	right	left	0	114	15.263	7469
2	9	795.8169168781852	4	40	10	left	left	1	55	15.16	3628
2	10	259.06811593903547	4	40	10	left	left	1	105	15.189	6913
2	11	346.55349530876106	4	40	10	left	left	1	89	15.297	5818
2	12	582.1113605714502	4	40	10	right	left	0	33	15.544	2123
2	13	3002.700334311858	4	40	10	right	left	0	72	15.212	4733
2	14	1193.6380646330726	4	40	10	right	left	0	92	15.229	6041
2	15	205.72325816802004	4	40	10	left	right	0	52	15.214	3418
2	16	357.5050664287064	4	40	10	right	left	0	14	15.625	896
2	17	951.4549975286608	4	40	10	right	right	1	27	15.177	1779
2	18	357.61057764677776	4	40	10	left	right	0	84	15.226	5517
2	19	305.8071682079004	4	40	10	right	left	0	141	15.251	9245
2	20	1885.4036564378364	4	40	10	left	left	1	113	15.172	7448
2	21	892.8331040714462	4	40	10	left	left	1	170	15.158	11215
2	22	1437.685003416833	4	40	10	left	left	1	173	15.199	11382
2	23	259.3058718906085	4	40	10	right	right	1	129	15.164	8507
2	24	1092.4032414919748	4	40	10	left	right	0	97	15.161	6398
2	25	1395.5374126987665	4	40	10	left	right	0	36	15.378	2341
2	26	1233.1931763986636	4	40	10	left	right	0	55	15.231	3611
2	27	493.0013775673114	4	40	10	left	left	1	25	15.763	1586
2	28	605.4538593952435	4	40	10	left	left	1	191	15.189	12575
2	29	1131.6025637369717	4	40	10	right	right	1	133	15.242	8726
2	30	1991.5894500873112	4	40	10	left	right	0	162	15.214	10648
2	31	473.956124452198	4	40	10	right	left	0	101	15.19	6649
