
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	411.7281208985846	4	40	10	right	right	1	91	15.177	5996
1	2	210.0864633257747	4	40	10	left	right	0	54	15.367	3514
1	3	285.3473804699734	4	40	10	right	right	1	58	15.295	3792
1	4	948.5473084679486	4	40	10	left	left	1	47	15.415	3049
1	5	2815.197591137555	4	40	10	right	left	0	45	15.322	2937
1	6	1316.3139938954728	4	40	10	right	right	1	56	15.359	3646
1	7	322.99423283631626	4	40	10	left	right	0	41	15.276	2684
1	8	253.21406697884788	4	40	10	right	right	1	23	15.395	1494
1	9	673.3319796147023	4	40	10	left	right	0	37	15.308	2417
1	10	918.5641877570258	4	40	10	right	right	1	49	15.265	3210
1	11	688.3691183426199	4	40	10	right	right	1	15	15.496	968
1	12	1340.7980697876894	4	40	10	right	left	0	54	15.293	3531
1	13	444.1045081886575	4	40	10	right	right	1	27	15.643	1726
1	14	459.92046793515755	4	40	10	left	right	0	27	15.271	1768
1	15	529.9831161739821	4	40	10	right	right	1	41	15.419	2659
1	16	1028.42905042449	4	40	10	left	right	0	38	15.335	2478
1	17	3243.798010881288	4	40	10	left	left	1	59	15.222	3876
1	18	372.92271578324244	4	40	10	left	right	0	56	15.164	3693
1	19	296.45710663576625	4	40	10	left	left	1	37	15.164	2440
1	20	282.49990059127686	4	40	10	left	left	1	71	15.226	4663
1	21	260.61234072865756	4	40	10	right	right	1	60	15.302	3921
1	22	795.8206989587457	4	40	10	left	left	1	51	15.224	3350
1	23	824.1173776580141	4	40	10	left	left	1	70	15.148	4621
1	24	304.7419869581897	4	40	10	left	right	0	26	15.348	1694
1	25	657.8347422091604	4	40	10	right	right	1	45	15.085	2983
1	26	222.04019900145516	4	40	10	right	left	0	67	15.252	4393
1	27	926.1340820575119	4	40	10	left	right	0	56	15.23	3677
1	28	441.0694173329358	4	40	10	right	right	1	59	15.109	3905
1	29	1456.9501991478232	4	40	10	right	right	1	55	15.227	3612
1	30	1294.7628527419704	4	40	10	right	right	1	60	15.283	3926
1	31	743.3993610286245	4	40	10	left	right	0	62	15.222	4073
1	32	658.320687837959	4	40	10	right	right	1	46	15.344	2998
1	33	989.4760417034306	4	40	10	left	left	1	27	15.323	1762
1	34	1937.4221839526201	4	40	10	left	left	1	38	15.329	2479
1	35	1578.591440510022	4	40	10	left	left	1	36	15.228	2364
1	36	760.5871437830624	4	40	10	right	left	0	55	15.265	3603
1	37	309.7010654387164	4	40	10	right	left	0	66	15.288	4317
1	38	412.22861990912037	4	40	10	left	right	0	29	15.152	1914
1	39	262.5592903057031	4	40	10	right	left	0	70	15.284	4580
1	40	424.49865713868496	4	40	10	left	right	0	69	15.118	4564
2	1	435.63463494862265	4	40	10	right	right	1	74	15.264	4848
2	2	221.76623407962094	4	40	10	right	right	1	98	15.281	6413
2	3	206.80247324200928	4	40	10	left	left	1	90	15.252	5901
2	4	264.53365866901197	4	40	10	right	right	1	61	15.058	4051
2	5	376.67972693284605	4	40	10	right	right	1	47	15.127	3107
2	6	664.6743199511623	4	40	10	right	right	1	56	15.317	3656
2	7	1445.0510664065298	4	40	10	right	left	0	84	15.295	5492
2	8	1274.4797611515341	4	40	10	right	right	1	21	15.602	1346
2	9	1164.9146880254998	4	40	10	right	right	1	21	15.251	1377
2	10	1160.3635411714854	4	40	10	right	right	1	45	15.275	2946
2	11	208.7420885647304	4	40	10	left	right	0	66	15.267	4323
2	12	301.8337249765241	4	40	10	left	left	1	42	15.323	2741
2	13	210.40359250048368	4	40	10	left	left	1	22	15.537	1416
2	14	880.8795131875825	4	40	10	right	right	1	13	15.403	844
2	15	907.9191638291566	4	40	10	left	right	0	36	15.183	2371
2	16	1067.043832387375	4	40	10	left	right	0	65	15.201	4276
2	17	2013.4520968275247	4	40	10	right	right	1	14	15.419	908
2	18	2675.5855822748326	4	40	10	left	right	0	30	15.504	1935
2	19	722.0566155069616	4	40	10	right	left	0	43	15.385	2795
2	20	1458.8156457066393	4	40	10	left	right	0	67	15.22	4402
2	21	1284.6717739139197	4	40	10	left	left	1	27	15.135	1784
2	22	1109.5087065936036	4	40	10	left	right	0	37	15.308	2417
