
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	1964.143888665466	4	40	10	left	right	0	66	15.141	4359
1	2	679.7469526779055	4	40	10	left	right	0	24	15.615	1537
1	3	200.88419974070803	4	40	10	left	left	1	13	15.99	813
1	4	349.41603881970065	4	40	10	right	right	1	18	15.762	1142
1	5	257.1012804463185	4	40	10	left	right	0	31	15.586	1989
1	6	240.48594270744394	4	40	10	left	left	1	23	15.509	1483
1	7	2298.2248766602474	4	40	10	right	right	1	22	15.614	1409
1	8	317.0734537405033	4	40	10	right	left	0	15	16.181	927
1	9	300.4673307984543	4	40	10	right	right	1	19	15.86	1198
1	10	764.200029296945	4	40	10	left	left	1	26	15.178	1713
1	11	832.1088861642918	4	40	10	left	left	1	14	16.148	867
1	12	480.1781852511067	4	40	10	right	right	1	30	15.129	1983
1	13	472.89288014166505	4	40	10	right	left	0	29	15.247	1902
1	14	423.35872806846237	4	40	10	left	right	0	15	16.164	928
1	15	208.8353282970535	4	40	10	right	left	0	28	15.487	1808
1	16	549.1306213787022	4	40	10	right	left	0	13	15.312	849
1	17	846.8526201890912	4	40	10	right	right	1	15	16.146	929
1	18	210.11536797380927	4	40	10	right	right	1	13	15.458	841
1	19	291.27276424818916	4	40	10	left	right	0	14	15.119	926
1	20	268.1121290535847	4	40	10	left	left	1	14	15.317	914
1	21	448.36116545959464	4	40	10	right	left	0	16	15.385	1040
1	22	718.2218114048065	4	40	10	left	right	0	10	16.694	599
1	23	1175.5685306925084	4	40	10	right	right	1	18	15.611	1153
1	24	1123.5163527740992	4	40	10	right	right	1	11	16.32	674
1	25	231.252251651853	4	40	10	left	left	1	22	15.183	1449
1	26	369.9097580839839	4	40	10	left	left	1	16	16.08	995
1	27	562.2049749233829	4	40	10	right	left	0	20	15.152	1320
1	28	503.26905331238686	4	40	10	left	left	1	24	15.574	1541
1	29	389.2800234393192	4	40	10	right	right	1	17	15.611	1089
1	30	408.38524087589917	4	40	10	right	right	1	29	15.287	1897
1	31	249.07843964778237	4	40	10	right	left	0	26	15.71	1655
1	32	478.86169232820936	4	40	10	left	right	0	11	15.647	703
1	33	560.759839256372	4	40	10	right	left	0	21	15.228	1379
1	34	273.01749609319046	4	40	10	right	right	1	12	15.306	784
1	35	370.5827821224084	4	40	10	left	left	1	22	15.692	1402
1	36	555.0155942386218	4	40	10	left	right	0	11	15.385	715
1	37	297.5982765962366	4	40	10	left	right	0	26	15.267	1703
1	38	472.44329146498006	4	40	10	left	left	1	11	16.153	681
