
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	1813.2170769960292	4	40	10	left	left	1	31	15.159	2045
1	2	1862.7962843940243	4	40	10	left	right	0	23	15.488	1485
1	3	295.9195116946722	4	40	10	left	left	1	24	15.19	1580
1	4	472.8043776635167	4	40	10	left	left	1	21	15.075	1393
1	5	206.51813163129583	4	40	10	left	right	0	19	15.677	1212
1	6	965.3064957247947	4	40	10	left	left	1	23	15.457	1488
1	7	346.2565918904053	4	40	10	left	left	1	35	15.204	2302
1	8	1167.666347447006	4	40	10	left	right	0	26	15.339	1695
1	9	295.8392605923739	4	40	10	left	left	1	19	15.638	1215
1	10	1857.8424416456583	4	40	10	right	right	1	16	15.564	1028
1	11	840.9134030964684	4	40	10	right	right	1	26	15.24	1706
1	12	1332.1970069212457	4	40	10	right	right	1	16	15.81	1012
1	13	459.147772669441	4	40	10	right	right	1	19	14.984	1268
1	14	210.26133367646372	4	40	10	left	left	1	17	15.962	1065
1	15	497.381365623403	4	40	10	right	right	1	14	15.184	922
1	16	1782.0155805933184	4	40	10	right	right	1	24	15.345	1564
1	17	594.269792852077	4	40	10	left	left	1	20	15.373	1301
1	18	2109.079502665364	4	40	10	left	left	1	14	16.355	856
1	19	1331.83153503942	4	40	10	right	right	1	12	15.132	793
1	20	1173.1133654139867	4	40	10	right	left	0	14	15.891	881
1	21	1846.7778866846936	4	40	10	right	right	1	11	15.493	710
1	22	1292.8547351732332	4	40	10	right	right	1	15	15.228	985
1	23	360.72532142440605	4	40	10	right	right	1	13	15.892	818
1	24	287.41544130160196	4	40	10	right	right	1	15	15.576	963
1	25	1319.4314447775578	4	40	10	left	left	1	16	15.64	1023
1	26	335.18246349531444	4	40	10	right	right	1	11	15.581	706
1	27	639.3914633038339	4	40	10	right	right	1	12	15.038	798
1	28	425.98026815748574	4	40	10	left	right	0	16	15.779	1014
1	29	250.72480241069192	4	40	10	right	right	1	12	15.645	767
1	30	445.93898634092676	4	40	10	right	right	1	11	15.406	714
1	31	702.0292994155944	4	40	10	left	left	1	16	15.842	1010
1	32	299.25734220818845	4	40	10	left	left	1	12	15	800
1	33	243.93402096638266	4	40	10	right	right	1	13	15.421	843
1	34	410.73903666429976	4	40	10	right	right	1	16	14.939	1071
1	35	1374.418635589603	4	40	10	left	left	1	16	15.519	1031
1	36	318.263505199934	4	40	10	left	left	1	22	15.482	1421
1	37	690.422497651484	4	40	10	left	left	1	15	15.152	990
1	38	545.3281701678903	4	40	10	right	right	1	14	16.317	858
1	39	1868.4661790550144	4	40	10	left	left	1	10	15.48	646
1	40	1663.0683239008602	4	40	10	right	right	1	9	16.334	551
2	1	499.0283850187951	4	40	10	left	left	1	11	15.363	716
2	2	564.4169009567333	4	40	10	right	right	1	10	14.881	672
2	3	1644.4205212772454	4	40	10	left	right	0	18	15.693	1147
2	4	1453.0398855622363	4	40	10	right	left	0	13	15.588	834
2	5	388.3704396363519	4	40	10	left	right	0	8	16.327	490
2	6	333.21058145954197	4	40	10	left	right	0	8	15.625	512
2	7	306.3322226676728	4	40	10	left	right	0	9	15.517	580
2	8	757.2555453660118	4	40	10	right	left	0	10	15.432	648
2	9	222.0905958181108	4	40	10	right	left	0	17	15.302	1111
2	10	272.13568482129114	4	40	10	right	right	1	11	15.515	709
2	11	231.24316102953173	4	40	10	left	left	1	9	15.203	592
2	12	924.0247641450194	4	40	10	right	right	1	21	15.251	1377
2	13	738.0432850984714	4	40	10	right	right	1	28	15.292	1831
2	14	1240.2437950239062	4	40	10	right	left	0	12	15.094	795
2	15	958.1428695857747	4	40	10	right	right	1	12	15.686	765
2	16	1551.823760916457	4	40	10	left	right	0	16	15.166	1055
2	17	1425.538627746323	4	40	10	right	right	1	13	15.439	842
2	18	2235.2839673310573	4	40	10	right	right	1	11	15.32	718
2	19	1465.9663862996758	4	40	10	right	right	1	13	15.834	821
2	20	894.6666246161237	4	40	10	right	left	0	18	15.817	1138
2	21	1345.3104878076142	4	40	10	left	left	1	11	15.603	705
2	22	432.83594470075946	4	40	10	right	right	1	9	16.071	560
2	23	439.88074441613054	4	40	10	left	left	1	8	15.936	502
2	24	369.6247859950062	4	40	10	left	right	0	7	15.66	447
2	25	994.1596878688023	4	40	10	left	right	0	113	14.89	7589
2	26	718.6853112628831	4	40	10	right	left	0	11	15.965	689
2	27	1478.5885880828557	4	40	10	right	left	0	10	15.674	638
2	28	368.93860355319066	4	40	10	left	right	0	16	15.857	1009
2	29	264.1257951169758	4	40	10	left	left	1	10	16.181	618
2	30	266.72620607428803	4	40	10	left	left	1	23	15.689	1466
2	31	1209.4094292505092	4	40	10	left	right	0	13	15.777	824
2	32	469.47472978542964	4	40	10	right	right	1	129	15.232	8469
2	33	234.46616728328468	4	40	10	left	left	1	10	16.807	595
2	34	431.40269567895393	4	40	10	left	left	1	10	15.129	661
2	35	1017.2906206242446	4	40	10	right	right	1	13	16.049	810
2	36	987.4984307187349	4	40	10	left	left	1	10	15.823	632
2	37	413.18580098763744	4	40	10	right	left	0	10	14.993	667
2	38	583.2643518450666	4	40	10	left	right	0	9	15.177	593
2	39	258.524808382741	4	40	10	left	left	1	9	15.901	566
2	40	1231.8335638799158	4	40	10	right	right	1	10	15.06	664
3	1	4024.0308493959747	4	40	10	right	right	1	9	16.917	532
3	2	483.51583024403544	4	40	10	right	left	0	9	15.652	575
3	3	253.47891340852743	4	40	10	left	right	0	16	15.08	1061
3	4	594.4212668718244	4	40	10	left	left	1	17	15.888	1070
3	5	436.99797952277527	4	40	10	left	left	1	9	15.411	584
3	6	490.9144387533446	4	40	10	left	left	1	15	15.856	946
3	7	1107.6001020815204	4	40	10	left	left	1	12	15.789	760
3	8	1188.1626725920016	4	40	10	left	left	1	12	14.925	804
3	9	1220.2115180228675	4	40	10	left	left	1	18	15.887	1133
3	10	1925.3381143157167	4	40	10	right	right	1	12	15.957	752
3	11	512.8730019970304	4	40	10	left	left	1	11	15.299	719
3	12	1184.9312445371752	4	40	10	left	right	0	11	15.759	698
3	13	299.4631958347368	4	40	10	left	left	1	10	15.385	650
3	14	3351.6576357814947	4	40	10	right	right	1	12	15.979	751
3	15	880.5976050448941	4	40	10	right	right	1	14	15.608	897
3	16	255.82770459057073	4	40	10	right	right	1	10	16.234	616
3	17	376.45522231274174	4	40	10	left	left	1	10	15.106	662
3	18	806.1938751513446	4	40	10	left	left	1	12	16.349	734
3	19	570.1200713144502	4	40	10	left	left	1	9	15.517	580
3	20	1430.2119518000848	4	40	10	right	left	0	9	16.275	553
3	21	856.8502529590625	4	40	10	left	left	1	10	16.667	600
3	22	371.06445506097214	4	40	10	left	left	1	14	15.168	923
3	23	638.1115671002194	4	40	10	right	right	1	17	15.539	1094
3	24	377.84007480520046	4	40	10	right	left	0	7	15.021	466
3	25	3129.3845783384368	4	40	10	right	right	1	19	15.702	1210
3	26	327.0432670509554	4	40	10	right	left	0	7	15.021	466
3	27	945.3542140659366	4	40	10	right	right	1	8	15.779	507
3	28	1100.4724626563361	4	40	10	right	right	1	14	15.284	916
3	29	401.5145855835452	4	40	10	right	left	0	8	16.293	491
3	30	211.9414293224438	4	40	10	right	right	1	11	15.759	698
3	31	1909.3416382647918	4	40	10	left	left	1	10	16.181	618
3	32	301.5213818809991	4	40	10	left	left	1	35	15.184	2305
3	33	1408.9961021440113	4	40	10	right	right	1	8	15.595	513
3	34	1220.9254601799425	4	40	10	right	right	1	34	15.267	2227
3	35	326.9852352876369	4	40	10	right	left	0	8	16.632	481
3	36	2972.305185400568	4	40	10	left	left	1	13	15.205	855
3	37	1202.9352757275171	4	40	10	left	right	0	9	16.484	546
3	38	1409.281520467901	4	40	10	right	left	0	9	15.679	574
3	39	1559.1917300944247	4	40	10	right	left	0	17	15.814	1075
3	40	419.6446649403539	4	40	10	left	left	1	11	15.131	727
