
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	1041.3637403035789	4	40	10	right	right	1	17	15.413	1103
1	2	1363.1070020211696	4	40	10	left	left	1	11	15.152	726
1	3	1264.503272544146	4	40	10	right	right	1	13	15.606	833
1	4	860.8236701892015	4	40	10	left	left	1	11	16.272	676
1	5	298.9415030192887	4	40	10	right	right	1	18	15.831	1137
1	6	1183.1934585310287	4	40	10	right	right	1	13	15.606	833
1	7	1083.3103413248377	4	40	10	left	left	1	18	14.343	1255
1	8	1894.1070983786615	4	40	10	right	right	1	14	14.315	978
1	9	388.01810492391854	4	40	10	left	right	0	14	15.334	913
1	10	3097.101169839767	4	40	10	left	left	1	10	16.129	620
1	11	2082.5061856199554	4	40	10	right	right	1	11	15.603	705
1	12	672.0614697532574	4	40	10	left	right	0	39	15.27	2554
1	13	1536.4338455412064	4	40	10	left	left	1	28	15.259	1835
1	14	484.03420619795384	4	40	10	right	right	1	81	14.709	5507
1	15	605.6315605622913	4	40	10	left	right	0	25	15.528	1610
1	16	2208.9942206105934	4	40	10	right	right	1	22	15.559	1414
1	17	376.2282241418138	4	40	10	right	right	1	10	15.106	662
1	18	540.0113783967613	4	40	10	right	right	1	32	15.656	2044
1	19	1727.0797993663664	4	40	10	left	left	1	12	16.021	749
1	20	741.6372132560649	4	40	10	right	right	1	39	15.415	2530
1	21	782.9963853385185	4	40	10	left	left	1	18	13.314	1352
1	22	250.95356376849537	4	40	10	right	left	0	32	11.632	2751
1	23	359.35418226675483	4	40	10	left	right	0	21	14.403	1458
1	24	2047.3581312699484	4	40	10	left	right	0	28	13.436	2084
1	25	412.34039272189256	4	40	10	right	left	0	26	15.43	1685
1	26	447.8173172521647	4	40	10	left	right	0	69	15.192	4542
1	27	887.041489696779	4	40	10	right	right	1	18	15.803	1139
1	28	777.730561725713	4	40	10	right	left	0	15	15.528	966
1	29	1600.6331181344635	4	40	10	right	right	1	12	14.151	848
1	30	1199.031393260394	4	40	10	left	left	1	12	14.981	801
1	31	522.0082458743776	4	40	10	left	right	0	18	15.721	1145
1	32	1798.2328477976043	4	40	10	right	right	1	33	15.342	2151
1	33	324.2362759056308	4	40	10	right	right	1	34	15.322	2219
1	34	3770.3275498361277	4	40	10	left	left	1	17	15.654	1086
1	35	1299.9608898882927	4	40	10	right	right	1	20	15.14	1321
1	36	321.32171701406315	4	40	10	left	left	1	11	15.428	713
1	37	2409.8209480044	4	40	10	left	left	1	10	7.628	1311
1	38	836.4636060916672	4	40	10	left	left	1	43	14.656	2934
1	39	998.3231933359983	4	40	10	right	left	0	51	15.329	3327
1	40	709.1045881562402	4	40	10	left	right	0	14	15.945	878
2	1	1018.1735183174972	4	40	10	left	left	1	9	16.071	560
2	2	352.2061868483976	4	40	10	right	left	0	9	15.571	578
2	3	1506.3997616903177	4	40	10	left	left	1	26	15.412	1687
2	4	867.2506514588082	4	40	10	left	right	0	16	15.61	1025
2	5	1042.6981207361468	4	40	10	right	left	0	5	10.395	481
2	6	833.5117203710444	4	40	10	right	right	1	10	16.474	607
2	7	332.9876121726556	4	40	10	left	left	1	17	15.903	1069
2	8	210.1893382106704	4	40	10	right	right	1	17	15.455	1100
2	9	749.8115937200826	4	40	10	right	right	1	30	15.456	1941
2	10	227.90369804958854	4	40	10	left	left	1	26	15.606	1666
2	11	1212.1935170462298	4	40	10	right	right	1	18	15.319	1175
2	12	889.2298272074786	4	40	10	right	left	0	24	15.075	1592
2	13	830.0848726485086	4	40	10	left	left	1	15	15.244	984
2	14	485.8700944644651	4	40	10	right	right	1	69	11.659	5918
2	15	1593.719828004228	4	40	10	right	right	1	33	15.158	2177
2	16	248.44895210053272	4	40	10	left	left	1	25	15.674	1595
2	17	311.3636613654759	4	40	10	left	left	1	28	13.732	2039
2	18	2571.4238737886117	4	40	10	right	left	0	10	15.949	627
2	19	461.20733307272417	4	40	10	right	left	0	9	16.071	560
2	20	354.55867460482824	4	40	10	left	right	0	14	15.964	877
2	21	490.93336362092145	4	40	10	left	left	1	7	15.982	438
2	22	244.32684365904848	4	40	10	left	left	1	24	15.365	1562
2	23	397.4438019803062	4	40	10	right	left	0	20	15.385	1300
2	24	1146.4741914060307	4	40	10	right	left	0	8	14.733	543
2	25	686.1881152346344	4	40	10	right	right	1	23	11.247	2045
2	26	375.07787653490715	4	40	10	right	left	0	16	15.123	1058
2	27	435.3119942930517	4	40	10	right	left	0	21	15.097	1391
2	28	1034.8951665835655	4	40	10	right	left	0	14	15.07	929
2	29	605.2136660228978	4	40	10	left	right	0	7	15.695	446
2	30	217.59246622334607	4	40	10	right	left	0	7	15.086	464
2	31	356.32417511212043	4	40	10	left	right	0	19	15.69	1211
2	32	853.4149545150146	4	40	10	right	left	0	9	10.817	832
2	33	1140.9891028781299	4	40	10	left	left	1	14	14.989	934
2	34	425.2699756353634	4	40	10	left	left	1	59	12.973	4548
2	35	1025.5257668849868	4	40	10	left	right	0	31	15.019	2064
2	36	932.6088750089831	4	40	10	left	left	1	11	15.363	716
2	37	547.3588847941303	4	40	10	left	right	0	5	17.301	289
2	38	264.6326634005055	4	40	10	right	left	0	15	15.03	998
2	39	385.72054041562046	4	40	10	left	left	1	28	15.309	1829
2	40	287.7701903243186	4	40	10	left	left	1	12	16.238	739
3	1	420.0612742582622	4	40	10	right	left	0	29	15.344	1890
3	2	950.3541758979258	4	40	10	left	left	1	10	16.181	618
3	3	470.97986074145655	4	40	10	left	left	1	10	14.793	676
3	4	677.3702595880943	4	40	10	right	left	0	11	15.515	709
3	5	312.73582009707684	4	40	10	right	left	0	13	15.7	828
3	6	206.10426002142688	4	40	10	right	left	0	9	15.411	584
3	7	1386.9287739138422	4	40	10	right	left	0	17	15.219	1117
3	8	640.2385664142494	4	40	10	right	right	1	17	15.357	1107
3	9	203.47773634351248	4	40	10	left	left	1	50	15.198	3290
3	10	715.1814296790529	4	40	10	right	left	0	27	15.446	1748
3	11	960.8912617715478	4	40	10	left	left	1	8	11.628	688
3	12	376.308090193573	4	40	10	right	right	1	20	15.026	1331
3	13	232.6664472052753	4	40	10	left	left	1	17	14.202	1197
3	14	837.3122847602638	4	40	10	left	left	1	14	15.021	932
3	15	768.01454255731	4	40	10	right	left	0	10	14.881	672
3	16	2280.4585662700456	4	40	10	left	right	0	10	16.287	614
3	17	1398.1104817659052	4	40	10	left	left	1	10	15.723	636
3	18	391.81406996752605	4	40	10	right	left	0	16	15.579	1027
3	19	845.0551855108706	4	40	10	left	left	1	10	14.97	668
3	20	295.5980934649162	4	40	10	left	right	0	12	15.789	760
3	21	356.10541674813254	4	40	10	right	left	0	7	7.883	888
3	22	322.830258176901	4	40	10	left	left	1	20	15.48	1292
3	23	305.06342140600225	4	40	10	right	left	0	10	13.889	720
3	24	1012.8087224849743	4	40	10	right	right	1	13	16.414	792
3	25	1575.7114002237224	4	40	10	right	right	1	49	15.361	3190
3	26	642.4140548952075	4	40	10	left	left	1	20	15.432	1296
3	27	629.80283343259	4	40	10	left	left	1	9	15.28	589
3	28	501.76374551391376	4	40	10	right	right	1	8	15.656	511
3	29	566.1086129108826	4	40	10	right	right	1	12	15.464	776
3	30	365.5761279768974	4	40	10	right	right	1	9	15.05	598
3	31	611.9988520281893	4	40	10	right	left	0	14	15.982	876
3	32	612.5018315053799	4	40	10	right	left	0	10	14.205	704
3	33	405.7461436797936	4	40	10	left	left	1	14	15.556	900
3	34	473.4666049869265	4	40	10	left	left	1	18	15.203	1184
3	35	228.7513528325941	4	40	10	left	left	1	15	15.593	962
3	36	346.8331242399349	4	40	10	left	right	0	22	15.183	1449
3	37	393.6540182408787	4	40	10	left	right	0	52	15.147	3433
3	38	346.3330358325843	4	40	10	left	left	1	34	15.199	2237
3	39	785.4073322181648	4	40	10	right	right	1	32	15.144	2113
3	40	1303.2192179637452	4	40	10	left	left	1	10	15.974	626
4	1	508.1725291820721	4	40	10	left	left	1	10	14.97	668
4	2	609.3731075602846	4	40	10	left	right	0	11	16.272	676
4	3	964.2715534140997	4	40	10	right	left	0	16	15.385	1040
4	4	1281.3462092344628	4	40	10	left	left	1	10	15.408	649
4	5	745.6673778398623	4	40	10	left	left	1	40	15.326	2610
4	6	429.20713478349967	4	40	10	left	left	1	7	14.862	471
4	7	340.8261016435476	4	40	10	right	left	0	8	15.905	503
4	8	2487.130531038037	4	40	10	right	left	0	8	14.898	537
4	9	402.9629712275358	4	40	10	right	left	0	10	15.773	634
4	10	202.8760319491323	4	40	10	left	left	1	5	6.369	785
4	11	1700.090947051037	4	40	10	left	right	0	10	14.749	678
4	12	467.7551175094122	4	40	10	right	right	1	49	15.298	3203
4	13	889.4314733652552	4	40	10	left	left	1	24	15.028	1597
4	14	1664.9157212957477	4	40	10	right	right	1	18	15.887	1133
4	15	896.9254760846164	4	40	10	left	right	0	28	15.359	1823
4	16	228.10615555583496	4	40	10	right	left	0	16	15.267	1048
4	17	216.3125273555878	4	40	10	right	right	1	32	15.572	2055
4	18	1252.7162020122405	4	40	10	right	left	0	19	15.625	1216
4	19	1419.3557679080866	4	40	10	right	left	0	18	15.267	1179
4	20	868.6734429627494	4	40	10	left	left	1	17	14.37	1183
4	21	905.2945417720247	4	40	10	right	right	1	10	8.591	1164
4	22	2315.011029229559	4	40	10	right	right	1	80	15.198	5264
4	23	266.5149911337817	4	40	10	left	right	0	29	15.175	1911
4	24	905.1378323756156	4	40	10	right	right	1	37	15.226	2430
4	25	689.214648837625	4	40	10	left	left	1	10	15.198	658
4	26	223.36937298149508	4	40	10	right	left	0	8	15.385	520
4	27	333.28919571414815	4	40	10	right	right	1	14	15.801	886
4	28	4962.051919812414	4	40	10	left	right	0	22	15.068	1460
4	29	631.7822478255914	4	40	10	left	left	1	16	15.238	1050
4	30	380.9325056547406	4	40	10	right	left	0	9	15.28	589
4	31	839.9044675394152	4	40	10	left	left	1	13	15.439	842
4	32	512.7868271166253	4	40	10	right	right	1	11	15.363	716
4	33	801.8917042873861	4	40	10	left	right	0	19	15.422	1232
4	34	362.9889245667741	4	40	10	right	left	0	8	16.097	497
4	35	897.8342102515578	4	40	10	left	left	1	11	15.32	718
4	36	287.68111787154885	4	40	10	right	right	1	22	15.515	1418
4	37	970.3085072471624	4	40	10	left	left	1	31	15.263	2031
4	38	481.6619566564584	4	40	10	left	left	1	20	14.055	1423
4	39	628.9569795013758	4	40	10	left	left	1	32	14.625	2188
4	40	835.0727654818263	4	40	10	right	left	0	20	14.535	1376
