
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	833.5132534023332	4	40	10	right	right	1	18	15.557	1157
1	2	470.422089288908	4	40	10	left	left	1	21	15.317	1371
1	3	215.5089343982707	4	40	10	left	right	0	12	15.769	761
1	4	550.9721875180174	4	40	10	right	left	0	11	16.418	670
1	5	1336.0933124559974	4	40	10	right	left	0	27	15.455	1747
1	6	876.5347665888753	4	40	10	left	left	1	52	15.094	3445
1	7	952.2809739804563	4	40	10	left	right	0	21	15.385	1365
1	8	510.6523530158484	4	40	10	left	left	1	14	15.334	913
1	9	968.8617910044268	4	40	10	left	right	0	15	15.723	954
1	10	685.4356346231107	4	40	10	right	left	0	15	15.756	952
1	11	311.14296801932016	4	40	10	left	right	0	11	15.406	714
1	12	409.7991414344607	4	40	10	left	left	1	7	15.982	438
1	13	290.5717732282054	4	40	10	right	right	1	19	15.237	1247
1	14	1749.504434714276	4	40	10	left	left	1	11	15.342	717
1	15	1009.5224945951768	4	40	10	left	right	0	11	15.85	694
1	16	354.17053687177065	4	40	10	right	left	0	12	15.326	783
1	17	245.51372000711854	4	40	10	right	left	0	17	15.288	1112
1	18	1649.4317799142566	4	40	10	left	right	0	7	15.909	440
1	19	317.33650756300665	4	40	10	right	left	0	22	14.997	1467
1	20	271.4527192115502	4	40	10	right	right	1	15	15.291	981
1	21	423.1404607121376	4	40	10	left	left	1	25	15.461	1617
1	22	1463.188566064079	4	40	10	right	right	1	14	15.021	932
1	23	437.00437856297174	4	40	10	left	left	1	11	15.131	727
1	24	330.8283778081242	4	40	10	left	left	1	22	15.493	1420
1	25	1047.2454881073018	4	40	10	right	right	1	11	15.257	721
1	26	217.85946097681222	4	40	10	right	left	0	11	14.966	735
1	27	920.8608808294017	4	40	10	right	right	1	11	16.105	683
1	28	519.7001020006179	4	40	10	left	left	1	8	16.227	493
1	29	407.74047955905894	4	40	10	left	right	0	11	15.068	730
1	30	355.5976537017599	4	40	10	left	left	1	6	15.152	396
1	31	251.71362617891552	4	40	10	right	left	0	11	15.896	692
1	32	651.4516023037079	4	40	10	left	right	0	8	16.293	491
1	33	2901.820575535244	4	40	10	right	left	0	7	16.317	429
1	34	3279.8155865183307	4	40	10	left	right	0	7	16.548	423
1	35	567.0886950556649	4	40	10	right	left	0	9	16.187	556
1	36	470.0016930716541	4	40	10	right	left	0	25	15.006	1666
1	37	2062.6313482827977	4	40	10	right	right	1	20	15.396	1299
1	38	261.964565134538	4	40	10	right	right	1	11	15.919	691
1	39	1054.0669688247722	4	40	10	right	right	1	15	15.756	952
1	40	481.8601292330814	4	40	10	left	right	0	3	17.647	170
2	1	1914.827943896026	4	40	10	left	left	1	19	15.224	1248
2	2	261.30192522733955	4	40	10	left	left	1	12	15.524	773
2	3	1015.3857321770166	4	40	10	right	right	1	58	15.152	3828
2	4	487.6904340519636	4	40	10	left	left	1	27	15.228	1773
2	5	2709.625107277751	4	40	10	right	right	1	12	15.404	779
2	6	681.2636165801002	4	40	10	right	left	0	17	15.455	1100
2	7	609.2376322544085	4	40	10	left	right	0	7	16.588	422
2	8	873.1309629377864	4	40	10	right	right	1	11	16.105	683
2	9	1882.5774368785903	4	40	10	right	left	0	12	15.075	796
2	10	320.72177559212497	4	40	10	right	right	1	7	16.092	435
2	11	667.6324361538516	4	40	10	right	right	1	11	15.235	722
2	12	994.7934995369137	4	40	10	right	right	1	23	15.122	1521
2	13	1815.9751270624279	4	40	10	left	right	0	10	15.601	641
2	14	222.49636550868604	4	40	10	right	left	0	24	15.385	1560
2	15	454.3243084743707	4	40	10	left	right	0	31	15.233	2035
2	16	1091.2866268984235	4	40	10	left	left	1	22	15.342	1434
2	17	1488.2618483676908	4	40	10	left	right	0	24	15.434	1555
2	18	829.5771454966473	4	40	10	left	left	1	8	16.032	499
2	19	414.71061681374044	4	40	10	right	right	1	26	15.366	1692
2	20	283.3577055083504	4	40	10	right	left	0	28	15.217	1840
2	21	1221.886859631939	4	40	10	right	right	1	10	15.038	665
2	22	1262.7184152464795	4	40	10	left	left	1	27	15.385	1755
2	23	515.886012449164	4	40	10	right	right	1	18	15.28	1178
2	24	1873.6419595846419	4	40	10	right	left	0	28	15.427	1815
2	25	206.92665049230584	4	40	10	right	right	1	21	15.351	1368
2	26	662.8049867558675	4	40	10	right	left	0	72	14.991	4803
2	27	347.6724608313808	4	40	10	left	right	0	19	15.079	1260
2	28	1059.243563097986	4	40	10	left	left	1	20	14.937	1339
2	29	241.67451070677066	4	40	10	right	right	1	66	14.973	4408
2	30	500.9723279057154	4	40	10	left	left	1	30	15.167	1978
2	31	688.5027066517434	4	40	10	left	right	0	32	15.209	2104
2	32	232.8861464530184	4	40	10	left	left	1	11	15.193	724
2	33	642.882680003589	4	40	10	left	right	0	13	16.03	811
2	34	1530.5802897633325	4	40	10	right	left	0	5	15.244	328
2	35	627.6333866990158	4	40	10	left	right	0	2	25.974	77
2	36	481.3595770959406	4	40	10	left	left	1	9	16.245	554
2	37	1549.0834288669844	4	40	10	left	right	0	7	15.945	439
2	38	330.25194301590864	4	40	10	left	left	1	6	15.504	387
2	39	916.947978936596	4	40	10	right	left	0	9	15.901	566
2	40	283.5366103023394	4	40	10	right	right	1	7	16.908	414
3	1	356.8826718851818	4	40	10	left	right	0	7	16.548	423
3	2	1980.0764210256937	4	40	10	right	left	0	6	15.666	383
3	3	372.5543632990191	4	40	10	left	right	0	14	15.436	907
3	4	288.2791483884433	4	40	10	left	left	1	31	14.998	2067
3	5	687.0344589568231	4	40	10	right	left	0	87	15.023	5791
3	6	444.57700567149834	4	40	10	right	right	1	61	15.114	4036
3	7	2889.6989701712832	4	40	10	right	right	1	26	15.339	1695
3	8	314.11458106178486	4	40	10	left	right	0	35	15.304	2287
3	9	242.0641057039811	4	40	10	right	left	0	12	15.094	795
3	10	902.6394701364657	4	40	10	right	right	1	13	15.421	843
3	11	413.6089288496624	4	40	10	left	left	1	59	15.109	3905
3	12	436.6374221326989	4	40	10	right	right	1	23	15.488	1485
3	13	319.1998405653521	4	40	10	right	left	0	15	15.4	974
3	14	2983.8012812724173	4	40	10	left	right	0	47	15.021	3129
3	15	483.4131096455886	4	40	10	left	left	1	15	15.94	941
3	16	398.4916121874452	4	40	10	right	right	1	26	15.366	1692
3	17	679.615107864099	4	40	10	left	left	1	39	14.948	2609
3	18	221.94194059738075	4	40	10	left	left	1	27	15.042	1795
3	19	643.5151935830105	4	40	10	left	right	0	50	15.175	3295
3	20	1209.720081044742	4	40	10	left	left	1	7	15.119	463
3	21	949.9949141356283	4	40	10	right	left	0	10	15.576	642
3	22	571.6145698556476	4	40	10	right	right	1	7	16.706	419
3	23	1118.8881573759008	4	40	10	left	left	1	19	14.961	1270
3	24	428.04786538539986	4	40	10	right	right	1	7	15.385	455
3	25	309.2684818802804	4	40	10	right	right	1	15	15.06	996
3	26	655.615177581109	4	40	10	right	right	1	9	15.873	567
3	27	1728.9251045862995	4	40	10	left	left	1	12	16.238	739
3	28	772.7568532382311	4	40	10	left	right	0	11	15.32	718
3	29	585.867158135894	4	40	10	left	left	1	34	14.998	2267
3	30	2263.1886937868003	4	40	10	right	left	0	33	15.271	2161
3	31	256.20478592648584	4	40	10	left	right	0	100	14.988	6672
3	32	711.9393969817539	4	40	10	left	right	0	62	15.118	4101
3	33	1205.3903277136155	4	40	10	right	right	1	14	16.055	872
3	34	570.4242172346364	4	40	10	right	left	0	40	15.129	2644
3	35	1498.032548276381	4	40	10	left	right	0	20	15.291	1308
3	36	1565.5839610437934	4	40	10	left	left	1	15	15.322	979
3	37	1374.5618048679532	4	40	10	right	right	1	176	15.004	11730
3	38	264.1894094446419	4	40	10	right	right	1	45	15.228	2955
3	39	1081.2079140466024	4	40	10	left	right	0	11	15.827	695
3	40	1703.2185667871636	4	40	10	right	right	1	9	16.453	547
4	1	895.6973081746835	4	40	10	left	right	0	63	15.011	4197
4	2	684.8974975316683	4	40	10	left	right	0	26	15.258	1704
4	3	1970.483678065787	4	40	10	left	right	0	12	15.326	783
4	4	389.6928042649141	4	40	10	right	left	0	10	16.313	613
4	5	208.85403614914867	4	40	10	left	right	0	7	16.827	416
4	6	724.117708669988	4	40	10	left	left	1	13	15.187	856
4	7	471.0753034857037	4	40	10	right	right	1	12	15.645	767
4	8	662.350581576681	4	40	10	right	right	1	27	14.975	1803
4	9	719.4559243748429	4	40	10	left	right	0	161	14.966	10758
4	10	1174.5633348831816	4	40	10	left	left	1	20	15.396	1299
4	11	541.9299959876934	4	40	10	right	left	0	79	15.097	5233
4	12	3122.074900743934	4	40	10	left	right	0	12	15.287	785
4	13	512.0080450687158	4	40	10	left	left	1	10	15.106	662
4	14	1680.5860829928204	4	40	10	left	right	0	14	16	875
4	15	687.6750608285481	4	40	10	right	right	1	44	15.079	2918
4	16	266.1462304982987	4	40	10	left	left	1	42	15.295	2746
4	17	769.8517761168157	4	40	10	right	right	1	111	15.051	7375
4	18	242.73652836979014	4	40	10	right	left	0	40	15.163	2638
4	19	608.2407355026669	4	40	10	right	right	1	29	15.034	1929
4	20	1448.2329451053843	4	40	10	left	right	0	13	16.069	809
4	21	611.814997493553	4	40	10	right	left	0	12	15.365	781
4	22	212.25919014763616	4	40	10	left	right	0	36	15.088	2386
4	23	271.0866760627998	4	40	10	right	left	0	14	15.945	878
4	24	724.7124228835604	4	40	10	left	right	0	33	15.034	2195
4	25	866.8640835960606	4	40	10	right	left	0	27	15.177	1779
4	26	324.56834350621614	4	40	10	right	right	1	42	15.021	2796
4	27	920.1671400323313	4	40	10	right	left	0	45	15.131	2974
4	28	913.0281360633365	4	40	10	right	right	1	79	14.993	5269
4	29	1073.0013019639682	4	40	10	right	left	0	43	15.061	2855
4	30	379.1839914827233	4	40	10	left	right	0	27	15.35	1759
4	31	2785.701718244958	4	40	10	left	left	1	28	15.102	1854
4	32	323.75252322913775	4	40	10	left	left	1	15	15.106	993
4	33	528.6869274310895	4	40	10	right	right	1	15	15.924	942
4	34	1137.2536884124547	4	40	10	left	left	1	6	15.306	392
4	35	3054.639229126306	4	40	10	right	right	1	16	15.444	1036
4	36	672.4065884841401	4	40	10	left	left	1	21	15.362	1367
4	37	384.680903809092	4	40	10	right	right	1	19	15.548	1222
4	38	2553.6516022803444	4	40	10	right	left	0	7	15.453	453
4	39	401.70575700878425	4	40	10	left	right	0	10	15.408	649
4	40	1486.3818940417013	4	40	10	right	left	0	51	15.062	3386
