
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	2475.8593558342686	4	40	10	left	left	1	16	15.355	1042
1	2	423.6506890813555	4	40	10	right	right	1	23	15.808	1455
1	3	898.2217679732994	4	40	10	left	left	1	15	15.94	941
1	4	1067.0926284729899	4	40	10	left	left	1	17	15.483	1098
1	5	542.0300706520752	4	40	10	left	left	1	18	15.666	1149
1	6	415.0376334218494	4	40	10	left	left	1	18	15.776	1141
1	7	460.97418416114004	4	40	10	right	right	1	15	15.275	982
1	8	471.72461067351156	4	40	10	right	right	1	20	15.54	1287
1	9	263.93708060486296	4	40	10	right	right	1	20	15.302	1307
1	10	1142.6709051981893	4	40	10	right	right	1	20	15.601	1282
1	11	2090.572226823656	4	40	10	right	right	1	15	16.06	934
1	12	1422.790402579601	4	40	10	left	left	1	14	16	875
1	13	638.4283765104161	4	40	10	right	right	1	22	15.526	1417
1	14	642.2503680157356	4	40	10	left	left	1	16	15.209	1052
1	15	966.5196963850955	4	40	10	left	left	1	16	15.579	1027
1	16	994.1214052530265	4	40	10	left	left	1	18	15.929	1130
1	17	450.09560641575536	4	40	10	right	right	1	18	15.306	1176
1	18	400.38831510092655	4	40	10	right	right	1	21	15.475	1357
1	19	346.6282930402996	4	40	10	left	left	1	15	15.322	979
1	20	942.1875762469999	4	40	10	right	right	1	23	15.668	1468
1	21	979.9246899503884	4	40	10	left	left	1	17	15.712	1082
1	22	506.02568529174573	4	40	10	right	right	1	16	15.355	1042
1	23	397.18758405054746	4	40	10	left	left	1	17	15.525	1095
1	24	824.3855861364734	4	40	10	left	left	1	14	15.504	903
1	25	467.4433268841238	4	40	10	left	left	1	13	15.738	826
1	26	1646.0510130346688	4	40	10	right	right	1	15	15.275	982
1	27	480.152756597781	4	40	10	left	left	1	14	15.909	880
1	28	952.5307030217662	4	40	10	right	right	1	25	15.753	1587
1	29	1157.1789365200516	4	40	10	right	right	1	29	15.475	1874
1	30	927.0629574219729	4	40	10	left	left	1	17	15.77	1078
1	31	1066.2034757792371	4	40	10	right	right	1	23	15.364	1497
1	32	1968.0985753559528	4	40	10	right	right	1	18	15.929	1130
1	33	2798.614380998315	4	40	10	left	left	1	13	15.532	837
1	34	484.77710176851315	4	40	10	left	left	1	15	16.009	937
1	35	1093.0286126814447	4	40	10	right	right	1	20	15.873	1260
1	36	1193.6936021790962	4	40	10	left	left	1	15	15.94	941
1	37	1063.0901379380416	4	40	10	right	right	1	14	15.419	908
1	38	302.9102144150175	4	40	10	right	right	1	26	15.653	1661
1	39	357.7219358747451	4	40	10	right	right	1	19	15.224	1248
1	40	1043.1821825191423	4	40	10	left	left	1	17	15.497	1097
2	1	249.50071698403045	4	40	10	left	left	1	25	15.161	1649
2	2	1117.4262319622235	4	40	10	right	right	1	19	15.385	1235
2	3	471.4366202045324	4	40	10	right	right	1	30	15.159	1979
2	4	537.589464986569	4	40	10	left	left	1	13	15.719	827
2	5	1090.873013987965	4	40	10	left	left	1	14	15.217	920
2	6	817.2500160400064	4	40	10	left	left	1	16	15.984	1001
2	7	1112.9377394074404	4	40	10	right	right	1	14	15.436	907
2	8	1501.6278103101283	4	40	10	left	left	1	21	15.801	1329
2	9	544.6129141879941	4	40	10	right	left	0	13	16.352	795
2	10	417.24746545077346	4	40	10	left	left	1	14	15.556	900
2	11	697.7968709927142	4	40	10	right	right	1	13	15.385	845
2	12	1058.4913167552704	4	40	10	left	left	1	17	15.755	1079
2	13	1546.9780738401582	4	40	10	left	left	1	14	15.168	923
2	14	285.2788338899589	4	40	10	left	left	1	19	15.612	1217
2	15	477.8030333999797	4	40	10	left	left	1	16	15.489	1033
2	16	223.64964525739586	4	40	10	left	left	1	17	15.554	1093
2	17	961.483928224285	4	40	10	right	right	1	21	15.306	1372
2	18	266.0018181958386	4	40	10	left	left	1	12	15.248	787
2	19	480.2464748700374	4	40	10	right	right	1	18	15.845	1136
2	20	1070.6861315512288	4	40	10	right	right	1	13	15.854	820
2	21	419.5306542241235	4	40	10	left	left	1	13	15.476	840
2	22	919.7936655618572	4	40	10	left	left	1	19	15.472	1228
2	23	3065.454740083071	4	40	10	right	right	1	21	15.533	1352
2	24	1067.9387186910517	4	40	10	right	right	1	14	15.909	880
2	25	1148.6995314471012	4	40	10	right	right	1	13	15.458	841
2	26	569.1272545188187	4	40	10	right	right	1	15	15.322	979
2	27	331.5498169320539	4	40	10	right	right	1	19	15.249	1246
2	28	1312.358980178885	4	40	10	right	right	1	14	16	875
2	29	214.07731112786396	4	40	10	left	right	0	18	15.358	1172
2	30	629.5042059967104	4	40	10	left	left	1	11	15.363	716
2	31	347.11680188738836	4	40	10	right	right	1	15	15.322	979
2	32	706.5965914630642	4	40	10	left	left	1	18	15.411	1168
2	33	255.75890589001875	4	40	10	right	right	1	13	15.7	828
2	34	316.99506313360376	4	40	10	left	left	1	14	15.73	890
2	35	631.1112628706261	4	40	10	right	right	1	15	15.94	941
2	36	278.23009855717385	4	40	10	left	right	0	19	15.41	1233
2	37	1586.7253304244891	4	40	10	left	left	1	10	15.314	653
2	38	826.7710473738391	4	40	10	right	right	1	9	16.423	548
2	39	426.3090560597936	4	40	10	right	right	1	25	15.216	1643
2	40	209.46520755962027	4	40	10	right	right	1	18	15.164	1187
3	1	2449.807237174547	4	40	10	left	left	1	12	16.371	733
3	2	388.65429716910216	4	40	10	left	left	1	14	15.436	907
3	3	266.5091765867551	4	40	10	left	left	1	17	16.008	1062
3	4	983.0491347097083	4	40	10	right	right	1	37	15.176	2438
3	5	604.0933331574306	4	40	10	right	right	1	18	15.598	1154
3	6	664.7972034439608	4	40	10	left	left	1	13	16.149	805
3	7	579.9181325292374	4	40	10	left	left	1	15	15.873	945
3	8	960.340507410039	4	40	10	left	right	0	27	15.499	1742
3	9	241.73091073198802	4	40	10	left	left	1	16	15.504	1032
3	10	733.2646766274542	4	40	10	left	left	1	22	15.748	1397
3	11	204.28199941495973	4	40	10	right	right	1	16	16.129	992
3	12	592.7561905286816	4	40	10	right	right	1	13	15.931	816
3	13	1452.7456579120962	4	40	10	left	left	1	13	15.625	832
3	14	863.244593346971	4	40	10	left	left	1	19	15.953	1191
3	15	410.3792415069719	4	40	10	left	left	1	14	15.201	921
3	16	2751.749592770736	4	40	10	right	right	1	22	15.342	1434
3	17	408.5127214152362	4	40	10	right	right	1	12	15.404	779
3	18	343.82994347675606	4	40	10	right	left	0	20	15.848	1262
3	19	2250.5502468090685	4	40	10	left	left	1	13	15.205	855
3	20	652.9147956046897	4	40	10	left	left	1	12	15.484	775
3	21	286.24361930888585	4	40	10	left	left	1	14	15.945	878
3	22	979.4965654064496	4	40	10	right	right	1	17	15.755	1079
3	23	1574.1544771717865	4	40	10	right	right	1	11	15.647	703
3	24	1381.004181053002	4	40	10	left	left	1	12	15.248	787
3	25	732.7955445851082	4	40	10	left	left	1	17	15.903	1069
3	26	765.0700819165137	4	40	10	left	left	1	24	15.595	1539
3	27	3011.2770395093353	4	40	10	right	right	1	11	16.058	685
