
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	964.1738743282898	4	40	10	right	left	0	44	13.249	3321
1	2	454.5841318406424	4	40	10	left	left	1	65	12.938	5024
1	3	251.2261618303711	4	40	10	left	left	1	15	13.31	1127
1	4	413.1360465919219	4	40	10	left	left	1	6	12.959	463
1	5	616.3594980610444	4	40	10	right	left	0	7	14.085	497
1	6	474.92842081027976	4	40	10	left	left	1	18	13.015	1383
1	7	238.00454992191058	4	40	10	left	left	1	33	13.29	2483
1	8	271.2528269763637	4	40	10	left	left	1	23	12.987	1771
1	9	630.5857232896344	4	40	10	right	left	0	23	13.128	1752
1	10	2851.8689932466914	4	40	10	right	left	0	9	14.423	624
1	11	2261.5287579850656	4	40	10	right	left	0	8	14.035	570
1	12	525.8124930410534	4	40	10	left	left	1	18	13.514	1332
1	13	285.22472238520095	4	40	10	right	left	0	38	13.122	2896
1	14	433.4799501246963	4	40	10	right	left	0	28	12.963	2160
1	15	473.25977015688267	4	40	10	right	left	0	17	13.524	1257
1	16	1130.3109093340502	4	40	10	right	left	0	40	13.18	3035
1	17	488.86964202172675	4	40	10	right	left	0	8	13.889	576
1	18	272.38431338573935	4	40	10	right	left	0	19	13.399	1418
1	19	225.9205350323135	4	40	10	left	left	1	9	13.413	671
1	20	1652.4250408835185	4	40	10	left	left	1	10	13.889	720
1	21	1077.2320127487008	4	40	10	left	left	1	25	12.913	1936
1	22	2818.375375928529	4	40	10	left	left	1	12	13.423	894
1	23	274.61605479847356	4	40	10	right	left	0	18	13.363	1347
1	24	1048.9304227184903	4	40	10	left	left	1	8	14.311	559
1	25	677.5111539404584	4	40	10	left	left	1	17	13.546	1255
1	26	694.0979013915974	4	40	10	right	left	0	15	13.345	1124
1	27	1152.6504280027448	4	40	10	right	left	0	11	12.926	851
1	28	957.3867768549557	4	40	10	right	left	0	35	13.203	2651
