
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	654.530696415943	4	40	10	right	right	1	93	15.304	6077
1	2	205.87815166553256	4	40	10	right	left	0	26	15.458	1682
1	3	1490.9195437782323	4	40	10	right	left	0	82	15.23	5384
1	4	279.8996733092499	4	40	10	left	left	1	19	15.472	1228
1	5	234.67271259432079	4	40	10	left	left	1	62	15.339	4042
1	6	848.8759551530771	4	40	10	right	right	1	22	15.67	1404
1	7	1051.3106519098287	4	40	10	left	left	1	37	15.315	2416
1	8	1766.526980025653	4	40	10	left	left	1	27	15.616	1729
1	9	484.5623446019671	4	40	10	left	left	1	18	15.679	1148
1	10	779.1695616311652	4	40	10	left	left	1	17	15.385	1105
1	11	1081.1032293424785	4	40	10	right	left	0	11	15.625	704
1	12	351.1391963558524	4	40	10	right	right	1	23	15.282	1505
1	13	745.799884135725	4	40	10	left	left	1	53	15.169	3494
1	14	327.2534062145587	4	40	10	left	left	1	37	15.404	2402
1	15	459.83657543980047	4	40	10	left	left	1	22	15.449	1424
1	16	487.23821119619436	4	40	10	right	left	0	16	15.905	1006
1	17	1069.2251517203667	4	40	10	right	left	0	94	15.203	6183
1	18	838.57449962766	4	40	10	right	right	1	44	15.482	2842
1	19	2093.790766965915	4	40	10	left	left	1	60	15.182	3952
1	20	1722.0791539914433	4	40	10	left	left	1	18	15.28	1178
1	21	443.1376942880037	4	40	10	right	right	1	16	15.253	1049
1	22	469.1625229042191	4	40	10	right	right	1	20	15.152	1320
1	23	283.23791699571717	4	40	10	right	right	1	29	15.508	1870
1	24	1150.0572969561183	4	40	10	left	left	1	31	15.226	2036
1	25	1289.0013021988789	4	40	10	right	left	0	21	15.861	1324
1	26	536.1849654187683	4	40	10	right	right	1	17	15.165	1121
1	27	245.86875683078813	4	40	10	right	right	1	24	15.132	1586
1	28	769.2455246460435	4	40	10	left	left	1	12	16	750
1	29	1811.6626028243063	4	40	10	right	left	0	38	15.182	2503
1	30	452.59120340953314	4	40	10	left	left	1	23	15.222	1511
1	31	403.542784914074	4	40	10	left	right	0	15	16.146	929
1	32	972.5299634460926	4	40	10	right	right	1	11	16.153	681
1	33	1801.8224421770904	4	40	10	left	right	0	20	15.256	1311
1	34	935.4155040181379	4	40	10	left	left	1	12	15.404	779
1	35	440.3391093614912	4	40	10	right	right	1	30	15.252	1967
1	36	507.3863714566863	4	40	10	left	left	1	15	15.167	989
1	37	1754.4205169685833	4	40	10	right	right	1	18	15.28	1178
1	38	212.04482414636593	4	40	10	left	left	1	11	15.515	709
1	39	321.9980564747964	4	40	10	left	left	1	31	15.233	2035
1	40	691.4691790469136	4	40	10	right	left	0	34	15.343	2216
2	1	698.3325669064986	4	40	10	right	right	1	135	15.263	8845
2	2	1000.4722939992695	4	40	10	right	left	0	77	15.311	5029
2	3	318.8832059268933	4	40	10	right	left	0	29	15.442	1878
2	4	1855.2644112476644	4	40	10	left	left	1	24	15.238	1575
2	5	202.26582655968386	4	40	10	left	left	1	40	15.391	2599
2	6	409.0254382210968	4	40	10	left	right	0	17	15.274	1113
2	7	839.745688916977	4	40	10	left	left	1	43	15.162	2836
2	8	421.1256121156558	4	40	10	right	right	1	24	15.375	1561
2	9	3029.0126418171108	4	40	10	right	right	1	22	15.172	1450
2	10	497.5554293019049	4	40	10	right	right	1	11	15.32	718
2	11	252.94790007622365	4	40	10	right	right	1	11	16.035	686
2	12	211.31307420802005	4	40	10	right	left	0	13	15.33	848
2	13	1083.8588432651118	4	40	10	right	left	0	22	15.67	1404
2	14	1931.1359280098643	4	40	10	right	right	1	64	15.351	4169
2	15	202.8655463229042	4	40	10	left	left	1	17	15.233	1116
2	16	394.93912072589535	4	40	10	left	right	0	10	15.314	653
2	17	982.8481940510865	4	40	10	left	left	1	15	15.856	946
2	18	2232.74262920599	4	40	10	left	left	1	96	15.226	6305
2	19	859.2079120991483	4	40	10	left	left	1	20	15.76	1269
2	20	592.0177530361543	4	40	10	left	left	1	14	15.677	893
2	21	1512.4821289328972	4	40	10	right	right	1	43	15.27	2816
2	22	254.1886897582694	4	40	10	left	left	1	15	15.416	973
2	23	1600.2740484526664	4	40	10	left	left	1	15	15.924	942
2	24	805.9088873107004	4	40	10	right	right	1	24	15.287	1570
2	25	281.56975552959574	4	40	10	right	right	1	23	15.354	1498
2	26	672.6864501025436	4	40	10	right	right	1	22	15.793	1393
2	27	217.0637598479303	4	40	10	right	left	0	79	15.319	5157
2	28	221.55218142221227	4	40	10	left	left	1	94	15.213	6179
2	29	586.6721084652236	4	40	10	right	right	1	22	15.493	1420
2	30	714.5909538275256	4	40	10	right	left	0	11	15.342	717
2	31	444.7924200925305	4	40	10	left	left	1	13	15.892	818
2	32	680.734803140243	4	40	10	right	right	1	13	15.439	842
2	33	1010.7318269136359	4	40	10	left	right	0	24	15.645	1534
2	34	451.87683411639927	4	40	10	left	left	1	10	15.504	645
2	35	910.8407811902551	4	40	10	right	right	1	26	15.644	1662
2	36	1930.2490763159378	4	40	10	left	right	0	24	15.228	1576
2	37	400.4564529342799	4	40	10	left	left	1	13	16.352	795
2	38	744.1433233664869	4	40	10	right	left	0	24	15.375	1561
