
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	702.9013249540476	4	40	10	right	right	1	90	15.216	5915
1	2	1209.736146831346	4	40	10	left	left	1	16	15.534	1030
1	3	1778.1453794274335	4	40	10	left	left	1	26	15.267	1703
1	4	673.4013883955249	4	40	10	right	right	1	18	15.611	1153
1	5	1918.0008588941491	4	40	10	right	left	0	20	15.637	1279
1	6	885.0488334156356	4	40	10	left	left	1	52	15.227	3415
1	7	647.9283434234653	4	40	10	right	right	1	15	16.094	932
1	8	815.937511486797	4	40	10	left	right	0	25	15.713	1591
1	9	511.9768997166656	4	40	10	right	right	1	62	15.185	4083
1	10	240.0543383095615	4	40	10	left	left	1	30	15.456	1941
1	11	1913.4406083816157	4	40	10	right	right	1	27	15.393	1754
1	12	287.81425815204045	4	40	10	right	right	1	16	15.224	1051
1	13	344.952918763434	4	40	10	left	left	1	13	15.912	817
1	14	1723.158634719119	4	40	10	right	right	1	40	15.432	2592
1	15	535.7386023264377	4	40	10	left	left	1	16	15.37	1041
1	16	1145.463087496485	4	40	10	right	left	0	15	15.94	941
1	17	1626.3010234438884	4	40	10	right	right	1	19	15.561	1221
1	18	303.6687304684622	4	40	10	left	left	1	25	15.198	1645
1	19	928.7139487414292	4	40	10	left	left	1	16	15.61	1025
1	20	753.1176454098671	4	40	10	right	left	0	18	15.639	1151
1	21	893.8829529565993	4	40	10	left	right	0	21	15.66	1341
1	22	629.1073990331042	4	40	10	left	left	1	18	15.584	1155
1	23	485.3001156886048	4	40	10	right	right	1	26	15.357	1693
1	24	1161.2003744870226	4	40	10	left	left	1	26	15.24	1706
1	25	1020.939911004203	4	40	10	left	right	0	41	15.425	2658
1	26	661.5551966912117	4	40	10	left	left	1	10	15.748	635
1	27	774.7761064155651	4	40	10	right	right	1	15	15.576	963
1	28	1217.3285621966206	4	40	10	left	left	1	32	15.633	2047
1	29	1936.2326419041544	4	40	10	right	right	1	14	15.351	912
1	30	2951.6024273343805	4	40	10	right	right	1	12	15.504	774
1	31	1624.837596228404	4	40	10	right	right	1	34	15.554	2186
1	32	222.16837669897248	4	40	10	left	left	1	41	15.236	2691
1	33	353.6133923382215	4	40	10	right	right	1	13	15.152	858
1	34	844.1019932504803	4	40	10	left	right	0	37	15.327	2414
1	35	266.83695354919166	4	40	10	left	left	1	20	15.613	1281
1	36	805.4413850495971	4	40	10	left	right	0	10	16.694	599
1	37	369.5259319396423	4	40	10	right	right	1	20	15.898	1258
1	38	562.0489025407828	4	40	10	right	left	0	21	15.141	1387
1	39	751.1170821937541	4	40	10	right	right	1	9	15.625	576
1	40	1357.700912999363	4	40	10	left	left	1	19	15.347	1238
