
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	492.98249630755527	4	40	10	right	right	1	47	15.132	3106
1	2	406.56327019130117	4	40	10	left	left	1	26	15.276	1702
1	3	1617.8907999075268	4	40	10	right	right	1	18	15.013	1199
1	4	1003.5099563517082	4	40	10	right	right	1	28	15.07	1858
1	5	2750.7172770840984	4	40	10	left	left	1	60	14.989	4003
1	6	594.6028102417777	4	40	10	left	left	1	29	15.018	1931
1	7	618.4703268541966	4	40	10	left	left	1	46	15.237	3019
1	8	1642.571473754619	4	40	10	left	left	1	37	14.992	2468
1	9	2165.554344598634	4	40	10	left	left	1	40	15.198	2632
1	10	1069.829544264998	4	40	10	left	left	1	62	14.925	4154
1	11	530.9488167117775	4	40	10	right	right	1	23	15.242	1509
1	12	1405.2130985626484	4	40	10	right	left	0	38	14.914	2548
1	13	1750.2395835373056	4	40	10	right	right	1	28	15.284	1832
1	14	1093.820280687827	4	40	10	right	right	1	53	15.087	3513
1	15	233.25752510434674	4	40	10	left	left	1	26	15.33	1696
1	16	487.3088502124126	4	40	10	right	right	1	13	16.049	810
1	17	237.14837753419044	4	40	10	left	right	0	36	15.075	2388
1	18	403.23719840572596	4	40	10	right	right	1	28	15.119	1852
1	19	1216.2964442864786	4	40	10	right	right	1	34	15.172	2241
1	20	1838.0749383199393	4	40	10	right	left	0	103	14.962	6884
1	21	549.7271459590711	4	40	10	right	left	0	32	15.238	2100
1	22	772.2590322860426	4	40	10	right	right	1	15	15.369	976
1	23	3328.172046563877	4	40	10	left	right	0	31	15.012	2065
1	24	3071.8436670243123	4	40	10	right	right	1	32	15.166	2110
1	25	1091.0027149885461	4	40	10	left	left	1	56	14.929	3751
1	26	764.4931071603452	4	40	10	right	right	1	57	15.103	3774
1	27	272.5556132225062	4	40	10	left	left	1	51	15.053	3388
1	28	883.7912506680397	4	40	10	right	right	1	60	15.159	3958
1	29	592.0929956801174	4	40	10	left	left	1	58	14.914	3889
1	30	1534.8592458223468	4	40	10	left	left	1	63	15.093	4174
1	31	287.13701131263576	4	40	10	right	right	1	25	15.451	1618
1	32	2278.9761096830475	4	40	10	left	left	1	15	15.544	965
1	33	322.17503145952526	4	40	10	left	left	1	24	15.375	1561
1	34	247.23010635017198	4	40	10	left	right	0	55	14.982	3671
1	35	423.84384504955165	4	40	10	right	right	1	31	15.159	2045
1	36	696.5191370389342	4	40	10	left	left	1	45	15.01	2998
1	37	1175.6712135905043	4	40	10	left	left	1	41	15.129	2710
1	38	1531.723150079128	4	40	10	right	right	1	31	15.041	2061
1	39	763.6231922793505	4	40	10	left	left	1	24	15.066	1593
1	40	3666.655563318726	4	40	10	right	right	1	29	15.12	1918
2	1	210.457121684234	4	40	10	left	left	1	49	15.114	3242
2	2	522.1777513367472	4	40	10	left	left	1	25	15.124	1653
2	3	1019.3996153141617	4	40	10	right	right	1	19	15.664	1213
2	4	596.7052039658331	4	40	10	right	right	1	31	15.181	2042
2	5	424.92241737394306	4	40	10	left	right	0	29	14.933	1942
2	6	279.1544696561343	4	40	10	left	left	1	15	15.213	986
2	7	381.1812966760924	4	40	10	right	right	1	25	15.272	1637
2	8	602.8442322659494	4	40	10	right	left	0	50	15.124	3306
2	9	1725.5894426457023	4	40	10	left	right	0	39	15.064	2589
2	10	1591.8084832544916	4	40	10	right	right	1	19	15.212	1249
2	11	677.5614087815607	4	40	10	right	right	1	46	15.077	3051
2	12	326.64443033463203	4	40	10	right	left	0	19	15.599	1218
2	13	1255.8452381088703	4	40	10	right	right	1	56	14.909	3756
2	14	1279.2885770432433	4	40	10	left	left	1	54	15.16	3562
2	15	1208.8095843748374	4	40	10	right	right	1	21	15.054	1395
2	16	640.9955591906441	4	40	10	left	left	1	27	15.341	1760
2	17	2573.327429306746	4	40	10	left	right	0	54	15.017	3596
2	18	209.17864978186628	4	40	10	left	left	1	31	15.316	2024
2	19	997.2616246487316	4	40	10	right	right	1	26	15.439	1684
2	20	842.736234649844	4	40	10	right	right	1	28	15.226	1839
2	21	1343.8256939328403	4	40	10	right	right	1	35	15.257	2294
2	22	446.6722436924567	4	40	10	left	left	1	21	15.59	1347
2	23	678.770166914555	4	40	10	left	left	1	17	14.952	1137
2	24	675.1923829858094	4	40	10	right	right	1	23	15.212	1512
2	25	716.9816004938145	4	40	10	left	left	1	30	15.353	1954
2	26	1577.0513151742423	4	40	10	left	left	1	17	14.938	1138
2	27	348.84258316142444	4	40	10	right	right	1	40	14.976	2671
2	28	324.9271194906701	4	40	10	left	left	1	19	15.715	1209
2	29	1767.8654349325943	4	40	10	left	left	1	62	14.965	4143
2	30	383.4828218219822	4	40	10	left	left	1	61	15.006	4065
2	31	641.0910801229238	4	40	10	right	right	1	45	15.015	2997
2	32	814.2812403629608	4	40	10	left	left	1	20	15.198	1316
2	33	308.23530926373206	4	40	10	right	right	1	62	15.019	4128
2	34	2576.6628414680576	4	40	10	left	left	1	36	14.925	2412
2	35	264.3622208101561	4	40	10	left	left	1	18	15.126	1190
2	36	876.1016146886236	4	40	10	right	right	1	27	15.05	1794
2	37	695.0073730694221	4	40	10	left	left	1	19	15.422	1232
2	38	1174.2091593269608	4	40	10	right	right	1	27	15.289	1766
2	39	216.43964768026848	4	40	10	right	right	1	68	14.994	4535
2	40	1478.9909461979485	4	40	10	right	right	1	49	15.072	3251
3	1	334.3684508869369	4	40	10	right	left	0	48	15.228	3152
3	2	1196.856375702514	4	40	10	left	right	0	42	14.984	2803
3	3	364.420128726028	4	40	10	left	left	1	31	15.137	2048
3	4	560.6259762380369	4	40	10	left	left	1	32	15.087	2121
3	5	242.68585796552992	4	40	10	left	left	1	46	14.93	3081
3	6	843.9141068692524	4	40	10	right	right	1	25	15.078	1658
3	7	917.4935210158025	4	40	10	right	right	1	33	15.292	2158
3	8	2725.561002759541	4	40	10	left	left	1	24	15.113	1588
3	9	481.3729362662131	4	40	10	right	right	1	23	15.426	1491
