
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	849.3297003783833	4	40	10	left	left	1	73	15.142	4821
1	2	1061.3605440353779	4	40	10	right	right	1	15	15.773	951
1	3	512.1512236908068	4	40	10	left	left	1	9	15.152	594
1	4	585.7686387190233	4	40	10	left	left	1	70	15.294	4577
1	5	1685.663503938909	4	40	10	right	right	1	15	15.213	986
1	6	1433.615746839889	4	40	10	left	left	1	10	16.584	603
1	7	646.3003017852491	4	40	10	right	right	1	33	15.581	2118
1	8	1390.5880726720525	4	40	10	left	left	1	25	15.763	1586
1	9	905.0595558735799	4	40	10	left	left	1	12	16	750
1	10	1645.824531171132	4	40	10	right	right	1	9	15.789	570
1	11	656.7864825704173	4	40	10	right	right	1	32	15.159	2111
1	12	766.3130801474608	4	40	10	right	right	1	13	15.169	857
1	13	2240.0163872856715	4	40	10	right	right	1	12	15.464	776
1	14	552.0279760003543	4	40	10	right	right	1	11	16.566	664
1	15	441.9502720371193	4	40	10	right	right	1	12	15.915	754
1	16	238.22103878370683	4	40	10	left	left	1	28	15.326	1827
1	17	245.89637285986103	4	40	10	right	left	0	37	15.468	2392
1	18	2533.2919472436847	4	40	10	right	left	0	17	15.785	1077
1	19	593.4459570171075	4	40	10	left	left	1	47	15.255	3081
1	20	544.2405607828553	4	40	10	right	right	1	20	15.699	1274
1	21	239.54861698571162	4	40	10	right	right	1	14	16.129	868
1	22	634.5766517672921	4	40	10	right	right	1	9	16.014	562
1	23	747.6813012368985	4	40	10	left	left	1	11	15.714	700
1	24	327.34446099021625	4	40	10	left	left	1	18	15.424	1167
1	25	435.8450448308213	4	40	10	right	right	1	23	15.323	1501
1	26	2269.9781567681393	4	40	10	left	left	1	15	15.674	957
1	27	397.5759941824475	4	40	10	left	left	1	10	15.432	648
1	28	1373.3965840234882	4	40	10	right	left	0	21	15.544	1351
1	29	1651.5647966601557	4	40	10	right	right	1	9	15.901	566
1	30	1805.3580514378639	4	40	10	left	left	1	14	15.766	888
1	31	2557.7507264541036	4	40	10	left	left	1	16	15.733	1017
1	32	202.16568900351862	4	40	10	left	left	1	9	15.679	574
1	33	1533.1077041851695	4	40	10	left	left	1	11	15.714	700
1	34	1167.1229131335535	4	40	10	left	left	1	10	16.207	617
1	35	1251.8190030527253	4	40	10	right	left	0	20	15.209	1315
1	36	1407.3881494065356	4	40	10	right	right	1	52	15.357	3386
1	37	1078.4252820724273	4	40	10	right	left	0	81	15.271	5304
1	38	1052.6447222864413	4	40	10	left	left	1	14	15.573	899
1	39	3089.841492957555	4	40	10	left	left	1	11	15.759	698
1	40	469.8945945094964	4	40	10	left	left	1	26	15.294	1700
2	1	1075.7282818350086	4	40	10	left	left	1	21	15.683	1339
2	2	1508.118894085392	4	40	10	left	right	0	46	15.293	3008
2	3	1371.4179169224026	4	40	10	left	left	1	31	15.601	1987
2	4	735.1523465759494	4	40	10	right	left	0	16	15.564	1028
2	5	285.7546675911836	4	40	10	left	left	1	22	15.603	1410
2	6	426.97255843213804	4	40	10	left	left	1	41	15.344	2672
2	7	899.814689886298	4	40	10	left	left	1	32	15.209	2104
2	8	550.9184408233341	4	40	10	left	left	1	15	15.416	973
2	9	203.9208938571807	4	40	10	left	left	1	32	15.602	2051
2	10	810.2256780000068	4	40	10	left	left	1	28	15.176	1845
2	11	1292.0604690033063	4	40	10	left	left	1	29	15.65	1853
2	12	473.24518722399495	4	40	10	right	right	1	22	15.57	1413
2	13	1232.4489306186927	4	40	10	right	right	1	16	15.326	1044
2	14	256.01556316674396	4	40	10	left	left	1	27	15.517	1740
2	15	490.29197837187064	4	40	10	right	right	1	19	15.677	1212
2	16	282.34438439692445	4	40	10	right	right	1	46	15.162	3034
2	17	858.1359378636275	4	40	10	right	right	1	136	15.194	8951
2	18	1481.087105432043	4	40	10	right	left	0	44	15.209	2893
2	19	548.8085179478155	4	40	10	left	left	1	26	15.231	1707
2	20	457.85551669235815	4	40	10	right	left	0	39	15.24	2559
2	21	590.2914535265231	4	40	10	right	right	1	17	15.385	1105
2	22	302.06832039747167	4	40	10	left	left	1	15	16.026	936
2	23	551.4156105788331	4	40	10	left	left	1	49	15.161	3232
2	24	1829.1728253091321	4	40	10	right	right	1	12	15.444	777
2	25	1096.2422108855126	4	40	10	right	right	1	22	15.603	1410
2	26	588.1174696754003	4	40	10	right	right	1	31	15.226	2036
2	27	862.3631415062374	4	40	10	left	left	1	28	15.547	1801
2	28	225.54160762446523	4	40	10	right	right	1	12	15.584	770
