
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	824.6216385668218	4	40	10	right	right	1	174	15.149	11486
1	2	2966.7634375389375	4	40	10	left	left	1	161	15.162	10619
1	3	251.56665300821444	4	40	10	right	right	1	167	15.154	11020
1	4	582.3617078611194	4	40	10	left	left	1	96	15.187	6321
1	5	664.0580329655122	4	40	10	left	left	1	69	15.282	4515
1	6	275.5117183430642	4	40	10	left	left	1	69	15.212	4536
1	7	1379.3888999331011	4	40	10	right	right	1	73	15.314	4767
1	8	3673.5284626413004	4	40	10	left	left	1	88	15.241	5774
1	9	354.6193670340738	4	40	10	right	right	1	72	15.232	4727
1	10	427.25625665510364	4	40	10	left	left	1	36	15.196	2369
1	11	312.1659949746769	4	40	10	left	left	1	46	15.349	2997
1	12	445.68579283096886	4	40	10	left	left	1	42	15.413	2725
1	13	2527.9528908727857	4	40	10	left	left	1	37	15.533	2382
1	14	296.7060032137799	4	40	10	left	right	0	148	15.138	9777
1	15	2007.9175957314321	4	40	10	right	left	0	184	15.182	12120
1	16	412.13745678569956	4	40	10	left	right	0	169	15.235	11093
1	17	449.90953320619167	4	40	10	left	left	1	72	15.329	4697
1	18	1053.605731840281	4	40	10	right	right	1	138	15.187	9087
1	19	332.2429195721736	4	40	10	right	right	1	67	15.3	4379
1	20	559.8769162031649	4	40	10	left	left	1	59	15.293	3858
1	21	811.794761776362	4	40	10	right	left	0	55	15.376	3577
1	22	1043.6022070337722	4	40	10	right	right	1	78	15.217	5126
1	23	386.51857942331515	4	40	10	right	right	1	164	15.156	10821
1	24	849.1308783081024	4	40	10	right	left	0	169	15.169	11141
1	25	872.9051843188803	4	40	10	right	right	1	133	15.209	8745
1	26	1068.703017816199	4	40	10	left	left	1	88	15.254	5769
1	27	1492.5617712153676	4	40	10	right	right	1	174	15.211	11439
1	28	493.5628374771505	4	40	10	left	right	0	79	15.304	5162
1	29	690.8171090363153	4	40	10	right	right	1	88	15.283	5758
1	30	1930.7277847751056	4	40	10	left	left	1	30	15.56	1928
1	31	1518.0179237361137	4	40	10	left	left	1	38	15.46	2458
1	32	661.0324457392403	4	40	10	right	right	1	25	15.645	1598
1	33	1849.5160203675623	4	40	10	right	right	1	19	15.702	1210
1	34	902.0439511112527	4	40	10	right	left	0	26	15.196	1711
1	35	466.7687714296036	4	40	10	right	right	1	146	15.153	9635
1	36	814.1739599289202	4	40	10	left	right	0	53	15.274	3470
1	37	1112.8183287248407	4	40	10	left	right	0	139	15.251	9114
1	38	760.4634481581309	4	40	10	right	left	0	59	15.381	3836
1	39	517.2454689100987	4	40	10	left	left	1	138	15.222	9066
1	40	278.7718940563529	4	40	10	right	right	1	24	15.287	1570
2	1	592.0550208464484	4	40	10	left	left	1	30	15.512	1934
2	2	1100.9205017441345	4	40	10	left	left	1	17	15.741	1080
2	3	641.1550731592213	4	40	10	left	left	1	30	15.275	1964
2	4	3190.7399352654525	4	40	10	right	right	1	84	15.317	5484
2	5	715.7617745300859	4	40	10	right	right	1	14	15.982	876
2	6	552.7392164819157	4	40	10	left	left	1	27	15.526	1739
2	7	755.5063409390234	4	40	10	right	right	1	25	15.47	1616
2	8	328.62293496772213	4	40	10	right	left	0	88	15.246	5772
2	9	256.5562053256593	4	40	10	right	right	1	30	15.456	1941
2	10	607.3456217009618	4	40	10	right	right	1	22	15.647	1406
2	11	1112.6497843913044	4	40	10	left	left	1	15	15.907	943
2	12	274.7291191994072	4	40	10	left	left	1	37	15.158	2441
