
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	526.1761383587752	4	40	10	left	left	1	77	15.232	5055
1	2	573.681831329592	4	40	10	right	left	0	63	15.314	4114
1	3	312.25241649492887	4	40	10	left	right	0	68	15.333	4435
1	4	200.2544340229093	4	40	10	left	left	1	46	15.467	2974
1	5	2579.489387338746	4	40	10	left	left	1	19	15.742	1207
1	6	1452.9199291426341	4	40	10	right	right	1	14	15.152	924
1	7	1163.1219248368761	4	40	10	right	left	0	31	15.531	1996
1	8	4330.954044753467	4	40	10	right	right	1	16	15.459	1035
1	9	807.5118113392085	4	40	10	left	right	0	12	15.852	757
1	10	268.6830637328778	4	40	10	right	right	1	39	15.187	2568
1	11	1252.7079413631511	4	40	10	right	right	1	12	15.979	751
1	12	391.86821503794647	4	40	10	left	right	0	10	16.529	605
1	13	1145.3174134097007	4	40	10	right	left	0	24	15.345	1564
1	14	689.9774692671585	4	40	10	left	right	0	58	15.203	3815
1	15	1522.308543209707	4	40	10	left	left	1	25	15.432	1620
1	16	333.7370351710106	4	40	10	left	left	1	28	15.342	1825
1	17	444.6251940638974	4	40	10	left	left	1	442	15.151	29173
1	18	864.9529693830989	4	40	10	left	right	0	18	15.639	1151
1	19	775.0201429297753	4	40	10	right	left	0	20	15.163	1319
1	20	764.248609881725	4	40	10	left	right	0	32	15.34	2086
1	21	332.8372346425785	4	40	10	right	left	0	26	15.504	1677
1	22	999.7004274414338	4	40	10	left	right	0	18	15.216	1183
1	23	981.6038847723089	4	40	10	left	left	1	65	15.352	4234
1	24	1371.3416564384825	4	40	10	right	right	1	84	15.187	5531
1	25	246.66597698597556	4	40	10	left	right	0	37	15.391	2404
1	26	1959.0105464761689	4	40	10	right	right	1	58	15.381	3771
1	27	1606.544512299565	4	40	10	right	left	0	63	15.347	4105
1	28	994.2496456420326	4	40	10	right	right	1	14	16.241	862
1	29	506.62969522766656	4	40	10	left	right	0	13	15.99	813
1	30	1742.5112489053543	4	40	10	left	right	0	27	15.652	1725
1	31	920.6263263707468	4	40	10	right	left	0	63	15.377	4097
1	32	360.43305452886466	4	40	10	right	right	1	12	16.393	732
1	33	1292.316531467651	4	40	10	right	right	1	12	15.524	773
1	34	1929.9277952802506	4	40	10	right	right	1	10	16.287	614
1	35	428.1620160542499	4	40	10	left	left	1	11	16.517	666
1	36	1377.8692810142938	4	40	10	right	right	1	13	16.25	800
1	37	233.4238940328259	4	40	10	left	left	1	10	15.244	656
1	38	704.6839062743031	4	40	10	right	right	1	6	15.957	376
1	39	703.0386605520637	4	40	10	left	left	1	6	16	375
1	40	243.1166723307072	4	40	10	right	right	1	6	15.873	378
2	1	212.3981241098362	4	40	10	right	right	1	10	15.674	638
2	2	1502.9682542054572	4	40	10	left	left	1	9	15.957	564
2	3	283.7153135794124	4	40	10	left	right	0	8	16.293	491
2	4	763.2506228305344	4	40	10	right	right	1	12	15.979	751
2	5	891.2802929011078	4	40	10	left	right	0	8	16.032	499
2	6	1023.4128722177813	4	40	10	left	left	1	8	15.968	501
2	7	457.33344899966676	4	40	10	right	left	0	8	16.064	498
2	8	1049.4344063454853	4	40	10	right	right	1	9	15.385	585
2	9	359.02743489476154	4	40	10	left	right	0	8	16.293	491
2	10	1050.0795340218478	4	40	10	left	left	1	13	15.258	852
2	11	314.6001163780719	4	40	10	right	left	0	17	16.068	1058
2	12	1611.0334642043908	4	40	10	left	right	0	11	15.471	711
2	13	861.6793962323472	4	40	10	right	left	0	11	15.85	694
2	14	969.4420725520739	4	40	10	left	right	0	10	16.103	621
2	15	686.7441419909479	4	40	10	right	right	1	12	16.064	747
2	16	1693.6912683582777	4	40	10	left	right	0	12	15.727	763
2	17	925.1811868999239	4	40	10	right	left	0	10	15.748	635
2	18	513.2765423738548	4	40	10	right	right	1	7	17.073	410
2	19	745.1983849667599	4	40	10	left	right	0	9	16.981	530
2	20	511.53428635184997	4	40	10	left	right	0	5	15.974	313
2	21	785.377642272639	4	40	10	right	right	1	5	16.892	296
2	22	1009.709848448771	4	40	10	right	right	1	5	18.727	267
2	23	1180.139776754278	4	40	10	left	right	0	9	16.484	546
