
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	1584.3788334555547	4	40	10	right	right	1	196	15.161	12928
1	2	329.1051050769852	4	40	10	left	right	0	77	15.19	5069
1	3	1913.2573823484352	4	40	10	left	right	0	68	15.202	4473
1	4	923.9685014792501	4	40	10	right	right	1	88	15.217	5783
1	5	950.4822949594555	4	40	10	left	right	0	71	15.295	4642
1	6	1256.5444749671278	4	40	10	right	right	1	61	15.193	4015
1	7	391.5889558363991	4	40	10	left	right	0	125	15.179	8235
1	8	825.7400662706069	4	40	10	right	right	1	94	15.25	6164
1	9	334.9429628902121	4	40	10	left	right	0	72	15.228	4728
1	10	2136.481874916054	4	40	10	right	right	1	86	15.165	5671
1	11	537.1578958286609	4	40	10	right	right	1	79	15.157	5212
1	12	3528.1641072390994	4	40	10	right	right	1	68	15.284	4449
1	13	1162.4743297301802	4	40	10	left	right	0	31	15.485	2002
1	14	633.7784324230815	4	40	10	right	left	0	72	15.028	4791
1	15	343.66844758623097	4	40	10	right	right	1	87	15.165	5737
1	16	1305.3799825928006	4	40	10	right	left	0	30	15.275	1964
1	17	439.8507396462851	4	40	10	right	left	0	26	15.634	1663
1	18	679.4509529950874	4	40	10	left	left	1	29	15.255	1901
1	19	1803.156787603896	4	40	10	left	right	0	16	15.209	1052
1	20	1351.5029333999917	4	40	10	right	left	0	21	15.251	1377
1	21	446.1001825899814	4	40	10	left	right	0	18	15.398	1169
1	22	1123.199629455328	4	40	10	left	left	1	18	15.164	1187
1	23	604.1014654350895	4	40	10	left	left	1	32	15.231	2101
1	24	330.6411126430355	4	40	10	right	right	1	28	15.582	1797
1	25	244.87324280019556	4	40	10	right	right	1	28	15.342	1825
1	26	554.6375138273424	4	40	10	left	right	0	16	15.686	1020
1	27	379.3206127069668	4	40	10	left	left	1	17	15.933	1067
1	28	272.56533755426267	4	40	10	right	right	1	14	16.092	870
1	29	769.7273392860527	4	40	10	right	left	0	44	15.23	2889
1	30	766.9026716249018	4	40	10	right	right	1	34	15.413	2206
1	31	494.39768407872356	4	40	10	left	right	0	52	15.272	3405
1	32	2170.217798253253	4	40	10	right	left	0	17	15.371	1106
1	33	536.662081471069	4	40	10	left	right	0	23	15.303	1503
1	34	1097.9947382755445	4	40	10	left	left	1	21	15.464	1358
1	35	886.5795087831193	4	40	10	left	left	1	47	15.24	3084
1	36	463.8296189689798	4	40	10	left	left	1	58	15.303	3790
1	37	276.8155473474226	4	40	10	right	left	0	34	15.589	2181
1	38	1892.8895824147153	4	40	10	left	right	0	20	15.54	1287
1	39	1273.0567975653453	4	40	10	left	left	1	22	15.614	1409
1	40	1312.9670621519617	4	40	10	right	left	0	38	15.194	2501
2	1	587.7377229742447	4	40	10	right	right	1	38	15.391	2469
2	2	406.7810744691143	4	40	10	left	left	1	15	15.69	956
2	3	225.59196426230048	4	40	10	left	right	0	26	15.458	1682
2	4	828.852493528611	4	40	10	right	left	0	18	15.177	1186
2	5	328.7611938943619	4	40	10	left	left	1	17	15.233	1116
2	6	1620.810634704395	4	40	10	right	right	1	32	15.474	2068
2	7	420.1072901406665	4	40	10	right	left	0	29	15.575	1862
2	8	918.635751092142	4	40	10	right	right	1	47	15.324	3067
2	9	1025.9145970473949	4	40	10	left	left	1	61	15.327	3980
2	10	918.786485716485	4	40	10	left	left	1	36	15.164	2374
2	11	1028.7101438861205	4	40	10	right	left	0	84	15.215	5521
2	12	1069.1424886232487	4	40	10	right	right	1	19	15.36	1237
2	13	756.4233210346296	4	40	10	right	right	1	84	15.193	5529
2	14	3742.7447354907954	4	40	10	left	left	1	19	15.176	1252
2	15	753.307982017323	4	40	10	right	right	1	34	15.308	2221
2	16	261.99002419348403	4	40	10	left	left	1	24	15.544	1544
2	17	1032.7169306860455	4	40	10	left	right	0	30	15.4	1948
2	18	576.6706494598591	4	40	10	left	left	1	67	15.176	4415
2	19	1314.6234666486857	4	40	10	right	left	0	58	15.328	3784
2	20	1759.6084077556911	4	40	10	left	right	0	71	15.345	4627
2	21	1226.7657034816446	4	40	10	right	left	0	28	15.376	1821
2	22	393.56386044257613	4	40	10	right	right	1	54	15.19	3555
2	23	292.3059287141766	4	40	10	left	right	0	32	15.253	2098
2	24	572.9393803922702	4	40	10	left	left	1	59	15.337	3847
