
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	770.6228918325492	4	40	10	left	left	1	62	15.211	4076
1	2	530.8019964740618	4	40	10	right	right	1	41	15.431	2657
1	3	375.3235321641608	4	40	10	left	right	0	30	15.496	1936
1	4	466.0614207895696	4	40	10	left	right	0	38	15.304	2483
1	5	967.172974657552	4	40	10	right	left	0	38	15.2	2500
1	6	735.7656739056426	4	40	10	right	left	0	63	15.232	4136
1	7	1864.0010862124195	4	40	10	right	left	0	43	15.2	2829
1	8	2005.0106348151835	4	40	10	left	right	0	43	15.379	2796
1	9	913.6640043688453	4	40	10	right	left	0	61	15.277	3993
1	10	866.6805888572394	4	40	10	right	right	1	81	15.206	5327
1	11	517.2599147612391	4	40	10	right	right	1	24	15.554	1543
1	12	332.56533416040514	4	40	10	left	right	0	22	15.141	1453
1	13	1075.9732476122886	4	40	10	left	right	0	38	15.176	2504
1	14	331.1141264949772	4	40	10	right	left	0	22	15.449	1424
1	15	965.0152582900854	4	40	10	left	left	1	28	15.184	1844
1	16	659.8157331141963	4	40	10	left	left	1	17	15.26	1114
1	17	846.2724027447539	4	40	10	left	left	1	24	15.142	1585
1	18	1275.7301568510638	4	40	10	left	right	0	30	15.536	1931
1	19	1343.7654832472504	4	40	10	right	right	1	36	15.19	2370
1	20	1190.0048829245357	4	40	10	left	left	1	52	15.263	3407
1	21	350.558062808728	4	40	10	left	left	1	16	15.81	1012
1	22	686.0414411112357	4	40	10	right	left	0	42	15.301	2745
1	23	804.5198669179408	4	40	10	left	left	1	32	15.377	2081
1	24	4099.1517858844945	4	40	10	left	left	1	32	15.451	2071
1	25	826.6058321227971	4	40	10	left	left	1	24	15.326	1566
1	26	296.59766835586294	4	40	10	right	left	0	19	15.677	1212
1	27	614.8509198652894	4	40	10	right	right	1	28	15.41	1817
1	28	2376.4074508898966	4	40	10	right	left	0	19	15.298	1242
1	29	279.83293866708965	4	40	10	left	left	1	44	15.401	2857
1	30	352.0441239673718	4	40	10	right	left	0	53	15.221	3482
1	31	620.5281474889041	4	40	10	right	right	1	29	15.541	1866
1	32	362.9177266213587	4	40	10	right	right	1	5	16.667	300
1	33	279.38930849383996	4	40	10	right	right	1	22	15.183	1449
1	34	553.1788125984497	4	40	10	left	right	0	18	15.557	1157
1	35	438.88019080858345	4	40	10	right	left	0	16	15.702	1019
1	36	508.2807890694565	4	40	10	left	left	1	17	15.977	1064
1	37	1293.3072675456758	4	40	10	right	left	0	17	15.315	1110
1	38	1559.3228401782233	4	40	10	left	right	0	13	15.33	848
1	39	810.9925894843309	4	40	10	right	right	1	27	15.385	1755
1	40	421.34976186221166	4	40	10	left	right	0	17	15.683	1084
2	1	1845.546798774816	4	40	10	left	left	1	32	15.459	2070
2	2	429.35117483001574	4	40	10	right	left	0	23	15.303	1503
2	3	635.7717826100609	4	40	10	right	right	1	29	15.525	1868
2	4	825.8892031117886	4	40	10	left	right	0	18	15.859	1135
2	5	667.7280619141595	4	40	10	left	right	0	26	15.348	1694
2	6	773.993187460132	4	40	10	right	right	1	13	15.476	840
2	7	739.4037091124779	4	40	10	left	right	0	30	15.393	1949
2	8	1502.5046419998105	4	40	10	right	right	1	16	15.267	1048
2	9	880.3195128999954	4	40	10	left	left	1	25	15.596	1603
2	10	361.2712509472476	4	40	10	right	right	1	20	15.564	1285
