
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	1572.737480608115	4	40	10	left	left	1	143	15.193	9412
1	2	439.137132193154	4	40	10	right	right	1	71	15.285	4645
1	3	290.37415830568466	4	40	10	right	left	0	102	15.199	6711
1	4	494.84330933168394	4	40	10	right	left	0	111	15.125	7339
1	5	841.4719942338121	4	40	10	right	left	0	69	15.303	4509
1	6	236.3113186945923	4	40	10	left	right	0	92	15.202	6052
1	7	1484.876785588037	4	40	10	right	left	0	76	15.164	5012
1	8	746.8519867024471	4	40	10	right	left	0	113	15.131	7468
1	9	1605.4239321779814	4	40	10	left	left	1	72	15.155	4751
1	10	214.6600403407777	4	40	10	right	right	1	81	15.226	5320
1	11	708.1579916042552	4	40	10	left	left	1	83	15.232	5449
1	12	324.16781790255356	4	40	10	right	left	0	106	15.147	6998
1	13	872.7168439670673	4	40	10	right	left	0	97	15.133	6410
1	14	556.0382673509938	4	40	10	left	left	1	72	15.3	4706
1	15	803.1299687848959	4	40	10	left	left	1	64	15.13	4230
1	16	270.7255354798034	4	40	10	left	right	0	70	15.314	4571
1	17	472.9828074064376	4	40	10	left	right	0	93	15.184	6125
1	18	748.2294331492327	4	40	10	left	left	1	73	15.221	4796
1	19	487.03768946769116	4	40	10	right	right	1	51	15.161	3364
1	20	426.82060883423594	4	40	10	right	right	1	44	15.225	2890
1	21	444.5504622188038	4	40	10	right	right	1	80	15.157	5278
1	22	577.5128723524222	4	40	10	right	right	1	68	15.158	4486
1	23	440.7311732419949	4	40	10	left	right	0	56	15.172	3691
1	24	591.4989659184201	4	40	10	right	right	1	38	15.237	2494
1	25	772.8648374584455	4	40	10	right	left	0	78	15.237	5119
1	26	672.9042770070951	4	40	10	left	right	0	33	15.048	2193
1	27	1012.9274526158804	4	40	10	right	right	1	65	15.305	4247
1	28	823.6450174168405	4	40	10	left	right	0	62	15.263	4062
1	29	1062.3986812233843	4	40	10	right	right	1	24	15.375	1561
1	30	1491.9224276105828	4	40	10	right	right	1	52	15.169	3428
1	31	401.33807900486226	4	40	10	left	left	1	23	15.467	1487
1	32	682.4193590671587	4	40	10	left	left	1	38	15.176	2504
1	33	288.41379619237165	4	40	10	left	left	1	56	15.296	3661
1	34	209.9763354335732	4	40	10	left	right	0	39	15.128	2578
1	35	3228.5589171420233	4	40	10	left	right	0	51	15.161	3364
1	36	615.002437093198	4	40	10	right	right	1	46	15.333	3000
1	37	320.4075654857798	4	40	10	left	left	1	29	15.12	1918
