
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	499.82319777451363	4	40	10	right	left	0	323	15.158	21309
1	2	362.77920699241963	4	40	10	right	right	1	45	15.353	2931
1	3	837.6997347151062	4	40	10	right	right	1	56	15.127	3702
1	4	1180.1710580040667	4	40	10	left	left	1	60	15.182	3952
1	5	476.05520142574266	4	40	10	right	left	0	61	15.106	4038
1	6	222.46957570878453	4	40	10	left	right	0	66	15.197	4343
1	7	1419.7956993884067	4	40	10	left	left	1	83	15.199	5461
1	8	702.7858230855655	4	40	10	right	left	0	119	15.182	7838
1	9	440.070070240919	4	40	10	right	right	1	147	15.152	9702
1	10	1051.520991112266	4	40	10	left	right	0	50	15.249	3279
1	11	308.1096023196403	4	40	10	left	right	0	28	15.599	1795
1	12	318.7101072175232	4	40	10	left	right	0	43	15.335	2804
1	13	553.5520780080723	4	40	10	right	right	1	48	15.19	3160
1	14	391.07658332224514	4	40	10	left	left	1	93	15.211	6114
1	15	255.0895878907751	4	40	10	left	left	1	62	15.177	4085
1	16	2414.1362686241664	4	40	10	left	right	0	56	15.16	3694
1	17	1312.932246187427	4	40	10	right	right	1	93	15.149	6139
1	18	384.33936792516374	4	40	10	right	right	1	62	15.189	4082
1	19	1115.8433743759287	4	40	10	right	right	1	25	15.179	1647
1	20	767.0695781425238	4	40	10	right	right	1	47	15.21	3090
1	21	1009.0693167806122	4	40	10	left	left	1	46	15.257	3015
1	22	721.198461403011	4	40	10	left	right	0	93	15.196	6120
1	23	237.69488977160782	4	40	10	right	left	0	47	15.329	3066
1	24	1709.8907970265804	4	40	10	left	left	1	38	15.206	2499
1	25	1339.0531099756851	4	40	10	right	left	0	26	15.196	1711
1	26	525.8739917736507	4	40	10	left	left	1	162	15.2	10658
1	27	260.3040194586613	4	40	10	right	right	1	39	15.081	2586
1	28	1303.868710103254	4	40	10	left	right	0	18	15.228	1182
1	29	638.638351735313	4	40	10	left	left	1	26	15.125	1719
1	30	522.6541982548761	4	40	10	left	left	1	36	15.391	2339
1	31	794.9745796669687	4	40	10	right	right	1	24	15.424	1556
1	32	1743.7933171088666	4	40	10	left	right	0	19	15.82	1201
1	33	247.5624034435986	4	40	10	right	left	0	45	15.332	2935
1	34	1014.1498128584682	4	40	10	right	left	0	42	15.206	2762
