
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	608.0162646756698	4	40	10	left	left	1	71	14.976	4741
1	2	920.5517040253542	4	40	10	right	right	1	21	15.579	1348
1	3	308.2233092003046	4	40	10	right	left	0	50	15.161	3298
1	4	480.1792576696745	4	40	10	right	right	1	11	15.048	731
1	5	405.6748653325807	4	40	10	right	right	1	14	15.234	919
1	6	1974.4529965193074	4	40	10	right	right	1	13	15.134	859
1	7	298.9376120212098	4	40	10	right	left	0	40	15.026	2662
1	8	492.83287754865125	4	40	10	right	right	1	13	14.925	871
1	9	378.07522207970896	4	40	10	left	right	0	12	15.464	776
1	10	1695.6604666846576	4	40	10	left	right	0	17	15.497	1097
1	11	752.9195185154781	4	40	10	left	right	0	22	15.548	1415
1	12	218.8352394094691	4	40	10	right	right	1	18	15.411	1168
1	13	889.5700961244929	4	40	10	left	right	0	12	15.248	787
1	14	267.52018388585185	4	40	10	left	left	1	68	15.041	4521
1	15	2173.8685921701026	4	40	10	right	left	0	13	15.134	859
1	16	1171.53201183105	4	40	10	left	right	0	12	16.086	746
1	17	323.38779134524805	4	40	10	left	left	1	86	15.022	5725
1	18	2312.028290390788	4	40	10	left	right	0	14	15.152	924
1	19	922.436150001391	4	40	10	left	left	1	11	15.515	709
1	20	976.5648276599234	4	40	10	left	right	0	21	15.284	1374
1	21	326.1806727575521	4	40	10	left	left	1	14	15.453	906
1	22	562.5834134533106	4	40	10	right	left	0	48	15.18	3162
1	23	229.17327268380893	4	40	10	left	right	0	10	15.898	629
1	24	4097.477680429132	4	40	10	left	right	0	15	15.259	983
1	25	1639.7827836185488	4	40	10	right	left	0	268	14.905	17980
1	26	293.8680382672957	4	40	10	right	right	1	10	15.314	653
1	27	1414.8968861243595	4	40	10	right	left	0	27	15.135	1784
1	28	786.0309080237377	4	40	10	right	left	0	10	15.504	645
1	29	1556.421389271247	4	40	10	right	right	1	10	16.474	607
1	30	646.1170878973113	4	40	10	right	right	1	10	15.083	663
1	31	813.8590943319803	4	40	10	left	right	0	10	15.974	626
1	32	319.86136826495806	4	40	10	right	left	0	24	15.113	1588
1	33	266.9663391270641	4	40	10	left	right	0	12	15.915	754
1	34	469.5579298155802	4	40	10	left	left	1	247	14.919	16556
1	35	1455.4380636695284	4	40	10	left	left	1	119	14.969	7950
1	36	1588.7639115432914	4	40	10	right	left	0	582	14.886	39098
1	37	878.2277717744134	4	40	10	right	right	1	92	14.889	6179
1	38	1715.2382931615505	4	40	10	left	right	0	28	15.094	1855
1	39	1816.790559345574	4	40	10	right	right	1	257	14.934	17209
1	40	923.4631085332982	4	40	10	left	left	1	18	15.038	1197
2	1	317.9822324088883	4	40	10	right	right	1	40	15.215	2629
2	2	554.8581243927424	4	40	10	left	left	1	112	14.965	7484
2	3	444.72569742963685	4	40	10	right	right	1	153	14.949	10235
2	4	438.4210457287745	4	40	10	left	right	0	16	15.253	1049
2	5	1005.352243341307	4	40	10	right	left	0	69	15.098	4570
2	6	1415.4446188352817	4	40	10	right	right	1	28	15.054	1860
2	7	1107.931536583402	4	40	10	right	left	0	35	15.251	2295
2	8	3167.649880301779	4	40	10	right	right	1	11	14.946	736
2	9	718.8707854195347	4	40	10	left	right	0	9	16.605	542
2	10	494.6963088746324	4	40	10	left	left	1	23	15.142	1519
2	11	394.59663666352037	4	40	10	right	right	1	19	15.372	1236
2	12	3554.5701889213924	4	40	10	left	right	0	11	15.559	707
2	13	1049.1656197468521	4	40	10	right	left	0	16	15.066	1062
2	14	207.41241684619968	4	40	10	right	right	1	291	14.886	19549
2	15	434.76452465835314	4	40	10	left	right	0	146	14.921	9785
2	16	539.5193440929354	4	40	10	left	right	0	158	14.921	10589
2	17	1320.2409957798056	4	40	10	left	right	0	216	14.908	14489
2	18	370.89366636848115	4	40	10	right	left	0	61	15.069	4048
2	19	239.1609503956692	4	40	10	left	right	0	15	15	1000
2	20	1564.5852764370673	4	40	10	left	right	0	13	15.403	844
2	21	283.37187100137146	4	40	10	left	right	0	48	15.061	3187
2	22	265.7666722811738	4	40	10	right	left	0	26	15.276	1702
2	23	340.4462632769562	4	40	10	left	right	0	57	15.063	3784
2	24	591.6855785239281	4	40	10	left	right	0	16	15.549	1029
2	25	758.7033694747337	4	40	10	right	left	0	27	15.101	1788
2	26	233.10728145744014	4	40	10	left	right	0	60	14.888	4030
2	27	659.7002653034283	4	40	10	left	right	0	51	14.934	3415
2	28	681.5753591035559	4	40	10	right	left	0	74	15.062	4913
2	29	573.0091351132266	4	40	10	left	left	1	72	15.044	4786
2	30	1766.0985691661722	4	40	10	right	left	0	50	15.069	3318
2	31	950.61126308996	4	40	10	right	right	1	63	15.021	4194
2	32	819.7270140933862	4	40	10	right	right	1	15	15.121	992
2	33	366.46952931902837	4	40	10	left	left	1	11	15.027	732
2	34	241.4069667329291	4	40	10	left	left	1	23	15.303	1503
2	35	494.2273020190357	4	40	10	right	left	0	19	15.298	1242
2	36	302.14650988815833	4	40	10	right	right	1	7	16.509	424
2	37	1587.2005097772421	4	40	10	left	right	0	11	15.581	706
2	38	1235.543886371325	4	40	10	right	right	1	96	15.016	6393
2	39	1102.4505287719855	4	40	10	left	right	0	543	14.893	36461
2	40	3761.8278581199215	4	40	10	right	right	1	39	14.954	2608
3	1	236.41211562805353	4	40	10	right	right	1	17	15.668	1085
3	2	1032.253358420097	4	40	10	left	left	1	29	15.128	1917
3	3	1253.288756286503	4	40	10	right	left	0	17	15.288	1112
3	4	287.56515461541693	4	40	10	right	right	1	17	15.726	1081
3	5	694.3371255403473	4	40	10	right	right	1	15	15.658	958
3	6	663.2230195853843	4	40	10	right	left	0	15	15.856	946
3	7	2085.958059932006	4	40	10	left	left	1	25	14.916	1676
3	8	695.3509884879372	4	40	10	left	left	1	67	15.053	4451
3	9	1790.0545710861838	4	40	10	right	right	1	12	15.228	788
3	10	242.69835555118559	4	40	10	left	left	1	11	15.67	702
3	11	302.7717190137938	4	40	10	left	left	1	35	15.184	2305
3	12	2541.3830655001075	4	40	10	right	right	1	267	14.913	17904
3	13	262.11310705671394	4	40	10	right	right	1	87	15.036	5786
3	14	2337.690207423356	4	40	10	right	right	1	73	15.002	4866
3	15	1213.4403949489638	4	40	10	left	right	0	137	14.922	9181
3	16	967.2358295803305	4	40	10	right	left	0	100	14.901	6711
3	17	632.935918599904	4	40	10	right	left	0	34	15.044	2260
3	18	304.40649915014643	4	40	10	right	right	1	6	15.424	389
3	19	396.9820837866479	4	40	10	right	right	1	17	15.741	1080
3	20	291.11949476307143	4	40	10	left	left	1	38	15.133	2511
3	21	1017.0919261325829	4	40	10	left	right	0	14	15.504	903
3	22	565.8184943503029	4	40	10	right	left	0	17	15.668	1085
3	23	276.9472711388914	4	40	10	left	right	0	22	15.32	1436
3	24	1727.3094258897718	4	40	10	right	left	0	13	15.971	814
3	25	569.120027459569	4	40	10	left	right	0	212	14.947	14183
3	26	467.92249757419125	4	40	10	left	right	0	520	14.909	34878
3	27	850.8037306647782	4	40	10	left	right	0	29	15.247	1902
3	28	693.4650365030552	4	40	10	right	right	1	14	15.419	908
3	29	725.5806503737132	4	40	10	left	right	0	16	15.686	1020
3	30	281.7585170053339	4	40	10	left	right	0	12	15.113	794
3	31	1005.1454854146992	4	40	10	left	right	0	70	14.999	4667
3	32	1387.2421058205175	4	40	10	left	left	1	17	15.455	1100
3	33	1104.444329168689	4	40	10	left	left	1	22	15.079	1459
3	34	1187.4944169982186	4	40	10	right	right	1	29	15.239	1903
3	35	2185.529941033478	4	40	10	left	right	0	18	15.598	1154
3	36	1861.6877358830943	4	40	10	left	right	0	57	15.115	3771
3	37	489.49790379260185	4	40	10	right	right	1	26	14.917	1743
3	38	551.4086655185534	4	40	10	left	right	0	13	15.873	819
3	39	1306.1809550835724	4	40	10	right	right	1	125	14.916	8380
3	40	905.5732054150524	4	40	10	right	left	0	29	15.376	1886
4	1	476.09220169607397	4	40	10	left	right	0	14	15.677	893
