
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	875.695011289181	4	40	10	left	left	1	15	14.808	1013
1	2	414.59132054772703	4	40	10	left	left	1	12	15.831	758
1	3	225.59881276352058	4	40	10	left	left	1	18	15.491	1162
1	4	347.23429512320586	4	40	10	right	right	1	10	16.051	623
1	5	847.9759443614929	4	40	10	left	left	1	12	15.831	758
1	6	1473.9208115751498	4	40	10	right	right	1	14	15.453	906
1	7	791.1848422185803	4	40	10	right	right	1	11	15.647	703
1	8	1463.416310008055	4	40	10	right	right	1	9	15.411	584
1	9	1105.784404445546	4	40	10	left	left	1	9	14.95	602
1	10	569.0071306401046	4	40	10	right	right	1	9	14.95	602
1	11	666.9167294757763	4	40	10	right	right	1	10	15.48	646
1	12	523.8373813557343	4	40	10	right	right	1	13	15.569	835
1	13	1024.0480425536161	4	40	10	left	right	0	11	15.625	704
1	14	546.9943919909899	4	40	10	left	right	0	10	16.129	620
1	15	1622.0591209142835	4	40	10	left	left	1	17	15.947	1066
1	16	1578.4848873802307	4	40	10	left	left	1	14	15.504	903
1	17	239.10125497889078	4	40	10	left	left	1	13	15.834	821
1	18	347.66154331211794	4	40	10	right	right	1	12	15.094	795
1	19	371.38102568768863	4	40	10	right	right	1	12	16.107	745
1	20	735.5946649885795	4	40	10	right	right	1	15	15.907	943
1	21	832.5759806388164	4	40	10	right	right	1	12	16.151	743
1	22	698.8248876525706	4	40	10	right	right	1	14	15.608	897
1	23	282.3508476845869	4	40	10	right	right	1	11	14.885	739
1	24	691.3456219324225	4	40	10	left	right	0	12	15.209	789
1	25	277.6204997173754	4	40	10	right	right	1	13	15.834	821
1	26	398.01521046003927	4	40	10	left	left	1	18	15.571	1156
1	27	316.28912441067956	4	40	10	left	left	1	16	15.936	1004
1	28	1062.9847171191654	4	40	10	left	left	1	12	14.963	802
1	29	1043.9506500211316	4	40	10	left	left	1	14	14.957	936
1	30	1163.1582641465997	4	40	10	right	right	1	13	15.046	864
1	31	533.3209049931813	4	40	10	left	left	1	10	14.793	676
1	32	267.8123652730345	4	40	10	left	left	1	12	15.228	788
1	33	399.66216932790695	4	40	10	right	right	1	13	15.116	860
1	34	329.7443364070588	4	40	10	left	left	1	13	15.348	847
1	35	354.11607112147766	4	40	10	right	right	1	12	16.021	749
1	36	2834.213859792369	4	40	10	left	left	1	15	15.856	946
1	37	732.4841145895273	4	40	10	right	right	1	13	15.439	842
1	38	1604.0644928179022	4	40	10	right	right	1	21	15.184	1383
1	39	380.89168233642124	4	40	10	right	right	1	9	15.126	595
1	40	247.9413614045254	4	40	10	left	left	1	11	15.692	701
2	1	240.94266950223744	4	40	10	right	right	1	10	16.103	621
2	2	1578.7246673965767	4	40	10	right	left	0	17	15.165	1121
2	3	477.8991456577852	4	40	10	right	right	1	30	15.488	1937
2	4	1042.5087918449264	4	40	10	left	left	1	16	15.564	1028
2	5	831.9080302977026	4	40	10	left	left	1	12	15.444	777
2	6	426.27567010639893	4	40	10	right	right	1	13	15.777	824
2	7	651.6180088796345	4	40	10	left	left	1	10	16.129	620
2	8	2140.731089962479	4	40	10	left	left	1	11	15.714	700
2	9	628.1661444178453	4	40	10	right	right	1	14	15.73	890
2	10	720.7836038183369	4	40	10	left	left	1	10	15.267	655
2	11	825.297800306495	4	40	10	left	left	1	16	15.459	1035
2	12	2356.0933484900433	4	40	10	right	right	1	12	15.584	770
2	13	1977.1323151688843	4	40	10	left	left	1	15	15.306	980
2	14	288.46000661739094	4	40	10	right	right	1	10	15.432	648
2	15	537.6375515378697	4	40	10	left	left	1	9	15.901	566
2	16	467.653061013402	4	40	10	right	right	1	12	14.981	801
2	17	1282.3592326260277	4	40	10	left	left	1	12	15.625	768
2	18	731.2404860419826	4	40	10	left	left	1	13	14.891	873
2	19	442.55851672027603	4	40	10	right	right	1	15	15.306	980
2	20	537.9695316913284	4	40	10	right	right	1	12	16.173	742
2	21	546.8417018273303	4	40	10	left	left	1	15	15.198	987
2	22	1013.7005685179364	4	40	10	left	left	1	18	15.228	1182
2	23	1924.3150657173485	4	40	10	right	right	1	15	15.957	940
2	24	587.7241733663993	4	40	10	left	left	1	10	15.083	663
2	25	1912.3641784180913	4	40	10	left	left	1	12	16.021	749
2	26	1438.3773981138904	4	40	10	right	right	1	10	15.152	660
2	27	692.0121078260813	4	40	10	right	right	1	17	15.357	1107
2	28	388.3411029460932	4	40	10	right	right	1	14	15.521	902
2	29	2625.717256355119	4	40	10	right	right	1	13	15.012	866
2	30	231.01088104014488	4	40	10	left	left	1	14	15.184	922
2	31	1163.1255230781748	4	40	10	right	right	1	10	15.015	666
2	32	358.33182391753087	4	40	10	left	left	1	16	15.094	1060
2	33	529.224234235809	4	40	10	right	right	1	13	15.312	849
2	34	555.4703627321191	4	40	10	left	left	1	13	15.029	865
2	35	291.6167884102499	4	40	10	right	right	1	15	15.528	966
2	36	206.3435725983918	4	40	10	left	left	1	17	15.77	1078
2	37	1840.6974060936772	4	40	10	left	left	1	24	15.306	1568
2	38	935.772522385735	4	40	10	left	left	1	14	15.556	900
2	39	858.0073030509858	4	40	10	right	right	1	29	15.073	1924
2	40	622.7816147048074	4	40	10	right	right	1	22	15.131	1454
3	1	241.84332979495735	4	40	10	right	right	1	13	15.385	845
3	2	673.9504552056444	4	40	10	left	left	1	14	15.964	877
3	3	1533.6398478581204	4	40	10	left	left	1	23	15.541	1480
3	4	815.8625816178186	4	40	10	right	right	1	14	15.837	884
3	5	1708.4029361221366	4	40	10	left	right	0	20	15.049	1329
3	6	415.9539537772959	4	40	10	right	right	1	15	15.464	970
3	7	630.6842004725942	4	40	10	right	right	1	30	15.213	1972
3	8	458.7213858086472	4	40	10	right	right	1	13	15.476	840
3	9	398.4472528936662	4	40	10	left	left	1	15	15.06	996
3	10	1373.7135568968444	4	40	10	right	right	1	13	15.532	837
3	11	692.5482578441986	4	40	10	left	left	1	12	15.326	783
3	12	719.2887893107613	4	40	10	right	right	1	15	15.152	990
3	13	205.3171909391922	4	40	10	left	left	1	13	16.149	805
3	14	501.8455155138852	4	40	10	left	right	0	14	15.021	932
3	15	1120.1578539840488	4	40	10	left	left	1	10	15.337	652
3	16	278.8770726053443	4	40	10	right	right	1	9	15.254	590
3	17	430.05276137085434	4	40	10	right	right	1	11	15.67	702
3	18	1323.8753459074985	4	40	10	right	right	1	12	15.113	794
3	19	215.16126995780766	4	40	10	left	left	1	38	15.188	2502
3	20	1108.0170413027172	4	40	10	left	left	1	12	15.564	771
3	21	573.3268153565732	4	40	10	right	right	1	8	15.748	508
3	22	2166.449797738644	4	40	10	left	left	1	10	16.26	615
3	23	859.44892805072	4	40	10	left	left	1	14	15.47	905
3	24	964.010969351043	4	40	10	left	left	1	11	15.647	703
3	25	200.70750346509936	4	40	10	right	right	1	11	15.965	689
3	26	288.80153034126885	4	40	10	left	left	1	10	15.528	644
3	27	802.0655089633894	4	40	10	right	right	1	11	15.647	703
3	28	370.1755473769914	4	40	10	left	left	1	9	15.28	589
3	29	523.1529164657011	4	40	10	left	left	1	14	15.909	880
3	30	861.5340570701886	4	40	10	left	left	1	11	15.515	709
3	31	972.6327100899942	4	40	10	right	right	1	17	15.843	1073
3	32	530.2931224802332	4	40	10	right	right	1	17	15.165	1121
3	33	978.1730335963255	4	40	10	right	right	1	19	15.127	1256
3	34	1924.335946744584	4	40	10	right	right	1	12	15.605	769
3	35	1239.1278630275492	4	40	10	right	right	1	14	16	875
3	36	981.4462066730865	4	40	10	left	left	1	11	15.449	712
3	37	2762.4709707635197	4	40	10	left	left	1	24	15.424	1556
3	38	918.0451601523108	4	40	10	right	right	1	10	16.287	614
3	39	407.78164437254355	4	40	10	left	left	1	10	15.337	652
3	40	263.7742950465708	4	40	10	right	right	1	10	16.234	616
4	1	751.2468572256487	4	40	10	left	left	1	20	15.152	1320
4	2	1276.4909442954022	4	40	10	left	right	0	13	14.943	870
4	3	297.7596564740489	4	40	10	right	right	1	17	15.799	1076
4	4	377.4430001614679	4	40	10	right	right	1	20	15.198	1316
4	5	670.7649727082581	4	40	10	left	left	1	13	15.348	847
4	6	269.1073284860923	4	40	10	right	right	1	12	15.894	755
4	7	690.0761184494405	4	40	10	left	left	1	20	15.279	1309
4	8	1874.6853489173781	4	40	10	right	right	1	27	15.118	1786
4	9	659.838207162404	4	40	10	left	left	1	17	15.483	1098
4	10	281.75935758191133	4	40	10	right	right	1	28	15.342	1825
4	11	719.3430990075724	4	40	10	left	left	1	40	15.238	2625
4	12	271.62963790726905	4	40	10	right	right	1	36	15.484	2325
4	13	703.4804604305182	4	40	10	left	left	1	45	15.358	2930
4	14	976.8062592415558	4	40	10	left	left	1	34	15.226	2233
4	15	685.5088760652588	4	40	10	left	left	1	24	15.595	1539
4	16	237.33336873434268	4	40	10	left	left	1	15	15.182	988
4	17	2679.981196400961	4	40	10	right	right	1	21	15.498	1355
4	18	386.20219999157473	4	40	10	right	right	1	29	15.247	1902
4	19	507.71530846497614	4	40	10	left	left	1	30	15.33	1957
4	20	849.1698364280803	4	40	10	right	right	1	16	15.671	1021
4	21	337.1997011743248	4	40	10	right	right	1	19	15.536	1223
4	22	1560.0460233127498	4	40	10	right	right	1	11	15.647	703
4	23	329.31495956186575	4	40	10	right	left	0	13	15.532	837
4	24	1446.419343849466	4	40	10	right	right	1	14	16.055	872
4	25	241.60795352062703	4	40	10	left	left	1	11	15.385	715
4	26	1063.0441153032268	4	40	10	right	right	1	14	14.878	941
4	27	220.55134678188267	4	40	10	left	left	1	10	16.129	620
4	28	1350.8651909921857	4	40	10	right	right	1	8	15.123	529
4	29	220.4884264906683	4	40	10	left	left	1	9	15.762	571
4	30	950.6196970298801	4	40	10	left	left	1	9	15.28	589
4	31	467.9241700926249	4	40	10	right	right	1	10	15.06	664
4	32	884.1284846648933	4	40	10	left	left	1	10	15.798	633
4	33	521.40531547416	4	40	10	right	right	1	15	15.275	982
4	34	662.3564361159825	4	40	10	right	left	0	11	15.342	717
4	35	582.665079477836	4	40	10	left	left	1	13	15.606	833
4	36	918.7913339250564	4	40	10	right	right	1	13	15.606	833
4	37	345.09734144382594	4	40	10	left	left	1	29	15.541	1866
4	38	1223.378878501184	4	40	10	left	left	1	9	15.075	597
4	39	249.7163668732762	4	40	10	right	right	1	16	15.474	1034
4	40	654.13875146093	4	40	10	left	left	1	15	15.707	955
