
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	1574.1498756465237	4	40	10	right	right	1	206	15.153	13595
1	2	205.62578124966043	4	40	10	right	left	0	133	15.195	8753
1	3	1395.1137258264812	4	40	10	right	left	0	41	15.507	2644
1	4	821.2994177330246	4	40	10	left	right	0	238	15.187	15671
1	5	439.15625909914974	4	40	10	right	right	1	97	15.292	6343
1	6	1110.6706273953682	4	40	10	left	right	0	117	15.167	7714
1	7	2642.217224768111	4	40	10	right	right	1	100	15.211	6574
1	8	1160.0790072665372	4	40	10	right	left	0	51	15.417	3308
1	9	278.34929630477836	4	40	10	right	right	1	50	15.23	3283
1	10	241.7773256259387	4	40	10	left	right	0	103	15.25	6754
1	11	669.7542768795015	4	40	10	right	right	1	59	15.325	3850
1	12	1375.765149142952	4	40	10	right	left	0	56	15.347	3649
1	13	561.659143513217	4	40	10	right	right	1	149	15.231	9783
1	14	210.52485955836815	4	40	10	left	left	1	61	15.388	3964
1	15	1181.0175768204535	4	40	10	right	right	1	31	15.181	2042
1	16	527.2715065707089	4	40	10	left	left	1	36	15.504	2322
1	17	206.1454376627367	4	40	10	left	left	1	33	15.392	2144
1	18	236.97651589124618	4	40	10	left	left	1	108	15.173	7118
1	19	792.0959388100204	4	40	10	right	right	1	29	15.175	1911
1	20	845.4913413233392	4	40	10	left	left	1	31	15.586	1989
1	21	1340.2362371585712	4	40	10	right	left	0	41	15.168	2703
1	22	624.0373470523434	4	40	10	right	right	1	52	15.339	3390
1	23	424.0783911691859	4	40	10	left	right	0	35	15.425	2269
1	24	960.2488095585593	4	40	10	left	left	1	42	15.212	2761
1	25	386.37977256520605	4	40	10	left	right	0	36	15.531	2318
1	26	235.86293379257773	4	40	10	left	right	0	49	15.213	3221
1	27	527.697603048477	4	40	10	right	right	1	54	15.354	3517
1	28	433.89586908846644	4	40	10	left	left	1	34	15.568	2184
1	29	1746.4299937003116	4	40	10	left	right	0	83	15.294	5427
1	30	1667.7516967171086	4	40	10	left	left	1	10	15.625	640
1	31	1047.8475609411862	4	40	10	left	right	0	20	15.432	1296
1	32	1705.8800624947974	4	40	10	left	left	1	54	15.407	3505
1	33	838.7711414100568	4	40	10	right	right	1	74	15.242	4855
1	34	791.8665951643569	4	40	10	right	right	1	63	15.217	4140
1	35	927.5870713542565	4	40	10	left	left	1	54	15.13	3569
1	36	711.2153841131728	4	40	10	right	right	1	29	15.409	1882
1	37	1470.230432309784	4	40	10	right	right	1	67	15.238	4397
1	38	260.04304267402244	4	40	10	right	right	1	57	15.323	3720
1	39	280.4925273353669	4	40	10	left	left	1	53	15.407	3440
1	40	502.95982720240625	4	40	10	left	left	1	65	15.255	4261
2	1	1337.1307872484438	4	40	10	left	right	0	97	15.273	6351
