
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	1312.3800558365692	4	40	10	right	left	0	252	15.164	16618
1	2	439.2717190705125	4	40	10	left	left	1	71	15.197	4672
1	3	669.9493550549391	4	40	10	left	left	1	56	15.172	3691
1	4	1471.0564852549753	4	40	10	left	left	1	408	15.162	26909
1	5	1247.512293471503	4	40	10	left	left	1	31	15.423	2010
1	6	834.6491611944679	4	40	10	left	right	0	64	15.26	4194
1	7	2060.259409064607	4	40	10	right	left	0	138	15.193	9083
1	8	2134.3251761598503	4	40	10	left	left	1	59	15.202	3881
1	9	531.3088521051336	4	40	10	right	right	1	18	15.491	1162
1	10	1058.833644811647	4	40	10	right	right	1	17	15.111	1125
1	11	1738.3949764002302	4	40	10	right	right	1	11	14.986	734
1	12	1227.7326976079352	4	40	10	left	left	1	16	15.656	1022
1	13	1646.5384946862752	4	40	10	right	right	1	15	15.136	991
1	14	458.78399512677214	4	40	10	left	left	1	10	15.504	645
1	15	530.6443013217415	4	40	10	left	left	1	13	15.064	863
1	16	1088.7054128262198	4	40	10	right	left	0	13	15.348	847
1	17	3225.920005565703	4	40	10	left	left	1	80	15.134	5286
1	18	295.3882379195054	4	40	10	right	right	1	11	15.257	721
1	19	701.8617332954697	4	40	10	left	left	1	10	15.528	644
1	20	618.0096704450715	4	40	10	left	left	1	54	15.42	3502
1	21	633.3765328076464	4	40	10	left	right	0	56	15.385	3640
1	22	600.9321635274593	4	40	10	right	right	1	23	15.192	1514
1	23	2146.5308876121712	4	40	10	right	right	1	19	15.188	1251
1	24	2263.277399562331	4	40	10	right	right	1	11	16.296	675
1	25	1169.9096130461348	4	40	10	right	right	1	16	15.474	1034
1	26	448.6774782824249	4	40	10	right	left	0	18	15.203	1184
1	27	317.6171398752067	4	40	10	right	left	0	62	15.305	4051
1	28	679.5802602666035	4	40	10	right	right	1	17	15.247	1115
1	29	219.45056390638453	4	40	10	left	left	1	23	15.721	1463
1	30	539.9601157869648	4	40	10	left	left	1	42	15.312	2743
1	31	481.13125320324854	4	40	10	left	right	0	33	15.399	2143
1	32	939.1408275108184	4	40	10	left	left	1	13	15.7	828
1	33	366.43895149662137	4	40	10	right	right	1	13	15.495	839
1	34	938.539595360771	4	40	10	right	right	1	17	15.814	1075
1	35	341.38088041306315	4	40	10	left	left	1	40	15.152	2640
1	36	1024.610485062134	4	40	10	right	right	1	12	15.444	777
1	37	768.4942205397949	4	40	10	left	left	1	21	15.453	1359
1	38	1571.0932632757076	4	40	10	left	left	1	18	15.113	1191
1	39	1617.9130559164155	4	40	10	right	right	1	13	15.046	864
1	40	785.3888267063431	4	40	10	right	right	1	68	15.182	4479
2	1	1493.9889685263431	4	40	10	right	right	1	17	15.596	1090
2	2	445.8548873676468	4	40	10	left	left	1	13	15.366	846
2	3	758.8759707322945	4	40	10	left	left	1	11	15.027	732
2	4	237.78709171025582	4	40	10	right	right	1	12	15.645	767
2	5	491.3225825985309	4	40	10	left	left	1	13	15.7	828
2	6	314.43941407451836	4	40	10	left	left	1	34	15.329	2218
2	7	527.649697760416	4	40	10	right	right	1	11	15.515	709
2	8	984.9025237110655	4	40	10	left	left	1	36	15.411	2336
2	9	1105.8010943005606	4	40	10	right	right	1	14	15.927	879
2	10	448.4784893353184	4	40	10	right	right	1	11	15.896	692
2	11	691.5061554733295	4	40	10	left	left	1	17	15.539	1094
2	12	804.5922679372007	4	40	10	left	left	1	17	15.288	1112
2	13	401.7277937557963	4	40	10	left	left	1	40	15.221	2628
2	14	330.9540266542988	4	40	10	left	left	1	54	15.407	3505
2	15	553.736135016351	4	40	10	right	right	1	12	16.021	749
2	16	942.1157810615813	4	40	10	right	right	1	13	15.55	836
2	17	2246.0084125564813	4	40	10	left	left	1	13	15.738	826
2	18	779.0435475511416	4	40	10	right	right	1	11	15.559	707
2	19	485.35995550129354	4	40	10	left	left	1	11	15.235	722
2	20	1640.6034910250377	4	40	10	left	left	1	13	16.149	805
2	21	833.4605565826711	4	40	10	right	right	1	18	15.254	1180
2	22	1459.7373073258375	4	40	10	right	right	1	11	15.714	700
2	23	1801.0463292697863	4	40	10	right	right	1	12	15.748	762
2	24	447.2367793903572	4	40	10	left	left	1	12	16.282	737
2	25	1697.4501088873598	4	40	10	left	left	1	33	15.152	2178
2	26	1350.6561658960722	4	40	10	right	right	1	11	16.105	683
2	27	311.1062171750725	4	40	10	left	left	1	10	15.823	632
2	28	274.349051042848	4	40	10	left	left	1	18	15.776	1141
2	29	399.03432524482406	4	40	10	right	right	1	64	15.234	4201
2	30	1388.6100315935223	4	40	10	left	left	1	24	15.199	1579
2	31	246.0992436036559	4	40	10	left	left	1	27	15.194	1777
2	32	510.8589860632487	4	40	10	right	right	1	16	15.311	1045
2	33	1714.4619874681557	4	40	10	right	right	1	36	15.332	2348
2	34	2000.4826987339236	4	40	10	left	left	1	19	15.913	1194
2	35	400.2214225134974	4	40	10	right	right	1	16	15.34	1043
2	36	404.70651653287234	4	40	10	right	right	1	21	15.328	1370
2	37	598.8398682252101	4	40	10	left	right	0	30	15.464	1940
2	38	321.30599059064235	4	40	10	right	right	1	20	15.625	1280
2	39	232.31315915546463	4	40	10	right	right	1	24	15.635	1535
2	40	461.93889239941364	4	40	10	right	right	1	17	15.596	1090
3	1	335.9944188441357	4	40	10	left	left	1	27	15.402	1753
3	2	597.3782897839274	4	40	10	right	right	1	12	15.228	788
3	3	320.79042374881174	4	40	10	left	left	1	13	14.977	868
3	4	473.81392400367247	4	40	10	right	right	1	12	15.19	790
3	5	1350.2022813830187	4	40	10	left	left	1	15	15.74	953
3	6	453.47977391812503	4	40	10	right	right	1	9	15.306	588
3	7	582.6696403890896	4	40	10	right	right	1	11	15.515	709
3	8	334.69586044033735	4	40	10	left	right	0	19	15.335	1239
3	9	1213.3301633721403	4	40	10	right	right	1	23	15.013	1532
3	10	243.41712943485513	4	40	10	right	left	0	12	15.326	783
3	11	1999.8581712257921	4	40	10	right	right	1	10	15.106	662
3	12	466.01266233959836	4	40	10	left	left	1	22	15.257	1442
3	13	391.4449441319535	4	40	10	right	right	1	10	16	625
3	14	605.9165627682012	4	40	10	left	left	1	11	15.805	696
3	15	1336.5034515229792	4	40	10	right	right	1	11	16.517	666
3	16	634.7480257942391	4	40	10	right	right	1	11	15.32	718
3	17	937.3038549473734	4	40	10	left	left	1	16	15.224	1051
3	18	213.6579572740356	4	40	10	right	right	1	9	15.845	568
3	19	837.6437856758707	4	40	10	right	right	1	10	16.026	624
3	20	447.080649499218	4	40	10	right	right	1	11	15.692	701
3	21	1579.9924509576865	4	40	10	right	right	1	10	14.925	670
3	22	767.640462895548	4	40	10	left	left	1	44	15.342	2868
3	23	935.231924184273	4	40	10	right	right	1	15	15.152	990
3	24	721.5501487549002	4	40	10	left	left	1	17	15.814	1075
3	25	232.5844263641063	4	40	10	right	left	0	30	15.236	1969
3	26	1116.0365729889297	4	40	10	right	right	1	40	15.414	2595
3	27	531.7425685750428	4	40	10	left	left	1	11	15.449	712
3	28	620.6052396932857	4	40	10	right	right	1	13	15.012	866
3	29	2952.280786842795	4	40	10	right	right	1	18	15.817	1138
3	30	1617.793734262737	4	40	10	left	left	1	10	15.699	637
3	31	483.557904068404	4	40	10	left	right	0	21	15.317	1371
3	32	577.3633836965705	4	40	10	left	left	1	26	15.187	1712
3	33	453.68938923656856	4	40	10	left	right	0	18	15.319	1175
3	34	407.79853238306606	4	40	10	left	left	1	17	15.138	1123
3	35	484.7730592215052	4	40	10	left	left	1	25	15.423	1621
3	36	1570.3947814703233	4	40	10	left	left	1	21	15.317	1371
3	37	571.3735129170895	4	40	10	left	left	1	55	15.303	3594
3	38	802.2841654266975	4	40	10	left	right	0	38	15.335	2478
3	39	761.6484089774489	4	40	10	left	left	1	21	15.544	1351
3	40	476.72579861855695	4	40	10	right	right	1	30	15.416	1946
4	1	667.443687175428	4	40	10	right	right	1	13	15.012	866
4	2	725.0852412640276	4	40	10	right	right	1	26	15.403	1688
4	3	345.0836569785521	4	40	10	left	left	1	12	15.727	763
4	4	762.3457160525588	4	40	10	left	left	1	10	15.924	628
4	5	413.03500985130836	4	40	10	right	right	1	11	16.153	681
4	6	710.239576924759	4	40	10	right	right	1	10	15.949	627
4	7	898.7011492960539	4	40	10	right	right	1	9	16.636	541
4	8	599.9396546692251	4	40	10	left	left	1	13	15.134	859
4	9	821.3352782551823	4	40	10	right	right	1	10	16.077	622
4	10	549.1952909417837	4	40	10	left	left	1	21	15.162	1385
4	11	671.9918344030304	4	40	10	left	left	1	11	15.363	716
4	12	1373.4348677328421	4	40	10	right	right	1	17	15.302	1111
4	13	1087.3655475490995	4	40	10	left	left	1	14	15.453	906
4	14	238.41423250690312	4	40	10	right	right	1	17	15.165	1121
4	15	352.8299396135673	4	40	10	right	right	1	10	15.267	655
4	16	546.1322238463206	4	40	10	right	right	1	11	15.873	693
4	17	204.46895529898165	4	40	10	left	left	1	10	15.601	641
4	18	841.5603514002892	4	40	10	right	right	1	12	14.944	803
4	19	1001.4604640750983	4	40	10	left	left	1	15	15.924	942
4	20	1008.211082567447	4	40	10	right	right	1	11	15.647	703
4	21	3875.004067564017	4	40	10	left	left	1	13	16.03	811
4	22	432.35214063408915	4	40	10	left	left	1	11	15.581	706
4	23	524.7649792709894	4	40	10	right	right	1	12	15.038	798
4	24	1603.5082736598194	4	40	10	right	right	1	10	15.221	657
4	25	929.647135900284	4	40	10	right	right	1	9	16.1	559
4	26	929.6121458031281	4	40	10	left	left	1	16	15.137	1057
4	27	336.4021445989342	4	40	10	left	left	1	13	15.7	828
4	28	326.8190493166778	4	40	10	right	right	1	8	15.905	503
4	29	365.2165211353222	4	40	10	left	left	1	11	15.782	697
4	30	609.6305823275143	4	40	10	right	right	1	20	15.302	1307
4	31	461.72442087751284	4	40	10	right	right	1	31	15.159	2045
4	32	758.9701723836374	4	40	10	left	left	1	9	15.544	579
4	33	714.3169313825889	4	40	10	left	left	1	20	15.649	1278
4	34	289.19753516967603	4	40	10	right	right	1	13	16.149	805
4	35	487.476285813337	4	40	10	right	left	0	13	15.719	827
4	36	432.495229432747	4	40	10	left	left	1	39	15.252	2557
4	37	203.36733598783857	4	40	10	left	left	1	12	15.831	758
4	38	1794.340118468594	4	40	10	left	left	1	19	15.561	1221
4	39	499.71886023959064	4	40	10	left	left	1	12	15.686	765
4	40	947.4332346454854	4	40	10	left	left	1	11	15.805	696
