
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	283.0449050608192	4	40	10	left	left	1	58	14.968	3875
1	2	767.9752634980318	4	40	10	left	right	0	27	15.126	1785
1	3	374.4565320854009	4	40	10	right	right	1	33	14.892	2216
1	4	606.5021726585801	4	40	10	left	left	1	82	15.065	5443
1	5	2326.6353079716146	4	40	10	right	right	1	28	15.07	1858
1	6	310.3256320620654	4	40	10	left	left	1	45	15.187	2963
1	7	1409.4657957392872	4	40	10	right	right	1	16	15.224	1051
1	8	830.8194731592708	4	40	10	left	right	0	69	15.02	4594
1	9	2480.514994754524	4	40	10	right	left	0	66	15.082	4376
1	10	1782.7924796059579	4	40	10	left	right	0	19	15.273	1244
1	11	524.1199420085527	4	40	10	right	left	0	96	14.97	6413
1	12	1107.5051863052709	4	40	10	left	right	0	42	15.097	2782
1	13	250.08716358096166	4	40	10	left	left	1	19	14.914	1274
1	14	573.4456678879758	4	40	10	right	right	1	39	15.017	2597
1	15	1794.5485670927137	4	40	10	left	left	1	78	14.917	5229
1	16	1527.0450693909984	4	40	10	right	left	0	78	15.055	5181
1	17	430.90961861750174	4	40	10	right	left	0	38	14.931	2545
1	18	287.7439163464567	4	40	10	left	left	1	61	14.9	4094
1	19	446.11924938866514	4	40	10	left	right	0	38	15.133	2511
1	20	1253.2447859300578	4	40	10	left	left	1	24	14.953	1605
1	21	408.7000374150203	4	40	10	right	left	0	72	14.898	4833
1	22	422.13804767965985	4	40	10	left	right	0	12	15.831	758
1	23	490.8316527267427	4	40	10	right	left	0	12	15.727	763
1	24	306.9707411716551	4	40	10	left	right	0	11	15.363	716
1	25	625.106624601463	4	40	10	left	left	1	17	15.413	1103
1	26	750.1537253267758	4	40	10	right	left	0	13	15.738	826
1	27	317.871399158438	4	40	10	right	right	1	10	15.267	655
1	28	1671.6500995156093	4	40	10	right	right	1	20	15.385	1300
1	29	1126.0009683328813	4	40	10	left	left	1	25	15.461	1617
1	30	283.0885862188328	4	40	10	right	right	1	13	15.385	845
1	31	368.78557408132144	4	40	10	left	left	1	15	15.213	986
1	32	2883.1911290686185	4	40	10	right	right	1	63	14.957	4212
1	33	369.4143744157958	4	40	10	right	right	1	17	15.441	1101
1	34	370.0965822435145	4	40	10	right	left	0	12	15.584	770
1	35	2096.370998574127	4	40	10	left	right	0	35	15.291	2289
1	36	1457.6254138200454	4	40	10	left	right	0	16	15.64	1023
1	37	873.6379135707917	4	40	10	right	right	1	14	14.973	935
1	38	1501.6672939222938	4	40	10	right	right	1	17	15.596	1090
1	39	539.7729538759781	4	40	10	left	right	0	15	15.385	975
1	40	1787.2386255004524	4	40	10	right	right	1	15	15.907	943
2	1	571.0964390004626	4	40	10	right	left	0	72	14.938	4820
2	2	466.9511967924105	4	40	10	right	right	1	18	14.938	1205
2	3	844.4999182539113	4	40	10	left	left	1	27	15.025	1797
2	4	385.81868063894217	4	40	10	right	left	0	14	15.402	909
2	5	1679.4264057948958	4	40	10	right	left	0	81	15.073	5374
2	6	357.7284402487333	4	40	10	left	right	0	37	15.01	2465
2	7	396.17848638124747	4	40	10	right	left	0	19	14.996	1267
2	8	565.633210368505	4	40	10	right	left	0	18	15.088	1193
2	9	698.5174064114973	4	40	10	right	right	1	12	15.748	762
2	10	1169.269887808569	4	40	10	left	left	1	80	15.063	5311
2	11	1521.6636247439965	4	40	10	left	left	1	17	15.554	1093
2	12	1626.8188875234011	4	40	10	left	left	1	61	15.106	4038
2	13	394.7812470496475	4	40	10	right	right	1	115	14.978	7678
2	14	2432.544951574972	4	40	10	left	left	1	39	15.023	2596
2	15	1645.6747371240708	4	40	10	left	left	1	31	14.961	2072
2	16	687.3571525726832	4	40	10	left	left	1	39	15.093	2584
2	17	292.1255767884296	4	40	10	left	left	1	39	15.258	2556
2	18	1157.549462142438	4	40	10	right	right	1	37	15.016	2464
2	19	490.21384995432635	4	40	10	left	right	0	62	15.155	4091
2	20	948.9412453685799	4	40	10	left	left	1	56	14.969	3741
2	21	695.027907368888	4	40	10	left	left	1	31	15.137	2048
2	22	648.667692147703	4	40	10	right	left	0	13	15.625	832
2	23	409.6983525420445	4	40	10	left	right	0	46	15.038	3059
2	24	1462.331780413842	4	40	10	right	left	0	27	15.084	1790
2	25	444.7077928764549	4	40	10	left	left	1	38	15.158	2507
2	26	747.9948890264114	4	40	10	right	right	1	20	15.649	1278
2	27	709.9833984480515	4	40	10	left	left	1	21	15.317	1371
2	28	2255.471963079374	4	40	10	right	right	1	17	15.843	1073
2	29	563.726409539549	4	40	10	right	right	1	25	15.509	1612
2	30	704.9352221881261	4	40	10	left	left	1	19	15.237	1247
2	31	658.7914396906135	4	40	10	right	left	0	13	15.348	847
2	32	405.54928146416694	4	40	10	left	left	1	58	15.03	3859
2	33	1212.0450770586717	4	40	10	right	left	0	17	15.426	1102
2	34	1135.3449499221083	4	40	10	left	right	0	64	15.126	4231
2	35	580.0162694687831	4	40	10	right	right	1	111	14.933	7433
2	36	356.2570882088137	4	40	10	left	left	1	16	15.686	1020
2	37	487.85701275444984	4	40	10	right	right	1	15	15	1000
2	38	3211.6276301301946	4	40	10	right	right	1	39	15.128	2578
2	39	633.0802971192525	4	40	10	right	right	1	76	15.047	5051
2	40	208.51765887068458	4	40	10	left	left	1	18	15.451	1165
3	1	482.60082594426655	4	40	10	right	left	0	33	15.356	2149
3	2	363.26477346066554	4	40	10	right	left	0	16	15.64	1023
3	3	251.68639899019584	4	40	10	left	left	1	36	15.293	2354
3	4	640.2835564973838	4	40	10	right	right	1	14	15.038	931
3	5	996.7906155509755	4	40	10	right	left	0	18	15.371	1171
3	6	1220.6553211963069	4	40	10	left	left	1	33	15.327	2153
3	7	775.8003124296896	4	40	10	right	left	0	64	15.059	4250
