
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	573.8945479709557	4	40	10	left	left	1	40	15.198	2632
1	2	1339.1868406764822	4	40	10	right	right	1	140	14.976	9348
1	3	1218.6672153682684	4	40	10	right	right	1	88	15.017	5860
1	4	1045.4832232649865	4	40	10	right	left	0	211	14.943	14120
1	5	434.4983321882487	4	40	10	right	right	1	68	15.094	4505
1	6	370.0148345675542	4	40	10	right	right	1	46	15.062	3054
1	7	584.5361249227592	4	40	10	left	left	1	71	14.976	4741
1	8	782.2053648830463	4	40	10	left	left	1	18	15.598	1154
1	9	2262.085273679108	4	40	10	right	left	0	38	15.176	2504
1	10	1543.9981994094067	4	40	10	left	left	1	72	14.198	5071
1	11	562.4933707038053	4	40	10	right	right	1	58	14.883	3897
1	12	273.59080179357073	4	40	10	left	right	0	28	15.127	1851
1	13	237.3163034566511	4	40	10	right	left	0	104	15.055	6908
1	14	506.9781368674429	4	40	10	left	left	1	60	14.974	4007
1	15	376.27083586884095	4	40	10	right	left	0	60	15.117	3969
1	16	458.5015388673222	4	40	10	left	left	1	66	14.952	4414
1	17	1028.0546257466235	4	40	10	right	right	1	146	14.938	9774
1	18	836.1247450530531	4	40	10	right	right	1	62	15.012	4130
1	19	531.7189563794863	4	40	10	left	left	1	50	15.056	3321
1	20	1202.324543967483	4	40	10	right	right	1	85	15.095	5631
1	21	804.9285925903911	4	40	10	left	right	0	36	15.05	2392
1	22	841.1324201238378	4	40	10	right	right	1	131	14.975	8748
1	23	217.6692222875064	4	40	10	right	right	1	53	15.027	3527
1	24	270.9550030022589	4	40	10	left	left	1	54	15	3600
1	25	2468.2809592719923	4	40	10	left	right	0	38	14.621	2599
1	26	662.0246819753736	4	40	10	right	right	1	102	14.969	6814
1	27	692.8504665199829	4	40	10	right	left	0	40	14.948	2676
1	28	641.6447694285441	4	40	10	left	left	1	58	15.12	3836
1	29	527.8894249963175	4	40	10	right	left	0	72	15.094	4770
1	30	1596.4809086666146	4	40	10	left	right	0	17	14.938	1138
1	31	467.98617134118604	4	40	10	right	right	1	42	15.173	2768
1	32	1709.49301241398	4	40	10	left	right	0	88	14.991	5870
1	33	1454.5171621310612	4	40	10	right	right	1	65	15.113	4301
1	34	474.0967971939643	4	40	10	left	left	1	49	15.255	3212
1	35	254.8036189841664	4	40	10	left	left	1	23	15.162	1517
1	36	614.4634988097928	4	40	10	right	right	1	50	15.119	3307
1	37	860.5936183293569	4	40	10	left	right	0	67	15.006	4465
1	38	1950.333003240472	4	40	10	left	right	0	39	15.058	2590
1	39	306.88351220449147	4	40	10	left	left	1	34	15.071	2256
1	40	278.9318248046186	4	40	10	left	left	1	171	14.991	11407
2	1	784.0451945933603	4	40	10	left	left	1	83	15.055	5513
2	2	341.11789227370366	4	40	10	left	right	0	146	15.005	9730
2	3	565.7714767958978	4	40	10	left	left	1	44	15.22	2891
2	4	317.2178874723178	4	40	10	left	left	1	22	15.079	1459
2	5	255.56222375518928	4	40	10	right	right	1	33	15.413	2141
2	6	453.72477815008693	4	40	10	right	right	1	27	15.05	1794
2	7	1305.9371864584805	4	40	10	right	right	1	21	15.228	1379
2	8	2014.3405045174634	4	40	10	right	right	1	16	15.61	1025
2	9	1474.931727054448	4	40	10	right	right	1	16	15.209	1052
2	10	1634.9263025221856	4	40	10	left	left	1	31	14.954	2073
2	11	339.60716164846826	4	40	10	right	right	1	51	15.251	3344
2	12	1437.0063828406305	4	40	10	right	right	1	36	14.938	2410
2	13	725.4319849111699	4	40	10	left	left	1	49	15.166	3231
2	14	806.6169832881639	4	40	10	right	right	1	41	15.213	2695
2	15	353.05629544701515	4	40	10	left	left	1	16	15.579	1027
2	16	1649.8693771553976	4	40	10	left	right	0	13	16.129	806
2	17	288.8552538048833	4	40	10	left	left	1	64	15.08	4244
2	18	417.7890232156022	4	40	10	left	right	0	36	14.932	2411
2	19	1915.8414226337088	4	40	10	left	right	0	15	15.416	973
2	20	3003.973845147992	4	40	10	left	left	1	30	15.083	1989
2	21	356.08686933455186	4	40	10	right	left	0	14	14.909	939
2	22	286.03458491794163	4	40	10	right	right	1	17	15.611	1089
2	23	249.43536504593007	4	40	10	right	left	0	39	15.017	2597
2	24	1060.1592706522629	4	40	10	right	right	1	30	15.322	1958
2	25	1083.3889701026374	4	40	10	right	left	0	78	15.058	5180
2	26	744.7937309007397	4	40	10	left	right	0	14	15.748	889
2	27	209.08003224087483	4	40	10	left	left	1	10	15.361	651
2	28	485.2126549476195	4	40	10	right	left	0	35	15.054	2325
2	29	1518.1164198597885	4	40	10	left	right	0	42	14.936	2812
2	30	733.8457511789594	4	40	10	right	left	0	13	15.421	843
2	31	409.197370687129	4	40	10	left	right	0	12	15.132	793
2	32	535.3234885620509	4	40	10	right	left	0	16	15.92	1005
2	33	1248.4014798889164	4	40	10	right	left	0	33	15.11	2184
2	34	327.5362395293096	4	40	10	right	left	0	30	15.353	1954
2	35	837.7369660055119	4	40	10	left	right	0	26	15.064	1726
2	36	851.3742310454375	4	40	10	left	left	1	16	15.166	1055
2	37	1512.8985614163555	4	40	10	left	left	1	16	15.764	1015
2	38	308.6016999343664	4	40	10	left	left	1	89	15.064	5908
2	39	2580.209034277815	4	40	10	right	right	1	32	15.116	2117
2	40	760.0212844465455	4	40	10	right	left	0	17	15.77	1078
3	1	1143.1296891144916	4	40	10	right	left	0	22	15.214	1446
3	2	641.8523641407501	4	40	10	right	right	1	14	15.47	905
3	3	505.8171809087239	4	40	10	left	left	1	23	15.272	1506
3	4	480.645956354393	4	40	10	left	left	1	14	15.021	932
3	5	444.190624443684	4	40	10	left	left	1	78	14.948	5218
3	6	705.144413703619	4	40	10	right	right	1	26	15.285	1701
3	7	257.7753324004229	4	40	10	right	left	0	20	15.337	1304
3	8	684.7657959104384	4	40	10	left	right	0	140	15.025	9318
3	9	740.9639961190649	4	40	10	right	left	0	22	15.537	1416
3	10	869.7272825796007	4	40	10	left	right	0	26	15.169	1714
3	11	1794.8026327411087	4	40	10	right	right	1	36	15.094	2385
3	12	2146.821318830695	4	40	10	left	right	0	69	15.092	4572
3	13	588.0670860498733	4	40	10	left	right	0	30	15.129	1983
3	14	503.6284361179753	4	40	10	left	left	1	30	15.213	1972
3	15	495.6767579165226	4	40	10	right	left	0	33	15.235	2166
3	16	1184.1701159105428	4	40	10	right	left	0	93	14.993	6203
3	17	596.6132077875045	4	40	10	right	right	1	35	15.344	2281
3	18	1288.8037243721799	4	40	10	left	right	0	21	15.295	1373
3	19	288.7368696701406	4	40	10	left	left	1	14	15.713	891
3	20	597.9773944380843	4	40	10	right	right	1	55	15.089	3645
3	21	209.78975054512705	4	40	10	left	left	1	147	14.965	9823
3	22	1098.9394326620968	4	40	10	right	left	0	112	14.993	7470
3	23	953.9570606696326	4	40	10	left	right	0	35	15.178	2306
3	24	382.5575585476049	4	40	10	right	left	0	20	15.026	1331
3	25	2987.723882617099	4	40	10	left	right	0	20	15.06	1328
3	26	288.2490678557581	4	40	10	left	left	1	16	15.195	1053
3	27	356.0492888056241	4	40	10	right	left	0	37	15.077	2454
3	28	212.79282508443242	4	40	10	left	right	0	49	15.008	3265
3	29	566.4066492911902	4	40	10	left	right	0	47	14.949	3144
3	30	600.5182794638298	4	40	10	right	right	1	95	14.961	6350
3	31	1282.8682409737714	4	40	10	right	right	1	30	14.903	2013
3	32	427.2924731873182	4	40	10	right	right	1	55	15.118	3638
3	33	765.5651305390187	4	40	10	right	right	1	15	15.213	986
3	34	923.9602536158885	4	40	10	right	right	1	12	15.171	791
3	35	425.3980827055094	4	40	10	left	left	1	11	14.946	736
3	36	235.76145203863382	4	40	10	left	right	0	16	15.282	1047
3	37	807.7620566684471	4	40	10	right	right	1	49	14.921	3284
3	38	1915.4011787436484	4	40	10	left	right	0	16	15.579	1027
3	39	224.89558280562184	4	40	10	right	right	1	28	15.267	1834
3	40	237.10938906507977	4	40	10	left	right	0	12	16.173	742
4	1	1529.180183964234	4	40	10	left	left	1	84	14.995	5602
4	2	321.30776255807064	4	40	10	right	left	0	23	15.082	1525
4	3	644.0797432516888	4	40	10	left	right	0	14	15.66	894
4	4	720.6164626345608	4	40	10	left	right	0	79	15.002	5266
4	5	2218.0948846662086	4	40	10	right	left	0	14	15.317	914
4	6	235.848992475903	4	40	10	right	right	1	13	16.049	810
4	7	866.2242072669666	4	40	10	left	right	0	15	15.907	943
4	8	471.8173496449093	4	40	10	left	left	1	14	15.73	890
4	9	289.5115096611459	4	40	10	right	left	0	17	15.247	1115
4	10	439.25432457227834	4	40	10	right	right	1	14	15.927	879
4	11	395.3277846855662	4	40	10	right	right	1	24	15.161	1583
4	12	428.8661059357572	4	40	10	right	right	1	17	15.582	1091
4	13	262.69582696419985	4	40	10	left	right	0	73	14.928	4890
4	14	1483.587241427837	4	40	10	left	left	1	56	15.127	3702
4	15	549.0261941181221	4	40	10	left	right	0	33	15.242	2165
4	16	426.8959432685687	4	40	10	right	left	0	24	15.132	1586
4	17	791.3511538890323	4	40	10	right	right	1	13	15.588	834
4	18	762.3151733552603	4	40	10	right	right	1	16	15.61	1025
4	19	850.2039397732968	4	40	10	left	right	0	32	15.116	2117
4	20	202.47673361294508	4	40	10	right	left	0	11	15.625	704
4	21	1928.802642206273	4	40	10	left	left	1	27	14.958	1805
4	22	284.35976922663224	4	40	10	left	left	1	50	15.097	3312
4	23	748.8760047853045	4	40	10	left	right	0	17	15.668	1085
4	24	567.2511660094997	4	40	10	left	right	0	94	15.03	6254
4	25	626.3966766457693	4	40	10	left	left	1	17	15.357	1107
4	26	1256.0775242125465	4	40	10	right	left	0	32	15.429	2074
4	27	276.60866342472525	4	40	10	left	right	0	40	14.948	2676
4	28	473.5037196020405	4	40	10	left	right	0	29	15.393	1884
4	29	610.8213566243763	4	40	10	right	left	0	15	15.723	954
4	30	318.90677028047264	4	40	10	right	right	1	28	15.284	1832
4	31	1063.358013808208	4	40	10	right	right	1	17	15.596	1090
4	32	838.8132957140886	4	40	10	right	left	0	22	15.31	1437
4	33	1498.3175053477914	4	40	10	right	left	0	33	15.068	2190
4	34	2253.3051228751747	4	40	10	left	right	0	16	15.873	1008
4	35	435.1476683361118	4	40	10	left	left	1	100	15.035	6651
4	36	2208.9978512956404	4	40	10	left	right	0	86	15.101	5695
4	37	527.6667352071646	4	40	10	right	left	0	28	15.251	1836
4	38	551.3949191724312	4	40	10	right	right	1	12	15.504	774
4	39	248.33197127211213	4	40	10	left	right	0	51	14.987	3403
4	40	519.9994855601958	4	40	10	right	left	0	11	16.129	682
