
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	246.93427765659598	4	40	10	right	left	0	30	15.259	1966
1	2	1360.5229875983238	4	40	10	right	right	1	103	15.203	6775
1	3	457.12914218134773	4	40	10	left	right	0	86	15.154	5675
1	4	522.4162908279201	4	40	10	right	right	1	121	15.207	7957
1	5	492.80542546594813	4	40	10	right	left	0	88	15.286	5757
1	6	1018.433774238582	4	40	10	left	right	0	160	15.152	10560
1	7	1577.6065339561821	4	40	10	left	right	0	180	15.182	11856
1	8	361.45595252038185	4	40	10	left	left	1	26	15.56	1671
1	9	373.4946058964871	4	40	10	left	right	0	93	15.243	6101
1	10	1920.938330335523	4	40	10	left	left	1	25	15.461	1617
1	11	248.3958616358397	4	40	10	right	right	1	31	15.174	2043
1	12	853.6651147655564	4	40	10	left	left	1	115	15.238	7547
1	13	1169.0410427406147	4	40	10	right	right	1	90	15.152	5940
1	14	478.2807765099128	4	40	10	right	right	1	140	15.251	9180
1	15	1182.9978728774745	4	40	10	left	left	1	54	15.177	3558
1	16	314.94060170970823	4	40	10	right	right	1	93	15.266	6092
1	17	212.83855121771958	4	40	10	left	left	1	116	15.179	7642
1	18	271.312409230771	4	40	10	right	right	1	115	15.234	7549
1	19	956.5051972372315	4	40	10	left	left	1	92	15.272	6024
1	20	2342.4022477189837	4	40	10	right	left	0	82	15.194	5397
1	21	265.28302420526114	4	40	10	left	left	1	88	15.149	5809
1	22	1191.3932360375533	4	40	10	right	left	0	75	15.148	4951
1	23	486.07715650800304	4	40	10	right	left	0	90	15.296	5884
1	24	3126.9812243473702	4	40	10	right	left	0	104	15.171	6855
1	25	410.9655633633569	4	40	10	left	left	1	153	15.197	10068
1	26	914.9809502180788	4	40	10	left	left	1	126	15.155	8314
1	27	2683.010265446038	4	40	10	left	left	1	43	15.346	2802
1	28	353.2385559310944	4	40	10	left	left	1	35	15.251	2295
1	29	1228.5259788694572	4	40	10	left	left	1	42	15.345	2737
1	30	856.3192768980692	4	40	10	right	right	1	124	15.118	8202
1	31	683.7241486799562	4	40	10	left	left	1	69	15.32	4504
1	32	311.1946075451218	4	40	10	left	left	1	118	15.157	7785
1	33	1226.3477233432636	4	40	10	right	right	1	109	15.122	7208
1	34	570.2997322430597	4	40	10	right	right	1	154	15.234	10109
1	35	608.4015822311476	4	40	10	right	left	0	33	15.32	2154
1	36	938.441217757718	4	40	10	left	left	1	58	15.207	3814
1	37	1049.1059636104228	4	40	10	left	left	1	63	15.302	4117
1	38	287.6572552679457	4	40	10	right	left	0	56	15.284	3664
1	39	1364.3509268155887	4	40	10	right	right	1	99	15.163	6529
1	40	540.8426198992588	4	40	10	right	left	0	95	15.164	6265
2	1	669.972696865795	4	40	10	right	right	1	44	15.157	2903
2	2	933.338543417331	4	40	10	right	right	1	81	15.12	5357
2	3	645.8176351263958	4	40	10	left	left	1	35	15.412	2271
2	4	763.2621217433074	4	40	10	right	right	1	30	15.213	1972
2	5	963.6874929765647	4	40	10	left	left	1	30	15.48	1938
2	6	1012.0255554401476	4	40	10	right	right	1	26	15.385	1690
2	7	908.6389568154293	4	40	10	left	left	1	132	15.199	8685
2	8	919.9806412851741	4	40	10	left	left	1	31	15.362	2018
2	9	853.0464750245712	4	40	10	left	right	0	36	15.339	2347
2	10	919.5990132338851	4	40	10	right	left	0	49	15.389	3184
2	11	1360.208628941509	4	40	10	left	right	0	34	15.084	2254
2	12	300.98482496055936	4	40	10	right	left	0	126	15.192	8294
2	13	954.1759944666845	4	40	10	left	right	0	75	15.124	4959
2	14	295.1617977573332	4	40	10	right	left	0	95	15.152	6270
2	15	2391.634691715821	4	40	10	right	right	1	114	15.186	7507
2	16	2025.30879262705	4	40	10	right	left	0	77	15.172	5075
2	17	863.2799411385823	4	40	10	left	left	1	70	15.241	4593
2	18	4130.667276731196	4	40	10	right	right	1	131	15.204	8616
2	19	502.4379283338611	4	40	10	left	right	0	83	15.302	5424
2	20	915.6674765384661	4	40	10	left	right	0	114	15.226	7487
2	21	431.45832383526084	4	40	10	right	right	1	46	15.207	3025
2	22	610.7703519463718	4	40	10	left	left	1	88	15.144	5811
2	23	3086.4447159867513	4	40	10	left	right	0	85	15.28	5563
2	24	450.9409080528171	4	40	10	left	left	1	49	15.123	3240
2	25	479.0770594833961	4	40	10	right	right	1	77	15.281	5039
2	26	1065.7333809793067	4	40	10	right	left	0	72	15.104	4767
2	27	352.1639164290534	4	40	10	left	right	0	32	15.333	2087
2	28	1033.2081775518702	4	40	10	left	left	1	14	15.07	929
2	29	1547.1412106001182	4	40	10	left	left	1	23	15.152	1518
2	30	3224.5378084484796	4	40	10	right	left	0	20	15.038	1330
2	31	3511.846809942224	4	40	10	left	left	1	147	15.232	9651
2	32	261.75907623348087	4	40	10	left	left	1	25	15.567	1606
2	33	254.51460181931156	4	40	10	left	right	0	11	15.896	692
2	34	400.0521032018212	4	40	10	right	right	1	17	15.469	1099
2	35	641.2188778595494	4	40	10	right	left	0	7	15.59	449
2	36	597.335815923853	4	40	10	right	right	1	36	15.319	2350
2	37	1509.8381678063758	4	40	10	right	right	1	13	16.089	808
2	38	373.90196882655834	4	40	10	left	right	0	19	14.984	1268
2	39	1896.2404379423435	4	40	10	right	left	0	13	14.96	869
2	40	356.06978883849	4	40	10	right	left	0	100	15.225	6568
3	1	474.14918302405385	4	40	10	right	left	0	81	15.101	5364
3	2	1016.9840243204541	4	40	10	right	right	1	42	15.146	2773
3	3	1020.9592917292463	4	40	10	left	left	1	58	15.183	3820
3	4	346.2399456739828	4	40	10	right	left	0	75	15.3	4902
3	5	445.40271029351475	4	40	10	left	right	0	89	15.276	5826
3	6	241.9380407273014	4	40	10	left	left	1	25	15.225	1642
3	7	1599.744855854494	4	40	10	left	left	1	37	15.277	2422
3	8	449.2418569379074	4	40	10	right	left	0	76	15.304	4966
3	9	802.285972394949	4	40	10	right	left	0	20	15.637	1279
3	10	202.3584019413087	4	40	10	right	left	0	60	15.291	3924
3	11	1056.8050503622553	4	40	10	left	left	1	42	15.179	2767
3	12	1949.864561850794	4	40	10	left	right	0	104	15.214	6836
3	13	1042.10618101929	4	40	10	right	left	0	19	15.69	1211
3	14	1187.0048586377947	4	40	10	right	left	0	44	15.141	2906
3	15	845.1143668063235	4	40	10	right	right	1	49	15.18	3228
3	16	1962.0210721206715	4	40	10	left	left	1	81	15.14	5350
3	17	4659.004355552959	4	40	10	right	left	0	45	15.182	2964
3	18	991.19060766003	4	40	10	right	right	1	81	15.177	5337
3	19	205.22377268161145	4	40	10	left	right	0	70	15.261	4587
3	20	634.6451909789164	4	40	10	left	right	0	114	15.156	7522
3	21	422.60064554552696	4	40	10	left	left	1	43	15.346	2802
3	22	687.0564686264681	4	40	10	left	left	1	86	15.146	5678
3	23	848.8845239516642	4	40	10	right	right	1	13	15.569	835
3	24	694.7525721864476	4	40	10	right	right	1	52	15.222	3416
3	25	1232.6754247124192	4	40	10	right	right	1	29	15.516	1869
3	26	652.7281224136203	4	40	10	left	right	0	24	15.625	1536
3	27	727.242200128716	4	40	10	left	right	0	87	15.141	5746
3	28	1497.8364060184483	4	40	10	left	right	0	18	15.491	1162
3	29	1117.2357213718105	4	40	10	left	left	1	36	15.274	2357
3	30	979.9162897141888	4	40	10	left	left	1	68	15.141	4491
3	31	1004.9541740560239	4	40	10	right	right	1	56	15.152	3696
3	32	711.1939323140538	4	40	10	right	right	1	39	15.234	2560
3	33	384.71564876178843	4	40	10	right	left	0	26	15.205	1710
3	34	262.91700350746464	4	40	10	right	right	1	72	15.287	4710
3	35	222.6669524428424	4	40	10	left	right	0	98	15.206	6445
3	36	281.63680021691107	4	40	10	right	left	0	146	15.219	9593
3	37	736.6875987217892	4	40	10	left	right	0	20	15.129	1322
3	38	507.6555455412625	4	40	10	left	left	1	44	15.315	2873
3	39	1138.8056186292876	4	40	10	left	left	1	22	15.439	1425
3	40	1611.8403146814798	4	40	10	right	right	1	87	15.12	5754
4	1	217.5141960241375	4	40	10	right	right	1	80	15.175	5272
4	2	1024.5299859839983	4	40	10	left	right	0	43	15.401	2792
4	3	1134.2165803399061	4	40	10	left	left	1	25	15.309	1633
4	4	719.9957088302402	4	40	10	left	left	1	93	15.233	6105
4	5	484.45945001743734	4	40	10	left	left	1	33	15.421	2140
4	6	1621.5633534340081	4	40	10	right	right	1	29	15.312	1894
4	7	1577.7902131004725	4	40	10	right	left	0	78	15.184	5137
4	8	515.263835825205	4	40	10	left	right	0	93	15.201	6118
4	9	1578.2174920913598	4	40	10	right	right	1	71	15.312	4637
4	10	1974.3822570144746	4	40	10	left	left	1	160	15.219	10513
4	11	213.42100537049106	4	40	10	left	left	1	88	15.175	5799
4	12	1809.7214553467263	4	40	10	left	left	1	186	15.177	12255
4	13	1092.9921490206456	4	40	10	right	right	1	37	15.084	2453
4	14	883.595514414326	4	40	10	left	left	1	47	15.329	3066
4	15	977.6863540105836	4	40	10	left	left	1	82	15.202	5394
4	16	475.5233748523096	4	40	10	right	right	1	107	15.141	7067
4	17	496.81807893527076	4	40	10	right	left	0	100	15.142	6604
4	18	541.1995894327558	4	40	10	left	left	1	91	15.134	6013
4	19	841.3112981773412	4	40	10	right	left	0	96	10.19	9421
4	20	414.3634328867022	4	40	10	right	left	0	113	15.135	7466
4	21	215.88484994337222	4	40	10	left	right	0	41	15.293	2681
4	22	278.57426622134136	4	40	10	left	left	1	17	15.357	1107
4	23	979.7209087001664	4	40	10	left	left	1	66	15.331	4305
4	24	363.4176627412995	4	40	10	left	left	1	61	15.14	4029
4	25	1462.7375014306096	4	40	10	left	left	1	56	15.263	3669
4	26	459.3636239649498	4	40	10	right	left	0	71	15.174	4679
4	27	1255.5105629749678	4	40	10	right	left	0	66	15.19	4345
4	28	269.45507640908903	4	40	10	right	left	0	62	15.271	4060
4	29	604.5656537428839	4	40	10	right	left	0	149	15.207	9798
4	30	635.7284584978772	4	40	10	right	right	1	58	15.116	3837
4	31	1369.2210934272147	4	40	10	right	left	0	91	15.167	6000
4	32	1715.5132232635117	4	40	10	right	right	1	25	15.207	1644
4	33	2152.137902899448	4	40	10	right	left	0	98	15.274	6416
4	34	654.0322622856486	4	40	10	left	left	1	76	15.313	4963
4	35	408.70811392428146	4	40	10	left	left	1	109	15.185	7178
4	36	945.2764333207186	4	40	10	right	left	0	106	15.234	6958
4	37	213.73212108729433	4	40	10	right	left	0	94	15.174	6195
4	38	497.3156187253476	4	40	10	left	right	0	27	15.194	1777
4	39	2461.442671164763	4	40	10	left	left	1	109	15.124	7207
4	40	550.9669346299822	4	40	10	right	left	0	142	15.152	9372
