
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	2108.126521424948	4	40	10	right	right	1	202	14.918	13541
1	2	1932.0034734302033	4	40	10	left	left	1	98	15.04	6516
1	3	419.2372847637526	4	40	10	left	left	1	109	14.964	7284
1	4	2215.7564293332007	4	40	10	right	right	1	63	15.068	4181
1	5	1866.9035638062687	4	40	10	right	right	1	68	14.955	4547
1	6	560.0116284392575	4	40	10	left	left	1	34	15.274	2226
1	7	1388.2441906457834	4	40	10	right	right	1	70	15.034	4656
1	8	327.6242465510135	4	40	10	left	left	1	46	15.132	3040
1	9	682.4137684237057	4	40	10	right	right	1	46	15.038	3059
1	10	1113.793355079424	4	40	10	right	right	1	37	14.956	2474
1	11	357.240860940583	4	40	10	left	left	1	30	15.106	1986
1	12	519.6823588553789	4	40	10	right	right	1	15	15	1000
1	13	309.3080108704766	4	40	10	right	right	1	20	15.117	1323
1	14	1103.160444948702	4	40	10	right	right	1	13	15.33	848
1	15	917.6198850653801	4	40	10	left	left	1	21	15.34	1369
1	16	1592.9427602768221	4	40	10	left	left	1	25	14.952	1672
1	17	568.0933810425415	4	40	10	left	left	1	34	15.138	2246
1	18	1749.7767666503348	4	40	10	left	right	0	13	15.312	849
1	19	451.36901360033977	4	40	10	left	left	1	65	14.946	4349
1	20	1108.6561767473913	4	40	10	right	right	1	28	15.226	1839
1	21	338.5723510439858	4	40	10	left	left	1	27	14.934	1808
1	22	1275.240273702038	4	40	10	right	right	1	16	15.311	1045
1	23	405.9326746278863	4	40	10	left	left	1	23	15.142	1519
1	24	539.0479089173922	4	40	10	right	right	1	13	15.815	822
1	25	350.82812356038835	4	40	10	right	right	1	31	15.093	2054
1	26	795.417456244358	4	40	10	left	left	1	14	15.351	912
1	27	693.8448177752427	4	40	10	right	right	1	16	15.595	1026
1	28	479.16292348856155	4	40	10	left	left	1	13	15.777	824
1	29	728.034965877923	4	40	10	right	right	1	17	15.018	1132
1	30	873.452837256777	4	40	10	left	left	1	12	15.645	767
1	31	359.49699941647486	4	40	10	left	left	1	23	15.374	1496
1	32	513.2471814196774	4	40	10	left	left	1	14	15.801	886
1	33	812.6733963439525	4	40	10	left	left	1	11	16.082	684
1	34	593.6131855968902	4	40	10	right	right	1	19	15.103	1258
1	35	354.069044911839	4	40	10	right	right	1	18	15.762	1142
1	36	1594.645633609387	4	40	10	right	right	1	14	15.59	898
1	37	698.5544548767846	4	40	10	left	left	1	19	15.715	1209
1	38	394.12322627031244	4	40	10	left	left	1	25	15.394	1624
1	39	2519.1854468082875	4	40	10	right	right	1	12	15.625	768
1	40	295.238317292664	4	40	10	right	right	1	16	15.81	1012
2	1	2719.634812510774	4	40	10	right	right	1	21	15.173	1384
2	2	2214.2831274289556	4	40	10	right	right	1	12	15.894	755
