
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	2089.6592871429757	4	40	10	right	right	1	16	15.81	1012
1	2	1806.3646980476278	4	40	10	left	left	1	10	15.924	628
1	3	504.3763253193111	4	40	10	right	right	1	9	15.929	565
1	4	341.2205958995728	4	40	10	left	left	1	7	14.957	468
1	5	373.3743010882345	4	40	10	left	right	0	7	17.115	409
1	6	2347.6453552943917	4	40	10	left	left	1	11	16.082	684
1	7	869.5551208653994	4	40	10	right	right	1	13	15.873	819
1	8	1670.7949737336971	4	40	10	left	left	1	10	15.244	656
1	9	610.4704006781575	4	40	10	left	right	0	9	16.544	544
1	10	365.74239977293325	4	40	10	left	left	1	8	15.81	506
1	11	512.5879901211101	4	40	10	right	right	1	9	15.228	591
1	12	298.01032831493023	4	40	10	right	right	1	9	15.126	595
1	13	1118.275562919322	4	40	10	right	right	1	9	15.152	594
1	14	505.09107488983983	4	40	10	right	left	0	11	15.988	688
1	15	653.2439524598228	4	40	10	left	left	1	10	15.974	626
1	16	654.101377568003	4	40	10	left	left	1	9	15.385	585
1	17	591.0024891428218	4	40	10	right	right	1	8	15.267	524
1	18	2059.0873392722997	4	40	10	left	left	1	10	15.06	664
1	19	554.6813005122644	4	40	10	left	left	1	8	14.925	536
1	20	355.5760859767837	4	40	10	right	right	1	9	16.544	544
1	21	1319.0666073018149	4	40	10	right	right	1	12	15.605	769
1	22	1990.020714596453	4	40	10	left	left	1	9	16.043	561
1	23	1046.3323017215184	4	40	10	left	right	0	6	17.094	351
1	24	1263.7423878932423	4	40	10	right	right	1	10	16.367	611
1	25	200.7336714362615	4	40	10	right	right	1	8	16.327	490
1	26	2594.9945124414476	4	40	10	right	right	1	13	15.205	855
1	27	1044.533438101715	4	40	10	left	left	1	9	16.158	557
1	28	309.1944494025155	4	40	10	left	left	1	22	15.342	1434
1	29	591.7434781652196	4	40	10	right	right	1	10	16.155	619
1	30	706.505664119145	4	40	10	right	right	1	9	15.491	581
1	31	1129.58932796084	4	40	10	right	right	1	33	15.37	2147
1	32	1400.9249243784182	4	40	10	left	left	1	8	16.194	494
1	33	358.92791871428517	4	40	10	left	left	1	10	16.393	610
1	34	215.5060048871451	4	40	10	right	right	1	8	15.595	513
1	35	1201.7039971121064	4	40	10	right	right	1	17	15.343	1108
1	36	1014.140771846055	4	40	10	right	right	1	11	15.493	710
1	37	1672.3033226915647	4	40	10	left	right	0	10	16.051	623
1	38	1030.6293725949959	4	40	10	left	right	0	12	16.26	738
1	39	273.10850031795667	4	40	10	left	right	0	8	15.717	509
1	40	1240.1574196489983	4	40	10	right	right	1	11	16.296	675
2	1	238.63509214468053	4	40	10	left	left	1	16	15.08	1061
2	2	358.4086685335328	4	40	10	right	right	1	11	15.759	698
2	3	459.9565866677634	4	40	10	right	right	1	34	14.991	2268
2	4	678.538383032735	4	40	10	right	right	1	10	14.97	668
2	5	445.59309560371867	4	40	10	right	right	1	21	15.284	1374
2	6	323.51588051559435	4	40	10	left	left	1	22	15.395	1429
2	7	343.1553539546603	4	40	10	right	right	1	15	15.06	996
2	8	611.7087900893075	4	40	10	left	left	1	14	15.368	911
2	9	600.2085233476803	4	40	10	right	right	1	17	15.611	1089
2	10	232.87249122321145	4	40	10	left	left	1	11	16.224	678
2	11	541.8738829163144	4	40	10	left	left	1	12	16.194	741
2	12	1590.92078670846	4	40	10	left	left	1	12	15.444	777
2	13	929.9930491288096	4	40	10	right	right	1	17	15.596	1090
2	14	819.0108272658307	4	40	10	left	left	1	10	15.949	627
2	15	1245.5264677480518	4	40	10	left	left	1	14	15.695	892
2	16	702.3665790687932	4	40	10	right	right	1	21	15.097	1391
2	17	2352.003796527184	4	40	10	right	right	1	29	15.279	1898
2	18	1154.2537277562083	4	40	10	left	left	1	11	15.193	724
2	19	489.8962256082444	4	40	10	right	left	0	11	15.152	726
2	20	927.2077070812282	4	40	10	left	left	1	10	16.529	605
2	21	373.8871581360813	4	40	10	left	left	1	11	15.385	715
2	22	967.7957531953115	4	40	10	left	left	1	9	14.975	601
2	23	1517.6439958421558	4	40	10	left	left	1	11	15.537	708
2	24	1840.3215276472156	4	40	10	left	left	1	11	16.2	679
2	25	269.1325640826344	4	40	10	right	right	1	28	15.127	1851
2	26	702.6598131794734	4	40	10	right	right	1	27	15.101	1788
2	27	451.2953927107169	4	40	10	left	left	1	17	15.697	1083
2	28	1152.4267863668927	4	40	10	right	right	1	12	15.727	763
2	29	837.0482622712685	4	40	10	left	left	1	14	15.521	902
2	30	444.1078688936415	4	40	10	left	left	1	13	15.532	837
2	31	1188.9410676572961	4	40	10	left	left	1	13	15.758	825
2	32	458.6286744589494	4	40	10	left	left	1	10	15.625	640
2	33	465.64037905224683	4	40	10	right	left	0	10	16.026	624
2	34	826.2267317398164	4	40	10	right	right	1	16	15.009	1066
2	35	781.4538816218468	4	40	10	right	right	1	10	15.773	634
2	36	971.0299725731496	4	40	10	right	right	1	12	15.544	772
2	37	1701.6548458677112	4	40	10	right	right	1	9	15.228	591
2	38	758.0601541679163	4	40	10	right	left	0	13	14.925	871
2	39	567.8206947981292	4	40	10	right	right	1	15	15.291	981
2	40	619.6602694641449	4	40	10	left	left	1	134	14.996	8936
3	1	2918.3119974712763	4	40	10	left	left	1	13	15.458	841
3	2	667.9518799360915	4	40	10	right	right	1	11	15.647	703
3	3	500.56474527309666	4	40	10	right	right	1	10	15.083	663
3	4	878.0675513883542	4	40	10	right	right	1	10	16.393	610
3	5	1763.8662887019818	4	40	10	left	left	1	8	14.953	535
3	6	2026.9989362049894	4	40	10	left	left	1	11	16.272	676
3	7	1033.8845037741412	4	40	10	right	right	1	10	15.291	654
3	8	554.0170784675217	4	40	10	left	left	1	9	15.707	573
3	9	751.2226397448793	4	40	10	left	left	1	14	15.47	905
3	10	580.844193411702	4	40	10	left	left	1	52	15.182	3425
3	11	1079.6118791560432	4	40	10	right	right	1	15	15.74	953
3	12	323.3675542051225	4	40	10	left	left	1	12	15.544	772
3	13	441.39107512427086	4	40	10	left	right	0	12	16.086	746
3	14	1374.453142093693	4	40	10	right	right	1	226	14.955	15112
3	15	1133.5347176268888	4	40	10	right	right	1	23	14.974	1536
3	16	318.5080457923378	4	40	10	left	left	1	22	15.214	1446
3	17	1260.2799377084086	4	40	10	right	right	1	20	15.662	1277
3	18	321.88229826935964	4	40	10	right	right	1	15	15.674	957
3	19	1502.7662532951608	4	40	10	right	right	1	16	15.399	1039
3	20	2410.1765163724153	4	40	10	left	left	1	13	15.55	836
3	21	904.7864573370791	4	40	10	left	left	1	16	15.253	1049
3	22	440.2362032076374	4	40	10	left	left	1	11	15.449	712
3	23	899.4884681656464	4	40	10	right	left	0	10	15.625	640
3	24	206.82467177671788	4	40	10	right	right	1	22	15.1	1457
3	25	470.76706958014825	4	40	10	left	left	1	13	15.606	833
3	26	970.786290200758	4	40	10	left	left	1	9	16.1	559
3	27	651.7145651606603	4	40	10	left	left	1	38	15.329	2479
3	28	1294.1581642072445	4	40	10	left	left	1	31	14.947	2074
3	29	1014.8441329494202	4	40	10	right	right	1	18	15.803	1139
3	30	783.310634038791	4	40	10	left	left	1	20	15.662	1277
3	31	483.3083136368459	4	40	10	left	left	1	12	15.81	759
3	32	1119.5824361717573	4	40	10	right	right	1	24	15.454	1553
3	33	736.4265598773469	4	40	10	right	right	1	34	14.938	2276
3	34	294.7170674381025	4	40	10	right	left	0	16	15.671	1021
3	35	1517.7856460913458	4	40	10	right	right	1	17	15.233	1116
3	36	1236.4536622482253	4	40	10	right	right	1	22	15.007	1466
3	37	1162.5126787526158	4	40	10	right	right	1	15	15.496	968
3	38	280.00245369650105	4	40	10	right	right	1	16	15.579	1027
3	39	1095.5624205830686	4	40	10	left	left	1	15	15.275	982
3	40	616.8016445456019	4	40	10	left	left	1	12	16.107	745
4	1	353.33290108264805	4	40	10	left	left	1	21	15.487	1356
4	2	2441.538178455216	4	40	10	right	right	1	17	15.697	1083
4	3	1005.5026371345607	4	40	10	left	left	1	22	15.625	1408
4	4	1687.5447175415302	4	40	10	left	left	1	50	15.188	3292
4	5	418.4762764319924	4	40	10	left	left	1	16	15.459	1035
4	6	385.7916798996144	4	40	10	left	left	1	10	16.502	606
4	7	1988.5758612736772	4	40	10	left	left	1	11	15.827	695
4	8	362.1758610550188	4	40	10	right	right	1	12	15.979	751
4	9	395.3879817671084	4	40	10	left	left	1	12	15.81	759
4	10	963.4424365594684	4	40	10	right	right	1	21	15.284	1374
4	11	610.1853264644169	4	40	10	left	left	1	14	14.957	936
4	12	1639.7975016758367	4	40	10	left	left	1	16	15.474	1034
4	13	529.7324962681679	4	40	10	right	right	1	10	15.221	657
4	14	548.3698850921962	4	40	10	left	right	0	12	15.464	776
4	15	427.3619909983578	4	40	10	right	right	1	15	15.756	952
4	16	457.47875197744963	4	40	10	right	right	1	9	15.929	565
4	17	795.0823345259897	4	40	10	left	left	1	7	14.989	467
4	18	242.7666302301012	4	40	10	right	right	1	11	15.988	688
4	19	3514.6631682001002	4	40	10	right	right	1	21	15.453	1359
4	20	417.4047042278705	4	40	10	right	right	1	11	15.603	705
4	21	2126.4563940731923	4	40	10	left	left	1	18	15.517	1160
4	22	240.31188131903804	4	40	10	left	right	0	15	15.625	960
4	23	382.5454038779977	4	40	10	left	left	1	17	15.302	1111
4	24	646.1128959514406	4	40	10	left	right	0	23	15.447	1489
4	25	1048.9156231650013	4	40	10	right	right	1	15	15.306	980
4	26	322.49582207583296	4	40	10	right	right	1	13	15.758	825
4	27	1409.5600208430233	4	40	10	left	left	1	12	15.464	776
4	28	257.14919428710976	4	40	10	right	right	1	11	15.965	689
4	29	422.9928585579922	4	40	10	right	right	1	10	16.529	605
4	30	1277.847268039132	4	40	10	right	right	1	9	16.484	546
