
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	1401.7129344041807	4	40	10	left	left	1	30	15.464	1940
1	2	296.71369759652845	4	40	10	right	left	0	27	15.679	1722
1	3	1280.0912572975794	4	40	10	right	right	1	16	15.253	1049
1	4	536.491567726004	4	40	10	right	right	1	21	15.173	1384
1	5	205.2225043792755	4	40	10	right	right	1	20	15.686	1275
1	6	946.0502999658761	4	40	10	right	right	1	21	15.173	1384
1	7	474.85588493158275	4	40	10	left	right	0	38	15.23	2495
1	8	403.4658431159309	4	40	10	right	left	0	19	15.435	1231
1	9	339.9143736528006	4	40	10	left	right	0	20	15.637	1279
1	10	1256.3693679342791	4	40	10	left	right	0	45	15.485	2906
1	11	909.9933681614876	4	40	10	right	right	1	24	15.484	1550
1	12	1190.9696630210215	4	40	10	left	right	0	71	15.292	4643
1	13	603.7084725277605	4	40	10	right	right	1	34	15.247	2230
1	14	675.451343356495	4	40	10	left	left	1	21	15.284	1374
1	15	271.5152333015881	4	40	10	right	right	1	47	15.334	3065
1	16	328.5594692020705	4	40	10	left	left	1	50	15.193	3291
1	17	211.78377093950948	4	40	10	right	left	0	23	15.732	1462
1	18	306.4308394703587	4	40	10	left	right	0	34	15.413	2206
1	19	284.0360053854482	4	40	10	left	right	0	30	15.267	1965
1	20	1767.6639106796308	4	40	10	left	right	0	26	15.33	1696
1	21	335.6206753568955	4	40	10	left	right	0	84	15.162	5540
1	22	2600.340251313605	4	40	10	left	left	1	66	15.218	4337
1	23	203.41403551851533	4	40	10	left	right	0	20	15.576	1284
1	24	570.434305316285	4	40	10	right	right	1	59	15.349	3844
1	25	205.75113484586174	4	40	10	right	right	1	23	15.797	1456
1	26	3444.9115101556854	4	40	10	right	left	0	59	15.245	3870
1	27	292.89410462228665	4	40	10	left	right	0	16	15.857	1009
1	28	708.7239290596524	4	40	10	left	right	0	39	15.181	2569
1	29	1176.4780414542968	4	40	10	left	right	0	27	15.607	1730
1	30	1843.8929823777248	4	40	10	right	right	1	37	15.226	2430
1	31	1141.2892970972257	4	40	10	right	left	0	106	15.236	6957
1	32	408.74515294750006	4	40	10	left	right	0	46	15.405	2986
1	33	322.46710069779283	4	40	10	left	left	1	19	15.677	1212
1	34	1167.5157552308697	4	40	10	right	right	1	21	15.173	1384
1	35	415.5788001094295	4	40	10	right	right	1	25	15.356	1628
1	36	2810.144495917186	4	40	10	right	right	1	20	15.244	1312
1	37	1838.7847479092022	4	40	10	right	right	1	31	15.492	2001
1	38	340.6489304765522	4	40	10	left	left	1	21	15.032	1397
1	39	246.72043989955563	4	40	10	left	left	1	35	15.419	2270
1	40	1275.8361716907434	4	40	10	right	right	1	15	15.512	967
2	1	615.6503795821573	4	40	10	right	left	0	53	15.199	3487
2	2	1088.5302370689426	4	40	10	right	right	1	15	15.839	947
2	3	544.9749170076102	4	40	10	left	left	1	19	15.397	1234
2	4	706.0647713023351	4	40	10	left	left	1	26	15.205	1710
2	5	442.50054834811056	4	40	10	left	right	0	19	15.702	1210
2	6	1118.7440255735155	4	40	10	left	right	0	32	15.37	2082
2	7	282.5941288789208	4	40	10	left	left	1	18	14.963	1203
2	8	1180.1896030844928	4	40	10	right	right	1	22	15.482	1421
2	9	447.7240834800956	4	40	10	left	right	0	19	15.447	1230
2	10	214.714722033433	4	40	10	right	right	1	21	15.396	1364
2	11	1459.0212909969355	4	40	10	left	right	0	41	15.333	2674
2	12	1137.420714135847	4	40	10	right	left	0	17	15.399	1104
2	13	1122.1188046399666	4	40	10	left	left	1	21	15.487	1356
2	14	506.8747074977316	4	40	10	left	right	0	34	15.518	2191
2	15	200.53798775416038	4	40	10	left	left	1	20	15.601	1282
2	16	1192.9817020930998	4	40	10	right	right	1	15	15.306	980
2	17	555.9246923020949	4	40	10	right	right	1	22	15.439	1425
2	18	643.8705215369341	4	40	10	right	right	1	29	15.575	1862
2	19	1748.5989071139581	4	40	10	left	right	0	27	15.544	1737
2	20	534.4948043594272	4	40	10	left	right	0	20	15.221	1314
2	21	343.62522785539284	4	40	10	right	right	1	22	15.647	1406
2	22	1027.1468401041468	4	40	10	left	left	1	23	15.252	1508
2	23	719.66088411894	4	40	10	right	right	1	20	15.163	1319
2	24	373.10419722178165	4	40	10	right	right	1	26	15.421	1686
2	25	979.4978843052857	4	40	10	left	right	0	20	15.221	1314
2	26	2237.112550472447	4	40	10	left	right	0	30	15.512	1934
2	27	257.2097737606312	4	40	10	right	right	1	19	15.664	1213
2	28	208.6157236112736	4	40	10	right	left	0	19	15.422	1232
2	29	1112.0357789503287	4	40	10	left	left	1	32	15.311	2090
2	30	1081.2081103157143	4	40	10	right	right	1	34	15.098	2252
2	31	266.5602371076998	4	40	10	right	right	1	33	15.124	2182
2	32	2125.537238095244	4	40	10	left	left	1	18	15.385	1170
2	33	237.8316826155063	4	40	10	right	right	1	34	15.343	2216
2	34	261.2201478659379	4	40	10	left	left	1	26	15.495	1678
2	35	244.27588527670088	4	40	10	right	right	1	18	15.424	1167
2	36	601.5513928510863	4	40	10	right	right	1	23	15.625	1472
2	37	266.1658894670452	4	40	10	right	right	1	17	15.426	1102
