
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	1597.467574380894	4	40	10	left	left	1	57	15.286	3729
1	2	1504.6190381531007	4	40	10	left	left	1	38	15.212	2498
1	3	1161.5294621612793	4	40	10	right	right	1	41	15.373	2667
1	4	665.6386129169592	4	40	10	left	left	1	13	16.089	808
1	5	358.81067996005726	4	40	10	right	right	1	76	15.185	5005
1	6	463.7957182999793	4	40	10	left	left	1	27	15.446	1748
1	7	1905.30128025202	4	40	10	left	left	1	39	15.282	2552
1	8	1674.579247291108	4	40	10	left	left	1	20	15.686	1275
1	9	1050.0810267348384	4	40	10	right	right	1	35	15.487	2260
1	10	1120.1994718809483	4	40	10	left	left	1	30	15.345	1955
1	11	767.7919650836726	4	40	10	left	left	1	52	15.43	3370
1	12	563.5748885419597	4	40	10	right	left	0	84	15.306	5488
1	13	298.8024374329206	4	40	10	left	left	1	29	15.328	1892
1	14	920.4670724176743	4	40	10	right	left	0	48	15.277	3142
1	15	808.043845065637	4	40	10	left	left	1	55	15.32	3590
1	16	2480.8679305196265	4	40	10	right	right	1	68	15.343	4432
1	17	613.8810007240209	4	40	10	right	left	0	100	15.175	6590
1	18	335.7061930584838	4	40	10	right	right	1	34	15.315	2220
1	19	1220.8292437792563	4	40	10	right	left	0	49	15.351	3192
1	20	1738.102084478502	4	40	10	right	left	0	41	15.443	2655
1	21	669.4168269043112	4	40	10	left	right	0	49	15.27	3209
1	22	957.5652300286645	4	40	10	left	left	1	112	15.284	7328
1	23	362.1584767146595	4	40	10	left	left	1	85	15.26	5570
1	24	823.2324038482448	4	40	10	left	right	0	38	15.188	2502
1	25	305.8329164186337	4	40	10	left	left	1	24	15.306	1568
1	26	811.3746545032817	4	40	10	left	left	1	86	15.254	5638
1	27	207.9028327785436	4	40	10	right	right	1	38	15.472	2456
1	28	236.63281380875515	4	40	10	left	left	1	11	15.449	712
1	29	619.0775317651025	4	40	10	right	right	1	39	15.276	2553
1	30	700.7416582530407	4	40	10	right	right	1	19	15.335	1239
1	31	558.21610942173	4	40	10	right	right	1	21	15.173	1384
1	32	627.9878195522883	4	40	10	right	right	1	67	15.258	4391
1	33	584.705108947615	4	40	10	right	left	0	28	15.599	1795
1	34	212.03414935900093	4	40	10	left	left	1	17	16.038	1060
1	35	222.05956791020338	4	40	10	left	left	1	18	15.451	1165
1	36	374.987253519704	4	40	10	right	left	0	14	15.982	876
