
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	667.3642617228263	4	40	10	right	right	1	31	15.586	1989
1	2	1038.4631225172602	4	40	10	right	right	1	11	15.428	713
1	3	518.8330338445598	4	40	10	left	left	1	10	16.103	621
1	4	832.1725525274898	4	40	10	left	left	1	10	16.393	610
1	5	1467.8664705300976	4	40	10	right	right	1	14	16.018	874
1	6	1853.0954835532248	4	40	10	right	right	1	12	15.209	789
1	7	799.9286456885048	4	40	10	left	left	1	9	15.517	580
1	8	1804.7368363042801	4	40	10	left	left	1	9	15.385	585
1	9	244.59977374857192	4	40	10	right	right	1	12	15.957	752
1	10	386.4060532513888	4	40	10	left	left	1	9	16.917	532
1	11	226.23147378396968	4	40	10	left	left	1	9	16.484	546
1	12	2119.9049560575795	4	40	10	left	left	1	8	15.355	521
1	13	2411.388943646118	4	40	10	left	left	1	8	15.779	507
1	14	606.228868402715	4	40	10	right	left	0	8	17.167	466
1	15	3779.9125866328727	4	40	10	right	right	1	12	15.666	766
1	16	358.55794896416637	4	40	10	left	left	1	12	15.727	763
1	17	360.3608953731105	4	40	10	right	right	1	10	16.779	596
1	18	268.2921193324965	4	40	10	left	left	1	8	15.238	525
1	19	866.6607215112246	4	40	10	left	left	1	13	15.421	843
1	20	317.1558968399597	4	40	10	right	right	1	9	16.1	559
1	21	409.86830335375157	4	40	10	left	left	1	8	15.534	515
1	22	715.8290473247436	4	40	10	right	right	1	8	15.595	513
1	23	1281.931876514495	4	40	10	right	right	1	24	15.171	1582
1	24	280.12194223181234	4	40	10	left	right	0	12	15.873	756
1	25	1101.669431458531	4	40	10	left	left	1	18	15.464	1164
1	26	490.3011895646125	4	40	10	right	right	1	10	16.34	612
1	27	1491.0398738308181	4	40	10	left	left	1	9	15.28	589
1	28	414.2248608501543	4	40	10	left	left	1	9	15.254	590
1	29	224.93882899903582	4	40	10	left	right	0	9	16.393	549
1	30	337.0638353790041	4	40	10	right	right	1	10	15.337	652
1	31	675.5796002444711	4	40	10	right	right	1	13	15.385	845
1	32	622.6651151812459	4	40	10	right	left	0	8	16.667	480
1	33	781.4454401477681	4	40	10	right	right	1	9	16.043	561
1	34	929.3206048602141	4	40	10	left	left	1	9	16.304	552
1	35	383.36933344523777	4	40	10	left	right	0	9	15.929	565
1	36	707.2197165349066	4	40	10	left	left	1	14	15.873	882
1	37	232.8393044499191	4	40	10	right	right	1	12	15.686	765
1	38	690.4982323185409	4	40	10	right	right	1	10	15.974	626
1	39	226.6059815533934	4	40	10	right	right	1	9	15.177	593
1	40	1403.97391135959	4	40	10	right	right	1	9	16.275	553
2	1	664.1375914983074	4	40	10	left	left	1	19	15.913	1194
2	2	369.1251328455841	4	40	10	right	right	1	9	16.544	544
2	3	1382.0335592255312	4	40	10	left	right	0	8	15.474	517
2	4	903.4926388946308	4	40	10	right	right	1	10	15.552	643
2	5	582.2405465052367	4	40	10	left	right	0	9	15.177	593
2	6	461.2089752681603	4	40	10	right	right	1	18	15.598	1154
2	7	650.8598093031253	4	40	10	left	left	1	15	16.199	926
2	8	1427.991024749398	4	40	10	right	right	1	8	15.842	505
2	9	521.3452411986931	4	40	10	right	left	0	9	16.245	554
2	10	680.5156212511472	4	40	10	left	left	1	11	16.296	675
2	11	404.53035331310264	4	40	10	left	left	1	12	15.365	781
2	12	457.71535060819895	4	40	10	left	left	1	8	16.194	494
2	13	1508.4991493555926	4	40	10	left	left	1	12	15.132	793
2	14	472.2981756432175	4	40	10	left	left	1	9	15.707	573
2	15	728.7589607429413	4	40	10	left	right	0	11	15.67	702
2	16	305.0671568621701	4	40	10	right	right	1	14	15.73	890
2	17	996.686284922168	4	40	10	left	left	1	9	16.698	539
2	18	2378.89732393329	4	40	10	right	left	0	9	15.517	580
2	19	233.82690640940828	4	40	10	left	left	1	12	16.238	739
2	20	2771.741794795731	4	40	10	right	right	1	11	15.235	722
2	21	820.0049272835962	4	40	10	right	right	1	17	15.582	1091
2	22	2348.108958974456	4	40	10	right	right	1	67	15.2	4408
2	23	452.62013199696145	4	40	10	right	right	1	14	15.556	900
2	24	946.7505368918273	4	40	10	right	right	1	15	16.146	929
2	25	1481.4902952756781	4	40	10	right	right	1	11	15.625	704
2	26	961.6151236022738	4	40	10	left	left	1	10	16.447	608
2	27	272.0676897872622	4	40	10	left	left	1	15	15.609	961
2	28	443.59780418846503	4	40	10	left	right	0	13	16.169	804
2	29	541.0222620911827	4	40	10	right	right	1	14	15.695	892
2	30	1144.5314150465992	4	40	10	right	left	0	11	16.176	680
2	31	219.81648917888958	4	40	10	right	right	1	12	15.19	790
2	32	660.8571733504637	4	40	10	left	left	1	12	15.365	781
2	33	2460.165583823332	4	40	10	left	left	1	15	15.182	988
2	34	1587.93286147493	4	40	10	left	left	1	36	15.241	2362
2	35	1058.9298500090476	4	40	10	right	right	1	22	15.748	1397
2	36	211.6140528852315	4	40	10	right	right	1	10	15.649	639
2	37	1066.286057581705	4	40	10	left	left	1	10	16.611	602
2	38	677.4685711138209	4	40	10	right	right	1	11	16.012	687
2	39	980.3167953316591	4	40	10	right	right	1	9	16.949	531
2	40	759.8794650926945	4	40	10	left	left	1	10	16.34	612
3	1	1096.636196521899	4	40	10	left	left	1	15	15.873	945
3	2	688.6696444837181	4	40	10	left	right	0	9	15.679	574
3	3	457.46068180466125	4	40	10	left	left	1	12	15.444	777
3	4	294.1983010107789	4	40	10	left	left	1	9	16.364	550
3	5	408.02820569177834	4	40	10	left	left	1	9	15.254	590
3	6	382.2382005203642	4	40	10	right	right	1	10	15.385	650
3	7	4042.5031977299877	4	40	10	left	left	1	14	15.945	878
3	8	272.4068240310179	4	40	10	left	right	0	11	16.591	663
3	9	2482.0605643222266	4	40	10	left	left	1	9	15.679	574
3	10	513.8096448375522	4	40	10	left	left	1	21	15.885	1322
3	11	232.13403122506642	4	40	10	right	right	1	11	15.235	722
3	12	404.0297751839584	4	40	10	right	right	1	10	15.198	658
3	13	208.95572260963493	4	40	10	right	right	1	14	16.055	872
3	14	869.080971458889	4	40	10	right	right	1	9	15.571	578
3	15	354.60694770875	4	40	10	left	left	1	11	15.919	691
3	16	203.2470897396464	4	40	10	left	left	1	11	16.393	671
3	17	1403.0393514330904	4	40	10	left	left	1	10	16.529	605
3	18	1261.8410510247552	4	40	10	right	left	0	9	16.886	533
3	19	425.43794306599966	4	40	10	right	right	1	21	15.813	1328
3	20	1568.2808690054337	4	40	10	left	left	1	10	16.779	596
3	21	962.1282801438416	4	40	10	right	right	1	12	16.416	731
3	22	580.0545531856294	4	40	10	left	left	1	14	16.26	861
3	23	288.24217496299264	4	40	10	left	left	1	13	15.569	835
3	24	1559.0073937521365	4	40	10	left	left	1	15	15.924	942
3	25	1765.5081134489715	4	40	10	right	right	1	13	15.834	821
3	26	1740.8804509608005	4	40	10	right	right	1	15	15.353	977
3	27	1023.6489265789002	4	40	10	right	right	1	16	15.296	1046
3	28	721.4486060405583	4	40	10	right	right	1	28	15.573	1798
3	29	847.5338266427183	4	40	10	left	right	0	12	15.584	770
3	30	1228.4447227604217	4	40	10	left	left	1	20	15.326	1305
3	31	656.4500949803526	4	40	10	right	right	1	13	16.189	803
3	32	2521.606823437773	4	40	10	left	left	1	20	15.267	1310
3	33	347.3786579448572	4	40	10	right	right	1	10	15.649	639
3	34	1844.9288182570906	4	40	10	right	right	1	13	15.513	838
3	35	338.80059149430855	4	40	10	left	left	1	10	16	625
3	36	1113.8298422302878	4	40	10	right	right	1	9	15.332	587
3	37	1387.9445420155544	4	40	10	right	left	0	9	15.679	574
3	38	1247.1067215056719	4	40	10	right	left	0	16	15.459	1035
3	39	1962.6390945347207	4	40	10	right	right	1	9	15.358	586
3	40	481.15788487520314	4	40	10	right	right	1	20	15.576	1284
4	1	2021.8793698642878	4	40	10	left	left	1	11	15.385	715
4	2	596.7015846025042	4	40	10	right	right	1	9	16.575	543
4	3	496.5439165315111	4	40	10	right	right	1	12	16.484	728
