
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	536.126366944806	4	40	10	right	left	0	57	15.099	3775
1	2	338.41480290260256	4	40	10	right	left	0	23	15.426	1491
1	3	1317.2811258605725	4	40	10	right	right	1	57	15.111	3772
1	4	470.971057596317	4	40	10	left	left	1	19	15.067	1261
1	5	867.8356661812995	4	40	10	left	left	1	15	15.045	997
1	6	1402.0235566418562	4	40	10	right	right	1	14	15.73	890
1	7	668.3613228084926	4	40	10	left	left	1	19	15.472	1228
1	8	574.6350716518248	4	40	10	right	left	0	15	15.593	962
1	9	230.62232160334244	4	40	10	right	left	0	18	15.113	1191
1	10	705.602796946077	4	40	10	left	right	0	27	15.042	1795
1	11	980.3276540489846	4	40	10	left	left	1	12	16.194	741
1	12	1817.5064081145501	4	40	10	left	right	0	30	14.97	2004
1	13	2459.29986512077	4	40	10	right	left	0	34	15.213	2235
1	14	457.7815061133329	4	40	10	right	left	0	32	15.123	2116
1	15	3200.1906930984524	4	40	10	right	left	0	24	15.544	1544
1	16	212.2716022401931	4	40	10	left	right	0	21	15.306	1372
1	17	452.8363561160422	4	40	10	right	right	1	12	14.888	806
1	18	459.21643760869443	4	40	10	right	right	1	9	15.228	591
1	19	362.0771116063599	4	40	10	left	left	1	16	15.549	1029
1	20	719.907761029882	4	40	10	left	right	0	11	14.925	737
1	21	2115.108134246998	4	40	10	left	left	1	11	15.737	699
1	22	1064.9693515821689	4	40	10	left	right	0	12	16.043	748
1	23	570.6817285710695	4	40	10	right	right	1	13	15.719	827
1	24	1691.6402411193146	4	40	10	right	left	0	16	15.842	1010
1	25	916.2175780441988	4	40	10	right	left	0	11	15.342	717
1	26	634.6158581334249	4	40	10	left	right	0	12	15.524	773
1	27	832.0747275945057	4	40	10	left	left	1	11	15.896	692
1	28	239.6241818543757	4	40	10	left	left	1	9	15.817	569
1	29	898.676215371011	4	40	10	left	left	1	16	15.123	1058
1	30	1319.4233667785809	4	40	10	left	right	0	14	16.037	873
