
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	451.5694126012164	4	40	10	left	right	0	177	14.978	11817
1	2	659.6635805385429	4	40	10	right	left	0	242	15.05	16080
1	3	1750.843060822752	4	40	10	right	left	0	168	15.017	11187
1	4	517.9383054336218	4	40	10	left	left	1	52	14.99	3469
1	5	201.18233203993412	4	40	10	right	right	1	49	15.114	3242
1	6	294.6767893513441	4	40	10	right	right	1	69	15.066	4580
1	7	776.2043440601599	4	40	10	left	right	0	101	15.111	6684
1	8	986.5498224469052	4	40	10	left	right	0	86	15.011	5729
1	9	321.6157700830147	4	40	10	right	right	1	85	15.047	5649
1	10	1244.5228674016068	4	40	10	right	left	0	43	15.152	2838
1	11	244.8607774030214	4	40	10	left	left	1	55	14.995	3668
1	12	458.79982080763665	4	40	10	left	right	0	80	15.06	5312
1	13	322.28222943967916	4	40	10	right	right	1	64	15.137	4228
1	14	301.4557205900712	4	40	10	right	left	0	57	15.241	3740
1	15	1768.9273329532855	4	40	10	right	right	1	66	15.041	4388
1	16	768.221901843747	4	40	10	right	left	0	80	15.08	5305
1	17	448.32118132363223	4	40	10	right	left	0	63	15.104	4171
1	18	797.3151363216311	4	40	10	left	right	0	146	15.083	9680
1	19	603.6541596195083	4	40	10	left	right	0	107	15.015	7126
1	20	364.0208452450449	4	40	10	left	left	1	45	15.085	2983
1	21	415.82086214907156	4	40	10	left	left	1	89	15.126	5884
1	22	311.4540843975669	4	40	10	left	left	1	125	15.024	8320
1	23	624.4421413301161	4	40	10	left	left	1	124	15.102	8211
1	24	1650.9252820573977	4	40	10	left	right	0	89	15.041	5917
1	25	1013.2931042272069	4	40	10	left	left	1	84	15.005	5598
1	26	229.1839275840635	4	40	10	left	right	0	95	15.099	6292
1	27	1019.0817798492765	4	40	10	left	right	0	100	15.063	6639
1	28	800.0075688314959	4	40	10	right	right	1	104	15.079	6897
1	29	2872.715358000903	4	40	10	right	left	0	101	15.014	6727
1	30	870.3583624505357	4	40	10	right	right	1	74	15.065	4912
1	31	391.3376916584192	4	40	10	left	right	0	83	15.11	5493
1	32	492.1733200802202	4	40	10	right	right	1	84	15.127	5553
1	33	1313.7526143466291	4	40	10	left	right	0	160	15.029	10646
1	34	1414.0970916960605	4	40	10	left	left	1	122	14.964	8153
1	35	303.61664901894255	4	40	10	right	left	0	90	15.018	5993
1	36	222.01428821037837	4	40	10	left	right	0	92	15.02	6125
1	37	619.2618729663702	4	40	10	right	left	0	31	15.331	2022
1	38	503.5800085797601	4	40	10	right	right	1	66	15.218	4337
1	39	1084.4713016134556	4	40	10	right	right	1	69	15.069	4579
1	40	420.75950999322	4	40	10	right	left	0	114	15.081	7559
2	1	1588.8557586045195	4	40	10	right	right	1	129	15.031	8582
2	2	1054.4688318944677	4	40	10	left	right	0	104	15.009	6929
2	3	1517.0390148345364	4	40	10	left	left	1	48	15.094	3180
2	4	924.887524104426	4	40	10	left	right	0	51	15.062	3386
2	5	621.1380325299742	4	40	10	right	right	1	67	15.182	4413
2	6	850.884983392217	4	40	10	left	left	1	87	15.128	5751
2	7	893.7690350238541	4	40	10	right	right	1	62	15.052	4119
2	8	213.81721467410188	4	40	10	left	right	0	95	15.055	6310
2	9	247.06301098810548	4	40	10	left	left	1	55	15.172	3625
2	10	2339.459500248339	4	40	10	left	left	1	69	15.138	4558
2	11	1193.6134590573743	4	40	10	right	right	1	41	15.191	2699
2	12	340.69975251273036	4	40	10	left	right	0	40	15.089	2651
2	13	1469.3969982626872	4	40	10	right	left	0	50	15.142	3302
2	14	1825.7458538053454	4	40	10	right	right	1	60	15.117	3969
2	15	794.8443935105657	4	40	10	right	right	1	46	15.242	3018
2	16	502.57619084426915	4	40	10	left	right	0	70	15.109	4633
2	17	596.4752901415811	4	40	10	right	left	0	89	15.087	5899
2	18	282.75421164022134	4	40	10	left	right	0	108	15.103	7151
2	19	569.0633312746797	4	40	10	left	left	1	73	15.086	4839
2	20	1078.1686101451407	4	40	10	left	left	1	47	15.24	3084
2	21	334.0337724187111	4	40	10	right	right	1	38	15.133	2511
2	22	254.29264012865795	4	40	10	left	right	0	71	15.116	4697
