
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	700.8980043410434	4	40	10	left	left	1	282	15.163	18598
1	2	487.768534529589	4	40	10	right	right	1	53	15.212	3484
1	3	346.3055211688434	4	40	10	left	left	1	17	15.315	1110
1	4	330.31872993212136	4	40	10	right	right	1	17	15.247	1115
1	5	678.7703166941606	4	40	10	left	left	1	14	15.642	895
1	6	458.7481716917442	4	40	10	left	left	1	19	15.574	1220
1	7	558.6980821460468	4	40	10	left	right	0	13	15.403	844
1	8	302.7422638420763	4	40	10	right	right	1	63	15.21	4142
1	9	929.5139603154404	4	40	10	left	left	1	29	15.642	1854
1	10	293.4840083213751	4	40	10	left	left	1	72	15.306	4704
1	11	755.6341421570773	4	40	10	left	left	1	101	15.225	6634
1	12	872.5843623139859	4	40	10	left	left	1	11	16.442	669
1	13	297.37880309243354	4	40	10	right	right	1	10	15.528	644
1	14	771.1095620129881	4	40	10	left	left	1	14	15.368	911
1	15	258.19117818904806	4	40	10	right	right	1	16	15.779	1014
1	16	308.7646390199495	4	40	10	left	right	0	8	16.985	471
1	17	1000.0271683961497	4	40	10	right	right	1	14	15.66	894
1	18	422.9655085032378	4	40	10	right	right	1	73	15.317	4766
1	19	892.857704222198	4	40	10	right	right	1	29	15.393	1884
1	20	914.7288684561403	4	40	10	left	left	1	13	15.33	848
1	21	665.4712192326642	4	40	10	right	right	1	11	15.942	690
1	22	1620.8598765819258	4	40	10	right	right	1	23	15.152	1518
1	23	512.2148067779171	4	40	10	right	right	1	30	15.472	1939
1	24	672.3106629998363	4	40	10	right	right	1	50	15.202	3289
1	25	681.7093187200062	4	40	10	right	right	1	78	15.3	5098
1	26	202.08466905571268	4	40	10	left	left	1	49	15.404	3181
1	27	522.7165053701832	4	40	10	left	left	1	20	15.117	1323
1	28	1282.0809116775274	4	40	10	right	right	1	9	15.228	591
1	29	674.4419109168475	4	40	10	left	left	1	12	15.915	754
1	30	496.32972448319606	4	40	10	right	right	1	10	15.576	642
1	31	663.8347256519019	4	40	10	right	right	1	66	15.278	4320
1	32	1059.8198300657752	4	40	10	right	right	1	71	15.318	4635
1	33	2190.8496840545604	4	40	10	right	right	1	132	15.176	8698
1	34	508.15901876532945	4	40	10	right	right	1	30	15.228	1970
1	35	687.0284803724977	4	40	10	left	left	1	10	15.152	660
1	36	440.1314514118866	4	40	10	left	left	1	18	15.319	1175
1	37	259.64374543714945	4	40	10	left	left	1	9	15.517	580
1	38	710.4128943425433	4	40	10	left	left	1	14	16.073	871
1	39	2313.0432632437487	4	40	10	left	left	1	12	15.228	788
1	40	1483.98165064299	4	40	10	right	right	1	20	15.564	1285
2	1	236.5120502051451	4	40	10	right	right	1	24	15.257	1573
2	2	335.0625105552906	4	40	10	left	left	1	11	15.827	695
2	3	994.7707090849568	4	40	10	right	right	1	21	15.284	1374
2	4	1034.6344677809234	4	40	10	right	right	1	14	15.625	896
2	5	578.3293606371251	4	40	10	left	left	1	9	15.28	589
2	6	537.4528335739091	4	40	10	right	left	0	12	15.484	775
2	7	542.1362897360732	4	40	10	right	right	1	12	16.151	743
2	8	2504.937191281026	4	40	10	left	left	1	10	15.848	631
2	9	323.4922801667899	4	40	10	left	left	1	12	15.645	767
2	10	1415.3506439268622	4	40	10	left	left	1	9	15.411	584
2	11	1166.1345326569708	4	40	10	right	left	0	6	16.304	368
2	12	508.1405311992215	4	40	10	right	left	0	11	15.873	693
2	13	964.538361169858	4	40	10	right	right	1	11	15.559	707
2	14	319.15200230517814	4	40	10	right	right	1	12	15.979	751
2	15	295.191352196249	4	40	10	left	left	1	9	15.957	564
2	16	352.3532597341572	4	40	10	left	left	1	9	16.275	553
2	17	1317.6715241883699	4	40	10	left	left	1	12	15.326	783
2	18	1732.3152321879859	4	40	10	left	left	1	10	16.529	605
2	19	815.8509822171711	4	40	10	left	left	1	41	15.202	2697
2	20	1083.218031961418	4	40	10	right	right	1	11	15.214	723
2	21	307.5500743069649	4	40	10	right	right	1	83	15.331	5414
2	22	655.745900643193	4	40	10	left	left	1	11	15.257	721
2	23	206.16632677376185	4	40	10	left	right	0	11	15.299	719
2	24	396.0871165039046	4	40	10	left	left	1	20	15.42	1297
2	25	888.9174046151321	4	40	10	left	left	1	11	15.449	712
2	26	1459.213228189785	4	40	10	right	right	1	53	15.143	3500
2	27	753.3400952062932	4	40	10	left	left	1	23	15.721	1463
2	28	277.3047177475041	4	40	10	left	left	1	30	15.4	1948
2	29	327.516266038264	4	40	10	right	right	1	18	15.929	1130
2	30	1366.663446540999	4	40	10	left	left	1	10	15.552	643
2	31	203.2258913928325	4	40	10	right	left	0	9	15.845	568
2	32	458.5197676786442	4	40	10	left	left	1	9	15.845	568
2	33	369.4911238966454	4	40	10	right	right	1	10	16	625
2	34	2089.2242829340803	4	40	10	left	left	1	18	15.625	1152
2	35	346.726877799384	4	40	10	right	right	1	15	15.106	993
2	36	308.9329852668355	4	40	10	right	right	1	20	15.468	1293
2	37	428.2202046388279	4	40	10	right	right	1	47	15.395	3053
2	38	333.33220278752987	4	40	10	right	left	0	15	15.48	969
2	39	625.7095442757543	4	40	10	right	right	1	8	17.131	467
2	40	304.23880000098836	4	40	10	left	left	1	10	15.337	652
3	1	2837.2555690778827	4	40	10	left	left	1	39	15.27	2554
3	2	446.4695868461996	4	40	10	left	left	1	13	15.55	836
3	3	1247.4224727891474	4	40	10	left	left	1	15	16.094	932
3	4	962.1520480585732	4	40	10	right	right	1	12	16.216	740
3	5	770.2474017783435	4	40	10	left	left	1	16	15.625	1024
3	6	1028.8192569434082	4	40	10	right	right	1	11	16.248	677
3	7	397.8383978986335	4	40	10	right	left	0	21	15.43	1361
3	8	1092.9072326742194	4	40	10	right	right	1	12	15.625	768
3	9	1354.681341310446	4	40	10	left	left	1	17	15.596	1090
3	10	1026.459219367538	4	40	10	right	right	1	12	15.287	785
3	11	1704.2558956057244	4	40	10	right	left	0	13	15.758	825
3	12	737.9478496979237	4	40	10	right	right	1	13	16.23	801
3	13	358.77744035173595	4	40	10	right	right	1	10	15.949	627
3	14	1291.5952136778708	4	40	10	right	right	1	17	15.554	1093
3	15	431.2685762466608	4	40	10	left	left	1	11	15.299	719
3	16	817.0498135713982	4	40	10	left	left	1	12	15.915	754
3	17	551.7910527487536	4	40	10	right	right	1	11	15.737	699
3	18	881.9512047036134	4	40	10	right	right	1	12	15.81	759
3	19	510.15991301770924	4	40	10	right	left	0	13	15.152	858
3	20	210.63812698734571	4	40	10	left	left	1	12	15.404	779
3	21	1134.9780752623583	4	40	10	left	left	1	17	15.814	1075
3	22	373.1650596312029	4	40	10	left	right	0	13	15.99	813
3	23	945.2127493229478	4	40	10	right	right	1	11	15.759	698
3	24	1624.004733597361	4	40	10	right	right	1	18	15.424	1167
3	25	1147.9673530231084	4	40	10	left	left	1	26	15.294	1700
3	26	630.6917225006371	4	40	10	left	left	1	11	15.85	694
3	27	575.8744706497623	4	40	10	right	right	1	10	15.601	641
3	28	463.26153944339853	4	40	10	right	left	0	13	16.169	804
3	29	2415.6096084143883	4	40	10	left	right	0	15	15.322	979
3	30	622.8605675711768	4	40	10	right	right	1	27	15.289	1766
3	31	1561.6590405760726	4	40	10	right	right	1	134	15.238	8794
3	32	884.1764119366991	4	40	10	right	right	1	111	15.187	7309
3	33	1449.2104555401531	4	40	10	left	left	1	45	15.406	2921
3	34	1121.0071791814144	4	40	10	left	left	1	13	15.403	844
3	35	426.36807350108694	4	40	10	left	left	1	13	15.205	855
3	36	2333.2202702133122	4	40	10	left	left	1	12	16.349	734
3	37	1703.2153164001866	4	40	10	left	left	1	12	15.345	782
3	38	531.8616444043872	4	40	10	left	left	1	9	14.851	606
3	39	582.3493068223681	4	40	10	left	left	1	16	15.519	1031
3	40	1155.6795615009673	4	40	10	right	right	1	25	15.451	1618
4	1	634.020326417261	4	40	10	left	left	1	14	15.837	884
4	2	696.0083327342302	4	40	10	right	right	1	9	16.071	560
4	3	1408.5393123094523	4	40	10	right	right	1	14	15.368	911
4	4	450.32828591422333	4	40	10	right	right	1	15	15.576	963
4	5	1412.2891491834246	4	40	10	left	left	1	11	15.493	710
4	6	987.8236560463331	4	40	10	right	right	1	13	16.03	811
4	7	840.0050316480636	4	40	10	right	right	1	16	15.564	1028
4	8	927.442946043757	4	40	10	right	right	1	14	15.234	919
4	9	418.12901042281123	4	40	10	right	right	1	9	15.652	575
4	10	365.89098904421087	4	40	10	right	right	1	16	15.795	1013
4	11	806.8034647085789	4	40	10	left	left	1	13	15.912	817
4	12	216.76911687476547	4	40	10	right	right	1	11	15.67	702
4	13	1762.493485949416	4	40	10	right	right	1	13	15.348	847
4	14	259.90064332874135	4	40	10	right	right	1	14	15.801	886
4	15	1525.3039796114244	4	40	10	left	right	0	9	16.698	539
4	16	717.2368277310965	4	40	10	right	right	1	44	15.342	2868
4	17	310.20284394272136	4	40	10	left	left	1	15	15.244	984
4	18	387.38978388186865	4	40	10	left	left	1	15	16.199	926
4	19	1285.3182095138397	4	40	10	left	left	1	14	16.018	874
4	20	2730.5393575236435	4	40	10	right	right	1	21	15.217	1380
4	21	2520.5706325534734	4	40	10	right	right	1	22	15.614	1409
4	22	1639.1838336576584	4	40	10	left	left	1	71	15.318	4635
4	23	982.0440219474236	4	40	10	left	left	1	14	16.148	867
4	24	2135.9962974984255	4	40	10	left	left	1	14	15.59	898
4	25	466.25203729143334	4	40	10	left	left	1	12	15.524	773
4	26	763.5604731218763	4	40	10	left	left	1	11	15.714	700
4	27	779.0583402929191	4	40	10	right	right	1	12	16.086	746
4	28	415.505766546721	4	40	10	right	left	0	7	15.556	450
4	29	1004.8552987364907	4	40	10	left	left	1	12	16.438	730
