
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	872.9670623651733	4	40	10	right	right	1	97	15.225	6371
1	2	1049.2050586758687	4	40	10	left	left	1	35	15.432	2268
1	3	717.5126057631485	4	40	10	right	right	1	21	15.544	1351
1	4	420.12445037893235	4	40	10	right	left	0	40	15.462	2587
1	5	292.851738024272	4	40	10	left	left	1	59	15.293	3858
1	6	243.93584409047548	4	40	10	right	right	1	13	16.01	812
1	7	999.8561277543597	4	40	10	left	right	0	22	15.352	1433
1	8	813.2051785561604	4	40	10	left	left	1	50	15.253	3278
1	9	924.625452265109	4	40	10	left	left	1	14	16.222	863
1	10	1126.5649117320002	4	40	10	right	right	1	29	15.344	1890
1	11	859.1209090665814	4	40	10	right	right	1	49	15.232	3217
1	12	2097.8245794355535	4	40	10	left	left	1	23	15.797	1456
1	13	630.9033940722683	4	40	10	left	right	0	52	15.169	3428
1	14	1320.725855169302	4	40	10	right	left	0	28	15.512	1805
1	15	1862.6491820249132	4	40	10	right	right	1	26	15.476	1680
1	16	4397.616221197783	4	40	10	left	left	1	43	15.473	2779
1	17	909.4486119128218	4	40	10	right	left	0	18	15.152	1188
1	18	308.8733966890651	4	40	10	left	right	0	32	15.37	2082
1	19	333.0973375309393	4	40	10	right	right	1	40	15.332	2609
1	20	1725.6065432329299	4	40	10	left	left	1	26	15.7	1656
1	21	407.23808506429583	4	40	10	right	left	0	28	15.564	1799
1	22	655.0230246648616	4	40	10	left	right	0	20	15.674	1276
1	23	1114.0053109841917	4	40	10	right	right	1	27	15.306	1764
1	24	612.5685768496774	4	40	10	left	left	1	22	15.417	1427
1	25	538.5491873102822	4	40	10	right	left	0	48	15.444	3108
1	26	429.8806827775966	4	40	10	left	right	0	16	15.195	1053
1	27	245.4923823129972	4	40	10	right	right	1	34	15.267	2227
1	28	270.3359900559638	4	40	10	left	left	1	28	15.201	1842
1	29	1079.5279182661257	4	40	10	right	right	1	78	15.181	5138
1	30	841.3875461557056	4	40	10	right	right	1	56	15.259	3670
1	31	325.52395978746864	4	40	10	left	right	0	14	15.608	897
1	32	378.3301447396386	4	40	10	left	left	1	25	15.281	1636
1	33	298.03019502480106	4	40	10	left	left	1	17	15.947	1066
1	34	1577.411254138422	4	40	10	left	left	1	17	15.568	1092
1	35	2143.761141379041	4	40	10	right	left	0	34	15.441	2202
1	36	1496.2073937169516	4	40	10	right	right	1	23	15.71	1464
1	37	550.6458471345883	4	40	10	left	right	0	30	15.19	1975
1	38	246.22933892807515	4	40	10	right	right	1	40	15.522	2577
1	39	1716.543794379176	4	40	10	left	left	1	38	15.397	2468
1	40	258.6639336153006	4	40	10	right	left	0	75	15.158	4948
2	1	606.2952400657632	4	40	10	left	right	0	38	15.176	2504
2	2	1023.3777443537122	4	40	10	left	left	1	18	15.611	1153
2	3	212.65032463335152	4	40	10	left	left	1	47	15.39	3054
2	4	1972.5143926659287	4	40	10	left	left	1	39	15.379	2536
2	5	325.3144339345738	4	40	10	right	right	1	41	15.339	2673
2	6	231.26543525217193	4	40	10	left	right	0	44	15.262	2883
2	7	410.9160210863461	4	40	10	right	left	0	36	15.504	2322
2	8	791.4129242230355	4	40	10	left	left	1	29	15.328	1892
2	9	547.3500104632245	4	40	10	left	left	1	68	15.209	4471
2	10	4695.458153490985	4	40	10	right	right	1	41	15.362	2669
2	11	1227.3616856552694	4	40	10	left	left	1	23	15.364	1497
2	12	1675.0395979905447	4	40	10	right	right	1	17	15.829	1074
2	13	1586.5382569283897	4	40	10	right	right	1	16	15.656	1022
2	14	664.2974482111431	4	40	10	left	left	1	18	15.901	1132
2	15	647.2308903388928	4	40	10	right	left	0	23	15.786	1457
2	16	503.97295752473065	4	40	10	right	left	0	52	15.2	3421
2	17	874.4042986191558	4	40	10	left	left	1	110	15.223	7226
2	18	694.5601253666405	4	40	10	right	left	0	23	15.775	1458
2	19	2458.963506035932	4	40	10	right	right	1	16	16.032	998
2	20	2979.9962716208966	4	40	10	left	left	1	23	15.488	1485
2	21	580.1216358052466	4	40	10	right	left	0	17	15.683	1084
2	22	1120.8489272161778	4	40	10	right	right	1	11	15.515	709
2	23	302.13395574540766	4	40	10	left	right	0	19	15.677	1212
2	24	569.4205443006975	4	40	10	left	left	1	13	15.606	833
2	25	221.44110791828348	4	40	10	right	right	1	12	16.371	733
2	26	2143.623779997566	4	40	10	left	left	1	10	15.361	651
2	27	277.2408827787573	4	40	10	left	left	1	13	16.332	796
2	28	320.43277325067186	4	40	10	right	left	0	22	15.471	1422
2	29	797.8150130853375	4	40	10	left	right	0	6	17.341	346
2	30	292.50644888073003	4	40	10	right	right	1	22	15.267	1441
2	31	853.718185249817	4	40	10	right	left	0	12	15.209	789
2	32	1310.2769494949607	4	40	10	left	right	0	10	16.667	600
2	33	530.7008629625734	4	40	10	right	left	0	20	15.785	1267
2	34	806.4185252045497	4	40	10	left	right	0	9	16.334	551
2	35	1037.7004519087136	4	40	10	left	left	1	12	15.789	760
2	36	244.21325584772845	4	40	10	right	left	0	39	15.181	2569
2	37	3769.51945965664	4	40	10	right	right	1	53	15.318	3460
2	38	879.2865577706025	4	40	10	right	right	1	62	15.159	4090
2	39	825.3618607448796	4	40	10	right	left	0	68	15.209	4471
2	40	571.2718468805451	4	40	10	left	right	0	68	15.216	4469
3	1	745.2115268027593	4	40	10	right	left	0	13	16.25	800
3	2	1383.3445145509327	4	40	10	left	right	0	15	15.74	953
3	3	1424.835629957514	4	40	10	left	right	0	20	15.163	1319
3	4	380.6699484319304	4	40	10	right	left	0	11	15.85	694
3	5	601.3464443581395	4	40	10	left	right	0	10	15.601	641
3	6	206.00668083565026	4	40	10	left	right	0	30	15.291	1962
3	7	352.0921665366478	4	40	10	left	left	1	10	15.198	658
3	8	1075.9266085983659	4	40	10	left	right	0	30	15.228	1970
3	9	609.0278094158007	4	40	10	right	left	0	11	15.152	726
3	10	3044.054861499075	4	40	10	left	left	1	123	15.225	8079
3	11	385.03662534862127	4	40	10	right	left	0	11	15.581	706
3	12	543.2446667121944	4	40	10	left	left	1	45	15.432	2916
3	13	311.85397721221295	4	40	10	left	left	1	20	15.361	1302
3	14	2886.528312089421	4	40	10	left	left	1	11	16.129	682
3	15	849.0524295735183	4	40	10	right	left	0	12	16.304	736
3	16	1147.5831961027848	4	40	10	right	right	1	7	17.073	410
3	17	2227.2958684721725	4	40	10	right	right	1	36	15.497	2323
3	18	440.8045749593716	4	40	10	left	right	0	16	15.905	1006
3	19	1380.133290534263	4	40	10	right	right	1	6	16.62	361
3	20	322.88752605118924	4	40	10	right	left	0	60	15.306	3920
3	21	663.4399155288288	4	40	10	right	left	0	37	15.201	2434
3	22	906.3310647541894	4	40	10	left	right	0	39	15.193	2567
3	23	263.43282743162035	4	40	10	left	right	0	104	15.292	6801
3	24	734.3497662022074	4	40	10	right	left	0	13	15.366	846
3	25	332.8594478713674	4	40	10	right	right	1	19	15.237	1247
3	26	1832.8502225005673	4	40	10	right	right	1	43	15.346	2802
3	27	416.885466998468	4	40	10	right	left	0	113	15.246	7412
3	28	273.69736455253735	4	40	10	right	left	0	50	15.267	3275
3	29	690.2916797831424	4	40	10	left	right	0	39	15.27	2554
3	30	395.84145865856794	4	40	10	left	right	0	37	15.533	2382
3	31	1246.7656361273548	4	40	10	right	left	0	32	15.152	2112
3	32	208.7540130010679	4	40	10	right	right	1	17	15.192	1119
3	33	516.3729548140723	4	40	10	left	right	0	23	15.385	1495
3	34	340.5250715174534	4	40	10	left	left	1	12	16.173	742
3	35	686.9345597384361	4	40	10	left	right	0	23	15.797	1456
3	36	367.8340856253724	4	40	10	right	right	1	23	15.416	1492
3	37	1255.1905491399739	4	40	10	right	right	1	48	15.262	3145
3	38	1009.8664134723527	4	40	10	left	left	1	60	15.279	3927
3	39	2616.426141604009	4	40	10	left	right	0	14	16.204	864
3	40	460.5646962134928	4	40	10	right	left	0	46	15.303	3006
4	1	2859.072364443509	4	40	10	right	right	1	81	15.303	5293
4	2	397.1630449479122	4	40	10	right	left	0	15	16.199	926
4	3	953.450524618995	4	40	10	left	right	0	43	15.445	2784
4	4	820.9002709165383	4	40	10	right	right	1	94	15.159	6201
4	5	1280.008546586294	4	40	10	left	left	1	173	15.155	11415
4	6	937.871172247428	4	40	10	left	right	0	20	15.396	1299
4	7	313.12894569158493	4	40	10	right	right	1	19	15.966	1190
4	8	1443.8699056851951	4	40	10	right	right	1	35	15.391	2274
4	9	493.4015201476681	4	40	10	left	right	0	40	15.528	2576
4	10	472.3039820347585	4	40	10	right	left	0	32	15.238	2100
4	11	702.9665360111474	4	40	10	left	left	1	14	15.964	877
4	12	791.769136857585	4	40	10	right	left	0	22	15.235	1444
4	13	430.2973767507103	4	40	10	left	left	1	46	15.182	3030
4	14	1390.2649530024537	4	40	10	left	left	1	12	15.19	790
4	15	264.6504405373078	4	40	10	left	left	1	12	15.748	762
4	16	658.4199353756135	4	40	10	left	left	1	12	15.484	775
4	17	1213.626871417278	4	40	10	right	left	0	74	15.183	4874
4	18	351.51024671938615	4	40	10	right	left	0	48	15.257	3146
4	19	1010.7851259793919	4	40	10	right	right	1	9	16.393	549
4	20	2345.272657268965	4	40	10	left	right	0	10	16.611	602
4	21	282.8002451390998	4	40	10	right	left	0	30	15.322	1958
4	22	769.481020294571	4	40	10	left	right	0	31	15.609	1986
4	23	462.416829167135	4	40	10	right	left	0	44	15.422	2853
4	24	752.0608124185861	4	40	10	right	left	0	56	15.393	3638
4	25	316.73999372740894	4	40	10	right	left	0	16	15.905	1006
4	26	832.649890319457	4	40	10	right	right	1	81	15.191	5332
4	27	2984.0755447413467	4	40	10	left	left	1	14	16.222	863
4	28	248.5876983408385	4	40	10	right	right	1	17	15.977	1064
4	29	611.5279543246172	4	40	10	left	left	1	77	15.184	5071
4	30	455.01935804484276	4	40	10	left	left	1	14	15.608	897
4	31	1806.853567144669	4	40	10	left	left	1	79	15.275	5172
4	32	630.8136109848056	4	40	10	left	left	1	30	15.159	1979
4	33	755.3926173627758	4	40	10	left	right	0	113	15.229	7420
4	34	1721.1693729888204	4	40	10	left	left	1	65	15.276	4255
4	35	288.30700377968355	4	40	10	right	left	0	43	15.412	2790
4	36	1602.134618163852	4	40	10	left	left	1	15	15.306	980
4	37	3881.1591176979905	4	40	10	right	left	0	14	15.334	913
4	38	855.7669207756437	4	40	10	left	left	1	16	16.048	997
4	39	424.9230888274815	4	40	10	right	left	0	39	15.36	2539
4	40	421.3875991860973	4	40	10	right	left	0	12	15.544	772
