
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	1069.4969656254862	4	40	10	left	left	1	21	15.556	1350
1	2	1474.0695699996072	4	40	10	left	right	0	22	15.342	1434
1	3	203.3270355714185	4	40	10	right	right	1	26	15.476	1680
1	4	201.65174148926945	4	40	10	left	left	1	32	15.496	2065
1	5	318.334287816676	4	40	10	right	right	1	15	15.259	983
1	6	2143.8801349554715	4	40	10	right	right	1	18	15.385	1170
1	7	1411.9359723362793	4	40	10	right	right	1	11	16.035	686
1	8	1688.5736854073068	4	40	10	left	left	1	13	15.366	846
1	9	889.2343005672575	4	40	10	left	left	1	22	15.246	1443
1	10	2986.784613998565	4	40	10	left	left	1	30	15.167	1978
1	11	612.5759758999599	4	40	10	left	right	0	19	14.996	1267
1	12	552.4864780335713	4	40	10	right	right	1	22	15.363	1432
1	13	612.980641633329	4	40	10	right	right	1	26	15.588	1668
1	14	2831.891282900655	4	40	10	left	left	1	20	15.723	1272
1	15	1315.7556638037559	4	40	10	right	right	1	24	15.758	1523
1	16	545.0870344932034	4	40	10	left	left	1	49	15.289	3205
1	17	822.2443213906445	4	40	10	left	left	1	36	15.28	2356
1	18	431.46083952969593	4	40	10	left	left	1	19	15.261	1245
1	19	1071.3300902193412	4	40	10	left	left	1	21	15.672	1340
1	20	457.3720315873968	4	40	10	left	left	1	18	15.254	1180
1	21	586.756405293989	4	40	10	left	right	0	30	15.385	1950
1	22	1147.5489181396792	4	40	10	right	right	1	18	15.517	1160
1	23	962.7294464094629	4	40	10	right	right	1	29	15.167	1912
1	24	203.76704821391783	4	40	10	left	left	1	19	15.472	1228
1	25	722.4360344109288	4	40	10	right	right	1	23	15.212	1512
1	26	433.796548265315	4	40	10	right	right	1	33	15.421	2140
1	27	978.8893146495477	4	40	10	right	right	1	17	16.053	1059
1	28	1341.5125446753525	4	40	10	right	right	1	33	15.271	2161
1	29	611.8672848912903	4	40	10	right	right	1	32	15.326	2088
1	30	597.4291781631101	4	40	10	right	right	1	20	15.256	1311
1	31	337.7826082607779	4	40	10	left	left	1	19	15.523	1224
1	32	860.4649580605354	4	40	10	right	right	1	19	15.728	1208
1	33	1122.8046225665917	4	40	10	left	right	0	24	15.605	1538
1	34	440.3136074797211	4	40	10	right	right	1	19	15.152	1254
1	35	333.9183026090293	4	40	10	right	right	1	17	15.511	1096
1	36	292.84228338879547	4	40	10	right	right	1	23	15.636	1471
1	37	543.5994982861179	4	40	10	left	left	1	18	15.332	1174
1	38	1180.9227760901263	4	40	10	right	right	1	16	15.779	1014
1	39	1613.19446151797	4	40	10	left	right	0	12	16.043	748
1	40	211.7275463750624	4	40	10	left	left	1	21	14.947	1405
2	1	445.46780971919856	4	40	10	right	right	1	32	15.392	2079
2	2	1596.7799655040792	4	40	10	right	right	1	22	15.363	1432
2	3	832.9595351065183	4	40	10	right	right	1	17	15.933	1067
2	4	308.75934069320397	4	40	10	left	left	1	26	15.267	1703
2	5	368.22566059366824	4	40	10	left	right	0	28	15.556	1800
2	6	226.9709649972894	4	40	10	right	right	1	25	15.394	1624
2	7	1016.313521001443	4	40	10	right	right	1	20	15.48	1292
2	8	1361.9623364601296	4	40	10	right	left	0	25	15.694	1593
2	9	499.02847045347636	4	40	10	right	right	1	31	15.331	2022
2	10	1054.612830765579	4	40	10	right	right	1	24	15.161	1583
2	11	296.586576473548	4	40	10	left	right	0	54	15.113	3573
2	12	769.3611801212679	4	40	10	left	left	1	36	15.464	2328
2	13	1843.6029796181301	4	40	10	right	right	1	30	15.568	1927
2	14	394.12235095572663	4	40	10	left	left	1	38	15.316	2481
2	15	747.1050332568484	4	40	10	right	right	1	17	15.843	1073
2	16	1142.323996737701	4	40	10	right	right	1	18	15.464	1164
2	17	526.2255636183764	4	40	10	left	left	1	21	15.184	1383
2	18	610.0766164004376	4	40	10	left	right	0	47	15.425	3047
2	19	597.7952665107304	4	40	10	left	right	0	35	15.184	2305
2	20	1428.3628301218616	4	40	10	right	right	1	27	15.203	1776
2	21	646.3252201784072	4	40	10	right	right	1	30	15.464	1940
2	22	814.2028826844914	4	40	10	left	left	1	21	15.317	1371
2	23	1224.0107101139076	4	40	10	left	left	1	33	15.559	2121
2	24	492.40874394131845	4	40	10	left	right	0	38	15.555	2443
2	25	357.4059676725634	4	40	10	right	right	1	19	15.485	1227
2	26	966.199264108512	4	40	10	left	left	1	23	15.385	1495
2	27	635.0609086548718	4	40	10	right	right	1	17	15.302	1111
2	28	206.2527996149306	4	40	10	left	right	0	24	15.199	1579
2	29	439.7254463829449	4	40	10	left	left	1	29	15.191	1909
2	30	628.8457647063125	4	40	10	right	right	1	34	15.371	2212
2	31	1582.9992845586455	4	40	10	left	left	1	48	15.34	3129
2	32	533.9994935760419	4	40	10	right	right	1	40	15.221	2628
2	33	781.9284995834394	4	40	10	left	left	1	25	15.605	1602
2	34	240.58654088325287	4	40	10	right	right	1	29	15.36	1888
2	35	510.00193992378513	4	40	10	left	right	0	25	15.625	1600
2	36	988.9585151287921	4	40	10	left	left	1	21	15.195	1382
2	37	669.7386741597008	4	40	10	right	right	1	23	15.395	1494
2	38	482.07251861404734	4	40	10	left	left	1	20	15.576	1284
2	39	287.7859269774424	4	40	10	left	right	0	26	15.169	1714
2	40	250.1527343720336	4	40	10	right	right	1	17	15.918	1068
3	1	2096.3790888271255	4	40	10	right	right	1	12	15.484	775
3	2	734.0816234216273	4	40	10	left	right	0	33	15.413	2141
3	3	751.9188767864075	4	40	10	left	left	1	10	15.456	647
3	4	512.2975124172987	4	40	10	right	right	1	31	15.233	2035
3	5	1188.717034241086	4	40	10	left	left	1	22	15.681	1403
3	6	3286.529481489653	4	40	10	right	right	1	12	15.645	767
3	7	819.0564397766772	4	40	10	left	right	0	11	15.67	702
3	8	1198.5496436232143	4	40	10	left	right	0	14	16.018	874
3	9	202.52784446498475	4	40	10	right	right	1	20	15.504	1290
3	10	1839.4284517769872	4	40	10	left	left	1	32	15.519	2062
3	11	1501.7568320216565	4	40	10	right	right	1	14	15.453	906
3	12	450.34883320075187	4	40	10	left	left	1	31	15.309	2025
3	13	606.8299673188391	4	40	10	left	right	0	29	15.55	1865
3	14	2420.388285828749	4	40	10	left	right	0	23	15.7	1465
3	15	564.2592753525578	4	40	10	right	right	1	16	15.282	1047
3	16	429.7803789220574	4	40	10	left	right	0	20	15.588	1283
3	17	264.62810371798867	4	40	10	right	right	1	29	15.263	1900
3	18	1560.3328978437135	4	40	10	right	right	1	23	15.385	1495
3	19	265.97577866100283	4	40	10	left	left	1	16	15.564	1028
3	20	646.9084658199442	4	40	10	right	right	1	15	15.991	938
3	21	584.5614930799607	4	40	10	left	right	0	17	15.726	1081
