
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	911.6754679253052	4	40	10	left	left	1	101	15.016	6726
1	2	379.26189415439814	4	40	10	right	right	1	47	14.925	3149
1	3	714.7379006457827	4	40	10	right	right	1	29	15.263	1900
1	4	767.6892451480498	4	40	10	left	left	1	30	14.985	2002
1	5	635.4901876485627	4	40	10	left	left	1	59	15.063	3917
1	6	555.3042175463348	4	40	10	right	right	1	31	15.226	2036
1	7	878.51817802071	4	40	10	left	left	1	22	15.537	1416
1	8	605.5887224909973	4	40	10	left	left	1	19	14.984	1268
1	9	334.34210111502813	4	40	10	left	left	1	64	15.101	4238
1	10	449.5788394549277	4	40	10	left	left	1	20	15.186	1317
1	11	1126.027467915068	4	40	10	right	right	1	59	15.132	3899
1	12	1459.3337526182077	4	40	10	right	right	1	19	15.286	1243
1	13	1273.6573536117312	4	40	10	left	left	1	23	15.53	1481
1	14	951.2116706927609	4	40	10	right	right	1	16	15.282	1047
1	15	1099.9067560250096	4	40	10	left	left	1	25	14.997	1667
1	16	2460.2147266079405	4	40	10	left	left	1	23	14.974	1536
1	17	921.0548644531699	4	40	10	right	right	1	18	15.241	1181
1	18	833.4678019334957	4	40	10	left	left	1	14	15.625	896
1	19	1612.736434212859	4	40	10	right	right	1	18	14.975	1202
1	20	489.77559885544076	4	40	10	left	left	1	18	15.05	1196
1	21	1721.8190130902606	4	40	10	right	right	1	12	16.021	749
1	22	1447.6704467068587	4	40	10	right	right	1	30	14.993	2001
1	23	521.8151033516203	4	40	10	right	right	1	43	14.931	2880
1	24	240.8777849354427	4	40	10	right	right	1	85	14.978	5675
1	25	357.20354711392076	4	40	10	left	left	1	73	15.067	4845
1	26	359.4544695736254	4	40	10	right	right	1	26	15.285	1701
1	27	320.32667378919393	4	40	10	left	left	1	18	15.164	1187
1	28	2005.1165250189918	4	40	10	right	right	1	23	15.072	1526
1	29	232.57799737435445	4	40	10	right	right	1	18	15.126	1190
1	30	245.25293885267934	4	40	10	left	left	1	12	15.544	772
1	31	733.0409862135449	4	40	10	left	left	1	47	15.181	3096
1	32	290.4909470533302	4	40	10	left	left	1	34	14.971	2271
1	33	353.2967959635333	4	40	10	right	right	1	23	15.395	1494
1	34	434.17101652748715	4	40	10	right	right	1	18	15.776	1141
1	35	224.65299158355447	4	40	10	right	right	1	75	14.952	5016
1	36	920.7487187099267	4	40	10	left	left	1	15	15.593	962
1	37	201.38607550714494	4	40	10	left	left	1	37	15.264	2424
1	38	305.49545315785616	4	40	10	left	left	1	101	14.95	6756
1	39	592.7232929665992	4	40	10	right	right	1	25	15.124	1653
1	40	2031.0603433126755	4	40	10	right	right	1	14	15.152	924
2	1	418.24655255183745	4	40	10	right	right	1	18	14.975	1202
2	2	2806.8872270679917	4	40	10	right	right	1	18	15.241	1181
2	3	844.8341740886717	4	40	10	right	right	1	18	15.721	1145
2	4	770.5650019453531	4	40	10	right	right	1	29	15.191	1909
2	5	405.50168655777026	4	40	10	left	left	1	44	14.93	2947
2	6	866.6249629098974	4	40	10	right	right	1	16	15.253	1049
2	7	245.0064210613108	4	40	10	right	right	1	32	15.311	2090
2	8	485.5443300901815	4	40	10	right	right	1	29	15.215	1906
2	9	750.8910513968304	4	40	10	left	left	1	14	14.973	935
2	10	2668.383157085116	4	40	10	left	left	1	12	15.979	751
2	11	324.2969468855372	4	40	10	right	right	1	55	15.164	3627
2	12	600.945984193389	4	40	10	left	left	1	12	15.789	760
2	13	1620.7925886641665	4	40	10	left	left	1	25	15.366	1627
2	14	239.867418607511	4	40	10	right	right	1	33	14.993	2201
2	15	1441.9488438095784	4	40	10	right	right	1	25	15.366	1627
2	16	656.2734769739761	4	40	10	left	left	1	19	15.651	1214
2	17	346.73211729215217	4	40	10	left	left	1	14	15.748	889
2	18	266.70886866646725	4	40	10	left	left	1	11	16.272	676
2	19	430.34327339130795	4	40	10	left	left	1	21	15.262	1376
2	20	918.2706481169744	4	40	10	right	left	0	12	15.248	787
2	21	324.7103473197788	4	40	10	right	right	1	20	15.314	1306
2	22	387.62814877912547	4	40	10	right	left	0	21	15.206	1381
2	23	242.35025715051802	4	40	10	left	right	0	67	15.043	4454
2	24	263.6208375406908	4	40	10	left	left	1	98	15.005	6531
2	25	552.1949005455015	4	40	10	left	right	0	119	15.039	7913
2	26	1019.2736558581845	4	40	10	right	left	0	20	14.948	1338
2	27	1741.2950758814654	4	40	10	right	right	1	33	15.271	2161
2	28	1305.3548723027002	4	40	10	left	left	1	51	15.089	3380
2	29	285.3776836213355	4	40	10	right	right	1	129	15.009	8595
2	30	241.14942934092068	4	40	10	left	left	1	50	15.042	3324
2	31	247.32384857042362	4	40	10	left	left	1	51	15.183	3359
2	32	424.82421426572535	4	40	10	right	right	1	51	15.201	3355
2	33	1868.5476885893004	4	40	10	left	left	1	77	14.917	5162
2	34	511.08895303201575	4	40	10	left	left	1	71	15.001	4733
2	35	304.571130837452	4	40	10	right	right	1	29	15.385	1885
2	36	519.1214508939296	4	40	10	left	left	1	20	14.959	1337
2	37	749.0709459377772	4	40	10	left	right	0	17	15.315	1110
