
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	854.967262013793	4	40	10	right	right	1	44	15.193	2896
1	2	640.9232955929642	4	40	10	left	left	1	17	15.525	1095
1	3	259.3964660472159	4	40	10	left	right	0	14	15.964	877
1	4	237.88424553395834	4	40	10	right	left	0	48	15.171	3164
1	5	442.12882821292624	4	40	10	left	right	0	49	15.399	3182
1	6	1356.935068728187	4	40	10	right	right	1	24	15.248	1574
1	7	318.7351162831627	4	40	10	left	left	1	85	15.324	5547
1	8	651.5642200644156	4	40	10	right	right	1	26	15.285	1701
1	9	1055.5499763981184	4	40	10	left	right	0	52	15.165	3429
1	10	418.01413506755495	4	40	10	left	left	1	18	15.254	1180
1	11	843.5027741923013	4	40	10	right	left	0	55	15.265	3603
1	12	587.0627298863334	4	40	10	right	left	0	51	15.403	3311
1	13	913.301195553734	4	40	10	right	right	1	78	15.282	5104
1	14	658.1535590590051	4	40	10	left	left	1	42	15.201	2763
1	15	1697.3392894080941	4	40	10	right	right	1	31	15.159	2045
1	16	768.8900925999018	4	40	10	left	left	1	50	15.184	3293
1	17	2581.8626824047587	4	40	10	left	left	1	22	15.204	1447
1	18	476.9769947100238	4	40	10	right	right	1	29	15.223	1905
1	19	217.99626630637255	4	40	10	left	left	1	17	15.741	1080
1	20	2065.352114552421	4	40	10	right	right	1	24	15.514	1547
1	21	412.7477294289936	4	40	10	right	left	0	46	15.338	2999
1	22	292.9938581954646	4	40	10	right	right	1	30	15.601	1923
1	23	546.9224105159335	4	40	10	left	left	1	14	15.521	902
1	24	541.2470241777412	4	40	10	right	right	1	42	15.51	2708
1	25	244.96684279405414	4	40	10	right	right	1	21	15.228	1379
1	26	390.8366697668855	4	40	10	right	right	1	41	15.443	2655
1	27	574.139785830579	4	40	10	left	left	1	23	15.604	1474
1	28	258.1465255539666	4	40	10	right	right	1	20	15.662	1277
1	29	629.7957127872802	4	40	10	left	left	1	14	15.436	907
1	30	335.1519315968501	4	40	10	left	left	1	14	15.59	898
1	31	719.7741891927199	4	40	10	left	left	1	17	15.741	1080
1	32	1680.6102222803956	4	40	10	right	right	1	51	15.325	3328
1	33	501.0545978962744	4	40	10	left	left	1	15	15.182	988
1	34	1770.9827818247695	4	40	10	left	left	1	14	15.748	889
1	35	206.89118715367343	4	40	10	left	left	1	9	15.385	585
1	36	603.3375167578722	4	40	10	left	left	1	17	15.357	1107
1	37	398.7573387498714	4	40	10	left	left	1	9	16.071	560
1	38	545.2096530625529	4	40	10	right	right	1	13	16.089	808
1	39	617.6057246447454	4	40	10	right	right	1	24	15.345	1564
1	40	951.4122582134678	4	40	10	right	right	1	30	15.658	1916
2	1	1885.0172167915414	4	40	10	right	right	1	12	15.504	774
2	2	1130.6409031116746	4	40	10	right	right	1	14	15.538	901
2	3	316.6277161515337	4	40	10	left	left	1	10	16.155	619
2	4	450.04294782875604	4	40	10	right	right	1	10	16.694	599
2	5	1651.6460593534287	4	40	10	right	right	1	16	15.936	1004
2	6	525.6208209374136	4	40	10	left	left	1	17	16.053	1059
2	7	925.9287401996341	4	40	10	left	right	0	10	15.175	659
2	8	372.59110994806576	4	40	10	left	left	1	21	15.73	1335
2	9	1192.9661035260956	4	40	10	left	left	1	17	15.26	1114
2	10	499.1393331489591	4	40	10	right	right	1	13	15.854	820
2	11	397.077587499535	4	40	10	left	left	1	11	15.759	698
