
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	605.7640764247724	4	40	10	left	left	1	17	15.26	1114
1	2	551.8458905245222	4	40	10	right	left	0	11	16.345	673
1	3	914.8898432258303	4	40	10	left	left	1	3	18.868	159
1	4	389.7882904118182	4	40	10	left	left	1	2	22.727	88
1	5	1783.6988010322993	4	40	10	left	left	1	2	27.397	73
1	6	810.0353563018043	4	40	10	right	left	0	2	23.529	85
1	7	639.5506786465614	4	40	10	left	left	1	5	16.129	310
1	8	346.7380402650814	4	40	10	left	left	1	2	20.202	99
1	9	2451.5878013264105	4	40	10	right	left	0	2	15.504	129
1	10	1356.3032650082314	4	40	10	right	left	0	6	16.129	372
1	11	496.3034282555751	4	40	10	left	left	1	1	125	8
1	12	474.6407971144625	4	40	10	right	left	0	4	15.152	264
1	13	568.733325947622	4	40	10	left	left	1	1	19.231	52
1	14	467.3064144798703	4	40	10	right	left	0	3	16.575	181
1	15	855.2956246041268	4	40	10	left	left	1	2	16.26	123
1	16	1349.8037900136162	4	40	10	right	left	0	5	16.556	302
1	17	3727.9602544732206	4	40	10	right	left	0	3	19.481	154
1	18	319.5227518548696	4	40	10	right	left	0	10	15.898	629
1	19	676.5367373822814	4	40	10	right	left	0	1	76.923	13
1	20	449.9071581831762	4	40	10	left	left	1	1	15.385	65
1	21	905.8898815037429	4	40	10	left	left	1	2	17.857	112
1	22	2106.0308896164142	4	40	10	left	left	1	7	15.021	466
1	23	980.5801078772304	4	40	10	right	left	0	5	15.528	322
1	24	606.1309415484723	4	40	10	left	left	1	1	35.714	28
1	25	1347.332239033952	4	40	10	right	left	0	2	19.048	105
1	26	2151.851495206986	4	40	10	right	left	0	6	14.925	402
1	27	514.6972877004264	4	40	10	left	left	1	4	19.704	203
1	28	328.22791204695227	4	40	10	left	left	1	9	16.544	544
1	29	4322.862021895371	4	40	10	right	left	0	2	23.256	86
1	30	232.30250934303834	4	40	10	right	left	0	3	21.277	141
1	31	535.3304617292754	4	40	10	left	left	1	27	15.126	1785
1	32	231.6197482389947	4	40	10	left	left	1	3	16.129	186
1	33	944.5972673595833	4	40	10	right	left	0	3	19.868	151
1	34	350.3859627296739	4	40	10	right	left	0	2	18.349	109
1	35	572.4412849005528	4	40	10	left	left	1	3	18.405	163
1	36	1787.3400828244196	4	40	10	left	left	1	3	18.519	162
1	37	454.49513527744887	4	40	10	right	left	0	5	17.794	281
1	38	226.26065140167233	4	40	10	left	left	1	5	15.974	313
1	39	1218.1894755291123	4	40	10	right	left	0	2	20.202	99
1	40	289.9047364529889	4	40	10	right	left	0	5	15.924	314
2	1	714.3060086745726	4	40	10	right	left	0	6	17.094	351
2	2	1071.4275689070869	4	40	10	left	left	1	1	66.667	15
2	3	881.3195418650631	4	40	10	right	left	0	3	21.898	137
2	4	1998.0065775559872	4	40	10	left	left	1	3	16.043	187
2	5	1542.4006240700546	4	40	10	left	left	1	2	15.625	128
2	6	588.5259309718613	4	40	10	left	left	1	2	28.571	70
2	7	2045.898665534738	4	40	10	right	left	0	1	21.277	47
2	8	704.5089963771078	4	40	10	left	left	1	3	18.405	163
2	9	485.7919529647379	4	40	10	left	left	1	7	16.667	420
2	10	636.9376272096736	4	40	10	left	left	1	3	22.059	136
2	11	450.1399445723196	4	40	10	left	left	1	4	18.433	217
2	12	449.0627714931055	4	40	10	left	left	1	1	333.333	3
2	13	234.93334575421164	4	40	10	right	left	0	2	27.397	73
2	14	295.14594687088953	4	40	10	left	left	1	1	16.667	60
2	15	302.3720721143789	4	40	10	right	left	0	3	18.072	166
2	16	1683.2616911567172	4	40	10	right	left	0	4	16.26	246
2	17	329.8673912623691	4	40	10	right	left	0	4	17.094	234
2	18	643.5460033350096	4	40	10	right	left	0	9	16.575	543
2	19	2045.6984612361737	4	40	10	right	left	0	3	20.27	148
2	20	361.1805309211046	4	40	10	right	left	0	35	15.034	2328
2	21	615.3366523510492	4	40	10	left	left	1	4	16.461	243
2	22	993.656514735972	4	40	10	right	left	0	4	17.467	229
2	23	1775.6197597448859	4	40	10	left	left	1	5	18.116	276
2	24	393.83222657932845	4	40	10	right	left	0	11	16.176	680
2	25	351.61723502916925	4	40	10	left	left	1	7	14.768	474
2	26	2666.0499767634246	4	40	10	left	left	1	2	18.018	111
2	27	549.206297940907	4	40	10	left	left	1	9	15.625	576
2	28	1494.8261392914699	4	40	10	right	left	0	10	15.773	634
2	29	1376.4741799143894	4	40	10	right	left	0	28	15.046	1861
2	30	747.161227246965	4	40	10	left	left	1	1	71.429	14
2	31	577.035894001549	4	40	10	right	left	0	17	15.829	1074
2	32	448.0718172054482	4	40	10	right	left	0	4	19.324	207
2	33	214.8793005847422	4	40	10	left	left	1	58	15.026	3860
2	34	3856.0424330171536	4	40	10	right	left	0	3	15.544	193
2	35	420.6661683812617	4	40	10	left	left	1	2	21.505	93
2	36	1317.9582052874516	4	40	10	right	left	0	3	20.134	149
2	37	492.75815221956395	4	40	10	right	left	0	3	21.429	140
2	38	241.2410389842632	4	40	10	left	left	1	7	15.625	448
2	39	274.4156330438429	4	40	10	right	left	0	13	14.977	868
2	40	424.36178577837336	4	40	10	left	left	1	4	15.385	260
3	1	393.20506077302923	4	40	10	right	left	0	13	15.532	837
3	2	777.7450441195554	4	40	10	left	left	1	2	16.26	123
3	3	367.1807848576192	4	40	10	left	left	1	2	21.277	94
3	4	1893.4604138949026	4	40	10	left	left	1	6	16.438	365
3	5	782.792891406014	4	40	10	left	left	1	12	14.944	803
3	6	678.4203434228936	4	40	10	right	left	0	6	15.152	396
3	7	299.9312197919113	4	40	10	left	left	1	6	17.804	337
