
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	361.35012906862676	4	40	10	left	left	1	37	15.359	2409
1	2	589.9178701939413	4	40	10	left	right	0	17	16.068	1058
1	3	1180.8342035756682	4	40	10	left	left	1	20	15.291	1308
1	4	474.69414213472	4	40	10	left	left	1	21	14.82	1417
1	5	277.2449143289972	4	40	10	left	left	1	13	15.205	855
1	6	1751.5642386671166	4	40	10	right	left	0	10	15.873	630
1	7	440.924290380902	4	40	10	right	right	1	6	16.997	353
1	8	268.008972340199	4	40	10	left	left	1	14	15.317	914
1	9	230.49132968853885	4	40	10	right	right	1	19	15.298	1242
1	10	524.5221794392854	4	40	10	left	left	1	8	17.058	469
1	11	452.4035030020583	4	40	10	right	right	1	7	16.355	428
1	12	616.0601656140201	4	40	10	right	right	1	8	16.949	472
1	13	306.0240595607015	4	40	10	right	left	0	6	16.393	366
1	14	422.53805547486485	4	40	10	left	left	1	1	20.833	48
1	15	634.4391777330297	4	40	10	left	right	0	12	15.524	773
1	16	368.9301621042597	4	40	10	left	left	1	6	15.957	376
1	17	1602.0291464927463	4	40	10	left	left	1	8	16.194	494
1	18	560.1652119830792	4	40	10	left	right	0	5	15.674	319
1	19	233.37033900861684	4	40	10	left	left	1	13	15.644	831
1	20	521.2104355704723	4	40	10	right	right	1	19	15.152	1254
1	21	1490.04238857651	4	40	10	right	left	0	5	17.606	284
1	22	1411.2541753913395	4	40	10	left	right	0	5	18.116	276
1	23	1190.2347815328349	4	40	10	right	right	1	5	15.625	320
1	24	994.0520155169614	4	40	10	right	right	1	6	16.438	365
1	25	1440.8763954102712	4	40	10	right	left	0	4	19.417	206
1	26	1242.6612545324413	4	40	10	left	left	1	9	16.605	542
1	27	951.4670731395335	4	40	10	right	right	1	29	15.303	1895
1	28	2019.0607164867229	4	40	10	right	left	0	9	15.306	588
1	29	213.7159953377071	4	40	10	right	left	0	24	15.625	1536
1	30	1272.0387645521973	4	40	10	right	right	1	14	15.891	881
1	31	1846.1151737499797	4	40	10	right	left	0	8	16.913	473
1	32	1864.655653793689	4	40	10	right	right	1	6	17.91	335
1	33	568.1208448985435	4	40	10	right	left	0	9	15.411	584
1	34	303.21204226902296	4	40	10	left	left	1	13	15.495	839
1	35	1245.2664089341538	4	40	10	right	right	1	8	15.564	514
1	36	530.8609336821071	4	40	10	left	right	0	8	16.293	491
