
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	753.5386053027793	4	40	10	left	right	0	116	15.155	7654
1	2	620.6258302889603	4	40	10	right	left	0	23	15.212	1512
1	3	1353.8793464075056	4	40	10	right	left	0	120	15.261	7863
1	4	547.4587752791596	4	40	10	left	left	1	196	15.16	12929
1	5	563.858216742605	4	40	10	left	left	1	193	15.208	12691
1	6	1539.8836349077467	4	40	10	right	right	1	51	15.251	3344
1	7	511.15975208528926	4	40	10	left	right	0	76	15.279	4974
1	8	587.0887278166583	4	40	10	left	right	0	45	15.448	2913
1	9	211.46578240304822	4	40	10	right	right	1	96	12.814	7492
1	10	368.78092041898077	4	40	10	right	right	1	131	15.159	8642
1	11	1501.92728412968	4	40	10	right	right	1	42	15.368	2733
1	12	208.87252757507986	4	40	10	right	left	0	16	15.64	1023
1	13	316.52823767346956	4	40	10	right	right	1	16	16.113	993
1	14	892.1466287998707	4	40	10	left	right	0	17	15.179	1120
1	15	1960.9782626644703	4	40	10	left	left	1	20	15.408	1298
1	16	1078.6804804680949	4	40	10	left	left	1	44	15.204	2894
1	17	783.224824011759	4	40	10	right	right	1	15	16.026	936
1	18	1787.376973165449	4	40	10	right	right	1	17	15.755	1079
1	19	473.0955187732022	4	40	10	right	right	1	13	16.352	795
1	20	1916.1407120254707	4	40	10	left	right	0	12	15.686	765
1	21	843.7012144836679	4	40	10	left	left	1	27	15.22	1774
1	22	1125.7124326984203	4	40	10	left	right	0	15	15.322	979
1	23	376.96462374408657	4	40	10	left	left	1	31	15.204	2039
1	24	1605.2730847788864	4	40	10	right	right	1	24	15.316	1567
1	25	454.1742788858313	4	40	10	right	right	1	18	15.152	1188
1	26	223.67815931560537	4	40	10	left	left	1	89	15.245	5838
1	27	356.81650105138965	4	40	10	left	left	1	29	15.336	1891
1	28	1156.1325525478696	4	40	10	right	right	1	74	15.258	4850
1	29	1988.1911580069825	4	40	10	right	right	1	69	15.165	4550
1	30	883.1737246206058	4	40	10	left	left	1	105	15.255	6883
1	31	893.1327709816319	4	40	10	left	left	1	44	15.358	2865
1	32	882.1744607120887	4	40	10	right	right	1	33	15.145	2179
1	33	2303.545140678578	4	40	10	left	left	1	23	15.732	1462
1	34	343.92011361569814	4	40	10	left	left	1	107	15.231	7025
1	35	890.7640630756133	4	40	10	right	right	1	22	15.235	1444
1	36	4379.9245829578385	4	40	10	right	right	1	46	15.182	3030
1	37	1050.7307919567588	4	40	10	left	left	1	21	15.602	1346
1	38	666.6952971060864	4	40	10	right	right	1	21	15.742	1334
1	39	944.1001676971118	4	40	10	left	left	1	38	15.249	2492
1	40	519.1607908701179	4	40	10	right	right	1	20	15.81	1265
2	1	308.44904269631377	4	40	10	left	left	1	22	15.352	1433
2	2	369.54063840429103	4	40	10	right	right	1	38	15.335	2478
2	3	1905.0623669743386	4	40	10	right	right	1	15	15.464	970
2	4	334.6910529955612	4	40	10	left	left	1	18	15.803	1139
2	5	476.4522658916828	4	40	10	left	left	1	24	15.287	1570
2	6	2091.248341500534	4	40	10	right	right	1	18	15.358	1172
2	7	351.4247563528586	4	40	10	left	left	1	21	15.441	1360
2	8	1037.824002527626	4	40	10	left	left	1	14	16.11	869
2	9	2178.9006461216495	4	40	10	left	left	1	24	15.424	1556
2	10	2450.7354375654613	4	40	10	right	right	1	16	15.61	1025
2	11	391.7001577825734	4	40	10	right	right	1	21	15.613	1345
2	12	1434.8681953903153	4	40	10	right	right	1	15	15.306	980
2	13	369.0953548120074	4	40	10	right	right	1	22	15.793	1393
2	14	301.2301054689482	4	40	10	left	left	1	16	15.779	1014
2	15	553.3755241660094	4	40	10	left	left	1	14	16.037	873
2	16	397.2469964151758	4	40	10	right	right	1	24	15.444	1554
2	17	1208.9108514821398	4	40	10	left	left	1	12	15.748	762
2	18	537.0809633356073	4	40	10	left	left	1	23	15.509	1483
2	19	2769.5243974220325	4	40	10	right	right	1	24	15.514	1547
2	20	360.6455464681199	4	40	10	right	right	1	14	15.556	900
2	21	411.95651764792717	4	40	10	left	left	1	14	15.891	881
2	22	309.16528013068205	4	40	10	left	left	1	10	15.674	638
2	23	577.0900750554351	4	40	10	right	right	1	17	15.568	1092
2	24	1468.853315377997	4	40	10	left	left	1	13	16.129	806
2	25	464.9024577428231	4	40	10	left	left	1	12	15.645	767
2	26	350.9104921235964	4	40	10	right	right	1	10	15.267	655
2	27	985.6867209849619	4	40	10	left	left	1	13	15.222	854
2	28	1939.1139262043139	4	40	10	left	left	1	14	15.251	918
2	29	1895.7223602144654	4	40	10	left	left	1	15	15.369	976
2	30	437.1141764813559	4	40	10	left	left	1	21	15.34	1369
2	31	590.6195006076128	4	40	10	right	right	1	221	15.192	14547
2	32	1509.3392981502122	4	40	10	right	right	1	44	15.283	2879
2	33	454.7133958815299	4	40	10	right	right	1	20	15.163	1319
2	34	647.8497148988606	4	40	10	right	right	1	24	15.686	1530
2	35	965.1617785247709	4	40	10	right	right	1	19	15.447	1230
2	36	249.3080491686151	4	40	10	left	left	1	94	15.257	6161
2	37	2270.092675214439	4	40	10	right	right	1	23	15.53	1481
2	38	2804.4825702766984	4	40	10	left	right	0	49	15.17	3230
2	39	431.4068383996148	4	40	10	right	right	1	22	15.299	1438
2	40	241.58108202653767	4	40	10	right	right	1	18	15.437	1166
3	1	1921.7079958408954	4	40	10	right	right	1	18	15.319	1175
