
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	237.25621885464648	4	40	10	right	right	1	125	15.194	8227
1	2	1863.5317428694216	4	40	10	left	left	1	22	15.152	1452
1	3	682.639508908232	4	40	10	right	right	1	19	15.152	1254
1	4	1110.3809144686231	4	40	10	left	right	0	16	15.733	1017
1	5	497.3343708676206	4	40	10	left	left	1	19	15.873	1197
1	6	438.2971731548531	4	40	10	right	left	0	35	15.514	2256
1	7	405.0842804461513	4	40	10	right	right	1	20	15.373	1301
1	8	297.1556500130858	4	40	10	right	left	0	26	15.366	1692
1	9	549.3876701458935	4	40	10	right	right	1	21	15.419	1362
1	10	396.8629123799652	4	40	10	right	left	0	13	15.625	832
1	11	1269.6647890147601	4	40	10	right	right	1	27	15.58	1733
1	12	1056.0464994791637	4	40	10	left	right	0	44	15.315	2873
1	13	391.7755663670149	4	40	10	left	right	0	18	15.345	1173
1	14	481.3824433309728	4	40	10	left	left	1	21	15.228	1379
1	15	758.4686958142591	4	40	10	left	left	1	15	15.167	989
1	16	1061.8138984220172	4	40	10	right	right	1	21	15.66	1341
1	17	468.16025803325283	4	40	10	left	left	1	15	16.043	935
1	18	465.78379544916663	4	40	10	left	left	1	24	15.287	1570
1	19	1830.9983378527413	4	40	10	right	right	1	18	15.424	1167
1	20	734.3283795618871	4	40	10	right	right	1	19	15.913	1194
1	21	234.48952772452117	4	40	10	left	left	1	67	15.283	4384
1	22	809.9766444896798	4	40	10	left	right	0	19	15.472	1228
1	23	700.1926697068817	4	40	10	left	right	0	30	15.641	1918
1	24	1085.9820663076885	4	40	10	right	left	0	12	16.393	732
1	25	1285.570128568388	4	40	10	right	right	1	25	15.347	1629
1	26	796.9498325753758	4	40	10	left	right	0	47	15.21	3090
1	27	1991.3203643805123	4	40	10	left	left	1	24	15.697	1529
1	28	1877.9397851612973	4	40	10	right	right	1	35	15.385	2275
1	29	1725.9655071167851	4	40	10	right	right	1	19	15.536	1223
1	30	2731.12273065811	4	40	10	right	right	1	51	15.366	3319
1	31	272.68886661176225	4	40	10	left	left	1	25	15.394	1624
1	32	717.2545605754439	4	40	10	left	left	1	24	15.385	1560
1	33	200.07553711336848	4	40	10	left	right	0	18	15.721	1145
1	34	1149.5998991450701	4	40	10	left	right	0	30	15.504	1935
1	35	211.24056372571232	4	40	10	right	right	1	16	15.429	1037
1	36	1652.872984956167	4	40	10	left	left	1	13	15.892	818
1	37	674.1277125672257	4	40	10	right	right	1	15	15.609	961
1	38	306.83192796777206	4	40	10	right	right	1	22	15.288	1439
1	39	474.1510864320919	4	40	10	left	left	1	15	15.957	940
1	40	1156.4966762543668	4	40	10	right	right	1	22	15.647	1406
2	1	873.8599508581165	4	40	10	right	left	0	18	15.164	1187
2	2	381.23096514967347	4	40	10	right	right	1	31	15.316	2024
2	3	2295.879357414761	4	40	10	left	left	1	25	15.432	1620
2	4	626.9507374213765	4	40	10	right	right	1	19	15.485	1227
2	5	1051.8444656282886	4	40	10	left	left	1	22	15.737	1398
2	6	2091.745714032434	4	40	10	right	right	1	15	15.56	964
2	7	529.5806385419719	4	40	10	left	left	1	30	15.593	1924
2	8	3128.207785515153	4	40	10	left	left	1	16	15.968	1002
2	9	596.5389896745352	4	40	10	left	right	0	34	15.253	2229
2	10	837.7495377461053	4	40	10	left	left	1	25	15.635	1599
2	11	574.192104981178	4	40	10	left	left	1	29	15.483	1873
2	12	2255.396684119366	4	40	10	left	right	0	18	15.639	1151
2	13	319.72834237298696	4	40	10	right	right	1	18	15.216	1183
2	14	1502.9237745181333	4	40	10	left	right	0	19	15.638	1215
2	15	676.2328240524657	4	40	10	left	left	1	26	15.653	1661
2	16	1283.0983875662935	4	40	10	left	left	1	34	15.371	2212
2	17	1451.891858013274	4	40	10	left	left	1	31	15.516	1998
2	18	1646.5283640636762	4	40	10	right	right	1	27	15.306	1764
2	19	751.570273485856	4	40	10	right	right	1	65	15.251	4262
2	20	1058.804243171277	4	40	10	left	right	0	18	15.203	1184
2	21	620.8140608687968	4	40	10	right	left	0	27	15.508	1741
2	22	287.34698527802175	4	40	10	left	left	1	23	15.303	1503
2	23	1294.5044626808271	4	40	10	right	left	0	31	15.263	2031
2	24	714.5593942798839	4	40	10	right	right	1	26	15.187	1712
2	25	505.9551048092255	4	40	10	right	right	1	16	16	1000
2	26	3843.29425633425	4	40	10	left	left	1	26	15.748	1651
2	27	2796.100498633814	4	40	10	right	right	1	17	15.385	1105
2	28	479.0444825538815	4	40	10	right	left	0	17	15.582	1091
2	29	1539.3350585480073	4	40	10	left	left	1	18	15.254	1180
2	30	575.71696441873	4	40	10	left	right	0	46	15.426	2982
2	31	368.6626800841318	4	40	10	left	left	1	24	15.666	1532
2	32	1178.2295521093652	4	40	10	right	right	1	28	15.453	1812
2	33	826.8044544362247	4	40	10	right	right	1	22	15.31	1437
2	34	385.83403836992693	4	40	10	left	left	1	19	15.715	1209
2	35	2397.1956192095836	4	40	10	left	right	0	19	15.702	1210
2	36	916.2230634904705	4	40	10	right	left	0	40	15.45	2589
2	37	1032.977592890248	4	40	10	right	right	1	17	15.873	1071
2	38	2635.89589261274	4	40	10	right	left	0	14	15.217	920
2	39	424.1679183547734	4	40	10	right	right	1	29	15.303	1895
2	40	1338.8878730288266	4	40	10	right	right	1	41	15.259	2687
3	1	299.56344779415394	4	40	10	left	right	0	21	15.498	1355
3	2	242.61041355947336	4	40	10	left	left	1	18	15.544	1158
3	3	376.58257762248803	4	40	10	right	right	1	15	16.06	934
3	4	903.3876780855929	4	40	10	right	right	1	17	15.554	1093
3	5	658.1953904414277	4	40	10	right	left	0	23	15.488	1485
3	6	1035.9954367378632	4	40	10	right	right	1	57	15.397	3702
3	7	289.53240720661955	4	40	10	left	left	1	22	15.278	1440
3	8	511.35360427612	4	40	10	left	right	0	30	15.283	1963
3	9	2188.3664020846754	4	40	10	right	right	1	23	15.593	1475
3	10	596.5310598815686	4	40	10	left	left	1	28	15.642	1790
3	11	1455.3278512809432	4	40	10	left	left	1	30	15.576	1926
3	12	367.14576725081326	4	40	10	left	right	0	24	15.152	1584
3	13	822.175550602194	4	40	10	right	left	0	35	15.48	2261
3	14	1410.541116966238	4	40	10	right	right	1	19	15.41	1233
3	15	1812.9526019575553	4	40	10	left	left	1	27	15.35	1759
3	16	734.1914617748857	4	40	10	left	left	1	23	15.53	1481
3	17	905.5153186934493	4	40	10	right	left	0	32	15.296	2092
3	18	1596.5668512850161	4	40	10	left	left	1	33	15.278	2160
3	19	214.79586770856338	4	40	10	left	left	1	38	15.523	2448
3	20	374.6958591696821	4	40	10	right	right	1	26	15.258	1704
3	21	910.2120280985048	4	40	10	left	left	1	18	15.319	1175
3	22	513.9722398434822	4	40	10	right	right	1	17	15.357	1107
3	23	344.86188397918596	4	40	10	left	left	1	19	15.422	1232
3	24	741.7637539220264	4	40	10	right	right	1	17	15.539	1094
3	25	424.23345469407855	4	40	10	right	left	0	21	15.707	1337
3	26	452.9190371669323	4	40	10	right	left	0	27	15.526	1739
3	27	1601.4627475033885	4	40	10	right	left	0	16	15.238	1050
3	28	704.1990549562329	4	40	10	left	left	1	24	15.424	1556
3	29	549.2681380995016	4	40	10	right	right	1	19	15.702	1210
3	30	268.0102664589457	4	40	10	left	right	0	39	15.27	2554
3	31	276.89019869862017	4	40	10	left	right	0	36	15.477	2326
3	32	551.7420659832637	4	40	10	right	left	0	19	15.385	1235
3	33	474.3694939533606	4	40	10	right	left	0	28	15.478	1809
3	34	2030.9517365492302	4	40	10	right	right	1	26	15.578	1669
3	35	1608.1214045053227	4	40	10	left	right	0	25	15.328	1631
3	36	345.95251162103267	4	40	10	right	right	1	26	15.522	1675
3	37	209.8132944439463	4	40	10	right	right	1	32	15.333	2087
3	38	1459.206682493784	4	40	10	left	left	1	16	15.873	1008
3	39	1155.6740861573826	4	40	10	left	left	1	19	15.651	1214
3	40	217.8116599402682	4	40	10	left	left	1	17	15.469	1099
4	1	461.3948330633542	4	40	10	right	left	0	23	15.385	1495
4	2	265.3346053509952	4	40	10	left	right	0	23	15.262	1507
4	3	548.1237330561521	4	40	10	right	left	0	35	15.244	2296
4	4	517.0884443556645	4	40	10	left	right	0	31	15.454	2006
4	5	1163.3975536905173	4	40	10	left	left	1	23	15.668	1468
4	6	401.04302378156206	4	40	10	left	right	0	24	15.267	1572
4	7	340.54036736651915	4	40	10	left	right	0	29	15.36	1888
4	8	578.2696053754062	4	40	10	left	right	0	28	15.201	1842
4	9	1548.2285253557948	4	40	10	left	left	1	35	15.171	2307
4	10	4182.935140817004	4	40	10	left	right	0	32	15.274	2095
4	11	530.9913438000816	4	40	10	left	left	1	36	15.196	2369
4	12	3754.180003559784	4	40	10	right	right	1	42	15.295	2746
4	13	386.8486519112998	4	40	10	left	left	1	61	15.369	3969
4	14	715.5291613960492	4	40	10	left	left	1	45	15.223	2956
4	15	376.68418199862225	4	40	10	right	right	1	43	15.407	2791
4	16	640.7930226458906	4	40	10	right	right	1	27	15.526	1739
4	17	443.9129860099518	4	40	10	right	right	1	19	15.651	1214
4	18	364.11644609451844	4	40	10	left	left	1	21	15.602	1346
4	19	359.5163452312174	4	40	10	right	right	1	15	15.609	961
4	20	279.530375549409	4	40	10	right	left	0	21	15.683	1339
