
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	464.54831311346305	4	40	10	right	right	1	296	15.183	19495
1	2	203.30208227635904	4	40	10	right	left	0	43	15.379	2796
1	3	3123.903964482621	4	40	10	left	left	1	95	15.215	6244
1	4	292.6077416398481	4	40	10	left	left	1	30	15.617	1921
1	5	1744.1130072574326	4	40	10	right	left	0	113	15.219	7425
1	6	1980.172318237749	4	40	10	right	left	0	65	15.148	4291
1	7	375.8296789155778	4	40	10	left	left	1	127	15.188	8362
1	8	746.6586424739802	4	40	10	right	left	0	132	15.158	8708
1	9	316.66900744890086	4	40	10	left	left	1	128	15.198	8422
1	10	408.0064899542631	4	40	10	left	left	1	315	15.198	20727
1	11	1069.6268654560213	4	40	10	left	right	0	129	15.223	8474
1	12	341.4941548000787	4	40	10	left	left	1	180	15.194	11847
1	13	235.91172034142474	4	40	10	right	right	1	50	15.161	3298
1	14	252.9507241971289	4	40	10	right	left	0	26	15.43	1685
1	15	1426.4782701522013	4	40	10	right	left	0	101	15.19	6649
1	16	215.8193834932035	4	40	10	right	right	1	172	15.177	11333
1	17	1297.1510828688658	4	40	10	right	left	0	173	15.19	11389
1	18	584.1819604385137	4	40	10	right	left	0	67	15.227	4400
1	19	1637.2926277680472	4	40	10	right	right	1	78	15.312	5094
1	20	2210.1413070077915	4	40	10	right	left	0	44	15.342	2868
1	21	1139.147688438991	4	40	10	left	left	1	36	15.345	2346
1	22	555.8704216853685	4	40	10	left	left	1	29	15.591	1860
1	23	1580.4564554348747	4	40	10	right	left	0	67	15.252	4393
1	24	1247.9880553798203	4	40	10	right	left	0	159	15.237	10435
1	25	914.2205680661962	4	40	10	right	right	1	21	15.217	1380
1	26	828.4215560575261	4	40	10	left	left	1	74	15.239	4856
1	27	610.1180419888994	4	40	10	right	right	1	83	15.319	5418
1	28	1285.4650873545256	4	40	10	left	left	1	45	15.322	2937
1	29	680.2230149702561	4	40	10	right	right	1	57	15.302	3725
1	30	544.6095114158481	4	40	10	left	left	1	99	15.175	6524
1	31	1301.5264990917235	4	40	10	left	left	1	72	15.206	4735
1	32	1895.4421351651074	4	40	10	left	left	1	95	15.293	6212
1	33	1637.9310673269272	4	40	10	right	left	0	158	15.152	10428
1	34	750.0173967535401	4	40	10	left	right	0	124	15.204	8156
1	35	910.0467025654721	4	40	10	left	left	1	149	15.215	9793
1	36	208.2208232354021	4	40	10	left	left	1	54	15.293	3531
1	37	296.37919515844794	4	40	10	left	left	1	28	15.616	1793
