
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	594.8654701334451	4	40	10	left	left	1	46	15.152	3036
1	2	351.3239538378822	4	40	10	right	right	1	25	15.576	1605
1	3	2131.826336188385	4	40	10	right	right	1	31	15.446	2007
1	4	311.32441057470464	4	40	10	left	left	1	14	15.267	917
1	5	960.2370465499274	4	40	10	right	right	1	16	15.873	1008
1	6	321.32540593877377	4	40	10	right	right	1	15	15.89	944
1	7	434.2263877810901	4	40	10	right	right	1	27	15.092	1789
1	8	3174.1073537933275	4	40	10	left	left	1	16	15.137	1057
1	9	809.2943531858635	4	40	10	left	left	1	25	15.198	1645
1	10	529.1981677261433	4	40	10	right	right	1	38	15.378	2471
1	11	1733.5057450439272	4	40	10	left	left	1	22	15.771	1395
1	12	555.5141218349529	4	40	10	left	left	1	21	15.849	1325
1	13	217.4768043232749	4	40	10	right	right	1	18	15.319	1175
1	14	430.3637117968531	4	40	10	right	right	1	26	15.16	1715
1	15	2178.057095477018	4	40	10	right	right	1	46	15.157	3035
1	16	2247.49575845001	4	40	10	right	right	1	19	15.833	1200
1	17	1000.2928972758533	4	40	10	right	right	1	21	15.637	1343
1	18	821.1089375828293	4	40	10	right	right	1	16	15.795	1013
1	19	215.30356902488467	4	40	10	left	left	1	37	15.321	2415
1	20	2795.174221054345	4	40	10	left	left	1	25	15.207	1644
1	21	624.7599509848901	4	40	10	left	left	1	57	15.208	3748
1	22	759.4679092675817	4	40	10	left	left	1	17	15.497	1097
1	23	673.1511840481767	4	40	10	right	right	1	30	15.228	1970
1	24	684.6901924972533	4	40	10	right	right	1	44	15.477	2843
1	25	2409.309811495789	4	40	10	right	right	1	20	15.588	1283
1	26	1392.1975715522942	4	40	10	right	right	1	30	15.369	1952
1	27	284.0423292596656	4	40	10	left	left	1	26	15.495	1678
1	28	1425.4755914390646	4	40	10	left	left	1	20	15.723	1272
1	29	896.2435797426077	4	40	10	left	left	1	22	15.482	1421
1	30	862.8497078916162	4	40	10	left	left	1	19	15.664	1213
1	31	902.2742042026987	4	40	10	right	right	1	32	15.451	2071
1	32	904.9613436677137	4	40	10	right	right	1	36	15.164	2374
1	33	279.9532798454831	4	40	10	right	right	1	31	15.485	2002
1	34	1411.819063705189	4	40	10	left	left	1	35	15.364	2278
1	35	568.3672708332978	4	40	10	left	left	1	45	15.296	2942
1	36	390.5583494496659	4	40	10	left	left	1	34	15.497	2194
1	37	1252.7057617171738	4	40	10	left	left	1	21	15.533	1352
1	38	715.147168430711	4	40	10	right	right	1	18	15.859	1135
1	39	2258.211571626969	4	40	10	left	left	1	19	15.873	1197
1	40	903.2558263542604	4	40	10	left	left	1	63	15.206	4143
2	1	347.4711415832958	4	40	10	right	right	1	30	15.252	1967
2	2	4839.771911127884	4	40	10	left	left	1	14	16.204	864
2	3	304.5124602700032	4	40	10	left	left	1	25	15.605	1602
2	4	1692.2872519863242	4	40	10	left	left	1	12	15.686	765
2	5	2628.2638057229196	4	40	10	right	right	1	14	15.402	909
2	6	1155.7654551305814	4	40	10	left	left	1	15	15.789	950
2	7	294.11128907535016	4	40	10	left	left	1	21	15.284	1374
2	8	806.6763230212915	4	40	10	right	right	1	20	15.528	1288
2	9	1372.4428747620657	4	40	10	left	left	1	18	15.666	1149
2	10	745.6102695749942	4	40	10	right	right	1	14	15.334	913
2	11	988.4062881245509	4	40	10	left	left	1	15	15.291	981
2	12	2304.280514933884	4	40	10	right	right	1	28	15.359	1823
2	13	359.07338626387843	4	40	10	right	right	1	18	15.241	1181
2	14	512.2946355408601	4	40	10	left	left	1	14	15.385	910
2	15	213.70066838767175	4	40	10	left	left	1	44	15.22	2891
2	16	241.57333644501506	4	40	10	right	right	1	19	15.94	1192
