
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	201.26559128242164	4	40	10	left	left	1	23	15.797	1456
1	2	876.9471971324618	4	40	10	right	right	1	11	15.515	709
1	3	293.96605859915314	4	40	10	left	left	1	9	15.652	575
1	4	640.5194163355636	4	40	10	right	right	1	6	16.713	359
1	5	479.14878455461627	4	40	10	right	left	0	7	16.99	412
1	6	1962.2351251609198	4	40	10	right	right	1	15	15.89	944
1	7	1606.379102702792	4	40	10	left	left	1	10	16.077	622
1	8	221.97872022917497	4	40	10	left	left	1	13	15.892	818
1	9	865.7618541721472	4	40	10	left	left	1	11	15.214	723
1	10	292.09585561217335	4	40	10	left	left	1	21	15.813	1328
1	11	549.825192835701	4	40	10	left	left	1	16	15.795	1013
1	12	1653.6970752853626	4	40	10	left	left	1	11	15.692	701
1	13	1172.009131403048	4	40	10	right	right	1	11	15.214	723
1	14	367.1223698386674	4	40	10	right	right	1	11	15.214	723
1	15	461.8503332108558	4	40	10	right	left	0	9	15.28	589
1	16	513.3255843224279	4	40	10	right	right	1	20	15.873	1260
1	17	977.8494778423275	4	40	10	right	right	1	15	15.337	978
1	18	220.95214098722397	4	40	10	left	left	1	16	16.064	996
1	19	1167.3116509051463	4	40	10	right	right	1	12	15.444	777
1	20	704.183983565538	4	40	10	left	left	1	10	16.611	602
1	21	751.4326208231107	4	40	10	left	left	1	13	15.971	814
1	22	1114.026324877321	4	40	10	right	left	0	9	15.411	584
1	23	821.9698040289828	4	40	10	right	right	1	13	15.99	813
1	24	212.9847459358159	4	40	10	right	left	0	12	15.306	784
1	25	627.4548328664921	4	40	10	left	left	1	13	15.458	841
1	26	269.6329361450065	4	40	10	right	right	1	13	15.815	822
1	27	2917.2555527900586	4	40	10	left	left	1	15	16.164	928
1	28	354.3950544774134	4	40	10	left	left	1	14	16.26	861
1	29	1068.0376793691369	4	40	10	left	left	1	10	15.385	650
1	30	406.756216208392	4	40	10	left	left	1	23	15.541	1480
1	31	263.03629083390484	4	40	10	right	right	1	12	15.424	778
1	32	568.8762037913077	4	40	10	left	left	1	24	15.19	1580
1	33	993.5673834337478	4	40	10	right	right	1	18	15.319	1175
1	34	1460.455770111131	4	40	10	left	left	1	26	15.625	1664
1	35	1339.9279114328274	4	40	10	left	left	1	20	15.314	1306
1	36	1842.0625733378458	4	40	10	right	right	1	14	15.251	918
1	37	1625.3401699891115	4	40	10	right	right	1	48	15.36	3125
1	38	1084.2811014689682	4	40	10	right	right	1	14	15.677	893
1	39	233.84307087630035	4	40	10	right	right	1	21	15.195	1382
1	40	301.6707688432702	4	40	10	left	left	1	20	15.924	1256
2	1	527.200898614949	4	40	10	left	left	1	19	15.873	1197
2	2	343.70554114272835	4	40	10	right	right	1	15	15.74	953
2	3	469.884681772298	4	40	10	right	left	0	17	15.799	1076
