
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	467.30206220325664	4	40	10	right	right	1	56	15.164	3693
1	2	1263.9424571694285	4	40	10	left	left	1	32	15.377	2081
1	3	1089.236023226845	4	40	10	right	left	0	61	15.17	4021
1	4	572.3420331093372	4	40	10	left	right	0	32	15.385	2080
1	5	680.5999081994187	4	40	10	right	right	1	71	15.187	4675
1	6	1183.1226950607147	4	40	10	left	right	0	42	15.345	2737
1	7	421.72076440161214	4	40	10	left	right	0	122	15.153	8051
1	8	203.1776150279843	4	40	10	right	right	1	51	15.334	3326
1	9	645.7833398314326	4	40	10	right	left	0	70	15.171	4614
1	10	830.415153327462	4	40	10	right	right	1	30	15.472	1939
1	11	1616.0569319179071	4	40	10	right	right	1	56	15.205	3683
1	12	216.22275016550245	4	40	10	left	left	1	27	15.508	1741
1	13	1035.0666626288244	4	40	10	right	left	0	26	15.214	1709
1	14	1458.0502691718546	4	40	10	left	right	0	34	14.893	2283
1	15	371.8357348281801	4	40	10	right	left	0	33	15.457	2135
1	16	1226.486817508716	4	40	10	left	right	0	29	15.312	1894
1	17	1503.4166592819752	4	40	10	right	right	1	85	15.143	5613
1	18	328.47287179211986	4	40	10	left	left	1	39	15.482	2519
1	19	792.3013227342728	4	40	10	left	right	0	67	15.22	4402
1	20	280.7941737485688	4	40	10	right	left	0	25	15.263	1638
1	21	1113.4784444509178	4	40	10	right	right	1	37	15.214	2432
1	22	212.49394092552035	4	40	10	left	right	0	42	15.157	2771
1	23	433.0711375089229	4	40	10	left	right	0	68	15.291	4447
1	24	433.5488687343971	4	40	10	left	left	1	46	15.379	2991
1	25	329.3792527483017	4	40	10	right	left	0	37	15.34	2412
1	26	245.76921561141646	4	40	10	left	left	1	34	15.448	2201
1	27	468.6915552091569	4	40	10	left	right	0	45	15.213	2958
1	28	480.0928615272037	4	40	10	left	left	1	31	15.271	2030
1	29	467.47956515962426	4	40	10	left	right	0	33	15.457	2135
1	30	217.8294250207394	4	40	10	left	left	1	34	15.448	2201
1	31	685.7950336059912	4	40	10	left	right	0	69	15.31	4507
1	32	1901.0707635942113	4	40	10	right	right	1	48	15.262	3145
1	33	315.40511569670355	4	40	10	right	right	1	48	15.429	3111
1	34	216.4300984132556	4	40	10	right	right	1	35	15.514	2256
1	35	972.6245833217736	4	40	10	right	right	1	31	15.241	2034
1	36	788.1771569940202	4	40	10	left	left	1	46	15.349	2997
1	37	351.4055256909853	4	40	10	right	right	1	18	15.544	1158
1	38	295.74017019256917	4	40	10	right	right	1	26	15.16	1715
1	39	1118.854068936991	4	40	10	right	right	1	18	15.517	1160
1	40	650.6761481762637	4	40	10	left	right	0	18	15.139	1189
2	1	421.26663811497986	4	40	10	left	left	1	35	15.251	2295
2	2	974.1808889218319	4	40	10	right	right	1	19	15.742	1207
2	3	652.5080415216723	4	40	10	left	left	1	18	15.152	1188
2	4	1733.0111637892192	4	40	10	left	right	0	40	15.492	2582
2	5	413.9869609532683	4	40	10	right	right	1	24	15.306	1568
2	6	221.30510044602428	4	40	10	right	right	1	28	15.461	1811
2	7	691.5566816372235	4	40	10	left	left	1	27	15.186	1778
2	8	221.80607996934756	4	40	10	left	left	1	19	15.728	1208
2	9	307.5185734283168	4	40	10	right	right	1	16	15.64	1023
2	10	448.21033931718625	4	40	10	left	left	1	22	15.288	1439
2	11	1230.4463569093962	4	40	10	right	right	1	19	15.536	1223
2	12	1677.622729962271	4	40	10	left	left	1	21	15.544	1351
2	13	2342.48929840385	4	40	10	left	left	1	21	15.284	1374
2	14	687.7755687573451	4	40	10	left	left	1	18	15.025	1198
2	15	969.7826896140087	4	40	10	left	left	1	22	15.374	1431
2	16	621.491384390416	4	40	10	left	right	0	23	15.436	1490
2	17	299.18882179998553	4	40	10	right	right	1	17	15.77	1078
2	18	227.76780778092737	4	40	10	right	right	1	27	15.526	1739
2	19	403.19854249635335	4	40	10	right	right	1	28	15.504	1806
2	20	1021.3163942310966	4	40	10	right	right	1	26	15.366	1692
2	21	2257.417300016695	4	40	10	right	right	1	27	15.194	1777
2	22	821.1412350542955	4	40	10	left	left	1	15	15.56	964
2	23	780.7795750132543	4	40	10	right	right	1	19	15.36	1237
2	24	396.14998397660213	4	40	10	right	right	1	55	15.308	3593
2	25	348.237004994741	4	40	10	left	left	1	14	15.47	905
2	26	2184.753354113196	4	40	10	left	left	1	22	15.805	1392
2	27	268.12061850970485	4	40	10	right	right	1	17	15.26	1114
2	28	228.51633879816507	4	40	10	left	left	1	15	15.625	960
2	29	364.7420646104838	4	40	10	right	right	1	11	15.363	716
2	30	1027.0062792011481	4	40	10	left	left	1	27	15.35	1759
2	31	1428.846474769268	4	40	10	right	right	1	14	15.677	893
2	32	356.89835011180435	4	40	10	left	left	1	13	16.049	810
2	33	2514.8040945604425	4	40	10	right	right	1	14	15.819	885
2	34	242.17763000155526	4	40	10	left	left	1	17	15.77	1078
2	35	2731.71113655605	4	40	10	right	right	1	19	15.286	1243
2	36	3948.708396904018	4	40	10	left	left	1	23	15.082	1525
2	37	424.6837586480418	4	40	10	right	right	1	15	15.957	940
2	38	1954.1335027523744	4	40	10	right	right	1	21	15.228	1379
2	39	443.1002444643573	4	40	10	left	left	1	11	15.172	725
2	40	236.89361253533454	4	40	10	right	right	1	16	15.311	1045
3	1	461.59788708483876	4	40	10	left	left	1	13	15.777	824
3	2	658.5251023727498	4	40	10	right	right	1	11	15.193	724
3	3	641.1369588483519	4	40	10	right	right	1	13	15.625	832
3	4	2811.2058315217205	4	40	10	right	right	1	14	16.26	861
3	5	1995.9592410656453	4	40	10	left	right	0	10	14.859	673
3	6	378.7602279849459	4	40	10	left	left	1	14	15.351	912
3	7	719.9518198695476	4	40	10	right	right	1	12	15.094	795
3	8	979.240131823034	4	40	10	left	left	1	35	15.191	2304
3	9	313.52736850739666	4	40	10	left	left	1	22	15.46	1423
3	10	314.06502193146963	4	40	10	left	left	1	24	15.645	1534
3	11	390.03373812005054	4	40	10	left	left	1	14	15.713	891
3	12	306.142920273777	4	40	10	right	right	1	11	15.11	728
3	13	2628.58714390422	4	40	10	right	right	1	17	15.977	1064
3	14	952.2064409467187	4	40	10	right	right	1	11	15.471	711
3	15	250.29041813817767	4	40	10	right	right	1	11	15.581	706
3	16	449.4375847105774	4	40	10	left	left	1	31	15.385	2015
3	17	369.7954932591705	4	40	10	right	right	1	19	13.562	1401
3	18	780.4753206702952	4	40	10	left	left	1	23	15.636	1471
3	19	204.7621026316606	4	40	10	left	left	1	16	15.282	1047
3	20	274.8390042901596	4	40	10	left	right	0	16	15.968	1002
3	21	545.7197944160605	4	40	10	right	right	1	13	15.439	842
3	22	586.8822664341781	4	40	10	right	right	1	14	15.538	901
3	23	257.2407446050838	4	40	10	left	left	1	17	15.165	1121
3	24	1421.8368919947254	4	40	10	right	right	1	11	15.759	698
3	25	1720.479759218828	4	40	10	right	right	1	10	15.175	659
3	26	508.72144102082507	4	40	10	left	left	1	13	15.205	855
3	27	1835.0520388810214	4	40	10	left	left	1	14	15.317	914
3	28	223.10024494978174	4	40	10	right	right	1	14	14.973	935
3	29	1299.0090792225255	4	40	10	left	left	1	52	15.129	3437
3	30	425.2490295754701	4	40	10	right	right	1	13	16.25	800
3	31	2288.31059300253	4	40	10	right	right	1	19	15.347	1238
3	32	494.39249832851925	4	40	10	right	right	1	11	15.11	728
3	33	2081.690823715463	4	40	10	right	right	1	12	15.171	791
3	34	205.88209310422536	4	40	10	right	right	1	14	15.608	897
3	35	374.4807376590167	4	40	10	left	left	1	12	15.894	755
3	36	1052.4130507541126	4	40	10	left	left	1	19	15.298	1242
3	37	732.0322260915111	4	40	10	left	left	1	25	15.319	1632
3	38	804.9899122768445	4	40	10	left	right	0	20	15.152	1320
3	39	1595.2488684088921	4	40	10	right	right	1	15	15.385	975
3	40	254.2317677939412	4	40	10	left	left	1	22	15.235	1444
4	1	647.8985740306488	4	40	10	left	right	0	14	16.222	863
4	2	1700.8378526833685	4	40	10	right	right	1	20	15.14	1321
4	3	296.293867737762	4	40	10	right	right	1	39	15.14	2576
4	4	593.8643226992907	4	40	10	left	left	1	20	15.54	1287
4	5	385.67853256985427	4	40	10	right	right	1	12	15.171	791
4	6	1236.9163774490771	4	40	10	left	left	1	26	15.56	1671
4	7	800.3040733740118	4	40	10	left	right	0	44	15.199	2895
4	8	597.2461279116601	4	40	10	left	left	1	12	15.584	770
4	9	787.9961282113991	4	40	10	left	left	1	20	14.76	1355
4	10	2362.675106618626	4	40	10	right	right	1	15	15.609	961
4	11	1382.2668851552758	4	40	10	left	left	1	26	15.672	1659
4	12	525.9879853862869	4	40	10	left	left	1	36	15.385	2340
4	13	1073.4098846980387	4	40	10	left	left	1	23	15.222	1511
4	14	915.4158327339987	4	40	10	right	left	0	14	16.26	861
4	15	658.1763631703304	4	40	10	left	left	1	14	15.573	899
4	16	648.7077323149363	4	40	10	right	right	1	15	15.121	992
4	17	342.9675497951134	4	40	10	right	right	1	34	15.448	2201
4	18	1347.066086363011	4	40	10	right	right	1	17	15.933	1067
4	19	1306.946598528581	4	40	10	right	right	1	13	15.873	819
4	20	906.4632382413255	4	40	10	left	left	1	35	15.446	2266
4	21	788.3944286399001	4	40	10	left	left	1	36	15.313	2351
4	22	1477.470656598663	4	40	10	right	right	1	14	15.317	914
4	23	406.0650752069698	4	40	10	right	right	1	59	15.305	3855
