
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	778.9475697502079	4	40	10	left	left	1	125	15.218	8214
1	2	1872.307837839566	4	40	10	left	right	0	50	15.404	3246
1	3	1782.564924902184	4	40	10	right	right	1	25	15.263	1638
1	4	567.0443065945892	4	40	10	left	left	1	94	15.275	6154
1	5	279.3881480544998	4	40	10	left	left	1	25	15.442	1619
1	6	580.0601593888871	4	40	10	right	right	1	29	15.684	1849
1	7	224.20020415795443	4	40	10	right	right	1	22	15.737	1398
1	8	1552.726475843663	4	40	10	left	left	1	14	15.766	888
1	9	773.7713996649024	4	40	10	right	right	1	34	15.406	2207
1	10	1054.9188219716384	4	40	10	right	right	1	34	15.596	2180
1	11	654.0895337921979	4	40	10	left	left	1	14	15.642	895
1	12	455.2856126986655	4	40	10	right	right	1	16	15.873	1008
1	13	1575.4195822337538	4	40	10	left	left	1	18	15.544	1158
1	14	1148.102678743891	4	40	10	left	left	1	17	15.888	1070
1	15	2627.964436097569	4	40	10	left	left	1	15	15.723	954
1	16	1782.1625862695741	4	40	10	right	right	1	15	15.773	951
1	17	1341.5763464674171	4	40	10	left	left	1	14	16.018	874
1	18	404.6015347579852	4	40	10	left	left	1	14	15.819	885
1	19	265.2244068897271	4	40	10	left	left	1	15	15.528	966
1	20	942.230693648526	4	40	10	right	right	1	14	15.59	898
1	21	258.91387748348996	4	40	10	left	left	1	12	16.393	732
1	22	449.6382694169588	4	40	10	left	left	1	14	16	875
1	23	1469.014634842256	4	40	10	left	left	1	12	15.19	790
1	24	344.24206292952033	4	40	10	right	right	1	25	15.253	1639
1	25	779.3998272956642	4	40	10	right	left	0	19	15.31	1241
1	26	2309.736889980131	4	40	10	right	right	1	19	15.94	1192
1	27	326.1297954105888	4	40	10	left	left	1	27	15.725	1717
1	28	223.08942006449962	4	40	10	left	left	1	43	15.324	2806
1	29	579.2532189106153	4	40	10	left	left	1	17	15.441	1101
1	30	737.157989232649	4	40	10	right	right	1	21	15.475	1357
1	31	545.7499492295549	4	40	10	left	left	1	17	15.206	1118
1	32	2120.4594323288666	4	40	10	right	right	1	11	16.058	685
1	33	208.1250505933229	4	40	10	right	right	1	21	15.407	1363
1	34	1260.8950757092744	4	40	10	right	right	1	18	15.464	1164
1	35	1307.20669786876	4	40	10	right	right	1	28	15.521	1804
1	36	2356.891043278492	4	40	10	left	left	1	16	16.08	995
1	37	768.5169023751173	4	40	10	right	right	1	17	15.568	1092
1	38	868.0631422772221	4	40	10	right	right	1	17	16.038	1060
1	39	240.70270712714492	4	40	10	right	right	1	14	15.59	898
1	40	1279.7723237119742	4	40	10	right	right	1	11	16.248	677
2	1	1123.63939476106	4	40	10	right	right	1	19	15.164	1253
2	2	234.48177941109992	4	40	10	left	left	1	23	15.646	1470
2	3	611.0340236752982	4	40	10	right	right	1	16	15.92	1005
2	4	1266.2957073236564	4	40	10	left	left	1	15	15.89	944
2	5	827.8387259593286	4	40	10	right	right	1	11	16.616	662
2	6	491.85007641573054	4	40	10	left	left	1	67	15.234	4398
2	7	539.9890378702344	4	40	10	left	left	1	48	15.262	3145
2	8	1390.0478821342003	4	40	10	right	right	1	15	15.4	974
2	9	1610.6837298134224	4	40	10	left	left	1	22	15.204	1447
2	10	775.7416229377078	4	40	10	left	left	1	12	16.416	731
2	11	589.6037129408508	4	40	10	left	right	0	14	15.168	923
2	12	772.4836854438232	4	40	10	right	right	1	15	15.291	981
2	13	224.17750310816456	4	40	10	right	left	0	9	15.598	577
2	14	552.6354642758909	4	40	10	right	right	1	22	15.771	1395
2	15	519.941316362709	4	40	10	left	left	1	29	15.255	1901
2	16	646.7874579739522	4	40	10	left	left	1	19	15.742	1207
2	17	320.66277109444667	4	40	10	right	right	1	10	16.393	610
2	18	320.678353724968	4	40	10	right	right	1	13	15.625	832
2	19	904.6723396446582	4	40	10	right	right	1	11	15.896	692
2	20	237.4882700635697	4	40	10	right	right	1	24	15.161	1583
