
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	1689.303665819635	4	40	10	right	right	1	47	15.225	3087
1	2	1017.7296993315204	4	40	10	left	right	0	28	15.267	1834
1	3	314.18386366772154	4	40	10	left	left	1	30	15.536	1931
1	4	322.518436994165	4	40	10	left	right	0	60	15.334	3913
1	5	694.6249391238875	4	40	10	left	left	1	22	15.647	1406
1	6	1926.0433938061356	4	40	10	left	right	0	19	15.51	1225
1	7	3012.476666166856	4	40	10	left	right	0	35	15.317	2285
1	8	1109.8379533484656	4	40	10	right	right	1	57	15.401	3701
1	9	3084.496345755443	4	40	10	left	right	0	40	15.516	2578
1	10	996.1881052033029	4	40	10	left	right	0	23	15.457	1488
1	11	1956.7377965847566	4	40	10	right	right	1	40	15.186	2634
1	12	381.6690764035783	4	40	10	left	right	0	44	15.272	2881
1	13	588.1228667035566	4	40	10	left	left	1	22	15.162	1451
1	14	1473.0033281000162	4	40	10	right	right	1	43	15.194	2830
1	15	318.96776904689114	4	40	10	right	left	0	52	15.353	3387
1	16	893.9792260506782	4	40	10	right	right	1	19	15.41	1233
1	17	956.7341259163635	4	40	10	right	right	1	44	15.342	2868
1	18	1193.9412056460326	4	40	10	right	right	1	24	15.326	1566
1	19	518.996799289132	4	40	10	right	right	1	34	15.357	2214
1	20	747.4919316546867	4	40	10	right	right	1	35	15.405	2272
1	21	920.3026849243224	4	40	10	right	right	1	37	15.462	2393
1	22	766.9530643995693	4	40	10	left	right	0	26	15.7	1656
1	23	1650.3618093753319	4	40	10	left	left	1	29	15.575	1862
1	24	392.9584761141447	4	40	10	right	right	1	26	15.439	1684
1	25	443.55961900809206	4	40	10	right	right	1	21	15.73	1335
1	26	961.1723053896349	4	40	10	right	left	0	37	15.468	2392
1	27	642.1678852772225	4	40	10	left	left	1	26	15.672	1659
1	28	580.6451374239889	4	40	10	left	left	1	23	15.786	1457
1	29	2321.8627168310754	4	40	10	right	right	1	20	15.748	1270
1	30	587.7860541509995	4	40	10	right	right	1	21	15.328	1370
1	31	1590.0271563925342	4	40	10	left	left	1	13	15.682	829
1	32	752.2043954155805	4	40	10	left	left	1	15	16.146	929
1	33	1951.6168411851395	4	40	10	left	left	1	17	15.611	1089
1	34	956.6940841744431	4	40	10	right	right	1	32	15.377	2081
1	35	661.8084676837556	4	40	10	left	left	1	15	15.957	940
1	36	498.038372371981	4	40	10	left	left	1	17	15.26	1114
1	37	1265.036280294023	4	40	10	right	right	1	30	15.236	1969
1	38	662.0651852823836	4	40	10	left	left	1	12	15.645	767
1	39	471.98334373283603	4	40	10	right	right	1	15	15.593	962
1	40	566.5124000757974	4	40	10	right	right	1	21	15.373	1366
2	1	1643.237279419852	4	40	10	left	left	1	14	16.279	860
2	2	3233.145469629418	4	40	10	right	right	1	11	15.32	718
2	3	315.11033820680944	4	40	10	right	right	1	24	15.504	1548
2	4	528.6838904099259	4	40	10	right	right	1	11	15.559	707
2	5	812.5251049462709	4	40	10	right	left	0	29	15.191	1909
2	6	605.2128645955432	4	40	10	left	left	1	17	15.582	1091
2	7	438.5128215085842	4	40	10	left	left	1	35	15.576	2247
2	8	1745.297800265193	4	40	10	left	left	1	16	15.779	1014
2	9	245.50934101937384	4	40	10	right	right	1	17	15.26	1114
2	10	1140.2876013216098	4	40	10	left	left	1	15	15.839	947
2	11	1727.8302605698277	4	40	10	left	left	1	40	15.408	2596
2	12	335.0370883625362	4	40	10	left	right	0	34	15.433	2203
2	13	2231.5384156217788	4	40	10	left	left	1	17	15.947	1066
2	14	714.7380644511059	4	40	10	right	right	1	15	15.773	951
2	15	749.7856835360783	4	40	10	left	left	1	14	15.982	876
2	16	714.9750316600149	4	40	10	right	right	1	15	15.69	956
2	17	473.96792010820985	4	40	10	right	right	1	38	15.176	2504
2	18	1100.892753185329	4	40	10	left	left	1	14	15.301	915
2	19	1766.4283073762201	4	40	10	right	right	1	40	15.244	2624
2	20	350.3341811589561	4	40	10	left	left	1	17	15.152	1122
2	21	1676.9919866627502	4	40	10	left	left	1	17	15.639	1087
2	22	1044.865335969029	4	40	10	right	right	1	11	15.471	711
2	23	1148.8994721377435	4	40	10	left	left	1	24	15.267	1572
2	24	896.1613459723646	4	40	10	right	right	1	12	15.831	758
2	25	950.4129476723506	4	40	10	right	right	1	23	15.374	1496
2	26	845.734905492777	4	40	10	right	right	1	19	15.485	1227
2	27	1194.9582987373935	4	40	10	left	left	1	20	15.86	1261
2	28	302.4783002042583	4	40	10	left	left	1	23	15.572	1477
2	29	540.2033683189256	4	40	10	left	left	1	26	15.532	1674
2	30	598.8603878211585	4	40	10	left	left	1	35	15.412	2271
2	31	517.4472694068627	4	40	10	right	right	1	15	15.806	949
2	32	687.4970247952219	4	40	10	right	right	1	25	15.3	1634
2	33	695.7068718780438	4	40	10	left	left	1	23	15.541	1480
2	34	766.944777243792	4	40	10	right	right	1	11	16.418	670
2	35	604.4964085991511	4	40	10	left	left	1	10	15.949	627
2	36	600.4542228603169	4	40	10	right	right	1	13	15.439	842
2	37	591.5643493506825	4	40	10	right	right	1	14	15.504	903
2	38	343.17868657637916	4	40	10	left	left	1	12	16.086	746
2	39	246.0887552289393	4	40	10	right	right	1	13	15.777	824
2	40	826.0923310980161	4	40	10	right	right	1	10	16.667	600
3	1	293.3223350973135	4	40	10	right	right	1	13	15.777	824
3	2	442.41762215695746	4	40	10	right	right	1	12	15.484	775
3	3	529.6638774640883	4	40	10	left	left	1	11	15.342	717
3	4	994.7919350318914	4	40	10	right	right	1	9	15.762	571
3	5	3098.382140591344	4	40	10	left	left	1	16	16.048	997
3	6	525.4307711006	4	40	10	left	left	1	13	15.569	835
3	7	808.0492502712711	4	40	10	right	right	1	12	15.385	780
3	8	514.4322861842159	4	40	10	right	right	1	10	15.873	630
3	9	926.6881417793029	4	40	10	right	right	1	25	15.244	1640
3	10	456.3274724029668	4	40	10	left	left	1	17	15.315	1110
3	11	837.1649031032881	4	40	10	left	left	1	14	16.166	866
3	12	1394.9697834743622	4	40	10	right	right	1	9	16.245	554
3	13	219.89338882698365	4	40	10	right	right	1	17	15.639	1087
3	14	650.9328505375765	4	40	10	left	left	1	14	16.204	864
3	15	283.8987652818062	4	40	10	right	right	1	10	16.26	615
3	16	314.22921759336805	4	40	10	right	right	1	11	16.176	680
3	17	972.9635561321056	4	40	10	right	right	1	10	15.699	637
3	18	646.3599776196654	4	40	10	right	right	1	9	15.358	586
3	19	1112.85312810176	4	40	10	right	right	1	18	15.19	1185
3	20	2477.992310973795	4	40	10	left	left	1	13	16.25	800
3	21	296.7660119337376	4	40	10	right	right	1	9	16.304	552
3	22	930.6231361842241	4	40	10	left	left	1	13	15.682	829
3	23	1726.7701506185383	4	40	10	right	right	1	8	15.414	519
3	24	1460.3890725199142	4	40	10	right	right	1	8	16.097	497
3	25	1426.1073785007302	4	40	10	right	right	1	8	15.238	525
3	26	1800.713004411684	4	40	10	left	left	1	10	16.367	611
3	27	247.31635907913585	4	40	10	left	left	1	11	15.449	712
3	28	3223.1064755160305	4	40	10	left	left	1	11	16.616	662
3	29	1090.9615044132715	4	40	10	right	right	1	12	16.304	736
3	30	262.55323565454796	4	40	10	left	left	1	10	16.367	611
3	31	1163.9558010731955	4	40	10	right	right	1	10	15.552	643
3	32	203.28879881345182	4	40	10	left	left	1	17	15.947	1066
3	33	769.7562542494246	4	40	10	left	left	1	14	15.927	879
3	34	1629.5245113027565	4	40	10	left	left	1	20	15.302	1307
3	35	604.6560738506021	4	40	10	left	left	1	13	15.33	848
3	36	1087.2196251753144	4	40	10	left	left	1	12	15.831	758
3	37	1439.3657318116225	4	40	10	left	left	1	11	15.11	728
3	38	285.9783351714772	4	40	10	right	right	1	10	15.601	641
3	39	961.3530162465759	4	40	10	left	right	0	24	15.385	1560
3	40	262.2460951424865	4	40	10	left	left	1	23	15.52	1482
4	1	1518.5882219508858	4	40	10	right	right	1	19	15.966	1190
4	2	391.64198511255177	4	40	10	right	right	1	10	15.924	628
4	3	464.2873174145815	4	40	10	right	right	1	9	16.1	559
4	4	1916.0763454608882	4	40	10	right	right	1	9	17.013	529
4	5	2331.5712155871647	4	40	10	right	right	1	7	15.695	446
4	6	369.5781982991158	4	40	10	left	left	1	17	15.639	1087
4	7	410.8265857058734	4	40	10	right	right	1	7	15.419	454
4	8	724.4201814404224	4	40	10	right	right	1	8	15.355	521
4	9	290.9857087987824	4	40	10	left	left	1	17	15.179	1120
4	10	2006.414768358754	4	40	10	left	left	1	11	16.345	673
4	11	663.4982123353808	4	40	10	left	left	1	11	15.363	716
4	12	714.1038797935191	4	40	10	right	right	1	8	15.504	516
4	13	686.484462726964	4	40	10	left	left	1	9	15.625	576
4	14	1796.3029835383734	4	40	10	right	right	1	9	16.484	546
4	15	762.9697399875528	4	40	10	right	left	0	9	15.845	568
4	16	403.2385774303401	4	40	10	left	left	1	13	15.532	837
4	17	520.0977394383888	4	40	10	right	right	1	9	16.334	551
4	18	444.9502312216264	4	40	10	right	right	1	11	15.782	697
4	19	768.9593115430097	4	40	10	left	left	1	13	16.129	806
4	20	1199.4392361386142	4	40	10	left	left	1	20	15.528	1288
4	21	819.0686220769379	4	40	10	right	right	1	12	15.267	786
4	22	446.0060942638444	4	40	10	left	left	1	15	15.625	960
4	23	220.2798386152158	4	40	10	right	right	1	9	15.734	572
4	24	1413.8718017759265	4	40	10	left	left	1	13	15.222	854
4	25	933.380992791525	4	40	10	left	left	1	12	15.81	759
4	26	247.0327420396109	4	40	10	left	left	1	12	16.151	743
