
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	275.58556980398686	4	40	10	right	left	0	64	15.002	4266
1	2	773.4621708052491	4	40	10	left	left	1	50	14.961	3342
1	3	851.5960764282007	4	40	10	right	right	1	31	15.07	2057
1	4	773.3711560752317	4	40	10	left	left	1	17	14.952	1137
1	5	386.01333255715963	4	40	10	left	right	0	32	14.974	2137
1	6	2093.122167527751	4	40	10	right	left	0	49	15.133	3238
1	7	1050.9298459969343	4	40	10	right	right	1	45	15	3000
1	8	338.4638077028918	4	40	10	left	left	1	65	15.057	4317
1	9	301.0290460738029	4	40	10	left	left	1	83	15.004	5532
1	10	656.186444305766	4	40	10	right	left	0	30	15.121	1984
1	11	503.42832315761706	4	40	10	right	right	1	23	15.488	1485
1	12	1418.2210428731228	4	40	10	left	right	0	69	14.929	4622
1	13	1003.3632134312026	4	40	10	left	left	1	114	15.004	7598
1	14	328.06014868996607	4	40	10	left	left	1	67	14.896	4498
1	15	626.353603148955	4	40	10	right	right	1	48	15.161	3166
1	16	755.3984204228269	4	40	10	right	right	1	46	14.945	3078
1	17	588.7716158503499	4	40	10	left	left	1	37	14.986	2469
1	18	400.33880188713124	4	40	10	left	left	1	43	14.941	2878
1	19	1302.2428066729228	4	40	10	left	left	1	22	7.529	2922
1	20	253.39278690519873	4	40	10	left	right	0	37	14.992	2468
1	21	927.7475747577412	4	40	10	right	right	1	41	15.259	2687
1	22	925.4813274065488	4	40	10	right	right	1	51	15.084	3381
1	23	450.86267476291016	4	40	10	right	right	1	23	15.072	1526
1	24	1609.6114898914682	4	40	10	left	left	1	19	15.397	1234
1	25	557.3167930418515	4	40	10	left	right	0	30	15.432	1944
1	26	588.9529045208644	4	40	10	right	right	1	52	15.007	3465
1	27	1004.480476122994	4	40	10	right	right	1	30	15.322	1958
1	28	258.65774077567687	4	40	10	right	right	1	30	15.175	1977
1	29	1026.3085334610662	4	40	10	left	right	0	28	15.326	1827
1	30	475.6478031603311	4	40	10	left	left	1	21	15.195	1382
1	31	557.4347375580077	4	40	10	right	right	1	19	15.41	1233
1	32	280.24611399632465	4	40	10	right	right	1	36	14.988	2402
1	33	351.13048478855706	4	40	10	left	left	1	37	15.102	2450
