
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	909.603328697527	4	40	10	right	right	1	32	15.282	2094
1	2	389.69346222436985	4	40	10	right	right	1	17	15.357	1107
1	3	331.87081918990344	4	40	10	right	right	1	48	15.296	3138
1	4	438.89075783062174	4	40	10	left	left	1	19	14.961	1270
1	5	349.8715161699631	4	40	10	right	right	1	16	15.166	1055
1	6	558.1972330251344	4	40	10	left	left	1	16	15.905	1006
1	7	593.4854993944507	4	40	10	left	left	1	13	15.854	820
1	8	808.6563338956211	4	40	10	left	left	1	24	15.404	1558
1	9	392.1883521951647	4	40	10	right	right	1	16	15.355	1042
1	10	2820.001285476809	4	40	10	left	left	1	27	15.42	1751
1	11	913.9551021298876	4	40	10	left	left	1	40	15.379	2601
1	12	285.4143673173478	4	40	10	right	right	1	16	15.224	1051
1	13	751.76018121241	4	40	10	left	left	1	23	15.272	1506
1	14	353.87443767383775	4	40	10	right	right	1	17	15.371	1106
1	15	735.271665812832	4	40	10	left	left	1	10	15.221	657
1	16	605.3301316170223	4	40	10	right	right	1	12	15.936	753
1	17	210.66672102842043	4	40	10	right	right	1	11	15.759	698
1	18	1444.9855867536764	4	40	10	left	left	1	10	15.528	644
1	19	658.6568148176073	4	40	10	left	left	1	20	15.152	1320
1	20	1017.5869551857078	4	40	10	left	left	1	15	15.974	939
1	21	1423.7917565690263	4	40	10	right	right	1	13	15.495	839
1	22	858.7134420906909	4	40	10	right	right	1	15	15.707	955
1	23	318.17446233633734	4	40	10	left	left	1	14	15.766	888
1	24	846.069700380037	4	40	10	right	right	1	23	15.242	1509
1	25	342.28900146864436	4	40	10	right	right	1	13	15.24	853
1	26	359.06603399938354	4	40	10	right	right	1	44	15.401	2857
1	27	997.8118628950916	4	40	10	left	left	1	12	15.267	786
1	28	444.0581380690751	4	40	10	right	right	1	10	15.129	661
1	29	459.5516198448124	4	40	10	left	left	1	12	15.524	773
1	30	386.3657691727186	4	40	10	left	left	1	25	15.499	1613
1	31	1464.000382883477	4	40	10	right	right	1	17	15.525	1095
1	32	314.228951348956	4	40	10	right	right	1	48	15.132	3172
1	33	799.4017918418618	4	40	10	left	left	1	14	15.402	909
1	34	1086.032992773576	4	40	10	left	left	1	16	15.549	1029
1	35	597.7693270669436	4	40	10	right	right	1	34	15.213	2235
1	36	1274.410639125885	4	40	10	left	left	1	14	15.267	917
