
blkNum	trlNum	randomStimulusOnsetTime	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	1552.6608283077271	4	40	10	right	left	0	128	15.244	8397
1	2	825.4193045377797	4	40	10	left	right	0	131	15.257	8586
1	3	1879.0360403916538	4	40	10	right	right	1	97	15.216	6375
1	4	1763.3336881457474	4	40	10	right	left	0	60	15.155	3959
1	5	828.0591734370586	4	40	10	right	right	1	36	15.241	2362
1	6	1062.9727831399282	4	40	10	left	left	1	21	15.695	1338
1	7	1257.651145518916	4	40	10	right	right	1	30	15.584	1925
1	8	1250.715328525112	4	40	10	right	left	0	31	15.263	2031
1	9	781.9728673255189	4	40	10	right	right	1	24	15.666	1532
1	10	2022.1320448701506	4	40	10	right	left	0	28	15.53	1803
1	11	230.08843025692204	4	40	10	left	right	0	19	15.212	1249
1	12	822.9771778042947	4	40	10	left	right	0	82	15.174	5404
1	13	244.46480189860023	4	40	10	right	right	1	97	15.264	6355
1	14	299.9708529445878	4	40	10	left	left	1	20	15.48	1292
1	15	239.36293313386813	4	40	10	right	right	1	20	15.267	1310
1	16	814.0388127536323	4	40	10	right	right	1	34	15.455	2200
1	17	361.4493875272524	4	40	10	left	left	1	58	15.191	3818
1	18	537.8675060239007	4	40	10	left	right	0	22	15.331	1435
1	19	514.5127689700557	4	40	10	left	right	0	71	15.262	4652
1	20	400.0763658793669	4	40	10	left	left	1	108	15.205	7103
1	21	1319.162362303947	4	40	10	right	right	1	16	15.282	1047
1	22	359.2616428767578	4	40	10	left	left	1	19	15.472	1228
1	23	653.2394711646086	4	40	10	right	right	1	15	16.009	937
1	24	1293.9577335154622	4	40	10	left	left	1	19	15.574	1220
1	25	219.6408585276385	4	40	10	left	right	0	19	15.139	1255
1	26	231.6513380233908	4	40	10	left	left	1	13	15.644	831
1	27	1092.639490080873	4	40	10	left	right	0	13	15.276	851
1	28	1568.981538233906	4	40	10	right	left	0	42	15.492	2711
1	29	257.7212881156802	4	40	10	right	right	1	55	15.389	3574
1	30	1689.029806468574	4	40	10	right	right	1	48	15.219	3154
1	31	622.7985090303669	4	40	10	right	right	1	46	15.313	3004
1	32	238.68595220775512	4	40	10	left	left	1	19	15.728	1208
1	33	716.1101236864181	4	40	10	right	right	1	15	15.674	957
1	34	398.19123386357774	4	40	10	left	left	1	20	15.674	1276
1	35	2426.67232324208	4	40	10	left	left	1	39	15.27	2554
1	36	213.62535964459477	4	40	10	right	right	1	12	16.26	738
1	37	218.90241083654035	4	40	10	left	left	1	9	15.177	593
1	38	1200.6616503420528	4	40	10	left	right	0	19	15.498	1226
1	39	1680.5741966855203	4	40	10	right	right	1	45	15.459	2911
1	40	898.6699928007655	4	40	10	left	left	1	56	15.351	3648
2	1	1027.6960945131486	4	40	10	right	left	0	32	15.318	2089
2	2	1373.2815342481542	4	40	10	right	right	1	23	15.678	1467
2	3	430.742091267143	4	40	10	left	left	1	23	15.202	1513
2	4	807.3301071946701	4	40	10	left	right	0	16	15.779	1014
